Teams,Series Outcome,Notable Facts,Notable Players,Historical Context,,MVP,Individual Points,5 Barnett,11 Selvy,12 Wiley,22 Baylor,24 Horn,25 Ellis,32 Krebs,33 Hundley,35 LaRusso,44 West,54 Jolliff,Coach,trigger
"Minneapolis Lakers, Syracuse Nationals",Lakers defeated Nationals 4-2,"Lakers' second title in Minneapolis, six games played in 16 days, first known buzzer beater in Finals","George Mikan (Lakers), Dolph Schayes (Nationals)","NBA's fourth championship series, Lakers' previous BAA Finals win, Syracuse's Eastern Division title",,,,,,,,,,,,,,,,1950 NBA Finals
"Rochester Royals, New York Knicks",Royals defeated Knicks 4-3,"First NBA Finals to go to Game 7, first Finals appearance for both teams, series spanned 33 days","Rochester: Bob Davies, Arnie Risen, New York: Harry Gallatin, Dick McGuire","Royals' first and only NBA championship, Knicks' first Finals appearance, Knicks' journey to the Finals",,,,,,,,,,,,,,,,1951 NBA Finals
"Minneapolis Lakers, New York Knicks",Lakers defeated Knicks 4-3,"Minneapolis won the decisive Game 7, series played in secondary arenas, Lakers won by 17 points in Game 7","George Mikan (Lakers), Harry Gallatin (Knicks)","Lakers had home-court advantage, series spanned 39 days, Lakers played 13 games and Knicks played 14 games",,,,,,,,,,,,,,,,1952 NBA Finals
"Minneapolis Lakers, New York Knicks",Lakers defeated Knicks 4-1,"Minneapolis won the decisive Game 7, series played in secondary arenas, Lakers won by 17 points in Game 7","George Mikan (Lakers), Harry Gallatin (Knicks)","Lakers had home-court advantage, series spanned 39 days, Lakers played 13 games and Knicks played 14 games",,,,,,,,,,,,,,,,1953 NBA Finals
"Minneapolis Lakers, Syracuse Nationals",Lakers defeated Nationals 4-3,"Lakers' third consecutive championship, Lakers' fifth title in seven years, first NBA Finals game televised nationally, series played in 13 days","George Mikan (Lakers), Dolph Schayes (Nationals)","Lakers' dominance in the early NBA years, Nationals' first NBA Finals appearance, Lakers' transition from NBL to NBA",,,,,,,,,,,,,,,,1954 NBA Finals
"Syracuse Nationals, Fort Wayne Pistons",Nationals defeated Pistons 4-3,"Nationals' victory with a free throw by King, venue changes due to arena unavailability, allegations of game-fixing, suspicious nature of Game 7, unique 2-3-2 format","George King (Nationals), Andy Phillip (Pistons)","Nationals' first and only NBA championship, Pistons' relocation to Detroit, concerns about legitimacy of the series, NBA Finals home team winning all seven games",,,,,,,,,,,,,,,,1955 NBA Finals
"Philadelphia Warriors, Fort Wayne Pistons",Warriors defeated Pistons 4-1,"Alternating home games, Warriors' dominant victory, Pistons' lone win in Game 3","Paul Arizin, Neil Johnston (Warriors)","Warriors' second championship, Pistons' first Finals appearance, dominance of Arizin and Johnston","George Yardley, Larry Foust (Pistons)",,,,,,,,,,,,,,,1956 NBA Finals
"St. Louis Hawks, Boston Celtics",Celtics won series 4-3,"First Finals appearance for both teams, Celtics' victory in double-overtime Game 7, Russell's rookie rebound record",Bill Russell (Celtics),,"Bob Pettit, Cliff Hagan (Hawks)",,,,,,,,,,,,,,,1957 NBA Finals
"St. Louis Hawks, Boston Celtics",Hawks defeated Celtics 4-2,"Hawks' first and only NBA title, Celtics' dominance in the era, Celtics' upset in Game 1, Pettit's 50-point performance in Game 6","Bob Pettit (Hawks), Bill Russell (Celtics)","Last Finals not won by Celtics until 1967, last Western Conference win until 1971, Celtics' and Hawks' regular season performances",,,,,,,,,,,,,,,,1958 NBA Finals
"Minneapolis Lakers, Boston Celtics",Celtics swept Lakers 4-0,"Start of Celtics' eight consecutive championships, last NBA Finals appearance for a team from Minnesota, first of two times a team with a losing record made the NBA Finals",,"Celtics' dominance in the late 1950s and early 1960s, Lakers' sixth Finals appearance, Celtics' first of eight consecutive championships",,,,,,,,,,,,,,,,1959 NBA Finals
"St. Louis Hawks, Boston Celtics",Celtics defeated Hawks 4-3,"Celtics' fourth trip to NBA Finals, last time NBA Finals played in March, Hall of Famers on both teams","Bill Russell, Bob Cousy, Tom Heinsohn, Bill Sharman, Frank Ramsey, Sam Jones, K.C. Jones (Celtics)","Celtics' dominance in the late 1950s, Hawks' third Finals appearance, key players and coaches in the series","Bob Pettit, Cliff Hagan, Slater Martin, Clyde Lovellette (Hawks)",,,,,,,,,,,,,,,1960 NBA Finals
"St. Louis Hawks, Boston Celtics",Celtics defeated Hawks 4-1,"Celtics' fifth straight trip to the championship series, Hawks' last appearance in the NBA Finals, Celtics' dominance in the early 1960s","Bob Pettit (Hawks), Bill Russell, Bob Cousy (Celtics)","Celtics' continued success, Hawks' limited Finals appearances, Celtics' rivalry with the Lakers",,,,,,,,,,,,,,,,1961 NBA Finals
"Los Angeles Lakers, Boston Celtics",Celtics defeated Lakers 4-3,"Celtics' sixth straight Finals appearance, Elgin Baylor's 61-point game, Bill Russell's rebounding records, Frank Selvy's missed shot in Game 7","Elgin Baylor, Bill Russell (Celtics)","Celtics' dominance in the 1960s, Lakers' struggles against Celtics in subsequent Finals, Lakers' first title in Los Angeles in 1972",,,,,,,,,,,,,,,,1962 NBA Finals
"Los Angeles Lakers, Boston Celtics",Celtics defeated Lakers 4-2,,"Elgin Baylor (Lakers), Jerry West (Lakers), Bill Russell (Celtics), Sam Jones (Celtics)",,,,Individual Points,6,9,14,10,5,10,2,5,20,57,11,Schaus Head Coach,1963 NBA Finals
"San Francisco Warriors, Boston Celtics",Celtics defeated Warriors 4-1,"Celtics' eighth straight trip to the championship series, first meeting between Russell and Chamberlain in the NBA Finals, Celtics' victory over Warriors, Celtics and Warriors' future matchups in the Finals","Bill Russell, Wilt Chamberlain (Warriors)","Celtics' dominance in the 1960s, Warriors' first Finals appearance, Russell vs. Chamberlain rivalry, future matchups between Celtics and Warriors","Sam Jones, John Havlicek (Celtics)",,,,,,,,,,,,,,,1964 NBA Finals
"Los Angeles Lakers, Boston Celtics",Celtics defeated Lakers 4-1,"Celtics' ninth-straight trip to the finals, Lakers' third Finals in four seasons, Celtics' average margin of victory, Elgin Baylor's injury","John Havlicek (Celtics), Elgin Baylor (Lakers)","Celtics' victory over 76ers in Eastern Division Finals, Lakers' win over Baltimore, Celtics' high-scoring games",,,,,,,,,,,,,,,,1965 NBA Finals
"Boston Celtics, Los Angeles Lakers",Celtics defeated Lakers 4-3,"Celtics' eighth consecutive championship, Bill Russell named Celtics' coach, Lakers' Game 1 win in overtime, Celtics' Game 7 victory","Bill Russell, Jerry West (Lakers)","Celtics' dominance in the 1960s, Red Auerbach's retirement announcement, Bill Russell becoming the first African-American NBA coach","John Havlicek, Sam Jones (Celtics)",,,,,,,,,,,,,,,1966 NBA Finals
"San Francisco Warriors, Philadelphia 76ers",76ers defeated Warriors 4-2,"Celtics not in Finals for the first time in 11 years, 76ers' dominant regular season, Warriors challenging 76ers in the series","Wilt Chamberlain (76ers), Rick Barry (Warriors)","76ers' first championship, Celtics' absence in Finals, Warriors' performance against 76ers",,,,,,,,,,,,,,,,1967 NBA Finals
"Boston Celtics, Los Angeles Lakers",Celtics defeated Lakers 4-2,"Celtics' tenth championship in twelve seasons, first NBA Finals in May, introduction of NBA Finals MVP the following year",,"Celtics-Lakers rivalry, dominance of Celtics in the 1960s, Lakers' quest for first championship in Los Angeles",,,,,,,,,,,,,,,,1968 NBA Finals
"Los Angeles Lakers, Boston Celtics",Celtics defeated Lakers 4-3,"Celtics' upset victory, last championship of Bill Russell dynasty, Jerry West's Finals MVP award despite being on losing team, first time Finals MVP awarded, first Game 7 won by road team","Elgin Baylor, Wilt Chamberlain, Jerry West (Lakers)","Lakers' acquisition of Wilt Chamberlain, clash between Chamberlain and Lakers' stars, Celtics' fourth place finish in Eastern Division, Lakers' homecourt advantage",Bill Russell (Celtics),,,,,,,,,,,,,,,1969 NBA Finals
"New York Knicks, Los Angeles Lakers",Knicks defeated Lakers 4-3,"Knicks' first NBA title, Reed's iconic return from injury, Game 7 named greatest in finals history","Willis Reed, Walt Frazier (Knicks)","Knicks' journey to first championship, Lakers' strong performance led by West and Chamberlain","Jerry West, Wilt Chamberlain (Lakers)",,,,,,,,,,,,,,,1970 NBA Finals
"Milwaukee Bucks, Baltimore Bullets",Bucks swept Bullets 4-0,"Bucks' first NBA championship, Bullets' upset victory in Eastern Conference Finals, Bucks' sweep of the series, Bucks' status as an expansion team","Kareem Abdul-Jabbar (Bucks), Oscar Robertson (Bucks), Wes Unseld (Bullets)","Bucks' status as an expansion team, Bullets' path to the Finals, Bucks' victory as the first Western Conference champions since 1958",,,,,,,,,,,,,,,,1971 NBA Finals
"Los Angeles Lakers, New York Knicks",Lakers defeated Knicks 4-1,"Lakers' first NBA championship in Los Angeles, rematch of 1970 NBA Finals, Lakers' record 33-game winning streak, Wilt Chamberlain's dominance, Knicks' upset victory in 1970 Finals","Wilt Chamberlain, Gail Goodrich, Jerry West (Lakers)","Lakers' move to Los Angeles, Lakers' record-setting 69-win season, Knicks' strong defense, Chamberlain vs. Abdul-Jabbar matchup, O'Donnell's officiating streak","Walt Frazier, Willis Reed, Dave DeBusschere (Knicks)",,,,,,,,,,,,,,,1972 NBA Finals
