Official Name,Host Country,Dates,Common Name,Host City,Participating Nations,Unique Circumstances,Total Events,Notable Performances,Total Athletes,Notable Debuts,Subsequent Hosts,Selection Process,Bidding Process,Notable Boycotts,Medal Count Leaders,Notable Circumstances,Notable Features,Mascot,Notable Bids,Host Nation,Torch Relay Details,South Africa,Notable Events,Logo,Olympic Fanfare,Olympic Park,Competition Sites,Design of Stadium,Significant Events,Media Coverage,Notable Aspects,Medal Design Change,Consecutive Southern European Olympics,Impact on Infrastructure,Success of the Games,Official Motto,Logo Description,Mascots,Notable Details,Venues Used,Official Logo,Viewership,Torch Relay Distance,Total Cost,Host Cities,Notable Additions,trigger
Games of the I Olympiad,Greece,6 to 15 April 1896,Athens 1896,Athens,14 nations,"First modern international Olympic Games, organised by the International Olympic Committee, majority of athletes were Greek, winners initially received silver medals, main venue at Panathenaic Stadium, Athens chosen due to being birthplace of Ancient Olympic Games",Not specified,"United States (most gold medals), Greece (most total medals), Spyridon Louis (marathon victory), Carl Schuhmann (most successful competitor)",241 athletes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896 Summer Olympics
Games of the II Olympiad,France,14 May to 28 October 1900,Paris 1900,Paris,Not specified,"First Olympics in a non-leap year, part of the 1900 World's Fair, first time women participated, controversy over Sunday competitions, winners received cups or trophies instead of medals",19 different sports,Not specified,"1,226 competitors","Women participants, sailor Hélène de Pourtalès",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900 Summer Olympics
III Olympiad,United States,29 August to 3 September 1904,,St. Louis,Approximately 12-15 nations,"First Olympics outside Europe, low international participation, introduction of three-medal format, some events combined with US national championships",Not specified,Not specified,651 athletes,"Boxing, dumbbells, freestyle wrestling, decathlon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904 Summer Olympics
IV Olympiad,United Kingdom,27 April to 31 October 1908,London 1908,London,22 nations,,110 events in 22 sports,,"2,008 athletes",,,"London selected over Rome, Berlin, and Milan in 1904",,,,"Relocated from Rome due to Mount Vesuvius eruption, longest modern Olympics at 187 days, White City Stadium as venue, first Games with 400m track standard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908 Summer Olympics
Games of the V Olympiad,Sweden,5 May to 22 July 1912,Stockholm 1912,Stockholm,28 nations,"Last Olympics with solid gold medals, first Asian nation participation, introduction of art competitions, women's diving and swimming, decathlon, pentathlon, electric timing in athletics, exclusion of boxing, rejection of figure skating, 8-year gap due to World War I",102 events in 14 sports,"United States (most gold medals), Sweden (most total medals), Jim Thorpe (decathlon and pentathlon winner)","2,408 athletes",Japan,1920 Summer Olympics,Stockholm was the only bid and selected in 1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912 Summer Olympics
Games of the VII Olympiad,Belgium,20 April to 12 September 1920,Antwerp 1920,Antwerp,Not specified,"Tribute to Belgian people after World War I, aftermath of Paris Peace Conference, sanctions against losing nations, absence of Soviet Union and Germany, Deutsche Kampfspiele in Germany, sailing events in Ostend and Amsterdam",,United States (most gold and overall medals),,,,,"Antwerp selected as host city after cancellation of 1916 Berlin Games, bid made by Baron Édouard de Laveleye in 1912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 Summer Olympics
Games of the VIII Olympiad,France,4 May to 27 July 1924,Paris 1924,Paris,44 nations,"Second time hosted by Paris, first city to host Olympics twice, selection process with six bids, significant financial loss, 17 sports with 126 events, 17 sports venues used",,United States (most gold and overall medals),,"China, Ecuador, Ireland, Lithuania, Uruguay, Philippines, Latvia, Poland",N/A,,"Paris selected over Amsterdam, Barcelona, Los Angeles, Prague, Rome",Germany not invited by the Organizing Committee,United States (most gold and overall medals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924 Summer Olympics
I Olympic Winter Games,France,25 January to 5 February 1924,Chamonix 1924,Chamonix,Not specified,"First Winter Olympics, held in conjunction with Summer Olympics, retroactively designated as first Winter Games, tradition of Winter Olympics in same year as Summer Olympics until 1992",Not specified,"Charles Jewtraw (first gold medalist), Sonja Henie (youngest competitor), Gillis Grafström (first athlete to defend Summer Olympic title at Winter Olympics)",Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924 Winter Olympics
Games of the IX Olympiad,Netherlands,28 July to 12 August 1928,Amsterdam 1928,Amsterdam,Not specified,"Amsterdam's previous bids, Los Angeles as the only other candidate, financial report, proposal history, cancellation of 1916 Games, support for Antwerp and Paris, Los Angeles' unsuccessful bids, selection process for 1932 Games",Not specified,United States (most gold and overall medals),Not specified,,Los Angeles 1932,,Amsterdam selected over Los Angeles,Not specified,United States (most gold and overall medals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928 Summer Olympics
II Olympic Winter Games,Switzerland,11 to 19 February 1928,St. Moritz 1928,St. Moritz,25 nations,"First stand-alone Winter Olympics, replaced Nordic Games, challenging weather conditions, controversial speed-skating event cancellation",14 events in 4 sports,N/A,,"Argentina, Estonia, Germany, Japan, Lithuania, Luxembourg, Mexico, Netherlands, Romania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928 Winter Olympics
