Date,Location,Awards Categories,Notable Winners,TV Network,Producers,Director,Viewership,Start Time,Host,Nominations Date,Top Nominations,Hosts,Controversies,Eligibility Criteria,trigger
"April 3, 1978",Dorothy Chandler Pavilion in Los Angeles,23,"Annie Hall (4 awards, including Best Picture), Star Wars (6 awards), Julia (3 awards), Close Encounters of the Third Kind, The Goodbye Girl, Gravity Is My Enemy, I'll Find a Way, A Little Night Music, Madame Rosa, The Sand Castle, Who Are the DeBolts? And Where Did They Get Nineteen Kids?, You Light Up My Life (1 award each)",ABC,Howard W. Koch,Marty Pasetta,-,7:00 p.m. PST / 10:00 p.m. EST,Bob Hope,"February 21, 1978","Julia, The Turning Point (11 nominations each)",,,,50th Academy Awards
"March 24, 1986",Dorothy Chandler Pavilion in Los Angeles,23,"Out of Africa (7 awards, including Best Picture), Cocoon, Witness (2 awards each), Anna & Bella, Back to the Future, Broken Rainbow, Kiss of the Spider Woman, Mask, Molly's Pilgrim, The Official Story, Prizzi's Honor, Ran, The Trip to Bountiful, White Nights, Witness to War: Dr. Charlie Clements (1 award each)",ABC,Stanley Donen,Marty Pasetta,37.8 million viewers in the United States,6:00 p.m. PST / 9:00 p.m. EST,"Alan Alda, Jane Fonda, Robin Williams","February 4, 1986","The Color Purple, Out of Africa (11 nominations each)",,,,58th Academy Awards
"March 30, 1987",Dorothy Chandler Pavilion in Los Angeles,23,"Platoon (4 awards, including Best Picture), Hannah and Her Sisters, A Room with a View (3 awards each), Aliens (2 awards), Artie Shaw: Time Is All You've Got, The Assault, Children of a Lesser God, The Color of Money, Down and Out in America, The Fly, A Greek Tragedy, The Mission, Precious Images, Round Midnight, Top Gun, Women – for America, for the World (1 award each)",ABC,Samuel Goldwyn Jr.,Marty Pasetta,-,6:00 p.m. PST / 9:00 p.m. EST,"Chevy Chase, Paul Hogan, Goldie Hawn","February 11, 1987","Platoon, A Room with a View (8 nominations each)",,,,59th Academy Awards
"April 11, 1988",Shrine Auditorium in Los Angeles,22,"The Last Emperor (9 awards, including Best Picture and Best Director), Moonstruck (Cher - Best Actress, Olympia Dukakis - Best Supporting Actress), Wall Street (Michael Douglas - Best Actor), The Untouchables (Sean Connery - Best Supporting Actor)",ABC,Samuel Goldwyn Jr.,Marty Pasetta,42.2 million viewers in the United States,6:00 p.m. PDT,Chevy Chase,"February 16, 1988",The Last Emperor (9 nominations),,,,60th Academy Awards
"March 29, 1989",Shrine Auditorium in Los Angeles,23,"Rain Man (4 awards, including Best Picture), Who Framed Roger Rabbit (4 awards), Dangerous Liaisons (3 awards), The Accused, The Accidental Tourist, A Fish Called Wanda, The Appointments of Dennis Jennings, Beetlejuice, Bird, Hôtel Terminus: The Life and Times of Klaus Barbie, The Milagro Beanfield War, Mississippi Burning, Pelle the Conqueror, Tin Toy, Working Girl, You Don't Have to Die (1 award each)",ABC,Allan Carr,Jeff Margolis,Over 42 million viewers in the United States,6:00 p.m. PST / 9:00 p.m. EST,Angie Dickinson,"February 15, 1989",Rain Man (8 nominations),,,,61st Academy Awards
"March 26, 1990",Dorothy Chandler Pavilion in Los Angeles,23,"Driving Miss Daisy (4 awards, including Best Picture), Glory (3 awards), Born on the Fourth of July, The Little Mermaid, My Left Foot: The Story of Christy Brown (2 awards each), The Abyss, Balance, Batman, Cinema Paradiso, Common Threads: Stories from the Quilt, Dead Poets Society, Henry V, Indiana Jones and the Last Crusade, The Johnstown Flood, Work Experience (1 award each)",ABC,Gil Cates,Jeff Margolis,Over 40 million viewers in the United States,6:00 p.m. PST / 9:00 p.m. EST,Billy Crystal,"February 14, 1990",Driving Miss Daisy (9 nominations),,,,62nd Academy Awards
"March 25, 1991",Shrine Auditorium in Los Angeles,23,"Dances with Wolves (7 awards, including Best Picture), Dick Tracy (3 awards), Ghost (2 awards), American Dream, Creature Comforts, Cyrano de Bergerac, Days of Waiting, Goodfellas, The Hunt for Red October, Journey of Hope, The Lunch Date, Misery, Reversal of Fortune, Total Recall (1 award each)",ABC,Gil Cates,Jeff Margolis,Nearly 43 million viewers in the United States,6:00 p.m. PST / 9:00 p.m. EST,Billy Crystal,"February 13, 1991",Dances with Wolves (12 nominations),,,,63rd Academy Awards
"March 30, 1992",Dorothy Chandler Pavilion in Los Angeles,23,"The Silence of the Lambs (5 awards, including Best Picture), Terminator 2: Judgment Day (4 awards), Beauty and the Beast, Bugsy, JFK (2 awards each), City Slickers, Deadly Deception: General Electric, Nuclear Weapons and Our Environment, The Fisher King, In the Shadow of the Stars, Manipulation, Mediterraneo, Session Man, Thelma & Louise (1 award each)",ABC,Gil Cates,Jeff Margolis,Over 44 million viewers in the United States,6:00 p.m. PST / 9:00 p.m. EST,Billy Crystal,"February 19, 1992",Bugsy (10 nominations),,,,64th Academy Awards
"March 29, 1993",Dorothy Chandler Pavilion in Los Angeles,23,"Unforgiven (4 awards, including Best Picture), Bram Stoker's Dracula, Howards End (3 awards each), Aladdin (2 awards), The Crying Game, Death Becomes Her, Educating Peter, Indochine, The Last of the Mohicans, Mona Lisa Descending a Staircase, My Cousin Vinny, Omnibus, The Panama Deception, A River Runs Through It, Scent of a Woman (1 award each)",ABC,Gil Cates,Jeff Margolis,45.7 million viewers in the United States,6:00 p.m. PST / 9:00 p.m. EST,Billy Crystal,"February 17, 1993","Howards End, Unforgiven (9 nominations each)",,,,65th Academy Awards
"March 21, 1994",Dorothy Chandler Pavilion in Los Angeles,23,"Schindler's List (7 awards, including Best Picture), Jurassic Park, The Piano (3 awards each), Philadelphia (2 awards), The Age of Innocence, Belle Époque, Defending Our Lives, The Fugitive, I Am a Promise: The Children of Stanton Elementary School, Mrs. Doubtfire, Schwarzfahrer, The Wrong Trousers (1 award each)",ABC,Gil Cates,Jeff Margolis,Over 46 million viewers in the United States,6:00 p.m. PST / 9:00 p.m. EST,Whoopi Goldberg,"February 9, 1994",Schindler's List (12 nominations),,,,66th Academy Awards
