Aircraft,Event,Date,Location,Casualties,Cause of Crash,Registration,Route,Engine,Passenger Capacity,Design Features,Intended Market,Establishment of Georgian Air Force,First Combat Flight,Abolishment of Georgian Air Force,Re-establishment of Georgian Air Force,Modernization Efforts under Irakli Garibashvili,Establishment Date,Current Rank,Primary Mission,Wars with Pakistan,Major Operations,UN Peacekeeping Missions,Personnel Count (July 2017),Role of President,Chief of the Air Staff,Highest Rank Held,Possible Causes of Crash,trigger
2 Fairchild C-119G Flying Boxcars,Altensteig mid-air collision,"August 11, 1955","Altensteig, West Germany",66 fatalities,Mid-air collision resulting in crash,,,,,,,,,,,,,,,,,,,,,,,1955 Altensteig mid-air collision
Boeing 737-4Q8,Adam Air Flight 574,"January 1, 2007","Makassar Strait, Polewali, Sulawesi",102 fatalities,"Pilots lost control due to troubleshooting, disconnected autopilot",PK-KKW,Surabaya to Manado,,,,,,,,,,,,,,,,,,,,,Adam Air Flight 574
Boeing 737-2B7,ADC Airlines Flight 053,"October 29, 2006",Nnamdi Azikiwe International Airport,96 fatalities,"Pilot's decision to take off in unsuitable weather, windshear, lack of training and teamwork",5N-BFK,Abuja to Sokoto,,,,,,,,,,,,,,,,,,,,,ADC Airlines Flight 53
Boeing 727-231,ADC Airlines Flight 086,"November 7, 1996","Lagoon, Nigeria","144 passengers, crew","Air traffic control error, pilot's maneuver error",5N-BBG,Port Harcourt to Lagos,,,,,,,,,,,,,,,,,,,,,ADC Airlines Flight 86
Vickers Viscount 803,Aer Lingus Flight 712,"March 24, 1968","Off Tuskar Rock, County Wexford","61 passengers, crew","Undetermined, possible bird strike, missile impact, mechanical failure",EI-AOM,Cork to London,,,,,,,,,,,,,,,,,,,,,Aer Lingus Flight 712
ATR 72,Aero Caribbean Flight 883,"November 4, 2010","Guasimal, Sancti Spíritus, Cuba","61 passengers, 7 crew","Crash due to unknown factors, all onboard killed",CU-T1549,Port-au-Prince to Havana via Santiago de Cuba,,,,,,,,,,,,,,,,,,,,,Aero Caribbean Flight 883
Ilyushin Il-18V,Aeroflot Flight 1036,"October 1, 1972","Sochi, Russia",109 fatalities,"Steep left turn during initial climb phase, crash into Black Sea",CCCP-75507,Sochi to Moscow,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 1036
Tupolev Tu-104A,Aeroflot Flight 109,"May 18, 1973","Near Chita, Russia","72 passengers, 9 crew","Terrorist hijacking, bomb detonation after hijacker shot",CCCP-42379,"Moscow to Chita with stopovers in Chelyabinsk, Novosibirsk, and Irkutsk",,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 109
Tupolev Tu-154,Aeroflot Flight 141,"February 19, 1973",Prague Ruzyně Airport,"62 passengers, 4 crew members","Undetermined, theories include wind shear, incorrect stabilizer setting, and unexpected turbulence",CCCP-85023,Moscow to Prague,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 141
Antonov An-10A,Aeroflot Flight 1491,"May 18, 1972","Kharkiv, USSR",122 fatalities,Structural failure due to fatigue crack in wing panel,CCCP-11215,Moscow-Vnukovo to Kharkiv,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 1491
Ilyushin Il-18D,Aeroflot Flight 15,"February 29, 1968","Near Petropavlovsk, Russia","64 passengers, 11 children","Crew error, sudden descent, overspeed, loss of control",CCCP-74252,Moscow-Domodedovo to Petropavlovsk-Kamchatsky,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 15
Tupolev Tu-104B,Aeroflot Flight 1691,"March 17, 1979",Near Moscow Vnukovo Airport,58 fatalities,"Overloaded aircraft, false fire alarm, communication issues",Unknown,Moscow Vnukovo Airport to Odessa,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 1691
Antonov An-24RV,Aeroflot Flight 1802,"May 15, 1976","Chernigovskiy, Ukraine",52 fatalities,Loss of control due to rudder deflection,CCCP-46534,Vinnytsia to Moscow,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 1802
Tupolev Tu-104B,Aeroflot Flight 1912,"July 25, 1971",Irkutsk Airport,"29 survivors, 97 fatalities","Hard landing, broke wing, caught fire",CCCP-42405,Odessa-Kyiv-Chelyabinsk-Novosibirsk-Irkutsk-Khabarovsk-Vladivostok,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 1912
Antonov An-10,Aeroflot Flight 1969,"March 31, 1971","Luhansk, Ukraine",65 fatalities,Structural failure of right wing during approach,CCCP-11145,Kurumoch to Luhansk,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 1969
Ilyushin Il-18B,Aeroflot Flight 101/X-20,"January 4, 1965","Omsk, Soviet Union",64 fatalities,Low visibility conditions,CCCP-75685,Moscow to Alma-Ata via Omsk,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 20
Tupolev Tu-124,Aeroflot Flight 2003,"January 3, 1976","7 km from Moscow-Vnukovo Airport, Russia",61 fatalities,"Loss of visual reference, crash into house",CCCP-45037,"Moscow to Minsk, Brest",,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2003
Tupolev Tu-124V,Aeroflot Flight 2022,"December 16, 1973","Moscow, USSR",51 fatalities,Loss of control due to elevator malfunction during final descent,CCCP-45061,Vilnius to Moscow,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2022
Ilyushin Il-62,Aeroflot Flight 217,"October 13, 1972","Sheremetyevo, Russia","164 passengers, 10 crew","Psycho-physiological incapacitation of the crew, cause unknown",Unknown,Paris to Moscow with a stopover in Leningrad,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 217
Antonov An-24B,Aeroflot Flight 2174,"December 1, 1971","Saratov, Russia",57 fatalities,Loss of control due to icing conditions,CCCP-46788,Yekaterinburg to Saratov,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2174
Ilyushin Il-18,Aeroflot Flight 2230,"November 16, 1967","Yekaterinburg, Russia",107 fatalities,"Electrical failure, wrong altitude indication, crew unable to determine correct altitude",Unknown,Yekaterinburg to Tashkent,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2230
Tupolev Tu-134AK,Aeroflot Flight 2306,"July 2, 1986","Syktyvkar, Soviet Union",54 fatalities,"Fire in rear cargo hold, emergency landing",CCCP-65120,Vorkuta to Moscow via Syktyvkar,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2306
Tupolev Tu-104B,Aeroflot Flight 2415,"November 28, 1976","Moscow, Russia",73 fatalities,Crew disorientation due to artificial horizon failure in low visibility conditions,СССР-42471,Moscow to Leningrad,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2415
Ilyushin Il-18B,Aeroflot Flight 245,"December 17, 1961","Sochi, Russia",59 fatalities,"Accidental deployment of flaps during cruise phase, resulting in steep dive and crash",CCCP-75654,Vnukovo to Sochi,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 245
Ilyushin Il-18V,Aeroflot Flight 25,"April 4, 1963","Rybnaya Sloboda, Tatar ASSR, Russian SFSR",67 fatalities,Engine malfunction leading to loss of control,CCCP-75866,Moscow-Sheremetyevo to Krasnoyarsk Airport,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 25
Tupolev Tu-134,Aeroflot Flight 2808,"August 27, 1992","Lebyazhy Lug, Russia",84 fatalities,Crew and air traffic controller errors,RA-65058,Mineralnye Vody to Ivanovo via Donetsk,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2808
Tupolev Tu-104A,Aeroflot Flight 03,"September 3, 1962","Khabarovsk, USSR","79 passengers, 7 crew","Loss of control due to airframe vibration, resulting in a crash",СССР-42366,Khabarovsk to Petropavlovsk-Kamchatsky,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3
Ilyushin Il-62M,Aeroflot Flight 331,"May 27, 1977","Havana, Cuba",2 survivors out of 70 occupants,Pilot error,CCCP-86614,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 331
Tupolev Tu-154,Aeroflot Flight 3352,"October 11, 1984","Omsk, Russia","174 passengers, 4 ground","Air traffic controller falling asleep, collision with maintenance vehicles",Unknown,Krasnodar to Novosibirsk,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3352
Tupolev Tu-154B-2,Aeroflot Flight 3519,"December 23, 1984","Krasnoyarsk, Russia","110 fatalities, 1 survivor",Engine fire due to manufacturing defect,Unknown,Krasnoyarsk to Irkutsk,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3519
Tupolev Tu-154,Aeroflot Flight 3603,"November 17, 1981","Noril'sk, USSR",99 fatalities,"Crew error, incorrect weight calculation, failure to maintain control",Unknown,Krasnoyarsk to Noril'sk,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3603
Tupolev Tu-104B,Aeroflot Flight 3843,"January 13, 1977","Almaty, Soviet Union",90 fatalities,"Left engine fire, crash near Almaty Airport",СССР-42369,Khabarovsk to Almaty via Novosibirsk,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3843
Tupolev Tu-104B,Aeroflot Flight 3932,"September 30, 1973","Sverdlovsk, Russia",108 fatalities,Loss of control after takeoff,CCCP-42506,Koltsovo to Omsk,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3932
Tupolev Tu-104A,Aeroflot Flight 04,"August 15, 1958","Irkutsk, Russia",64 fatalities,"Weather-related, cumulonimbus clouds, thunderstorms",СССР-L5442,Khabarovsk to Moscow via Irkutsk,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 4
Ilyushin Il-62M,Aeroflot Flight 411,"July 6, 1982","Near Moscow, Russia",90 fatalities,"Engine shutdown, crash, and fire",SSSR-86513,Moscow to Freetown via Dakar,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 411
Antonov An-10A,Aeroflot Flight 415,"July 28, 1962","Near Gagra, Abkhaz ASSR, Georgian SSR",81 fatalities,Controlled flight into terrain due to incorrect course change,CCCP-11186,Lviv to Sochi via Simferopol,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 415
Tupolev Tu-154B-2,Aeroflot Flight 4225,"July 8, 1980","Alma-Ata, Kazakhstan","156 passengers, 10 crew",Windshear causing stall and crash,Unknown,Alma-Ata to Simferopol,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 4225
Tupolev Tu-134A,Aeroflot Flight 5463,"August 30, 1983","Almaty, Kazakhstan",90 fatalities,"Crew error, erroneous ATC instructions, collision with mountain",Unknown,Chelyabinsk to Almaty,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 5463
Tupolev Tu-124V,Aeroflot Flight 5484,"August 29, 1979","Tambov Oblast, Russia",63 fatalities,"Loss of control, breaking up in the air",CCCP-45038,Odessa to Kazan via Kyiv,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 5484
Ilyushin Il-18V,Aeroflot Flight 558,"August 31, 1972","Abzelilovsky District, Russia",102 fatalities,Fire from exploded passenger baggage,CCCP-74298,Karaganda to Moscow,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 558
Airbus A310-304,Aeroflot Flight 593,"March 23, 1994",Kuznetsk Alatau mountain range,"63 passengers, 12 crew","Pilot error, autopilot disengagement by pilot's son",F-OGQS,Moscow to Hong Kong,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 593
Ilyushin Il-18V,Aeroflot Flight 630,"February 24, 1973","Near Leninabad, USSR",79 fatalities,"Loss of control, navigation error, intense left banking and descend",189001803,Dushanbe to Moscow via Leninabad,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 630
Tupolev Tu-134A,Aeroflot Flight 6502,"October 20, 1986","Near Grozny, USSR",70 fatalities,Pilot negligence,Unknown,Sverdlovsk to Grozny,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 6502
