Location,Event,Date,Fatalities,Impact,Rescue Efforts,Official Response,Injuries,Population,Elevation,Time,Weather Conditions,Area,Trigger,trigger
,,,,,,,,,,,,,,1910 Rogers Pass avalanche
"Khumbu Icefall, Mount Everest, Nepal",1970 Mount Everest Avalanche,"April 5, 1970",6,"Six Nepalese Sherpas died in an ice-fall avalanche during the production of The Man Who Skied Down Everest, assisting the Japanese Skiing Expedition, including Yūichirō Miura, first person to ski down Everest",-,-,,,,,,,,1970 Mount Everest disaster
"Val-d'Isère, Savoie, France",Val-d'Isère Avalanche,"February 10, 1970",39,"Avalanche struck ski resort, killed 39 people, injured 37, 100,000 cubic yards of snow fell into chalet",,,,,,,,,,1970 Val-d'Is猫re avalanche
,,,,,,,,,,,,,,1974 Neskaupsta冒ur avalanches
"Görmeç, Şırnak Province, Turkey",1992 Görmeç avalanche,1 February 1992,97,,,,,,,,,,,1992 G枚rme莽 avalanche
"Üzengili, Bayburt Province, Turkey",1993 Bayburt Üzengili avalanche,"January 18, 1993",59,"59 people killed, 21 injured, 72 houses destroyed, 650 livestock lost, village at 2,025m elevation",,,21,355,"2,025m",,,,,1993 Bayburt 脺zengili avalanche
,,,,,,,,,,,,,,1995 Flateyri avalanche
,,,,,,,,,,,,,,1995 Gokyo avalanche
,,,,,,,,,,,,,,1995 S煤冒av铆k avalanche
,,,,,,,,,,,,,,1996 Mount Everest disaster
,,,,,,,,,,,,,,1999 Galt眉r avalanche
"Peclerey slope, French Alps",Montroc avalanche,"February 9, 1999",12,"12 fatalities, multiple structures damaged or destroyed",,,,,,14:20,"Dry winter, heavy snowfall in late January, 2-meter snowstorm in early February, storm of unprecedented magnitude",,,1999 Montroc avalanche
,,,,,,,,,,,,,,2003 Connaught Creek Valley avalanche
"Near Kabul, Afghanistan",2009 Afghan avalanches,16 January 2009,At least 10,"Avalanche struck highway, 10 fatalities, 12 vehicles and machinery swept away, 40 rescued with 11 injured, struck Salang tunnel at 4,450m altitude","Search and rescue operations conducted, victims located over two days","Search and rescue operations conducted, victims located over two days",,,,,,,,2009 Afghan avalanches
,,,,,,,,,,,,,,2009 Buachaille Etive M貌r avalanche
,,,,,,,,,,,,,,2009 Schalfkogel avalanche
"Mount Zigana, Gümüşhane Province, Turkey",2009 Zigana avalanche,"January 25, 2009",11,"Avalanche struck a group of 17 hikers near a small ski resort, dragging them 1,000m into a valley, resulting in 10 deaths, 1 injured, and 1 hospital death, 5 survivors uninjured","Civilian defense and public administration teams conducted rescue operations, AKUT organization provided assistance","Nasuh Mahruki from AKUT commented on the incident, emphasizing the lack of avalanche testing and the difficulty of survival under an avalanche",,,,,,,,2009 Zigana avalanche
"Kohistan District, North West Frontier Province, Pakistan",2010 Kohistan avalanche,"February 17, 2010",At least 38,"Avalanche struck village of Bagaro Serai, heavy snow storms in the region, rescue teams faced difficulties due to blocked roads, landslides, police and volunteers hiked through the night, communication challenges, search for stranded individuals ongoing, request for helicopter and heavy machinery for rescue operation","Prime Minister Gilani expressed grief and sorrow, directed authorities to expedite rescue and evacuation efforts",,,,,,,,,2010 Kohistan avalanche
,,,,,,,,,,,,,,2010 Salang avalanches
"Gayari Sector, near Siachen Glacier, Pakistan",2012 Gayari Sector Avalanche,"April 7, 2012","129 soldiers, 11 civilians","Avalanche hit Pakistan Army base, trapping 140 individuals under deep snow, worst avalanche in the region, occurred at 4,000 meters altitude, 300 km northeast of Skardu","Rescue operations conducted to recover trapped individuals, challenging conditions due to deep snow","Pakistan declared 140 individuals killed, military and civilian casualties, Siachen Glacier region known for conflict between India and Pakistan, history of territorial disputes and military operations in the area",,,,,,,,2012 Gayari Sector avalanche
,,,,,,,,,,,,,,2012 Tunnel Creek avalanche
"Khumbu Icefall, Mount Everest, Nepal",2014 Mount Everest Ice Avalanche,"April 18, 2014",16,"Ice avalanche caused by serac failure, killed sixteen climbing Sherpas, bodies recovered, three not found due to danger, Sherpas angered by compensation, threatened protest, strike, announced boycott of Everest for 2014, Sherpas typically earn $125/day, tension with foreigners bringing own guides, eight deaths in 2013, unstable ice blocks in Khumbu Icefall, climbers pass quickly in early morning","Bodies recovered, Sherpas announced boycott, tension with foreigners, safety concerns raised, guided ascents canceled","Nepalese government's compensation offer criticized, Sherpas boycott announced, tension with foreigners, safety concerns raised, guided ascents canceled",,,,,,,,2014 Mount Everest avalanche
,,,,,,,,,,,,,,2014 Nepal snowstorm disaster
"Panjshir Province, Afghanistan",Panjshir Avalanche,"February 24-28, 2015",At least 310,"Avalanche caused by heavy snowstorms, 129 wounded, worst in three decades, heavy snowfall common cause of avalanches, rising temperatures may have contributed","1,000 Afghani troops deployed for rescue efforts","Acting governor Abdul Rahman Kabiri reported on the severity of the avalanches, heavy snowstorms hampered rescue efforts",,,,,,,,2015 Afghanistan avalanches
"Mount Everest, Nepal",2015 Mount Everest Avalanche,"April 25, 2015",At least 22,"Avalanche triggered by MW 7.8 earthquake, deadliest disaster on the mountain, struck Base Camp, swept tents across Khumbu Glacier, Indian Army mountaineering team recovered bodies and rescued climbers, helicopters transported injured to Pheriche village","Helicopters reached Everest for rescue operations, evacuation efforts halted by bad weather, climbers stranded at higher camps, route through Khumbu Icefall repaired for evacuation","Helicopters dropped technical gear at Camp I, Sherpas and guides re-established route, climbers evacuated from Camp I, expedition leaders coordinated rescue efforts",,,,,,,,2015 Mount Everest avalanches
"Wattenberg, Austria",Geier Avalanche,6 Feb 2016,5,"Avalanche in the Geier mountain range, Tyrol, Austria, occurred near Lizumer Hütte, 17 skiers from the Czech Republic caught in the avalanche during a ""free ride camp"", avalanche risk level three, 5 fatalities, 2 injured, rescue efforts with dogs and helicopters","Rescue workers used dogs and helicopters to search for the groups, 5 fatalities, 2 injured, remaining members uninjured",,,,,,,,,2016 Geier avalanche
"Jammu and Kashmir, India",Gurez Avalanche Accident,"January 25, 2017",24,"Series of four avalanches claimed the lives of 24 persons, including 20 soldiers and four civilians, heavy snowfall in Kashmir valley triggered the avalanches","Indian Army conducted rescue operations, Snow and Avalanche Study Establishment issued warnings","Multiple heavy snowfall spells in January 2017 triggered the avalanches, analysis of snowfall events conducted by Rafiq and Mishra using IMD data",,,,,,,,2017 Gurez sector avalanche
"Bahçesaray, Van Province, Turkey",Bahçesaray Avalanches,4-5 February 2020,41,"Two avalanches occurred, burying vehicles, 41 killed, 84 injured, 6 seriously, rescue operation involving 350 personnel, second avalanche during rescue efforts","Turkey's Disaster and Emergency Management Presidency, National Medical Rescue Team, Gendarmerie Search and Rescue Battalion Command involved","Governor of Van Province, Mehmet Emin Bilmez, announced initial death toll and casualties, ongoing rescue efforts, controlled explosions to prevent further avalanches",84,,,,,,,2020 Van avalanches
,,,,,,,,,,,,,,Afghanistan
"Central Europe, bordered by Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerland, Liechtenstein",,,,,,,,9 million people,,,,"83,879 km2",,Austria
,,,,,,,,,,,,,,Flathead Valley avalanches
,,,,,,,,,,,,,,Kolka-Karmadon rock ice slide
"Lenin Peak, Tajikistan and Kyrgyzstan",Lenin Peak disaster,"July 13, 1990",43,"Deadliest mountaineering disaster, 43 climbers killed in avalanche triggered by earthquake",,,,,,,,,6.4 magnitude earthquake at 216.8 km depth beneath Hindu Kush mountains,Lenin Peak disaster
,,,,,,,,,,,,,,Lewes avalanche
,,,,,,,,,,,,,,M酶re og Romsdal
"Gran Sasso d'Italia massif, Farindola, Abruzzo, Italy",Rigopiano Avalanche,"January 18, 2017",29,"Deadliest avalanche in Italy since 1916, caused by earthquakes and record snowfall, 29 killed, 11 injured, hotel destroyed","Search and rescue operations conducted, survivors rescued after hours under snow","Italian authorities estimated avalanche weight, provided assistance to survivors, investigation initiated",,,,,,,,Rigopiano avalanche
"Massif des Cerces, France",Massif des Cerces Avalanche,"January 18, 2016",6,"Avalanche struck a division of 51 French Foreign Legionnaires during a military exercise, 13 skiers buried or shaken, 18 skiers affected, 5-6 skiers near Col de Le Petit Argentier, rescue teams recovered buried skiers with search dogs and detection kits","Immediate rescue response, French military and state prosecutors investigating, assessing risks taken by the unit",,,,,,,,,Valfr茅jus avalanche
"Mount Marmolada, Dolomites Mountains, Italian Front of World War I",White Friday Avalanche,"December 13, 1916","At least 270 soldiers, estimated 2,000 total casualties","Avalanche struck Austro-Hungarian barracks, multiple avalanches hit Italian and Austro-Hungarian positions, possible deliberate triggering of avalanches, historical documents suggest significant casualties among soldiers and civilians",,,,,,,,,,White Friday (1916)
,,,,,,,,,,,,,,Winter of Terror
