Event,Date,Location,Cause of Death,Victim,Victim(s),trigger
Aviation Accident,1977,Tenerife,Tenerife airport disaster,Anthony P. Hamann,,A. P. Hamann
Aviation Accident,"August 11, 1997","Bamyan Province, Afghanistan",Plane crash,Abdul Rahim Ghafoorzai,,Abdul Rahim Ghafoorzai
Aviation Accident,1966,Iraq,Plane crash,ʿAbd al-Salam Mohammed ʿArif al-Jumayli,,Abdul Salam Arif
Aviation Accident,1980,"Camarate, Portugal",Plane crash,"Adelino Manuel Lopes Amaro da Costa, Maria Manuel Simões Vaz da Silva Pires, Francisco de Sá Carneiro, Snu Abecassis",,Adelino Amaro da Costa
Aviation Accident,"March 26, 1936","Zumpango, Mexico",Plane crash,"Adolf II, Prince of Schaumburg-Lippe, Ellen Bischoff-Korthaus",,"Adolf II, Prince of Schaumburg-Lippe"
Aviation Accident,"May 11, 1950","Port Said, Egypt",Plane crash,Ahmed Mohamed Hussain Kandil,,Ahmed Kandil
Aviation Accident,May 1979,"Off the coast of Dakar, Senegal",Plane crash,Lt. Col. Ahmed Ould Bouceif,,Ahmed Ould Bouceif
Aviation Accident,N/A,N/A,N/A,Al Holbert,,Al Holbert
Aviation Accident,N/A,Dease Lake,Plane crash,Alan Lawrence Passarell,,Al Passarell
Aviation Accident,N/A,N/A,N/A,Aldra Kauwa Wilson,,Al Wilson
Aviation Accident,Early 1993,N/A,Light aircraft accident,Alan Dennis Kulwicki,,Alan Kulwicki
Aviation Accident,"March 14, 1980",N/A,Plane crash,Alan Parkhurst Merriam,,Alan P. Merriam
Aviation Accident,"April 19, 2006","Ludville, Georgia",Plane crash,Albert Scott Crossfield,,Albert Scott Crossfield
Aviation Accident,"August 17, 2010","Casarrubios del Monte, Spain",Plane crash,"Alejandro ""Álex"" Maclean",,Alejandro Maclean
Aviation Accident,N/A,N/A,Helicopter crash,Lieutenant General Alexander Ivanovich Lebed,,Alexander Lebed
Aviation Accident,N/A,Villa Castelli,Helicopter collision,Alexis Vastine,,Alexis Vastine
Aviation Accident,1928,N/A,Mysterious disappearance and death,Alfred Léonard Loewenstein,,Alfred Lowenstein
Aviation Accident,"February 12, 2009","En route from Newark, New Jersey to Buffalo, New York",Plane crash,Alison Des Forges,,Alison Des Forges
Aviation Accident,N/A,N/A,Plane crash,"Allen Algernon Bathurst, Lord Apsley",,"Allen Bathurst, Lord Apsley"
Aviation Accident,1937,Pacific Ocean near Howland Island,Disappearance over the central Pacific Ocean,"Amelia Earhart, Fred Noonan",,Amelia Earhart
Aviation Accident,N/A,N/A,Disappearance,Amy Johnson,,Amy Johnson
Aviation Accident,"April 2, 1930","Taiyuan, Shanxi",Plane crash,An Chang-nam,,An Chang-nam
Aviation Accident,N/A,N/A,N/A,Anna Jantar-Kukulska,,Anna Jantar
Aviation Accident,"July 31, 1944",Mediterranean,Disappearance,Antoine de Saint-Exupéry,,Antoine de Saint-Exup茅ry
Aviation Accident,"May 1, 1933","Hendon, London",Plane crash,"Edward Antony James Bulwer-Lytton, Viscount Knebworth",,"Antony  Bulwer-Lytton, Viscount Knebworth"
Aviation Accident,"January 13, 1982","Washington, D.C.",Plane crash,Arland Dean Williams Jr.,,"Arland D. Williams, Jr."
Aviation Accident,"September 16, 1985",Pacific Ocean,Plane crash,Arthur Everett Scholl,,Art Scholl
Aviation Accident,N/A,N/A,Plane crash,Arvid Lindman,,Arvid Lindman
Aviation Accident,N/A,N/A,N/A,Audie Leon Murphy,,Audie Murphy
Aviation Accident,"September 13, 1913","Câmpina, Romania",Plane crash,Aurel Vlaicu,,Aurel Vlaicu
Aviation Accident,N/A,N/A,Plane crash due to suspected sabotage,Beverly Homer DeLay,,B. H. DeLay
Aviation Accident,N/A,N/A,N/A,Barbara Jane Harrison,,Barbara Jane Harrison
Aviation Accident,"September 11, 2001","Pentagon, Washington, D.C.",Plane flown into Pentagon during September 11 attacks,Barbara Kay Olson,,Barbara Olson
Aviation Accident,N/A,N/A,N/A,Barthélemy Boganda,,Barth茅lemy Boganda
Aviation Accident,"December 21, 1988","Lockerbie, Scotland",Plane explosion,Bernt Wilmar Carlsson,,Bernt Carlsson
Aviation Accident,September 11,N/A,September 11 attacks,"Berinthia ""Berry"" Berenson-Perkins",,Berry Berenson
Aviation Accident,"January 7, 1933","Near Florence, Italy",Plane crash,Bert Hinkler,,Bert Hinkler
Aviation Accident,1926,N/A,Plane crash,Bessie Coleman,,Bessie Coleman
Aviation Accident,"February 12, 2009","Clarence Center, New York",Plane crash,Beverly Eckert,,Beverly Eckert
Aviation Accident,August 1951,Quebec,Floatplane crash,William Barilko,,Bill Barilko
Aviation Accident,N/A,N/A,Plane crash,Bill Chase,,Bill Chase
Aviation Accident,"April 23, 2021","Winslow, Arizona",Plane crash,William Marvin Whittington,,Bill Whittington
Aviation Accident,1972,Ontario,Plane crash,Billy Joe Booth,,Billy Joe Booth
Aviation Accident,December 2021,N/A,Helicopter crash,Bipin Rawat,,Bipin Rawat
Aviation Accident,January 1980,N/A,Aircraft accident,"Robert Edward ""Bo"" Rein",,Bo Rein
Aviation Accident,"December 19, 1997","Musi River, Sumatra",Plane crash,Bonny Susan Hicks,,Bonny Hicks
Aviation Accident,"February 26, 2004",N/A,Plane crash,Boris Trajkovski,,Boris Trajkovski
Disappearance,N/A,"Lake Pedder, Tasmania",N/A,Brenda Hean,,Brenda Hean
Aviation Accident,N/A,N/A,Plane crash,Bronson Murray Cutting,,Bronson M. Cutting
Aviation Accident,"April 18, 1996",N/A,Plane crash,Brook Warren Berringer,,Brook Berringer
Aviation Accident,"October 25, 1999",South Dakota,Hypoxia,"Bruce Borland, Payne Stewart",,Bruce Borland
Aviation Accident,N/A,N/A,N/A,Bruce Bernard Geller,,Bruce Geller
Aviation Accident,1949,N/A,Plane crash,Buddy Clark,,Buddy Clark
Aviation Accident,"February 3, 1959","Clear Lake, Iowa",Plane crash,Buddy Holly,,Buddy Holly
Aviation Accident,1983,"Warragamba Dam, Australia",Helicopter crash,Byron Eric Kennedy,,Byron Kennedy
Aviation Accident,N/A,California,Plane crash,Calbraith Perry Rodgers,,Calbraith Perry Rodgers
Aviation Accident,"March 9, 2015","Villa Castelli, Argentina",Helicopter collision,Camille Muffat,,Camille Muffat
Aviation Accident,1959,Camagüey to Havana,Plane disappearance,Camilo Cienfuegos Gorriarán,,Camilo Cienfuegos
Aviation Accident,"June 29, 1918",Gulf of Bothnia,Plane crash,"Carl Gustav Alexander Cederström, Carl Gustaf Krokstedt",,Carl Cederstr枚m
Aviation Accident,"June 24, 1935","Medellín, Colombia",Plane crash,Carlos Gardel,,Carlos Gardel
Aviation Accident,"March 18, 1977","Mairiporã, Brazil",Plane crash,José Carlos Pace,,Carlos Pace
Aviation Accident,N/A,N/A,Plane crash,Carole Lombard,,Carole Lombard
Aviation Accident,"July 16, 1999","Martha's Vineyard, MA",Plane crash,"Carolyn Jeanne Bessette-Kennedy, John F. Kennedy Jr., Lauren Bessette",,Carolyn Bessette-Kennedy
Aviation Accident,"December 22, 1910","Near Calais, France",Plane crash,Cecil Stanley Grace,,Cecil Grace
Aviation Accident,"October 6, 2000","Martha's Vineyard, MA",Plane crash,Charles B. Yates,,Charles B. Yates
Aviation Accident,N/A,N/A,Plane crash,Charles Arthur Bassett II,,Charles Bassett
Aviation Accident,"June 25, 1916","Oshkosh, Wisconsin",Plane crash,Charles Franklin Niles,,Charles Franklin Niles
Aviation Accident,N/A,N/A,N/A,Sir Charles Edward Kingsford Smith,,Charles Kingsford Smith
Aviation Accident,"May 8, 1927",Atlantic Ocean,Disappearance,Charles Nungesser and François Coli,,Charles Nungesser
Aviation Accident,"July 12, 1910","Bournemouth, England",Tail of Wright Flyer broke off during flying display,Charles Stewart Rolls,,Charles Rolls
Aviation Accident,December 1934,"Oakland, California to Hawaii",Plane crash,"Charles Thomas Philippe Ulm, George Littlejohn, Leon Skilling",,Charles Ulm
Aviation Accident,"July 10, 2012","Beluga Lake, near Homer Airport",Plane crash,Cheryll Boren Heinze,,Cheryll Heinze
Aviation Accident,"October 20, 2014","Vnukovo Airport, Moscow, Russia",Plane crash,Christophe de Margerie,,Christophe de Margerie
Aviation Accident,1930,N/A,R101 disaster,"Christopher Birdwood Thomson, 1st Baron Thomson",,"Christopher Birdwood Thomson, 1st Baron Thomson"
Aviation Accident,N/A,"Page, Arizona",Helicopter crash due to pilot error,Claudio Cassinelli,,Claudio Cassinelli
Aviation Accident,"September 15, 2007","Near his home in Lanark, Scotland",Helicopter crash,"Colin Steele McRae, his son, two family friends",,Colin McRae
Aviation Accident,N/A,N/A,N/A,Constantin Rozanoff,,Constantin Rozanoff
Aviation Accident,"March 21, 1943","Merkel, Texas",Mid-air collision,Cornelia Clark Fort,,Cornelia Fort
Aviation Accident,"October 11, 2006","New York City, New York",Plane crash,Cory Lidle,,Cory Lidle
Aviation Accident,1963,N/A,Plane crash,"Lloyd Estel Copas, Patsy Cline, Hawkshaw Hawkins",,Cowboy Copas
Aviation Accident,N/A,N/A,N/A,Curtis Morton Turner,,Curtis Turner
Aviation Accident,"April 6, 1994","Kigali, Rwanda",Plane crash,Cyprien Ntaryamira,,Cyprien Ntaryamira
Aviation Accident,"September 18, 1961","Ndola, Zambia",Plane crash,Dag Hammarskjöld,,Dag Hammarskj枚ld
Aviation Accident,N/A,N/A,N/A,Daniel Vasile Petrescu,,Dan Petrescu
Aviation Accident,N/A,N/A,N/A,Daniel Xavier-Marie Balavoine,,Daniel Balavoine
Aviation Accident,"September 11, 2001",American Airlines Flight 11,Stabbed by hijacker during 9/11 attacks,Daniel Mark Lewin,,Daniel Lewin
Aviation Accident,N/A,N/A,N/A,David Carl Allison,,Davey Allison
Aviation Accident,"September 11, 2001","New York City, New York",Plane crash,David Lawrence Angell,,David Angell
Aviation Accident,1985,N/A,Plane crash,David Charles Purley,,David Purley
Aviation Accident,"March 21, 1987","San Bernardino Mountains, California",Military training flight crash,Dean Paul Martin Jr.,,Dean Paul Martin
Aviation Accident,N/A,N/A,N/A,"deLesseps Story Morrison, Sr.",,DeLesseps Story Morrison
Aviation Accident,N/A,N/A,N/A,Denys George Finch Hatton,,Denys Finch Hatton
Aviation Accident,N/A,N/A,N/A,Derek John Bennett,,Derek Bennett
Aviation Accident,"May 8, 2015",Pakistan,Plane crash,Domingo Lucenario Jr.,,Domingo Lucenario Jr.
Aviation Accident,January 1962,Montana,Plane crash during a blizzard,Donald Grant Nutter,,Donald Nutter
Aviation Accident,N/A,N/A,N/A,"Donald ""Don"" Frank Yenko",,Donald Yenko
Aviation Accident,N/A,Munich,Munich air disaster,Harry Donald Davies,,Donny Davies
Aviation Accident,"April 30, 2011","Tawang to Itanagar, India",Plane crash,Dorjee Khandu and four others,,Dorjee Khandu
Aviation Accident,"January 18, 1977",N/A,Plane crash,Džemal Bijedić,,D啪emal Bijedi膰
Aviation Accident,N/A,N/A,N/A,Earl Wilcox Snell,,Earl Snell
Aviation Accident,1940,Floyd Bennett Field,Plane crash,Eddie August Henry Schneider,,Eddie August Schneider
Aviation Accident,"June 8, 1982",Brazil,Plane crash,Edson Queiroz,,Edson Queiroz
Aviation Accident,"August 13, 2014","Santos, Brazil",Plane crash,Eduardo Henrique Accioly Campos,,Eduardo Campos
Aviation Accident,N/A,N/A,Plane crash,Eduardo Mata,,Eduardo Mata
Aviation Accident,N/A,Belgrade,Plane crash,Edvard Rusjan,,Edvard Rusjan
Aviation Accident,1948,Malaya,Plane crash,Sir Gerard Edward James Gent,,Edward Gent
Aviation Accident,N/A,N/A,N/A,Sir Horace Edward Moss,,Edward Moss
Aviation Accident,1931,"Malmslätt, Sweden",Test flight accident,Einar Paul Albert Muni Lundborg,,Einar Lundborg
Aviation Accident,"February 28, 1966","St. Louis, Missouri",Plane crash,Elliot McKay See Jr.,,Elliot See
Aviation Accident,1922,"Askersund, Sweden",Parachute jumping accident,Elsa Teresia Andersson,,Elsa Andersson
Aviation Accident,"March 13, 1928",Atlantic Ocean,Plane crash,Elsie Mackay,,Elsie Mackay
Aviation Accident,"January 21, 2019","Alderney, English Channel",Plane crash,Emiliano Sala,,Emiliano Sala
Aviation Accident,"July 12, 1928","New Jersey, USA",Plane crash,Emilio Carranza Rodríguez,,Emilio Carranza
Aviation Accident,N/A,N/A,Plane crash,Emilio Mola y Vidal,,Emilio Mola
Aviation Accident,"May 14, 1919","Landskrona, SE",Plane crash,Enoch Thulin,,Enoch Thulin
Aviation Accident,1962,N/A,Plane crash,Enrico Mattei,,Enrico Mattei
Aviation Accident,1963,Trinidad and Tobago,Plane crash,Erik Alfred Strandmark,,Erik Strandmark
Aviation Accident,N/A,N/A,Plane crash,Ernest Lundeen,,Ernest Lundeen
Aviation Accident,N/A,N/A,N/A,Ernest Thompson Willows,,Ernest Willows
Aviation Accident,"October 19, 1911","Macon, Georgia",Plane crash,Eugene Burton Ely,,Eugene Ely
Aviation Accident,"September 7, 1909","Juvisy, France",Plane crash,Eugène Lefebvre,,Eug猫ne Lefebvre
Aviation Accident,1977,Tenerife airport,Tenerife airport disaster,Eve Meyer,,Eve Meyer
Aviation Accident,"December 7, 1983","Madrid, Spain",Plane crash,Fanny Cano,,Fanny Cano
Aviation Accident,"June 1, 2009",Atlantic Ocean,Plane crash,Fatma Ceren Necipoğlu,,Fatma Ceren Necipo臒lu
Aviation Accident,"September 2, 2011",Juan Fernández Archipelago,Plane crash,Felipe Camiroaga Fernández,,Felipe Camiroaga
Aviation Accident,N/A,N/A,Plane crash,Louis Ferdinand Ferber,,Ferdinand Ferber
Aviation Accident,N/A,N/A,N/A,Fernandão,,Fernand茫o
Aviation Accident,"March 9, 2015",Argentina,Helicopter collision,Florence Arthaud,,Florence Arthaud
Aviation Accident,1933,"Chicago, Illinois",Plane crash,Florence Gunderson Klingensmith,,Florence Klingensmith
Aviation Accident,1977,N/A,Helicopter crash,Francis Gary Powers,,Francis Gary Powers
Aviation Accident,"December 4, 1980",Portugal,Plane crash,"Francisco Manuel Lumbrales de Sá Carneiro, ""Snu"" Abecassis",,Francisco S谩 Carneiro
Aviation Accident,"September 12, 1994","White House, Washington D.C.",Plane crash,Frank Eugene Corder,,Frank Eugene Corder
Aviation Accident,1949,"Munich, Germany",Plane crash,Frank Victor Swift,,Frank Swift
Aviation Accident,N/A,N/A,N/A,Frank Gifford Tallman III,,Frank Tallman
Aviation Accident,"July 2, 1937",Central Pacific Ocean,Plane crash,"Frederick Joseph ""Fred"" Noonan",,Fred Noonan
Aviation Accident,1918,Cambrai,Injuries,Frederick Banting,,Frederick Banting
Aviation Accident,1930,N/A,Plane crash,"Lord Frederick Temple Hamilton-Temple-Blackwood, 3rd Marquess of Dufferin and Ava",,"Frederick Hamilton-Temple-Blackwood, 3rd Marquess of Dufferin and Ava"
Aviation Accident,1942,N/A,Plane crash,Fritz Todt,,Fritz Todt
Aviation Accident,"March 3, 2002",N/A,Helicopter crash,Ganti Mohana Chandra Balayogi,,G. M. C. Balayogi
Aviation Accident,N/A,N/A,N/A,Ganapathi Thanikaimoni,,Ganapathi Thanikaimoni
Aviation Accident,"September 11, 2001","New York City, New York",Plane crash,"Garnet Edward ""Ace"" Bailey",,Garnet _Ace_ Bailey
Aviation Accident,"September 14, 2007","Caldwell, Idaho",Collision with another aircraft during a low altitude aerial race,Gary Hubler,,Gary Hubler
Aviation Accident,"July 31, 2020","Soldotna, Alaska",Plane crash,Gary Allan Knopp,,Gary Knopp
Aviation Accident,N/A,N/A,N/A,Gennady Troshev,,Gennady Troshev
Aviation Accident,N/A,N/A,Plane crash,Geoffrey Raoul de Havilland Jr.,,"Geoffrey de Havilland, Jr."
Aviation Accident,N/A,N/A,Plane crash,George Frederick Beurling,,George Beurling
Aviation Accident,"May 10, 1911","Fort Sam Houston, Texas",Plane crash,George Edward Maurice Kelly,,George E. M. Kelly
Aviation Accident,"April 19, 1993","Near Dubuque, Iowa",Plane crash,George Speaker Mickelson and seven others,,George S. Mickelson
Aviation Accident,N/A,N/A,N/A,George Musengi Saitoti,,George Saitoti
Aviation Accident,"December 8, 1972","Chicago, Illinois",Plane crash,George Washington Collins,,George W. Collins
Aviation Accident,1947,"Copenhagen, Denmark",Plane crash,Gerda Neumann,,Gerda Neumann
Aviation Accident,"August 19, 2012","Talodi, South Kordofan, Sudan",Plane crash,Ghazi al-Sadiq,,Ghazi  al-Sadeq
Aviation Accident,"June 20, 1912","Bucharest, Romania",Plane crash,Gheorghe Caranda,,Gheorghe Caranda
Aviation Accident,"March 11, 1999","Bucharest, Romania",Plane crash,"Giannos Kranidiotis, Nikolas Kranidiotis, 4 others",,Giannos Kranidiotis
Aviation Accident,N/A,N/A,Plane crash,Ginette Neveu,,Ginette Neveu
Aviation Accident,"November 11, 2021","Hampton Township, New Jersey",Plane crash,"Glen de Vries, Thomas Fischer",,Glen de Vries
Aviation Accident,N/A,N/A,N/A,Glen Dell,,Glen Dell
Aviation Accident,"December 15, 1944",English Channel,Disappearance in bad weather,Glenn Miller,,Glenn Miller
Aviation Accident,N/A,"Nairobi, Kenya",Plane crash,Gordon Roger Parks Jr.,,Gordon Parks Jr.
Aviation Accident,1947,N/A,Plane crash,Grace Moore,,Grace Moore
Aviation Accident,N/A,N/A,N/A,Grady Lee Nutt,,Grady Nutt
Aviation Accident,N/A,N/A,N/A,Graham Hill,,Graham Hill
Aviation Accident,"October 19, 1984","Slave Lake, Alberta",Plane crash,Walter Grant Notley,,Grant Notley
Aviation Accident,"January 24, 2007",Manta Air Base,Helicopter crash,"Guadalupe Larriva, Claudia Ávila, 5 Army officers",,Guadalupe Larriva
Aviation Accident,November 1956,"Paris, France",Plane crash,Guido Cantelli,,Guido Cantelli
Aviation Accident,1968,"Malmö to CERN, Geneva",Plane crash,Anders Olof Gunnar Källén,,Gunnar K盲ll茅n
Aviation Accident,N/A,N/A,N/A,Guy Rolf Jackson,,Guy Jackson
Aviation Accident,N/A,N/A,N/A,Gwen Shamblin Lara,,Gwen Shamblin Lara
Aviation Accident,1972,Alaska,Disappearance of airplane,Thomas Hale Boggs Sr.,,Hale Boggs
Aviation Accident,1977,"Kälvesta, Sweden",Plane crash,Hans Alsér,,Hans Als茅r
Aviation Accident,2002,N/A,Plane crash,"Wessel Johannes ""Hansie"" Cronje",,Hansie Cronje
Aviation Accident,"January 26, 1952",N/A,Plane crash,Hanwant Singh Rathore,,Hanwant Singh
Aviation Accident,1982,N/A,Plane crash,Harald Ertl,,Harald Ertl
Aviation Accident,N/A,N/A,Plane crash,Harald Quandt,,Harald Quandt
Aviation Accident,"July 22, 2014",South Pacific Ocean near Pago Pago,Plane crash,Haris Suleman,,Haris Suleman
Aviation Accident,June 13,Spain,Shot down and taken prisoner,Harold Edward Dahl,,Harold Evans Dahl
Aviation Accident,1927,"Spokane, WA",Plane crash,Major Harold Geiger,,Harold Geiger
Aviation Accident,N/A,N/A,Plane crash,Harriet Quimby,,Harriet Quimby
Aviation Accident,"July 12, 1921","Burnt Oak, Edgware, UK",Plane crash,Harry George Hawker,,Harry Hawker
Aviation Accident,"March 5, 1963","Camden, Tennessee",Plane crash,Harold Franklin Hawkins,,Hawkshaw Hawkins
Aviation Accident,"April 28, 1957",Near Braunschweig,Plane crash,"Heinz ""Pritzl"" Bär",,Heinrich B盲r
Aviation Accident,1996,N/A,Plane crash,Hillevi Rombin,,Hillevi Rombin
Aviation Accident,"October 30, 1909",N/A,N/A,Homi Jehangir Bhabha,,Homi J. Bhabha
Aviation Accident,July 1967,Brazil,Aircraft collision,Marshal Humberto de Alencar Castelo Branco,,Humberto de  Alencar Castelo Branco
