Founded,Headquarters,Acquiring Institution,Reason for Failure,Significant Acquisitions/Mergers,Closure Date,Total Assets at Closure,Name Changes,trigger
1882,"Chicago, Illinois",Bank of Montreal,Not specified,"First National Bank of Barrington, State Bank of St. Charles, First National Bank of Batavia, Libertyville Federal Savings Bank and Loan, Frankfort Bancshares, Burke, Christensen & Lewis, Village Bank of Naples, Century Bank, First National Bank of Joliet, Northwestern Trust, Investors Advisory Company, Freeman Welwood, Household Bank, CSFBdirect, Morgan Stanley Individual Investor Group, myCFO",Not specified,Not specified,,Amcore Bank
1922,"Stockton, California","Robert M. Bass Group, Inc.","Largest thrift failure during the savings and loan crisis, insolvency, $5.4 billion cost to the federal government","First Charter Financial Corporation, New West Federal Savings bank",September 1988,Not specified,,American Savings and Loan
1889,"Cleveland, Ohio",New York Community Bank,"Bank failure, closure by the Office of Thrift Supervision, FDIC named Receiver","Citizens Federal Savings & Loan of Akron, Shaker Savings, Palm Plaza Savings Association, WesBanco",December 2009,Not specified,"Ohio Savings, Loan & Building Co., AmTrust Bank",AmTrust Bank
1996,Southern California,U.S. Bank,"Subprime mortgage crisis, massive losses on securities issued by Fannie Mae and Freddie Mac","People’s Bank of California, Fidelity Federal Bank","October 30, 2009",Not specified,,California National Bank
1934,"Miami, Florida",Great Western Bank,"Government conservatorship, misapplication of bank funds, tax fraud, obstruction of justice",Not specified,June 1990,$8.2 billion,"Dade Savings & Loan Association, CenTrust Savings & Loan Association",CenTrust Bank
1910,"Chicago, Illinois",Federal Deposit Insurance Corporation,"Insolvency, bad loans from Penn Square Bank, lack of due diligence",Not specified,May 1984,Approximately $40 billion,,Continental Illinois National Bank and Trust
1958,"Chicago, Illinois",Not specified,"Insolvency, highly undercapitalized, negative Tier 1 capital, ownership of nonperforming loans",Not specified,Not specified,Not specified,,Corus Bank
1972,"San Juan, Puerto Rico",Not specified,"Closure by the Commissioner of Financial Institutions of Puerto Rico, insolvency",Not specified,"February 27, 2015",$5.9 billion,,Doral Bank
2007,Kenya,Not specified,Insolvency,Not specified,Not specified,Approximately US$187.62 million,,First Community Bank
1929,"Santa Monica, California","OneWest Bank, FSB","Insolvency, closure by the Office of Thrift Supervision, FDIC named Receiver",Not specified,"December 18, 2009",Not specified,"First Federal Savings and Loan Association of Santa Monica, First Federal Bank of California",First Federal Bank of California
1920,Texas,NCNB Corporation,"Savings and loan crisis, insolvency",Bank of America,1988,Not specified,"Guaranty Bank and Trust Company, Republic National Bank of Dallas",First RepublicBank Corporation
1926,"Franklin Square, New York",Not specified,"Collapse involving Michele Sindona, largest bank failure in U.S. history, Mafia-banker involvement",Merged with Federation Bank & Trust Company in 1967,"October 8, 1974",Not specified,,Franklin National Bank
Not specified,"California, Washington, Florida",Security Pacific National Bank,"Insolvency, seizure of assets by U.S. federal regulators",Not specified,1989,$13.4 billion,,Gibraltar Savings and Loan
1921,"Houston, Texas","MacAndrews & Forbes Holdings Inc., Gerald J. Ford","Savings and loan crisis, insolvency",Not specified,December 1988,$2.875 billion,,Gibraltar Savings Association
"July 11, 1885","San Diego, California",Not specified,Federal regulators seized and disbanded the bank in 1991,"Home Federal Savings of Tucson, Arizona, First Security Savings & Loan Association of Grand Junction, Colorado, Capital Savings Bank of Olympia, Washington",1991,Not specified,"San Diego Building and Loan Association, San Diego Federal Savings and Loan Association, Great American Federal Savings and Loan Association, Great American First Savings Bank",Great American Bank
1934,"San Diego, California",Not specified,"Insolvency, federal regulators took control","Great Western Bank, Home Savings of America, First Interstate Bank, First Federal Bank of California",July 1992,Not specified,"Home Federal Savings and Loan Association, HomeFed Bank",HomeFed Bank
1954,"Los Angeles, California",Royal Bank of Canada,Not specified,Not specified,Not specified,$91 billion,,Imperial Capital Bank
Not specified,"Evansville, Indiana",Old National Bank,"Pursuing commercial loans in large cities, significant losses during the Great Recession",Not specified,"July 29, 2011",$2.9 billion,,"Integra Bank, N.A."
1925,"Irvine, California",Not specified,"Risky investments, deregulation of savings and loans, bankruptcy of parent company",American Continental Corporation,1989,Not specified,,Lincoln Savings and Loan Association
December 1998,"Greeley and Windsor, Colorado",Not specified,"Regulators shut down the bank, second Colorado bank to collapse in 2009, 23rd U.S. bank to fail in 2009",Not specified,"April 10, 2009",Not specified,,New Frontier Bank
2013,Somalia,Not specified,Not specified,Not specified,Not specified,Not specified,,Premier Bank
Not specified,"Chicago, Illinois",Not specified,"Significant losses in 2009 related to the recession, seeking additional capital, not engaged in subprime lending",Not specified,Not specified,$2.6 billion,,ShoreBank
1996,Nevada,Zions Bancorporation,"Overexposure to risky real estate loans, especially mortgages on undeveloped land","Choice Bank in Phoenix/Scottsdale region of Arizona, merged operations in 2008","September 5, 2008",Not specified,,Silver State Bank
"December 1, 1902","Miami, Florida",First Union,"Savings and loan crisis, seized by the Office of the Comptroller of the Currency, FDIC receivership, liquidation using loss sharing provisions","First Federal Savings and Loan Association of Jacksonville, now part of Wells Fargo","September 19, 1991",Not specified,,Southeast Bank
1974,"San Francisco, California","East West Bank of Pasadena, California","Insolvency, regulatory closure","The Chinese American Bank, Business Development Bank of Shanghai","November 6, 2009",$11.2 billion,"United Federal Savings and Loan Association, United Savings Bank, United Commercial Bank",United Commercial Bank
1874,"Galveston, Texas","Cullen/Frost Bankers, Inc.",Merged into Frost National Bank due to new financial services legislation,"Cullen/Frost Bankers, Inc. acquired United States National Bancshares, Inc. and Galbank, Inc.",2000,,"Island City Savings Bank, Texas Bank & Trust Company, United States National Bank",United States National Bank
1929,Arizona,"Resolution Trust Corporation, Bank of America","$1.06 billion net deficit, taken over by RTC, significant losses during savings and loan crisis",Not specified,June 1989,$6 billion,,Western Savings and Loan
