Emergence from Bankruptcy,Former Parent Company Replacement,Listing on NYSE post-bankruptcy,Chapter 11 Filing Year,Trigger Event,Chapter 7 Filing Year,trigger
N/A,CBT Corporation,N/A,,Heavy losses in loan portfolio leading to federal seizure and Chapter 7 liquidation,1991,Bank of New England
N/A,N/A,N/A,N/A,,,Calpine
N/A,N/A,N/A,N/A,N/A,,Chrysler
N/A,N/A,N/A,N/A,,,CIT Group
2003,N/A,N/A,2002,,,"Conseco, Inc."
November 2004,Enron Creditors Recovery Corp.,N/A,2001,,,Enron Corp.
2010,Brookfield Property Partners,2018,2009,,,General Growth Properties
2009,N/A,"November 18, 2010",2009,,,General Motors
N/A,N/A,N/A,2002,,,Global Crossing
N/A,N/A,N/A,2008,,,"Lehman Brothers Holdings, Inc."
2010,LyondellBasell Industries AF S.C.A.,"October 14, 2010",2009,,,Lyondell Chemical
N/A,N/A,N/A,2011,"Improper transfers of over $891 million from customer accounts to a MF broker-dealer account to cover losses created by trading losses, leading to a liquidity crisis and bankruptcy filing",,MF Global
2020,N/A,N/A,2019,,,Pacific Gas and Electric Co.
N/A,N/A,N/A,2005,,,Refco
N/A,N/A,N/A,N/A,,,Texaco
N/A,N/A,N/A,2009,Financial difficulties related to the subprime mortgage crisis in 2007 leading to bankruptcy filing,,Thornburg Mortgage
N/A,N/A,N/A,2008,"Seizure of WaMu Bank by the OTS and placement into receivership due to a bank run, leading to bankruptcy filing",,Washington Mutual
2003,N/A,N/A,2002,,,"Worldcom, Inc."
