Event Name,Dates,Affected Regions,Storm Development,Impacts on Transportation and Daily Life,Snowfall in Major Cities,Fatalities,Types of Severe Weather,Record Snowfall,Peak Wind Gusts,Snowfall Amounts,Pre-Existing Weather Conditions,Impacts on Transportation,Unique Factors Contributing to Severity,Record Low Pressure,Maximum Sustained Winds,Wind Gusts,Lowest Pressure Recorded,Significant Impacts,trigger
Chicago Blizzard of 1979,"January 13-14, 1979","Northern Illinois, Northwest Indiana","38-hour duration, wind gusts up to 39 mph","O'Hare Airport closure, grounded flights, public transit delays, trash collection issues",Chicago: 21 in,5,"Heavy snowfall, high winds","Yes, 29 in",,,,,,,,,,,1979 Chicago blizzard
1991 Halloween Blizzard,"October 31 - November 3, 1991","Upper Midwest of the United States, parts of Minnesota, Wisconsin, Iowa","Developed from a strong arctic cold front, moisture from Gulf of Mexico, blocked weather patterns, arctic air pulled southward","22 people killed, over 100 injured, record low temperatures, travel disruptions, crippled cities, large snow pack, ice storm","Record early-season snowfall accumulations, large ice storm in parts of southern Minnesota and northern Iowa",22,"Heavy snowfall, ice accumulation, record low temperatures",,,,,,,,,,,,1991 Halloween blizzard
1993 Storm of the Century,"March 12-15, 1993","Gulf of Mexico, Eastern United States, Eastern Canada","Large cyclonic storm, wide-reaching effects, dissipated in North Atlantic Ocean","Loss of power to 10 million households, 208 fatalities in the US, 318 total fatalities, $2 billion in damages","Union County, GA: 35 in, Birmingham, AL: 13 in, Florida Panhandle: 4 in",318,"Heavy snow, hurricane-force winds, storm surges, tornadoes, record low temperatures",,,,,,,,,,,,1993 Storm of the Century
1997 April Fool's Day Blizzard,"March 31 - April 1, 1997","Northeastern United States, Maryland to Maine","Surface low pressure system over Ohio River Valley, rapid strengthening off New Jersey coast, continuous moisture supply","Hundreds of thousands without power, up to 3 ft of snow, plows put away for summer, hardware stores selling shovels again, commuter called it ""Mother Nature's April Fools' Joke""",Not specified,Not specified,"Rain, sleet, snow, power outages, slow-moving low pressure system, strong jet stream energy, upper air low pressure trough","Yes, up to 3 ft",,,,,,,,,,,1997 April Fool's Day blizzard
2009 North American Christmas Blizzard,"December 22-24, 2009","Midwestern US, Great Plains, Southeastern US, Eastern Seaboard, parts of Ontario","Wrapped warm air around north and west side, cold air from south, intense storm development","21 fatalities, disrupted air travel, 27 tornadoes in Southeast and Central US, state of emergency in Oklahoma and Iowa, interstate closures","Varies across US, South Dakota: 30.8 in, Minnesota: 26 in, Texas: 9 in",At least 21,"Extreme winds, heavy snowfall, tornadoes, rapid development, Category 5 storm",,,,,,,,,,,,2009 North American Christmas blizzard
Blizzard of 1977,"January 28 - February 1, 1977","Western New York, Southern Ontario",,,,28,,,46-69 mph,Up to 100 in,"Below normal temperatures, frozen Lake Erie, deep powdery snow, limited thawing and refreezing, drifted snow","Impassable roads, breakdown of vehicles, snowmobiles as primary transportation, huge snow drifts","Lake Erie freeze, lake-effect snow absence, packed snow on roads, bitter cold, high winds, blowing snow",,,,,,Blizzard of 1977
December 2009 North American Blizzard,December 2009,"East Coast of the United States, Canadian Atlantic provinces","Formed over Gulf of Mexico, intensified off East Coast, 500-mile storm path, heavy snow in major cities","Flight and train cancellations, power outages, state of emergency declarations, disrupted transportation, fatalities","Washington, D.C.: 16-20 in, Baltimore: 16-20 in, Philadelphia: Not specified",7,"Nor'easter, record-breaking December snowfall, whiteout conditions, heavy snowfall, blizzard warnings","Yes, Washington, D.C.: 24 in",,,,,,,,,,,December 2009 North American blizzard
December 2010 North American Blizzard,"December 22-29, 2010","Contiguous United States, portions of Canada, northeast megalopolis, major cities like Norfolk, Philadelphia, Newark, New York City, Hartford, Providence, Boston","Thundersnow, similarities to 2006 blizzard, synoptic factors contributing to intensity","Difficult predictability, skepticism from forecasters, rare meteorological phenomenon, significant snowfall, impacts on major cities",12-32 in many areas,,,"Yes, 12-32 in",,,,,,,,,,,December 2010 North American blizzard
"December 22-23, 2004 Snowstorm","December 22-23, 2004","Ohio Valley, Ontario, Midwestern United States","Surface cyclone in southern stream of Westerlies, movement from Texas to Pennsylvania","Traffic paralysis, over 100,000 vehicle accidents, power outages, roofs caving in, states of emergency declared","Up to 29 in, Southern Illinois: >20 in, Central Ohio: >20 in",18,"Historic snowstorm, arctic cold front, freezing rain, sleet, surface cyclone",,,,,,,,,,,,"December 21–24, 2004 North American winter storm"
Early Winter 2006 North American storm complex,"November 26 - December 1, 2006","North America, Pacific Northwest, Greater Vancouver Area, Vancouver Island, British Columbia","Frigid air from western Canada and Alaska, sub-zero highs in northern Plains, impacts in eastern US","Travel disruptions, power outages, rain to snow transition, boil water advisory in Vancouver","Cascades: up to 2 ft, Puget Sound area: up to 6 in, Sierra Nevada: up to 1 ft, Greater Vancouver Area: 6-20 in",At least 23,"Major ice storm, blizzard conditions, high winds, extreme cold, serial derecho, tornadoes",,,,,,,,,,,,Early Winter 2006 North American storm complex
"February 25–27, 2010 North American blizzard","February 24–26, 2010","Mid-Atlantic, New England regions of the United States","Upper air low from northern Great Plains, surface low from Gulf Coast, rapid intensification near Long Island","Heavy snow, flooding rains, hurricane-force winds, complex storm system, high pressure blocking regime, cutoff low, retrograding track, rainfall, snowfall variations, school closures, reduced train service","Interior New England, New York, Pennsylvania: 12-24 in, Coastal New England: Up to 4 in",,,Not specified,,,,,,,,,,,"February 25–27, 2010 North American blizzard"
"February 5–6, 2010 North American Blizzard","February 5–6, 2010","Northeastern United States, Mexico, California, Mid-Atlantic states","Center tracked from Baja California Sur to east coast, widespread snow accumulation, air and interstate travel halted, rail service suspended, blizzard conditions reported","Crippling snowfall, limited rail service, second of four nor'easters, snowiest winter on record for Mid-Atlantic","Southern PA: 20-35 in, Eastern Panhandle of WV: 20-35 in, Northern VA: 20-35 in, Washington, D.C.: 20-35 in, Maryland: 20-35 in, Delaware: 20-35 in, Southern NJ: 20-35 in","Deaths in Mexico, New Mexico, Virginia, Pennsylvania, Maryland","Historic snowfall, extensive flooding, landslides, blizzard conditions, near-blizzard conditions","Yes, 20-35 in",,,,,,,,,,,"February 5–6, 2010 North American blizzard"
"February 9–10, 2010 North American Blizzard","February 9–11, 2010","Midwest, Mid-Atlantic, New England regions of the United States","Classic ""Alberta clipper"", rapid intensification off New Jersey coast, formation of an eye, Category 1 hurricane comparison","Snow accumulation, powerful nor'easter, winds over 58 mph, gusts up to 40 mph, storm's center deepened, travel disruptions, nickname ""Snoverkill""","Washington, DC: 10-20 in, Baltimore metro area: >20 in",,,"Yes, Baltimore metro area: >20 in",,,,,,,,,,,"February 9–10, 2010 North American blizzard"
Great Blizzard of 1978,"January 25-27, 1978","Ohio Valley, Great Lakes regions of the United States, Southern Ontario, Canada","Explosive cyclogenesis, merging of subtropical and polar jet streams, rapid northward movement","Whiteouts, zero visibility, severe blizzard conditions, record snowfall amounts, transportation disruptions",Up to 40 in,,,,,,,,,956.0 mb,,,,,Great Blizzard of 1978
Great Storm of 1975,"January 9-12, 1975","Central and Southeast United States, Midwest, Northwest Pacific coast, Great Plains, Upper Midwest","Originated over Pacific Ocean, Panhandle Hook, record low barometric pressure, late-night tornado outbreak","70 fatalities, tornado outbreak, blizzard conditions, record low pressure, Arctic air from Canada, warm tropical air from Gulf of Mexico",Midwest: over 2 ft,70,"Tornadoes, blizzard, gale-force winds, record low pressure, Arctic air, warm tropical air",,,,,,,,,,,,Great Storm of 1975
Groundhog Day Gale 1976,"February 2, 1976","Northeastern United States, Southeastern Canada",,,,None,,,,,,,,,164 km/h,188 km/h,957.3 hPa,"Coastal flooding, blizzard conditions, extensive damage, flash flood in Bangor, Maine",Groundhog Day gale of 1976
Carolina Crusher,"January 21-25, 2000","Central Virginia, North Carolina, East Coast","Low-pressure system from Northern great lakes, collision with warm front, dip in jet stream, trough causing rain and snow","Thousands of power outages, snow accumulation, mild winter, distortion of computer models, formation from two low-pressure systems, rapid intensification, movement along Atlantic Seaboard","Richmond, VA: 11 in, Raleigh-Durham International Airport: 20.3 in",Not specified,"Heavy snowfall, power outages, below-average snowfall, strong winds, rapid intensification, eye formation, Category 1 hurricane comparison","Yes, Raleigh-Durham International Airport: 20.3 in",,,,,,,,,,,January 2000 North American blizzard
January 2016 United States Blizzard,"January 22-24, 2016","Mid-Atlantic, Northeastern United States","Evolved from a shortwave trough, consolidated into low-pressure area, ""potentially historic blizzard""","103 million people affected, 33 million under blizzard warnings, 13,000 flights cancelled, travel ban in NYC and Newark, road salt deployment, multiple unofficial names, hundreds of incidents, deaths and injuries","Up to 3 ft in parts of the region, 42 in in Glengary, West Virginia",Not specified,"Historic blizzard, potentially top-10 snowstorm, paralyzing conditions, blizzard warnings, state of emergency","Yes, 42 in in Glengary, West Virginia",,,,,,,,,,,January 2016 North American blizzard
2011 Groundhog Day Blizzard,"January 31 - February 2, 2011","United States, Canada, New Mexico, Texas, New England, Eastern Canada, Chicago, Tulsa, Oklahoma City, Kansas City, St. Louis, Springfield, El Paso, Las Cruces, Des Moines, Milwaukee, Detroit, Indianapolis, Dayton, Cleveland, New York City, Boston","Path from New Mexico and northern Texas to New England and Eastern Canada, winds of over 60 mph, affected large cities along the storm's path","Power outages, flight cancellations, airport closures, road closures, roof collapses, rail and bus cancellations, mail stoppages, school, government, and business closures, disruptions lasting several days","Chicago: 21.2 in, Tulsa, Oklahoma City, Kansas City, St. Louis, Springfield, El Paso, Las Cruces, Des Moines, Milwaukee, Detroit, Indianapolis, Dayton, Cleveland, New York City, Boston: Varies",Not specified,"Cold air, heavy snowfall, blowing snow, mixed precipitation, blizzard conditions, ice storm","Yes, Chicago: 21.2 in",,,,,,,,,,,"January 31 – February 2, 2011 North American blizzard"
March 2010 Nor'easter,"March 12-16, 2010","Northeastern US, Eastern Canada","Slow-moving storm, low pressure moving northeast, secondary low pressure center near Cape Cod","Over 1 million without electricity, widespread flooding, coastal flooding and erosion, 5th major winter storm of the season",,At least 9,"Heavy rain, strong winds, coastal flooding, beach erosion",,,,,,,,,,,,March 2010 nor'easter
North American Blizzard 1996,"January 6-8, 1996","United States East Coast, Virginia, Washington D.C., Baltimore, Page County, Shenandoah Valley","Arctic high pressure system to the north, Alberta Clipper, warm weather, torrential rain, river flooding","Power outages, people trapped, weather-related deaths, whiteout conditions, drifts up to 10 ft, state of emergency declared","Washington, D.C.: 13-17 in, Baltimore: 13-17 in, Page County: 37 in, Shenandoah Valley: 3 ft",At least 8,"Nor'easter, arctic high pressure system, Alberta Clipper, warm weather, torrential rain, river flooding","Yes, Page County: 37 in",,,,,,,,,,,North American blizzard of 1996
Blizzard of 1999,"January 2-4, 1999","Midwest US, Central and Eastern Canada","Second worst blizzard in Chicago, record low temperatures, significant ice storm, lake effect winds","Travel disruptions, cities paralyzed, record low temperatures, power failures, enhanced snowfall, one-day snowfall record","Chicago: 21.6 in, Toronto: Not specified",Not specified,"Heavy snowfall, record low temperatures, ice storm, lake effect winds","Yes, Chicago: 21.6 in",,,,,,,,,,,North American blizzard of 1999
Blizzard of 2003,"February 14-19, 2003","East Coast of the United States and Canada, Northeastern and Mid-Atlantic states","Cyclogenesis off coastal Carolinas, high pressure system over eastern Canada, cold air advection","Major cities brought to standstill, biggest snowstorm on record in Baltimore and Boston, severe weather in the South, heavy rain and ice in the Midwest","Washington DC: 15-30 in, Baltimore: 28.2 in, Boston: 27.5 in",,,"Yes, Baltimore: 28.2 in, Boston: 27.5 in",,,,,,,,,,,North American blizzard of 2003
North American Blizzard of 2005,"January 20-22, 2005","Northern United States, Great Lakes region, Mid-Atlantic states, Southern New England, Great Britain, Ireland, Scandinavian peninsula","Started in upper Midwest, moved eastward, affected various regions, hit Great Britain, Ireland, Scandinavian peninsula","Airport closures, travel disruptions, school closures, whiteout conditions, highway blockages","Boston: >3 ft, Philadelphia: 12-15 in, New York City: 12-15 in",Not specified,"Heavy snow, blizzard conditions, extreme Arctic temperatures, widespread blackouts","Yes, Boston: >3 ft",,,,,,,,,,,North American blizzard of 2005
North American Blizzard 2006,"February 11-13, 2006","Mid-Atlantic, New England, Atlantic Canada","Minor system on February 11, rapid intensification, off-shore movement, warm temperatures post-storm","Low casualties, quick cleanup, Sunday timing, dry snow composition, unseasonably warm temperatures","New York City: 26.9 in, Baltimore: >12 in, Boston: >12 in",Low casualties,"Nor'easter, heavy snowfall, rapid intensification, dry and light snow composition, unseasonably warm temperatures","Yes, New York City: 26.9 in",,,,,,,,,,,North American blizzard of 2006
North American Blizzard of 2008,"March 6-10, 2008","Southern and Eastern North America, Arkansas, Quebec, Ohio Valley, Texas, Ontario, Quebec","Low pressure system development, snowfall from Texas to Ohio, tornado in southern Texas","17 deaths, hundreds injured, record snowfall, tornadoes, weather-related accidents, significant damage","Columbus, OH: >0.5 m, Cleveland, OH: >0.5 m, Ottawa, ON: >0.5 m",At least 17,"Heavy snow, rain, damaging winds, tornadoes",,,,,,,,,,,,North American blizzard of 2008
