Date,Location,Cause,Fatalities,Locomotive,Ship Name,Locomotive Class,Type,Vessel Involved,Year Commissioned,Fate,Deployment,Central Rail Road and Canal Company founded,Name changed to Central Rail Road and Banking Company of Georgia,Construction completed from Savannah to Macon,Bridge into Macon built,Federal troops destroy rails during Civil War,Richmond Terminal Company gains control,Bankruptcy and reorganization as Central of Georgia Railway,E. H. Harriman gains controlling interest,Illinois Central Railroad gains control,Receivership during Great Depression,Emergence from receivership,Gazella,Eudorcas,Nanger,Classification,Designer,Introduction,Service During WWI,Record-Setting Achievement,Total Number Built,Boiler Design Changes,HMS Thunderer,Year Built,Location of Construction,Chief Mechanical Engineer,Boiler Type,Key Features,Test Run Date,Outcome,1905,1897,1913,1907,1881,1876,1896,Former Names,Role during World War I,Role during World War II,Year Sank,Location Sank,Cause of Sinking,Cargo Lost,Design Purpose,Production,Class,Commissioned,Conversion to Escort Destroyer,USS Bennington,trigger
"July 31, 1815","Philadelphia, County Durham, England",Boiler explosion,13 killed,Brunton's Mechanical Traveller (Steam Horse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815 Philadelphia train accident
"April 14, 1893","Celilo, Oregon",Boiler explosion,8,,,,,Annie Faxon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annie Faxon
"June 17, 1831","Charleston, South Carolina",Boiler explosion caused by blocked steam pressure release valve,Fireman killed,The Best Friend of Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Best Friend of Charleston
-,-,Boiler explosion,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Railways
"August 9, 1941","Turcot Yard, Montreal, Canada",Collision with stationary engine,"1 killed, 53 injured",Canadian National 242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian National 242
,,,,,,,,,,,,1833,-,1837-1843,1851,1864,1888,1895,1907,1909,1932,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central of Georgia Railway
"April 3, 1939","Hof, Germany",Boiler explosion,-,German Class 04 steam locomotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRG Class 04
-,-,Boiler explosion,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erie Railroad 
,,,,,,,,,,,,,,,,,,,,,,,Threatened,Threatened,Threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gazelle 
-,-,Boiler explosion,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgiana
,,,,,,Class Y14,,,,,,,,,,,,,,,,,,,,J15,T.W. Worsdell,July 1883,43 engines served in France and Belgium,"Built in 9 hours 47 minutes, ran 36,000 miles before final coat of paint",289,"Original stovepipe chimney replaced by cast chimney, boiler design changes by Holden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER Class Y14
"March 20, 1905","Brockton, Massachusetts","58 killed, 150 injured",,Boiler explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grover Shoe Factory disaster
1907,New York City,Boiler explosion,-,Julien electric traction cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harlem Railroad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS Thunderer 
,,,,,,London Midland and Scottish Railway No. 6399 Fury,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,"Glasgow, Scotland",Henry Fowler,3-stage Schmidt-based boiler,"3-cylindered semi-compound locomotive, ultra-high pressure steam","February 10, 1930",Boiler explosion during test run,,,,,,,,,,,,,,,,,,,,,LMS 6399 Fury
"July 1, 1828","Aycliffe Lane station, England",Boiler explosion,1 killed,Locomotion No. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Locomotion No. 1
-,-,Boiler explosion,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maine Central Railroad 
"December 29, 1910","Pittsfield, Massachusetts",Boiler explosion,"12 killed instantly, 5 more died from injuries",Second-hand locomotive boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morewood Lake Ice Company explosion
-,-,Boiler explosion,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Central Railroad 
"October 3, 1962",New York Telephone Company building in Upper Manhattan,Boiler explosion,"23 killed, 94 injured",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Telephone Company building explosion
May 1899,"North East Dundas Tramway, Tasmania",Boiler explosion,"Crew killed, no specific number provided",G1 (0-4-2T locomotive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North East Dundas Tramway
"June 24, 2009","Orewa, New Zealand",Boiler explosion,"1 fatality, 1 critically injured",Coal-fired central heating boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orewa College
-,-,Boiler explosion,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania 
"November 14, 1942","Near Cresson, Pennsylvania",Boiler explosion,"2 killed, several injured",Pennsylvania Railroad 520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Railroad 520
"July 31, 1815","Philadelphia, County Durham, England",Boiler explosion,13 killed,Brunton's Mechanical Traveller (Steam Horse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland Railways
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,4 drowned,-,-,,,,,,,,,,,,,,Shipwrecks of the inland Columbia River
"April 27, 1863","San Pedro Bay, near Wilmington, California",Boiler explosion,"26 killed, many injured",,,,,SS Ada Hancock (Steam-powered tender),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS Ada Hancock
,,,,,SS France,,Ocean Liner,,1962,"Renamed SS Norway, SS Blue Lady, Scrapped 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS Norway
,,,,,Czar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estonia, Pułaski, Empire Penryn",Troopship for United States troops to France,"Troopship under French and UK control, various routes",,,,,,,,,,,SS Pulaski
,,,9 lives lost,,SS Senator,,Great Lakes freighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,Lake Michigan,Rammed in heavy fog,268 Nash automobiles,,,,,,,SS Senator
,,,,,,S160 Class,,,,,"Railroads across the world, including Africa, Asia, Europe, and South America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heavy freight work in Europe during World War II,"2,120 built",,,,,USATC S160 Class
,,,,,USS Basilone,,,,,,"Training in Guantanamo Bay, operations in Norfolk, deployment to the Mediterranean in 1952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gearing-class destroyer,26 July 1949,28 January 1948,,USS Basilone
