Location,Bridge Name,Reason for Collapse,Date of Collapse,Number of Fatalities,Construction Period,Notable Incident,Designer,Notable Incidents,Historical Significance,Historical Background,Replacement Process,Purpose,Opening Date,Companies Involved,Legal Actions Taken,Length,Notable Features,Investigation Findings,Number of Lanes,Renovation Details,Designers,Individuals Involved,Oldest Arch Bridge,Ancient Timber Bridges,Collapse Date,Replacement Bridge,Total Length,Construction Details,Type of Bridge,Reason for Closure,Significance,Inauguration Date,Span Length,Population,Current Status,Casualties,Construction Cost,Previous Bridge,Reconstruction,Main Span Length,Purpose of the Bridge,Funding Allocation,Ramp Openings,Construction Year,Type of Construction,Historic Designation,Reason for Destruction,Initial Bridge Construction,Neolithic Bridge Designs,Etymology of the Word,Simplest Bridge Types,Oldest Timber Bridge,Roman Empire's Contribution,Town Name,Landmarks,Historical Residents,Notable Associations,Main Roadway,Managing Authority,Width,Clearance,Construction Start Date,Delay Reason,Supervising Consultant,Contractors,Funding Sources,Insurance Coverage,Construction Contracts,Specific Incident,Renaming,Notable Consultants,Design Influence,Design Features,Number of Injuries,Vehicles Crushed,Entities Involved,Design Error,Construction Material,Height of Towers,Clearance to Water,Construction Companies,Proposed Second Bridge,Design Type,Length of Central Section,Number of Spans,Height of Inclined Pylon,Coordinates,Reason for Previous Failure,Construction History,Previous Bridges,Reason for Replacement,Opening Dates,Closure of Old Spans,Approaches Completion Date,Original Twin Span Opening,Original Twin Span Details,Debris Utilization,Official Naming Ceremony,Owner,Toll Amount,Unique Features,Date of Fire Incident,Reason for Fire Incident,Height,Restoration Details,Construction Company,Original Bridge Details,Original Bridge Length,Original Construction Period,Length of the Bridge,Original Opening Date,Renaming Date,Closure Date of Original Bridge,Opening Date of Current Bridge,Cost,Tolls,Length of Longer Bridge,Southern Terminus,Northern Terminus,Guinness World Records,Number of Concrete Pilings,Features,Design,Maximum Authorized Speed,Official Name,Borough Name,Establishment Year,Incorporation Date,Incorporation Details,Native American History,Origin of Name,Date of Capture,Capturing Forces,Reason for Capture,Post-War Status,Freeways Involved,Reason for 1897 Collapse,Impact of Collapse,Subsequent Improvements,Replacement Span Name,Replacement Date,Player Name,Current Club,Previous Club,Debut Date,Contract Renewal Date,Loan Cancellation Date,Release Date,Nationality,Descent,Closure Date,Construction Purpose,Distance from Juba,Distance from Gulu,Population Estimate,Recent Developments,Bridge Type,Definition,Importance,Sustainability,Types,Highway Name,Scenic Designation,Responsible Parties,Ongoing Construction,Date of Collapses,Length of Bridge,Earliest Bridge Designs,Origin of the Word Bridge,Roman Empire Bridge,Initial Construction,Neolithic Innovations,"Etymology of ""Bridge""",Evolution of Bridge Design,Roman Empire Contribution,Key Information,Value,Construction Date,Responsible Party,Reconstruction Efforts,Clearance for Public Use,Closure Period,Repair and Reopening,Additional Details,Subsequent Actions,Toll Information,Popular Activities,Restrictions,Water Depth,Wedding Availability,Ceremonies,Original Bridge,Nickname,Impact on the Town,Height Above Water,Daily Traffic Volume,Tower Heights,Weight Limits,Detailed Analysis,Meaning of Name,Notable Events,Architect,Notable Details,trigger
"Tjörn, Sweden",Almö Bridge,"Struck by the bulk carrier MS Star Clipper, collapsing the main span",18 January 1980,8 fatalities,,"Roadway landing on top of the ship, destroying the ship's bridge",,,,,"Replaced by the Tjörn Bridge, a cable-stayed bridge",,,,,,,,,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alm枚bron 
"Angers, France",Angers Bridge (Basse-Chaîne Bridge),Collapse during a thunderstorm while soldiers were marching across,16 April 1850,Over 200 soldiers killed,1836-1839,Collapse during the crossing of a battalion of French soldiers,Joseph Chaley and Bordillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angers Bridge
"Quebec Route 198, Quebec, Canada",Beaver Dam Bridge,Flood damage leading to the collapse,"May 22, 1963",6 fatalities,,Collapse resulted in the death of 6 mine workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beaver Dam Bridge
"Belo Horizonte, Brazil","Overpass in Belo Horizonte, Brazil",Overpass under construction collapsed onto carriageway below,3 July 2014,"2 fatalities, 22 injuries",2010-2014,,,,Collapse occurred during the 2014 FIFA World Cup preparations,,,,,Cowan Construction,Not mentioned in the provided text,,,Forensic team set up to investigate the causes of the accident,,,,,,,,,,,,,,,,,,,,,,,Part of the Move Bus rapid transit system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belo Horizonte overpass collapse
"James River, Virginia, United States",Benjamin Harrison Memorial Bridge,Collision by a ship leading to substantial rebuilding,"February 24, 1977",Not mentioned in the provided text,"Originally completed in 1966, substantial rebuilding post-1977",Collision by the SS Marine Floridian in 1977,Hardesty & Hanover L.L.P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benjamin Harrison Memorial Bridge
"Ohio River, connecting Louisville, Kentucky, and Jeffersonville, Indiana",Big Four Bridge,,,,"Completed in 1895, updated in 1929, converted to pedestrian and bicycle use in 2014",,,"Taken out of rail service in 1968, original rail approaches removed in 1974-1975, nicknamed ""Bridge That Goes Nowhere""",,,,"Originally a railroad truss bridge, converted to pedestrian and bicycle use",,,,,,,,,,,,,,,,,,,,,"Largest single span: 547 feet, total span: 2,525 feet",,,,,,,,,"$22 million allocated by Kentucky, Indiana, and Jeffersonville for completion","Kentucky ramp opened on February 7, 2013, Jeffersonville ramp opened on May 20, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Big Four Bridge
"London, United Kingdom",Bishopsford Road Bridge,Collapse following flooding in the River Wandle,14 June 2019,Not mentioned in the provided text,"Original bridge rebuilt around 1759, widened in the 1940s","Route 118 bus diverted, temporary route 718 introduced in 2019",,,,,"Designs for a new bridge approved in October 2020, reopened in 2021",,,,,,,,,"Stabilisation work started in April 2019, remains demolished in 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishopsford Road Bridge
"Patrick County, Virginia, United States",Bob White Covered Bridge,,,,,,,,,,,,,,,80 feet,"Constructed by Walter G. Weaver, access route to Smith River Church, site of annual horse-drawn wagon rides, part of Patrick County Covered Bridge Festival",,,,,,,,,,,,,,,,,,,,,,,,,,,1921,Queen-post truss construction over two spans,"Listed on the National Register of Historic Places on May 22, 1973","Washed away and destroyed in major flooding on September 29, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bob White Covered Bridge
"Laval, Quebec, Canada","Boulevard du Souvenir overpass in Laval, Quebec, Canada","Collapse of overpass, 16 beams weighing 63 tons each fell","June 18, 2000","1 fatality, 2 injuries",,,,,,,,,,"Beaver Ridge, Dessau-Soprin","Beaver Ridge under bankruptcy protection, no construction license, no specified legal actions mentioned",,,"Rupture of one beam caused the collapse, discovered problems with beams prior to collapse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulevard du Souvenir overpass collapse
,,,,,,,,,,,,,,,,,,,,,,,Arkadiko Bridge still in existence,Intentionally felled trees used for significant spans,,,,,,,,,,,,,,,,,,,,,,,,Fallen trees and stepping stones used,Boardwalk bridges across marshland,Origin traced back to Proto-Indo-European *bʰrēw-,Stepping stones and log bridges,Holzbrücke Rapperswil-Hurden in Switzerland,Built a 6-metre-wide wooden bridge in the late 2nd century AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bridge
