Date,Location,Teams,Final Score,Notable Players,Significant Plays,Unique Aspect,Winner,trigger
"January 1, 1961","Jeppesen Stadium, Houston, Texas",Houston Oilers vs. Los Angeles Chargers,"Houston Oilers 24, Los Angeles Chargers 16","George Blanda, Ben Agajanian, Dave Smith","Blanda's three touchdown passes, Agajanian's field goals, Oilers' comeback","First AFL Championship Game, game played in January, venue change, Blanda's performance",Houston Oilers,1960 American Football League Championship Game
"December 24, 1961","Balboa Stadium, San Diego, California",Houston Oilers vs. San Diego Chargers,"Houston Oilers 10, San Diego Chargers 3","George Blanda, Billy Cannon","Blanda's field goal, Cannon's touchdown reception","Rematch of the first AFL title game, Oilers as favorites, low-scoring game",Houston Oilers,1961 American Football League Championship Game
"December 23, 1962","Jeppesen Stadium, Houston, Texas",Houston Oilers vs. Dallas Texans,"Dallas Texans 20, Houston Oilers 17","George Blanda, Charlie Tolar, Billy Cannon, Len Dawson, Abner Haynes, Curtis McClinton, Johnny Robinson, E. J. Holub","Blanda's interception, Texans' defensive stand, regular season split, long game duration","Third consecutive title for Oilers, visiting team winning regular season games, longest professional championship game",Dallas Texans,1962 American Football League Championship Game
"January 5, 1964","Balboa Stadium, San Diego, California",San Diego Chargers vs. Boston Patriots,"San Diego Chargers 51, Boston Patriots 10",Keith Lincoln,"Chargers' dominant performance, Lincoln's MVP performance","Chargers' third Western Division win, Patriots-Bills tiebreaker playoff, game played after JFK assassination",San Diego Chargers,1963 American Football League Championship Game
"December 26, 1964","War Memorial Stadium, Buffalo, New York",Buffalo Bills vs. San Diego Chargers,"Buffalo Bills 20, San Diego Chargers 7","Lance Alworth, Mike Stratton, Keith Lincoln, Cookie Gilchrist, Jack Kemp","Chargers' opening drive, ""hit heard 'round the world,"" Gilchrist's rushing performance, Kemp's touchdown","Bills' first league championship, Alworth's absence, Bills' consecutive titles, iconic hit on Lincoln",Buffalo Bills,1964 American Football League Championship Game
"December 26, 1965","Balboa Stadium, San Diego, California",San Diego Chargers vs. Buffalo Bills,"Buffalo Bills 23, San Diego Chargers 0","Jack Kemp, Paul Maguire","Bills' two touchdowns in the second quarter, punt return touchdown, three field goals in the second half","Bills as defending champions, Chargers as favorites, only shutout in AFL title games, MVP Jack Kemp",Buffalo Bills,1965 American Football League Championship Game
"January 1, 1967","War Memorial Stadium, Buffalo, New York",Kansas City Chiefs vs. Buffalo Bills,"Kansas City Chiefs 31, Buffalo Bills 7","Hank Stram, Jack Kemp","Chiefs' explosive offense, Bills' defensive line, road team victories, Chiefs advancing to Super Bowl I","Bills as defending champions, Chiefs as favorites, AFL-NFL merger impact, game rescheduled for January 1",Kansas City Chiefs,1966 American Football League Championship Game
"December 31, 1967","Oakland-Alameda County Coliseum, Oakland, California",Oakland Raiders vs. Houston Oilers,"Oakland Raiders 40, Houston Oilers 7","Daryle Lamonica, Hoyle Granger, Pete Beathard","Dave Grayson's kickoff return, Blanda's missed field goal, Raiders' offensive dominance","Raiders' first appearance, Oilers' turnaround season, contrasting weather with NFL championship game",Oakland Raiders,1967 American Football League Championship Game
"December 29, 1968","Shea Stadium, Queens, New York City, New York",Oakland Raiders vs. New York Jets,"New York Jets 27, Oakland Raiders 23","Joe Namath, Don Maynard, Daryle Lamonica, George Blanda","Namath's touchdown pass to Maynard, Lamonica's struggles, Blanda's missed field goal, Jets' field goal by Jim Turner","Jets as slight favorites, Raiders' tiebreaker playoff, Jets advancing to Super Bowl III, Lamonica's late rally",New York Jets,1968 American Football League Championship Game
"January 4, 1970","Oakland-Alameda County Coliseum, Oakland, California",Oakland Raiders vs. Kansas City Chiefs,"Kansas City Chiefs 17, Oakland Raiders 7","Daryle Lamonica, Warren Wells","Raiders' opening drive, Chiefs' 75-yard drive to tie the game, defensive struggle, Charlie Smith's touchdown","Final AFL championship game, Raiders as favorites, Chiefs' comeback, low-scoring affair",Kansas City Chiefs,1969 American Football League Championship Game
