Event,Date,Location,Casualties,Infrastructure Damage,Magnitude,Key Details,Peak Wind Speed,Minimum Pressure,Landfall Locations,Surface Rupture Length,Fault Responsible,Aftershocks,Peak Temperatures,Impact on Crops,Records Set,Tsunami Generated,Tsunami Affected Areas,Estimated Monetary Losses,Impact on Infrastructure,International Aid Response,Causes,Flood Levels,Impact,Dasht-e Bayaz earthquake,Ferdows earthquake,Maximum Intensity,Tsunami Impact,Geological Context,Displaced Individuals,Typhoon Iris,Typhoon Joan,Typhoon Kate,trigger
1920 Haiyuan earthquake,"December 16, 1920","Haiyuan County, Ningxia Province, China","258,707~273,407 dead","Widespread destruction, collapsed houses, landslides, damage in multiple provinces",8.25 Mw or 7.8 ML,,,,,230 km,,,,,,,,,,,,,,,,,,,,,,,1920 Haiyuan earthquake
1922 Swatow Typhoon,"August 2-3, 1922","Swatow, China","60,000-100,000+ dead","5,000 dead in Swatow, 50,000 casualties in surrounding areas, several ships wrecked, villages destroyed",,,100 mph,27.53 inHg,"Swatow, China",,,,,,,,,,,,,,,,,,,,,,,,1922 Swatow typhoon
Great Kantō earthquake,"September 1, 1923","Kantō Plain, Honshū, Japan","Varied accounts, extensive firestorms, fire whirl, racist civil unrest, focus deep beneath Izu Ōshima Island, rupture of convergent boundary, designated Disaster Prevention Day in Japan since 1960",,7.9 Mw,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923 Great Kant艒 earthquake
1925 Dali earthquake,"March 16, 1925","Yunnan, China","5,000 estimated deaths","Severe damage in Dali city, 76,000 homes destroyed, city walls collapsed, thousands killed or injured in various counties",7.0 Mw,,,,,"5,000 sq km",,,,,,,,,,,,,,,,,,,,,,,1925 Dali earthquake
1926 Havana hurricane,"October 14-28, 1926","Cuba, Bermuda",-,-,,,150 mph,934 mbar,"Cuba, southern Florida, The Bahamas, Bermuda",,,,,,,,,,,,,,,,,,,,,,,,1926 Havana–Bermuda hurricane
1927 Gulang earthquake,"May 22, 1927","Gulang, Gansu, Republic of China","40,912 deaths","Significant destruction of homes, schools, temples, and city walls",7.6 Mw,,,,,"Extensive fissures, large landslides, collapsed buildings",,,,,,,,,,,,,,,,,,,,,,,1927 Gulang earthquake
Okeechobee hurricane of 1928,"September 6-20, 1928","Cape Verde islands, Guadeloupe, Martinique, Montserrat, Nevis, Puerto Rico, Florida","2,500 estimated deaths","Severe destruction in Guadeloupe, 1,200 deaths, 24,728 homes destroyed in Puerto Rico, $50 million in damage",,,160 mph,-,"Guadeloupe, Puerto Rico, Florida",,,,,,,,,,,,,,,,,,,,,,,,1928 Okeechobee hurricane
1929 Kopet Dag earthquake,"May 1, 1929",Kopet Dag area of Iran,"Up to 3,800 casualties","Eighty-eight villages damaged or destroyed, damage at Bojnourd",7.2,,,,,50 km,,"Aftershocks for more than four years, including one in July 1929",,,,,,,,,,,,,,,,,,,,,1929 Kopet Dag earthquake
1930 Dominican Republic hurricane,"August 29 - September 2, 1930","Dominican Republic, Lesser Antilles, Puerto Rico","8,000 killed","Extensive damage, specific details not provided",,,"Category 4, 140 mph",930 mbar,"Dominican Republic, Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,1930 San Zen贸n hurricane
1931 China floods,June-August 1931,China,2-4 million fatalities,,,"Major cities affected, dike breach along Lake Gaoyou, varying fatality estimates, cholera epidemic with additional deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,1931 China floods
