Event,Date,Epicenter Location,Significant Impacts,Affected Regions,Time,Casualties,Magnitude,Tsunami Impact,Max Mercalli Intensity,Magnitudes,Max Intensity,Depth,Significant Details,1971 Solomon Islands earthquakes,,Maximum Tsunami Height,Impact on Nearby Regions,2018 Fiji earthquake,trigger
1950 Assam-Tibet earthquake,"August 15, 1950","Mishmi Hills, India","Destructive earthquake in Assam and Tibet, largest recorded quake caused by continental collision, loud noises reported throughout the region","Assam, Tibet, Arunachal Pradesh, China, India",7:39 pm IST,"Approximately 4,800 deaths",Mw 8.6,,,,,,,,,,,,1950 Assam-Tibet earthquake
1951 East Rift Valley earthquakes,"October 22 - December 5, 1951",Eastern Taiwan,"Rugged terrain, interaction of tectonic plates, sparsely populated areas, larger populations in Hualien and Taitung, felt throughout Taiwan, significant casualties in Hualien and Yuli, known as 1951 Hualien earthquakes or 1951 Hualien-Taitung earthquakes",,,85 deaths,,,,"7.3, 7.8",,,,,,,,,1951 East Rift Valley earthquakes
1952 Severo-Kurilsk earthquake,"November 4, 1952",Off the coast of Kamchatka Peninsula,"Destruction of settlements, most impact on Severo-Kurilsk, fifth most powerful earthquake since 1900","Sakhalin Oblast, Kamchatka Oblast, Severo-Kurilsk, Kuril Islands, Russian SFSR, USSR",16:58,Not specified,Mw 9.0,"Major tsunami hitting Severo-Kurilsk, Kuril Islands, Sakhalin Oblast, Russian SFSR, USSR",,,,,,,,,,,1952 Severo-Kurilsk earthquake
1956 Amorgos earthquake,"July 9, 1956","South of Amorgos, Cyclades, Aegean Sea","Significant damage, largest earthquake in Greece in 20th century","Amorgos, Santorini, Cyclades, Aegean Sea",03:11 UTC,53 deaths,Mw 7.7,Major tsunami with 30m run-up,IX,,,,,,,,,,1956 Amorgos earthquake
1957 Andreanof Islands earthquake,"March 9, 1957",South of Andreanof Islands,"Oceanic trench, Aleutian Subduction Zone","Aleutian Islands, Alaska, Hawaii",,$5 million,Mw 8.6,Basin-wide tsunami affecting Alaska and Hawaii,VIII,,,,,,,,,,1957 Andreanof Islands earthquake
1959 Kamchatka earthquake,"May 4, 1959","Kamchatka Peninsula, Russian SFSR, USSR",,"Kamchatka Peninsula, Aleutian Islands, Kuril Islands, Massacre Bay, Alaska",19:15 local time,,,"Triggered tsunami with 0.2m runup in Massacre Bay, Alaska",,"Mw 8.0, Ms 8.2",VIII,,,,,,,,1959 Kamchatka earthquake
1960 Valdivia earthquake,"May 22, 1960","Near Lumaco, Chile","Localized tsunamis with waves up to 25 meters, main tsunami traveling across the Pacific Ocean, severe devastation in Valdivia and Hilo, Hawaii","Chile, Hawaii, Japan, the Philippines, New Zealand, Australia, Aleutian Islands",Afternoon,"1,000-6,000 fatalities",9.4-9.6,"Devastating tsunamis affecting southern Chile, Hawaii, Japan, the Philippines, eastern New Zealand, southeast Australia, and the Aleutian Islands",,,,,,,,,,,1960 Valdivia earthquake
1963 Kuril Islands earthquake,"October 13, 1963",Kuril Islands,"Triggered tsunamis in Canada, Japan, Mexico, Hawaii, Alaska, California, and across the northern Pacific","Kuril Islands, northern Pacific Ocean",05:17 UTC,None recorded,Mw 8.5,Tsunamis observed in northern Pacific Ocean,,,,,,,,,,,1963 Kuril Islands earthquake
1964 Alaskan earthquake,"March 27, 1964",South-central Alaska,"Ground fissures, collapsing structures, tsunamis, soil liquefaction, landslides, structural damage, property damage, underwater landslide, village destruction, post-quake tsunamis","South-central Alaska, Anchorage, Kodiak, Prince William Sound, Valdez, Chenega, Whittier, Seward, British Columbia, Washington, Oregon, California, Hawaii, Japan, Florida, Texas",5:36 PM AKST,About 131 deaths,Mw 9.2,"Tsunamis in Alaska, British Columbia, Washington, Oregon, California, Hawaii, Japan",,,,,,,,,,,1964 Alaska earthquake
1965 Rat Islands earthquake,"February 4, 1965","Rat Islands, Aleutian Islands","600 km long rupture, subduction zone, multiple structural 'blocks', subsequent earthquake, tsunami run-up heights","Rat Islands, Aleutian Islands, Shemya Island, Amchitka Island, Attu Island, Kauai, Hawaii, Peru, Ecuador, Mexico, California, Japan, Russia",05:01 UTC,Very little damage,Mw 8.7,Tsunami over 10m on Shemya Island,,,,,,,,,,,1965 Rat Islands earthquake
1966 Peru earthquake,"October 17, 1966",Offcoast near Huacho,"Building damage, landslides, ground cracks","Huacho, San Nicolás, Callao, Ancón",16:41 local time,100 deaths,Mw 8.1,,"MMI IX in San Nicolás, MMI VIII in Huacho, MMI VII in Callao",,,,,,,,,,1966 Peru earthquake
1967 Mudurnu Valley earthquake,"July 22, 1967","Near Mudurnu, Bolu Province, Turkey","5,200 houses destroyed or damaged, surface rupture zone 1-4 km wide, structural damage related to construction method","Mudurnu, Bolu Province, Adapazari, Lake Abant, Sapanca",18:57 local time,"86 fatalities, 332 injured",7.4 Mw,,"Difficult to estimate accurately, variations of up to four degrees of the Mercalli scale",,,,,,,,,,1967 Mudurnu earthquake
1968 Tokachi earthquake,"May 16, 1968",Offshore of Aomori and Hokkaido,"Interplate earthquake, significant building damage, infrastructure damage, communication disruption","Aomori, Hokkaido, Japan, Tahiti",0:49 UTC,Not specified,Mw 8.3,Maximum height of about 6m tsunami,,,Shindo 5,,,,,,,,1968 Tokachi earthquake
1970 Colombia earthquake,"July 31, 1970",,,"San Juan, Bogotá, Caracas, Buenos Aires, São Paulo, Mexico City",,1 death,,,,,,Deep-focus,"Felt over a wide area, no aftershocks, installation of seismometer networks, controversy over isotropic compression findings",,,,,,1970 Colombia earthquake
,,,,,,,,,,,,,,"Solomon Islands, Papua New Guinea","Solomon Islands, Papua New Guinea",,,,1971 Solomon Islands earthquakes
1973 Nemuro earthquake,"June 17, 1973","Off Nemuro Peninsula, Hokkaidō, Japan","$5 million damage, subduction zone earthquake, recurrence interval, 1894 earthquake","Hokkaidō, Japan",12:55 local time,27 injuries,,Tsunami with 3m heights along Hokkaidō coast,VIII,"7.8–7.9 Mw, 8.1 Tsunami Mw, 7.4 JMA",,,,,,,,,1973 Nemuro earthquake
1974 Lima earthquake,"October 3, 1974","80 km southwest of Lima, Peru","Building collapses, infrastructure damage","Lima, La Molina, Callao",14:21 UTC,"78 deaths, 2,400 injured",,,IX,"Mw 8.1, Ms 7.8",,,,,,,,,1974 Lima earthquake
1976 Moro Gulf earthquake,"August 17, 1976","Near Mindanao and Sulu Islands, Philippines","Major fault zones, destructive local tsunamis, historical seismicity","Sulu Archipelago, southern Mindanao, Zamboanga Peninsula",00:11 local time,"5,000-8,000 deaths",Mw 8.0,Devastating tsunami with maximum heights of 9 meters,,,,,,,,,,,1976 Moro Gulf earthquake
1977 Sumba earthquake,"August 19, 1977","290km south of Bima, Sumbawa, Indian Ocean","Largest outer-rise earthquake in Indonesia, aftershocks along the trench, damage limited to Indonesia","Indonesia, Australia, Albany, Port Hedland, Sumba, Sumbawa",14:08 local time,"At least 107 confirmed dead, several dozen missing",Mw 8.3,"Tsunami generated with run-up heights up to 5.8m and inundation distances up to 1,200m",,,,,,,,,,,1977 Sumba earthquake
1978 Miyagi earthquake,"June 12, 1978","Offshore of Miyagi Prefecture, Japan","Rupture of plate interface, subduction zone, aftershock zones","Miyagi Prefecture, Japan, Honshū, Japan Trench, Pacific Plate, Okhotsk Plate",17:14 local time,"28 deaths, 1,325 injuries",Mw 7.7,Small tsunami triggered,,,Shindo 5,,,,,,,,1978 Miyagi earthquake
1979 Tumaco earthquake,"December 12, 1979","Near Tumaco, Colombia-Ecuador border","Subduction zone boundary, historical earthquakes, plate interface ruptures","Nariño Department, Colombia, Ecuador, Colombia-Ecuador Trench",02:59 local time,300-600 deaths,Mw 8.2,Major tsunami triggered,,,,,,,,,,,1979 Tumaco earthquake
1982 El Salvador earthquake,"June 19, 1982",Southeast of San Salvador,"$5 million in damage, subduction zone adjacent, normal-slip subduction earthquake","El Salvador, Guatemala, Honduras, Nicaragua, Costa Rica, San Salvador, Ahuachapán, San Miguel, others",00:21 local time,16-43 dead,Mw 7.3,,VII,,,,,,,,,,1982 El Salvador earthquake
1985 Mexico City earthquake,"September 19, 1985",Middle America Trench,"Serious damage to Greater Mexico City area, 412 buildings collapsed, 3,124 buildings seriously damaged","Greater Mexico City area, Mexico, North America Plate, Cocos Plate, Pacific Plate",07:17:50 local time,"5,000 deaths",Mw 8.0,,IX,,,,,,,,,,1985 Mexico City earthquake
