Event Name,Time Period,Impacted Organisms,Possible Causes,Characteristics,trigger
Aptian Extinction,116-117 Ma,Marine organisms,"Rahjamal Traps volcanism, associated with Kerguelen hotspot","Classified as a minor extinction event, primarily affecting marine fossils, potentially linked to stegosaur and tritylodont extinctions",Aptian extinction
Cambrian–Ordovician Extinction,488 Ma,"Brachiopods, conodonts, trilobites","Environmental changes, climate fluctuations, sea-level changes","Caused a significant reduction in trilobite species, transition from Cambrian to Ordovician Period, soft-body fossils found post-extinction, debate on the actual extent of the extinction event",Cambrian–Ordovician extinction event
Carboniferous Rainforest Collapse,305 Ma,Plant and animal species,"Fragmentation of forests into isolated refugia, dwarfism, extinction of species","Altered composition of coal-forming tropical forests, shift in extent and composition of rainforests, erosion of river systems, rise of opportunistic ferns, abrupt extinction of dominant lycopsids, formation of shrinking 'islands', eventual disappearance of rainforests from the fossil record",Carboniferous rainforest collapse
Carnian Pluvial Episode,Late Triassic,"Ammonoids, conodonts, bryozoa, crinoids","Global climate change, evolution of new life forms, extinction of aquatic invertebrates","Shift from arid to humid climate, first appearance of dinosaurs, lepidosaurs, and calcium-containing microfossils, less carbonate deposition in oceans, chemical changes in strata indicating global warming, possibly linked to flood basalt eruptions",Carnian Pluvial Event
Cenomanian-Turonian Extinction,93.9 Ma,"Planktonic foraminifera, radiolarians","Large disturbances in carbon, oxygen, and sulfur cycles, positive carbon-isotope event, absence of black shale, 400,000-year interval","Anoxic extinction event in the Cretaceous period, refined boundary at 93.9 Ma, global type section in Colorado, known as the Bonarelli event, presence of radiolarians indicating high productivity",Cenomanian-Turonian boundary event
Cretaceous-Paleogene Extinction,66 Ma,Three-quarters of plant and animal species,"Impact of massive comet or asteroid, impact winter halting photosynthesis, discovery of Chicxulub crater","Sudden mass extinction, end of Cretaceous period, beginning of Cenozoic Era, K-Pg boundary clay with high iridium levels, simultaneous extinctions indicating asteroid impact",Cretaceous–Paleogene extinction event
Capitanian Extinction,260 Ma,"Marine invertebrates, terrestrial organisms","Climate change, volcanic activity, oceanic anoxia","Decreased species richness, increased extinction rates, impact on marine and terrestrial ecosystems, debate on severity compared to other mass extinctions",End-Capitanian extinction event
Ediacaran Mass Extinction,542 Ma,"Ediacaran biota, calcifying organisms","Abrupt disappearance of organisms, increase in burrowing activity and diversity in Cambrian, radiation to fill vacant niches","Disappearance of Ediacaran biota and calcifying organisms, potential survival of some species like Ediacaria booleyi, evidence suggesting a mass extinction event at the end of the Ediacaran period",End-Ediacaran extinction
Eocene-Oligocene Extinction,34 Ma,"Marine and aquatic organisms, condylarths","Climatic cooling, extended volcanic activity, meteorite impacts, decrease in atmospheric carbon dioxide","Large-scale extinctions, onset of ice sheet coverage on Antarctica, Grande Coupure turnover in mammalian fauna, widespread extinctions and speciation",Eocene–Oligocene extinction event
The Great Oxidation Event,2.4–2.0 Ga,Anaerobic species,"Rise of biologically-produced oxygen, cyanobacteria","Transition to an oxidizing atmosphere, mass extinction of anaerobic species, enabling development of multicellular life-forms",Great Oxygenation Event
Holocene Extinction,Present,"Bacteria, fungi, plants, mammals, birds, reptiles, amphibians, fish, invertebrates","Human activity, habitat degradation, overhunting, climate change","Ongoing extinction event, high rate of species loss, disappearance of megafauna, correlation with human emergence, potential impact of climate change",Holocene extinction
Ireviken event,Llandovery/Wenlock boundary,"Trilobites, conodonts, graptolites","Mechanism originating in deep oceans, impact on shallow shelf seas, extinction lasting 200,000 years, linked to Milankovic cycles, δ13C and δ18O excursions observed",,Ireviken event
Late Devonian Extinction,372-359 Ma,"Marine life, brachiopods, trilobites, reef-building organisms","Changes in sea level, ocean anoxia, global cooling, oceanic volcanism, extraterrestrial impact","One of the five largest mass extinctions, 19% of families and 50% of genera extinct, uncertain timespan of 500,000 to 25 million years, impacted marine life only, potential causes include sea level changes, ocean anoxia, global cooling, oceanic volcanism, and extraterrestrial impact",Late Devonian extinction
Lau event,Late Ludfordian (Silurian period),"Conodonts, graptolites","Global low sea level, geochemical isotope excursion, change in depositional regime","Last of three minor Silurian mass extinctions, major effect on conodont fauna, barely impacted graptolites, observed in Gotland, Sweden, local extinctions, peak in δ13C, altered community structures",Lau event
Middle Miocene disruption,~14 Ma,Terrestrial and aquatic life forms,"Cooling period, growth of global ice sheets, orbitally paced changes in oceanic and atmospheric circulation, drop in atmospheric CO2 levels","Extinction peak during the Langhian stage of the Miocene, attributed to cooling and ice sheet growth, preceded by the Miocene Climatic Optimum, growth of East Antarctic Ice Sheet, drop in atmospheric CO2 levels, expansion of Antarctic ice, higher 18O concentrations in benthic foraminifera",Middle Miocene disruption
Mulde event,Silurian period,Conodonts,"Anoxic event, global drop in sea level, geochemical isotopes excursion, change in depositional environment, sustained drop in CO2 levels",,Mulde event
Olson's Extinction,273 Ma,"Plants, marine invertebrates, tetrapods","Sudden change in faunas, uncertainty in duration and timing of extinctions, theories of prolonged extinction or multiple pulses","Extinction event in late Cisuralian or early Guadalupian of the Permian period, predated the Permian-Triassic extinction, impact amplified effects of later extinction event, killed off about 80% of species alive at the time",Olson's Extinction
