Date,Location,Event Name,Fatalities,Injuries,Cause of Stampede,Aftermath,trigger
23 Feb 1807,London,1807 Newgate Disaster,27+,Unknown,"Human crush outside Newgate Prison during triple execution, triggered by collapsing wooden cart","At least 27 fatalities, possibly more, severe injuries, crowd destabilized by cart collapse, part of triple execution event, executions of John Holloway and Owen Haggerty, public outrage over perceived injustice, large crowd gathered to witness execution, newspapers reported varying death tolls, executions of Elizabeth Godfrey and Benjamin Hanfield, Hanfield's sentence dismissed for testimony, Holloway and Haggerty convicted based on circumstantial evidence and accomplice testimony, crowd of around 40,000 gathered to witness executions, people from various locations came to observe, massive and rambunctious crowd, spectators climbed onto carts, lampposts, and window ledges",1807 Newgate disaster
3 Feb 1954,"Allahabad, Uttar Pradesh, India",1954 Kumbh Mela Stampede,350-800+,2000+,"Stampede during Mauni Amavasya bathing day of Kumbh Mela, 4-5 million pilgrims","350-800+ dead, 2000+ injured, politicians present, Ganges River change limited space, crowd surge broke barriers, Nehru advised against VIP visits, no compensation paid",1954 Kumbh Mela stampede
3 Dec 1979,"Cincinnati, Ohio, United States",The Who Concert Disaster,11,Unknown,Rush of concert-goers outside Riverfront Coliseum entry doors during The Who concert,"11 deaths, occurred during The Who's 1979 world tour, 18,348 tickets sold, doors opened late causing crowd surge, conflicting reports on soundcheck or movie playing, tragedy led to changes in crowd control and venue safety measures",1979 The Who concert disaster
3 Jul 1990,Mecca,1990 Mecca Tunnel Stampede,"1,426",Unknown,"1,426 pilgrims suffocated and trampled to death in a tunnel near Mecca during Hajj","Highest death toll of any Hajj tragedy until 2015 Mina stampede, occurred in pedestrian tunnel during Stoning of the Devil ritual, tunnel capacity exceeded, outside temperatures of 44°C, ventilation system failure, crowd hysteria blamed, majority of victims from Malaysia, Indonesia, and Pakistan, King Fahd stated it was ""God's will"", criticism from Indonesia and Iran, concerns raised by Turkey",1990 Mecca tunnel tragedy
23 Nov 1994,"Nagpur, India",1994 Gowari Stampede,114,500+,"Stampede during Gowari protest, police baton charge causing panic, 114 Gowari community members killed, 500+ injured","Majority casualties were women and children, victims crushed or pierced by barbed wire, Justice S S Dani Commission appointed, no one held responsible, incident termed ""unfortunate"", police action justified, Chief Minister and government cleared of responsibility, Tribal Development Minister resigned, Gowari community demanding scheduled tribe status for benefits, protest march stopped by police at Vasantrao Naik College of Arts and Social Sciences, resentment grew due to lack of government response",1994 Gowari stampede
23 May 1994,Mecca,1994 Hajj stampede,270+,Unknown,"Stampede during Stoning of the Devil ritual at Hajj, Mecca, Saudi Arabia","270+ pilgrims killed, record 2.5 million pilgrims present, victims fell from pedestrian overpass, panic caused by crowd movement, ambulances delayed, Saudi statement blamed rushing pilgrims, total of 829 deaths during Hajj, Jamaraat Bridge widened from 40m to 80m after incident, majority of victims reported as Indonesian",1994 Hajj stampede
14 Jan 1999,Kerala,Sabarimala Stampede,53,Unknown,"Human crowd crush at Sabarimala temple, Pamba base camp, collapse of hillock sides","53 deaths, majority from outside Kerala, Judicial commission headed by Justice Chandrasekhara Menon, State Government found guilty of negligence, need for basic amenities on Pullumedu route, proposals not enacted, public outcry after 2011 Sabarimala stampede",1999 Sabarimala stampede
17 Feb 2003,"Chicago, Illinois",E2 Nightclub Stampede,21,50+,"Panic from pepper spray used by security guard, fire code violations, narrow exit doors, patrons rushing towards exit, compressional asphyxiation","21 deaths, 50+ injured, club owners convicted of criminal contempt, sentenced to two years in prison, patrons fleeing perceived threat, heap of bodies reaching six feet in height, controversies surrounding case",2003 E2 nightclub stampede
2004,"Miyun District, Beijing",2004 Miyun Stampede,37,15,"Spectator tripped on open grate during lantern festival, causing chain reaction","37 deaths, 15 injured, Beijing Mayor Liu Qi visits scene, investigation ordered by Hu Jintao and Premier Wen Jiabao, two police officers sentenced to three years in jail",2004 Miyun stampede
18 Dec 2005,Chennai,2005 December Chennai Stampede,42,37,"Stampede during relief supplies distribution at MGR Nagar school in Chennai, Tamil Nadu","42 deaths, 37 injured, one-man commission appointed for inquiry, compensation of ₹100,000 for victims and ₹15,000 for injured, heavy rains and flooding in Tamil Nadu, relief measures announced by government, tokens issued for relief supplies, distribution venue changed to Arignar Anna Government School, 3,452 families issued tokens, tragedy occurred during distribution for 4,500 families, relief measures included ₹2,000, 10 kg of rice, dhotis, and saris",2005 December Chennai stampede
12 Jan 2006,Mecca,2006 Hajj Stampede,363,Hundreds,"Stampede during Hajj pilgrimage on Jamaraat Bridge, Mecca","363 pilgrims killed, hundreds injured, incident during Stoning of the Devil ritual, part of annual Hajj pilgrimage, history of fatal stampedes at Hajj, authorities took steps to prevent stampedes, fatwa issued to extend ritual hours, stampede caused by pilgrims tripping over luggage, incident occurred at 12:28, stones thrown at pillars representing devil, 203 fatalities identified within first two days, 118 males and 85 females among the deceased",2006 Hajj stampede
