Victim,Date of Abduction,Location,Outcome,Perpetrator,Duration of Captivity,Suspects/Individuals Involved,Ransom Demand,Charges,Sentencing,Michelle Knight,Amanda Berry,"Georgina ""Gina"" DeJesus",Trial Details,Verdict,Additional Individuals Involved,Nationality,Occupation,Legislative Response,Age,Victims,Locations,Duration of Killing Spree,Law Enforcement Agencies Involved,Confession,Conviction,Parole Release,Reopening of Murder Cases,Witnesses,Method of Escape,Recognition Received,Individuals Involved,Criminal,Accomplices/Individuals Involved,Suspect Age,Legal Proceedings,Additional Information,Possible Spellings,Meaning based on Hanja,Notable Individuals,Newton County John Does (Adam),Newton County John Does (Brad),Lori Lee Farmer,Doris Denise Milner,Michele Heather Guse,Perpetrator(s),Other Individuals Involved,Jane Nartare Beaumont,Arnna Kathleen Beaumont,Grant Ellis Beaumont,trigger
Adnan Patrawala,"August 18, 2007","Mumbai, India","Murdered after being kidnapped, body dumped in Palm Beach road, Navi Mumbai",,,"Accused: Aslam Patrawala, others",₹2 crore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adnan Patrawala
Adolph Coors III,"February 9, 1960","Turkey Creek Bridge, Morrison, Colorado","Found murdered after failed kidnapping attempt, remains discovered in Rocky Mountains",Joseph Corbett Jr.,N/A,Joseph Corbett Jr.,"$500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adolph Coors III
Alayna Ertl,"August 20, 2016","Watkins, Minnesota","Found murdered after being abducted, cause of death determined to be strangulation and blunt force trauma to the head",Zachary Todd Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alayna Ertl
Aldo Moro,"March 16, 1978",Italy,"Kidnapped and killed after 55 days of captivity, one of Italy's longest-serving prime ministers",Red Brigades,55 days,Red Brigades,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aldo Moro
Alesha MacPhail,"July 2, 2018",Isle of Bute,"Abducted, raped, and murdered by Aaron Campbell, found guilty and sentenced to life in prison",Aaron Campbell,N/A,,,"Abduction, Rape, Murder",Life in prison (initially 27 years),,,,"Trial began on February 11, 2019, Campbell pleaded not guilty, special defense of incrimination, CCTV evidence, DNA, guilty verdict",Guilty,"Robert (father), Toni McLachlan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alesha MacPhail
Alexandra Flores,"November 18-19, 2001","El Paso, Texas","Found murdered after being kidnapped, last seen at Walmart, body found burnt and bruised",David Santiago Renteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandra Flores
Alicia Kozakiewicz,"January 1, 2002","Pittsburgh, PA","Lured by Scott Tyree, abducted at age 13, rescued after being held captive, media attention",Scott Tyree,N/A,Scott Tyree,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alicia Kozakiewicz
Allen Geoffrey Redston,"September 27, 1966","Canberra, Australia","Found murdered after being kidnapped, remains a cold case, suspected involvement of serial killer Derek Percy",Unidentified,1 day,"Two suspects: ""a blond-haired youth, aged 13–15"", and a young man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allen Redston
Shaariibuugiin Altantuyaa,"October 18, 2006","Shah Alam, Malaysia","Murdered with explosives, involvement of individuals close to former PM Najib Razak","Abdul Razak Baginda, Chief Inspector Azilah Hadri, Corporal Sirul Azhar Umar",N/A,"Abdul Razak Baginda, Chief Inspector Azilah Hadri, Corporal Sirul Azhar Umar",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altantuya Shaariibuu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amber Hagerman
Ammar al-Saffar,"November 19, 2006",Iraq,"Highest-ranking Iraqi official kidnapped, remains missing, tape showing shooting received",Men in police uniforms,N/A,"Hakim al-Zamili, General Hamid al-Shammari",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ammar al-Saffar
