Event,Date,Location,Casualties,Victims Killed,Perpetrators,Related Context,Aftermath/Repercussions,Discovery Details,Condition of Bodies,Specific Findings,Perpetrator,Related Conflict,Survivors,Significance,trigger
1984 anti-Sikh riots,1984,"Delhi, India","2,800 killed in Delhi, 3,350 nationwide (government estimates) 8,000-17,000 (independent estimates)",Sikhs,"Organised mobs, political officials connected to Indian National Congress","Assassination of Indira Gandhi, Operation Blue Star, criticism of army action, displacement of Sikhs, allegations of organised violence, support for Khalistan movement, failure to prosecute perpetrators, considered a genocide by Akal Takht, US accusations against Indian National Congress","Increased support for Khalistan movement, alienation of Sikhs, failure to prosecute perpetrators, allegations of government complicity, international criticism",,,,,,,,1984 Sikh massacre
1989 Panamanian coup d'état attempt,"October 3, 1989","Panama City, Panama",260 killed,260 (including Major Moisés Giroldi and 9 other PDF members),"Major Moisés Giroldi, Panamanian Defense Forces","Failed coup against Manuel Noriega, ""Albrook massacre"", deteriorating US-Panama relations","Suppression of coup, execution of coup leaders, US involvement and response",,,,,,,,1989 Panamanian coup d'茅tat attempt
Mokokchung Massacre,"December 27, 1994","Mokokchung, Nagaland, India","7 civilians killed, 5 burned alive, several women raped, more than a dozen missing","7 civilians, 5 burned alive (including a child)","10th Assam Rifles, 12th Maratha Light Infantry","Raid on civilian populace, destruction of property, human rights violations","Razing of shops, houses, vehicles, aftermath of violence, impact on local community",,,,,,,,1994 Mokokchung Massacre
1995 Kohima Massacre,"March 5, 1995","Kohima, Nagaland","7 killed, 36 injured",7,16th Rashtriya Rifles (Indian Army),"Tyre burst mistaken for bomb attack, firing on civilians, property damage",,,,,,,,,1995 Kohima Massacre
2001 Massacre of Plaza de Mayo,"December 20, 2001","Plaza de Mayo, Buenos Aires, Argentina","5 killed, 277 injured",5 fatalities,Not specified,"Economic crisis, riots, ""corralito"" banking restriction","Trial of 17 defendants, State of Emergency, impact on Argentine society",,,,,,,,2001 Massacre of Plaza de Mayo
2006 Qana airstrike,"July 30, 2006","Qana, Lebanon",28 killed (including 16 children),28 civilians,Israeli Air Force,"2006 Lebanon War, air strike on residential building, conflicting reports on cause of deaths","Halt in air strikes, calls for cease-fire, accusations of war crimes",,,,,,,,2006 Qana airstrike
Fort Hood mass shooting,"November 5, 2009","Fort Hood, Texas","13 killed, 30+ injured",13,Nidal Hasan,"Deadliest mass shooting on a U.S. military base, Nidal Hasan's trial and conviction","Investigations, Hasan's sentencing to death, legal actions by survivors and families",,,,,,,,2009 Fort Hood shooting
2009 Guinean protests,"September 28, 2009","Conakry, Guinea","At least 157 killed, 1,253 injured",Not specified,Security forces,"Protest against junta government, opposition rally, violation of human rights","Demand for justice, accusations of limiting freedom of speech, military coup aftermath",,,,,,,,2009 Guinean protests
Nuristan Eye Camp attack,"August 5, 2010","Badakhshan Province, Afghanistan",10 killed,"6 Americans, 2 Afghans, 1 Briton, 1 German",Unknown,"Suspected involvement of Hizb-e Islami and Taliban, refutation of claims, risks faced by aid workers in Afghanistan",,,,,,,,,2010 Badakhshan massacre
2010 San Fernando massacre,"August 24, 2010","San Fernando, Tamaulipas, Mexico",72 killed,"72 (58 men, 14 women)",Los Zetas drug cartel,"Mass murder of undocumented immigrants, survivors' accounts, motive behind the massacre","Capture of major perpetrator, discovery of mass graves, impact on Mexican Drug War",,,,,,,,2010 San Fernando massacre
2011 Durango massacres,2011,"Durango, Mexico",At least 340 bodies found in mass graves,Not specified,Not specified,"Series of mass murders, discovery of mass graves, former mayor among the victims","Investigation, impact on Durango, comparison to Tamaulipas massacre",,,,,,,,2011 Durango massacres
2011 San Fernando massacre,March 2011,"San Fernando, Tamaulipas, Mexico",193 killed,Not specified,Los Zetas drug cartel,"Mass murder, hijackings, blood sport, mass graves, exhumations, recruitment","Citizens fleeing, military response, arrests of perpetrators, return of tranquility",,,,,,,,2011 San Fernando massacre
2012 Nuevo Laredo massacres,2012,"Nuevo Laredo, Tamaulipas, Mexico",Not specified,Not specified,"Sinaloa Cartel, Gulf Cartel, Los Zetas","Drug violence, Mexican Drug War, control of drug corridor","Escalation of violence, control over drug trafficking routes",,,,,,,,2012 Nuevo Laredo massacres
2014 Bentiu massacre,"April 15, 2014","Bentiu, South Sudan",Over 400,Over 400,SPLM/A-IO (Nuer-led forces),"South Sudanese Civil War, targeting of specific ethnic and religious groups","High death toll, targeting of specific groups, impact on ongoing conflict",,,,,,,,2014 Bentiu massacre
Army Public School massacre,"December 16, 2014","Peshawar, Pakistan",149 killed,149 (including 132 schoolchildren),Tehrik-i-Taliban Pakistan militants (foreign nationals),"Similar to Beslan school crisis, rescue operation by Pakistan Army, lifting of death penalty moratorium, intensification of War in North-West Pakistan","Military courts for civilians, execution of perpetrators, continued counterterrorism efforts",,,,,,,,2014 Peshawar school massacre
Konya massacre,"July 30, 2021","Meram, Konya Province, Turkey",7 killed,"7 (4 women, 3 men)",Far-right Nationalist Movement Party affiliates,"Previous threats and attacks on the Kurdish family, murder and arson incident","Arrest of the perpetrator, ongoing investigation, impact on Kurdish-Turkish relations",,,,,,,,2021 Konya massacre
Nagaland civilian killings,"December 4, 2021","Oting, Mon District, Nagaland, India","15 killed (6 civilians, 8 more civilians, 1 soldier)",6 civilians,"21st Para Special Forces, Indian Army","Armed Forces Special Powers Act, secessionist politics, condemnation of killings","Calls to repeal Armed Forces Special Powers Act, condemnation of human rights violations",,,,,,,,2021 Nagaland killings
6 October 1976 massacre,"October 6, 1976","Bangkok, Thailand","46 killed, 167 wounded",More than 100 demonstrators,"Thai police, right-wing paramilitaries, bystanders","Crackdown on leftist protesters, anti-Thanom demonstrations, political polarization","Overthrow of military dictatorship, rise of fragile coalition governments, coup to restore order",,,,,,,,6 October 1976 massacre
Accomarca massacre,"August 14, 1985","Accomarca, Ayacucho, Peru",47-74 killed,"Unarmed men, women, children",Peruvian military,"Human rights violations, internal war in Peru","Infamous example of state-sponsored violence, national outrage, human rights advocacy efforts",,,,,,,,Accomarca massacre
Acteal massacre,"December 22, 1997","Acteal, Chiapas, Mexico",45 killed,45 (including children and pregnant women),Máscara Roja (paramilitary group),"Las Abejas, Zapatista Army of National Liberation, government involvement","Alleged government complicity, lack of intervention, ongoing activism by Las Abejas",,,,,,,,Acteal massacre
Axum massacre,November 2020,"Axum, Tigray, Ethiopia",100-800 civilians,Not specified,Eritrean Defence Forces,"Tigray War, shootings, burial in churches","International revelation, control of Axum Airport, heavy shelling",,,,,,,,Aksum massacre
al-Dawayima massacre,"October 29, 1948","al-Dawayima, Palestine",Hundreds killed,Hundreds (estimates vary),Israeli army (IDF's 89th Commando Battalion),"1948 Arab–Israeli War, Operation Yoav, former Irgun and Lehi forces involved","Estimates of casualties vary, conflicting reports on the number of victims",,,,,,,,Al-Dawayima massacre
Andijan massacre,"May 13, 2005","Andijan, Uzbekistan","187-1,500",Not specified,Uzbek National Security Service,"Protests, government response, international relations, alleged mass graves","Shift in foreign policy, closure of US military base, improved ties with China and Russia",,,,,,,,Andijan massacre
Anuradhapura massacre,"May 14, 1985","Anuradhapura, Sri Lanka",146 killed,"146 (including nuns, monks, and civilians)",Liberation Tigers of Tamil Eelam,"Largest massacre of Sinhalese civilians by LTTE, retaliation for Valvettiturai massacre","LTTE ordered the attack, EROS and PLOTE initially claimed responsibility, state intelligence discovered LTTE's involvement",,,,,,,,Anuradhapura massacre
Aramoana massacre,"November 13, 1990","Aramoana, New Zealand",13 killed,13 (including police sergeant and civilians),David Gray,"Spree shooting, deadliest mass shooting in New Zealand at the time","Changes to firearms legislation, impact on gun control laws in New Zealand",,,,,,,,Aramoana massacre
Aranthalawa massacre,"June 2, 1987","Aranthalawa, Eastern Sri Lanka",37 killed,"33 Buddhist monks, 4 civilians",Liberation Tigers of Tamil Eelam (LTTE),"Sri Lankan Civil War, targeting of young novice monks, significance of the massacre","Commemoration, impact on inter-ethnic relations, continued remembrance of the victims",,,,,,,,Aranthalawa Massacre
Asaba Massacre,October 1967,"Asaba, Delta State, Nigeria",Hundreds of innocent males,"Hundreds of men, women, and children",Federal troops,"Nigerian Civil War, Biafran War, massacre of civilians, show of support for ""One Nigeria""","Mass killings, burial in mass graves, impact on families and community",,,,,,,,Asaba massacre
Aztra massacre,"October 18, 1977","Aztra ingenio, La Troncal, Ecuador",Over 100,Mostly indigenous,National Police of Ecuador,"Workers' strike for better wages, lack of accountability, creation of human rights commission","Impact on workers' rights, inspiration for theater production",,,,,,,,Aztra massacre
Babrra Massacre,"August 12, 1948","Charsadda District, Pakistan","15 killed, 40 injured",15 protestors,Abdul Qayyum Khan Kashmiri (NWFP Chief Minister),"Non-violent Pashtun movement, Khudai Khidmatgar, British Raj, independence of India","Termination of elected provincial government, appointment of new chief minister, political implications",,,,,,,,Babrra massacre
Balad al-Shaykh massacre,1948,"Balad al-Shaykh, Mandatory Palestine",Not specified,Not specified,Haganah,"Early massacre during 1948 Palestine war, significant effect on Palestinian morale","Retaliation in ongoing conflict, part of larger civil war in Mandatory Palestine",,,,,,,,Balad al-Shaykh massacre
Bara Village massacre,"February 12-13, 1992","Gaya District, Bihar, India",40 killed,40 Bhumihars,Maoist Communist Centre of India (MCC),"Social justice politics, caste clashes, vendetta against Bhumihars","Arrests, court convictions, fallout of previous killings",,,,,,,,Bara massacre
Barrios Altos massacre,"November 3, 1991","Barrios Altos, Lima, Peru","15 killed, 4 injured",15 (including an 8-year-old child),Grupo Colina (Peruvian Armed Forces),"Shining Path rebels, human rights violations, Inter-American Court of Human Rights, Truth and Reconciliation Commission","Extradition of Fujimori, compensation to victims, part of Truth and Reconciliation Commission's review",,,,,,,,Barrios Altos massacre
November 2015 Paris attacks,"November 13, 2015","Paris, France and Saint-Denis","130 killed, 416 injured",130,Islamic State of Iraq and the Levant,"Coordinated Islamist terrorist attacks, retaliation for French airstrikes, deadliest in France since WWII","Heightened security measures, increased anti-terrorism efforts, impact on European security",,,,,,,,Bataclan massacre
Batang Kali massacre,"December 12, 1948","Batang Kali, Malaya",24 unarmed villagers,24 unarmed villagers,British troops of the Scots Guards,"Counter-insurgency operations, Malayan Emergency, ""Britain's My Lai"" comparison","No charges brought against alleged perpetrators, investigations by British government, re-examination of evidence by Royal Malaysia Police",,,,,,,,Batang Kali massacre
Başbağlar massacre,"July 5, 1993","Başbağlar, Erzincan Province, Turkey",33 civilians,Not specified,Kurdistan Workers' Party (alleged),"Kurdish-Turkish conflict, allegations of involvement by deep state, conflicting claims","Arrests, life imprisonment for some, closure of the case in 1998",,,,,,,,Ba艧ba臒lar massacre
Beit Lid suicide bombing,"January 22, 1995","Beit Lid Junction, Israel",Not specified,Not specified,Palestinian Islamic Jihad,"First suicide attack by Palestinian Islamic Jihad, alliance with Hamas, use of bombs by Yahya Ayyash","Strategic location, impact on Israeli soldiers, presence of Hamas founder Ahmed Yassin",,,,,,,,Beit Lid massacre
Beslan school siege,"September 1, 2004","Beslan, North Ossetia, Russia",333 killed,333 (including 186 children),Riyad-us Saliheen (Chechen terrorists),"Demand for Russian withdrawal from Chechnya, deadliest school shooting, security and political repercussions","Federal government reforms, criticisms of Russian government, strengthening of presidential powers",,,,,,,,Beslan school hostage crisis
Bình Tai Massacre,"October 9, 1966","Bình Tai village, Bình Định Province, South Vietnam",29-168 citizens,Not specified,South Korean Forces,"Retaliation for killing of ROKA Infantry Major and ROK Marine Artillery Jungsa, punitive action, war crimes investigation","Testimonies, investigation, discussion in People's Tribunal on War Crimes by South Korean Troops during the Vietnam War",,,,,,,,Binh Tai Massacre
Bisho massacre,"September 7, 1992","Bisho, Ciskei (now Eastern Cape, South Africa)",28 ANC supporters and 1 soldier killed,28 ANC supporters,Ciskei Defence Force,"Protest march for reincorporation into South Africa, apartheid, negotiations for multi-racial democratic elections",,,,,,,,,Bisho massacre
Blue Market massacre,"March 13, 1999","Istanbul, Turkey","13 killed, 5 injured",13 (mostly women and store employees),Kurdistan Workers' Party,"Terrorist attack on a department store, condemnation by Turkish officials","Arrest and trial of suspects, sentencing to life imprisonment",,,,,,,,Blue Market massacre
Bodo League massacre,Summer 1950,South Korea,"60,000-200,000",Communists and suspected sympathizers,South Korean government,"Korean War, false blame on communists, concealment by government","Public awareness, excavation of mass graves, re-education movement, political repercussions",,,,,,,,Bodo League massacre
Bloody Sunday,"January 30, 1972","Derry, Northern Ireland","14 killed, 26 wounded",14 civilians,British soldiers,"Protest march against internment without trial, involvement of Parachute Regiment","Widgery Tribunal, Saville Inquiry, findings of unjustified killings",,,,,,,,Bogside massacre
Boipatong massacre,"June 17, 1992","Boipatong, South Africa","45 killed, several injured",45,Inkatha Freedom Party supporters,"Attack on township residents, political rivalry, negotiation talks, involvement of police force","Allegations of police involvement, impact on negotiations, conflicting trial outcomes",,,,,,,,Boipatong massacre
Bor massacre,"November 15, 1991","Bor, South Sudan","Estimated 2,000",Dinka civilians,"Nuer fighters from SPLA-Nasir, Nuer White Army","Second Sudanese Civil War, Riek Machar's involvement, displacement and famine","Apology by Riek Machar, displacement and famine aftermath",,,,,,,,Bor massacre
Brown's Chicken Massacre,"January 8, 1993","Palatine, Illinois",7 killed,7 employees,"Juan Luna, James Degorski","Unsolved mass murder, DNA evidence, suspects' trials and convictions","Life imprisonment for Luna and Degorski, closure for victims' families",,,,,,,,Brown's Chicken massacre
Bình Hòa Massacre,"October 22-26, 1966","Bình Hòa village, Quảng Ngãi Province, South Vietnam",403-430 killed,"Mostly children, elderly, women",South Korean forces,"Alleged massacre by South Korean forces, operational area of Blue Dragon Brigade","Survivors joining Viet Cong, accusations of similar massacre in Binh Tai village, media disclosure in late 1980s",,,,,,,,B矛nh H貌a massacre
Cadereyta Jiménez massacre,"May 12-13, 2012","Cadereyta Jiménez, Nuevo León, Mexico",49 killed,"49 (43 men, 6 women)",Los Zetas drug cartel,"Drug cartel violence, territorial disputes, drug trafficking hub","Heightened security measures, impact on drug trafficking routes",,,,,,,,Cadereyta Jim茅nez massacre
Camargo Municipality massacre,"January 22, 2021","Camargo, Tamaulipas, Mexico",19 killed,"19 (16 Guatemalans, 2 Mexicans, 1 unidentified)",Noreste and Gulf Cartels,"Mexican drug war, violence in Tamaulipas, migrant deaths","Arrest of police officers, ongoing investigation",,,,,,,,Camargo massacre
Capitol Hill massacre,"March 25, 2006","Seattle, Washington","6 killed, 2 wounded",6,Kyle Aaron Huff,"Mass murder at rave after-party, suicide by perpetrator","Increased security measures, impact on local community",,,,,,,,Capitol Hill massacre
Capture of Garadaghly,"February 17, 1992","Garadaghly, Khojavend district, Nagorno-Karabakh","More than 20 killed, 15 wounded",More than 53 Azerbaijani villagers,"Armenian volunteer units (Arabo, Aramo, Monte Melkonian's units)","First Nagorno-Karabakh War, escalation of violence, partisan-style conflict","Forced residents to flee, massacre of captives, survivors fled to Agdam",,,,,,,,Capture of Garadaghly
Carandiru massacre,"October 2, 1992","Carandiru Penitentiary, São Paulo, Brazil","111 killed, 37 injured",111 prisoners,Military police,"Prison riot, human rights violation, police intervention","Shock and outrage, legal proceedings, calls for justice",,,,,,,,Carandiru massacre
Cave of the Patriarchs massacre,"February 25, 1994","Hebron, West Bank","29 killed, 125 wounded",29 (including children),Baruch Goldstein (Kach movement),"Jewish holiday overlap, Ibrahimi Mosque attack, mass protests, clashes","Denouncement of Goldstein, additional casualties in clashes, banning of Kach party",,,,,,,,Cave of the Patriarchs massacre
Charleston church shooting,"June 17, 2015","Charleston, South Carolina",9 killed,9 African Americans,Dylann Roof,"Mass shooting during Bible study, white supremacist targeting black church members","Removal of Confederate flag from State Capitol grounds, Roof's conviction and sentencing",,,,,,,,Charleston church shooting
Christchurch mosque shootings,"March 15, 2019","Christchurch, New Zealand","51 killed, 40 injured",51,Brenton Harrison Tarrant (white supremacist),"Consecutive attacks at Al Noor Mosque and Linwood Islamic Centre during Friday Prayer, global rise in white supremacy and alt-right extremism","Life imprisonment without parole for Tarrant, royal commission into security agencies, condemnation by world leaders",,,,,,,,Christchurch mosque shootings
Coahuila mass graves,"June 3, 2011","Piedras Negras, Coahuila, Mexico",38 killed,,,,,Found by Mexican military after anonymous call,Bodies burned to death,"Buttons, shirts, coins, watches found, graves covered with soil and grass",,,,,Coahuila mass graves
Coastal Road massacre,"March 11, 1978","Coastal Highway, Israel","38 killed, 76 wounded",38 civilians (including 13 children),Fatah (Palestinian militants),"Planned by Abu Jihad, aimed to disrupt peace talks, worst terrorist attack in Israel","Israel's Operation Litani in response, PLO claimed responsibility, impact on peace talks",,,,,,,,Coastal Road massacre
Columbine High School massacre,"April 20, 1999","Columbine, Colorado, United States","13 killed, 24 injured","12 students, 1 teacher",Eric Harris and Dylan Klebold,"School shooting, attempted bombing, impact on gun control laws and school security","Increased emphasis on school security, debates on societal issues",,,,,,,,Columbine High School Massacre
Corpus Christi Massacre,"June 10, 1971","Mexico City, Mexico",Nearly 120 killed,120 (including a 14-year-old boy),Government forces,"Mexican Dirty War, student demonstrations, anticipation of political reforms","Political reforms, resolution of conflict at University of Nuevo León",,,,,,,,Corpus Christi massacre
Damour massacre,"January 20, 1976","Damour, Lebanon",Not specified,"Hundreds of civilians, including women, elderly, and children","PLO, as-Sa'iqa units","Lebanese Civil War, ethnic cleansing, retaliation for Karantina massacre","Forced displacement, destruction of property, escalation of Christian-Muslim divide",,,,,,,,Damour massacre
Deir Yassin massacre,"April 9, 1948","Deir Yassin, near Jerusalem",At least 107 killed,At least 107 Palestinian Arabs (including women and children),"Irgun, Lehi (Zionist paramilitary groups)","Civil war in Palestine, Jewish militia seeking to relieve blockade of Jerusalem","Condemnation by Haganah, international figures, pivotal event in Arab-Israeli conflict",,,,,,,,Deir Yassin massacre
Somaliland War of Independence,6 April 1981 - 18 May 1991,Northern Somalia (Somaliland),"50,000–100,000","3,000-4,000 (Isaaq Genocide)","Somali National Movement, Somali Army","Rebellion against Siad Barre regime, Isaaq clan persecution, Somali Rebellion","Declaration of independence, formation of Republic of Somaliland",,,,,,,,Dilla Massacre
Dolphinarium discotheque bombing,"June 1, 2001","Tel Aviv, Israel",21 killed,21 Israelis (16 teenagers),Hamas,"Suicide bombing targeting Israeli teenagers, majority of victims were recent immigrants from the former Soviet Union","Increased tensions, condemnation from Palestinian Authority, failed attack attempt prior to bombing",,,,,,,,Dolphinarium discotheque massacre
Dos Erres massacre,"December 6, 1982","Dos Erres, Guatemala",Over 200 killed,"Men, women, and children of Dos Erres",Commandos working as government forces,"Government's scorched earth policy, involvement of General Efraín Ríos Montt","President's formal apology, soldiers sentenced to prison, legal proceedings against perpetrators",,,,,,,,Dos Erres massacre
Dujail massacre,"July 8, 1982","Dujail, Iraq",Not specified,Not specified,Ba'athist Iraqi government,"Retaliation for assassination attempt, Shia Muslim civilians, Dawa Party stronghold","Mass executions, exile of residents, Saddam Hussein's trial and execution",,,,,,,,Dujail Massacre
Dunblane massacre,"March 13, 1996","Dunblane, Scotland, United Kingdom","17 killed, 15 injured","16 pupils, 1 teacher",Thomas Hamilton,"Deadliest mass shooting in British history, gun control debate, Cullen Report","Firearms Acts banning private ownership of most handguns, public petitions for gun control",,,,,,,,Dunblane massacre
