Event Trigger,Parties Involved,Territories Involved,Outcome,Duration,Start Date,Total Military Casualties,End Date,Date,1978 South Lebanon conflict,Israeli occupation of southern Lebanon (Second phase),Israeli invasion of Lebanon (Third phase),Israeli occupation of southern Lebanon (Fourth phase),International incidents,Total Civilian Deaths,Impact on Population,Invasion of Georgia (U.S.),Invasion of Georgia (Country),Iraqi Invasion of Kuwait,Coalition Intervention,Naval Operations,Air Campaign,Liberation of Kuwait,Post-ceasefire,Spanish Occupation of the Netherlands,French Invasion of the Netherlands,German Occupation of the Netherlands,Formal Annexation Date,Recognition of Annexation,Impact on Population and Political Structure,Burgundian Occupation of Luxembourg,Spanish Occupation of Luxembourg,French Occupation of Luxembourg,German Occupation of Luxembourg,Nazi Occupation of Luxembourg,Allied Occupation of Luxembourg,Ukrainian State Occupation,Soviet Occupation of Western Ukraine,Nazi Occupation of Ukraine,Russian Occupation of Crimea,Donetsk and Luhansk Occupation,Axis Failure,Frontline Strength,Other Involved Country Losses,trigger
,,,,,,,,,"Israeli military victory, PLO forced to withdraw from southern Lebanon","Continued Israeli presence in southern Lebanon, ongoing conflict","Israeli invasion of Lebanon, Siege of Beirut, Sabra and Shatila massacre","Continued Israeli presence, rise of Hezbollah, increased resistance","UN Security Council Resolutions 425 and 426, establishment of UNIFIL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978 South Lebanon conflict
1982 Lebanon War,"Israel, PLO, Syria, Free Lebanon State, Maronite allies","Southern Lebanon, West Beirut","Israeli invasion following attacks, occupation of southern Lebanon, expulsion of PLO and Syrian influence, failed peace treaty, assassination of Bachir Gemayel","June 6, 1982 - 1990",,Unknown casualties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982 Lebanon War
1988 Maldives Coup d'état Attempt,"Indian Armed Forces, Maldivian government, PLOTE mercenaries",Maldives,"Defeat of coup attempt by Indian paratroopers in Operation Cactus, Maldivian government victory",November 1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988 Maldives coup d'茅tat
2003 Invasion of Iraq,"United States, United Kingdom, Australia, Poland",Iraq,"Invasion phase of the Iraq War, capture of Baghdad, establishment of Coalition Provisional Authority","March 19, 2003 - May 1, 2003",,"196+ killed, 551+ wounded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 invasion of Iraq
Bolshevik victory,"Allied Powers, Czechoslovak Legion, White forces, Central Powers, Japanese Empire","Trans-Siberian Railway, Siberia, Arkhangelsk, Vladivostok","Allied intervention to support Czechoslovak Legion, White forces, and prevent German exploitation of Russian resources, withdrawal of forces by 1920, Japanese intervention in Siberia until 1922, Empire of Japan occupation of northern Sakhalin until 1925",1918-1920,1918,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied intervention in the Russian Civil War
Allied Administration of Libya,"United Kingdom, France, Italy","Tripolitania, Cyrenaica, Fezzan","Allied control of Italian Libya, divided administration by the UK and France, training of Libyan civil service, Italian legal code in effect, French military administration in Fezzan, liberation of Cyrenaica in November 1942, end of occupation in 1951 with Libyan independence","May 13, 1943 - 1951","May 13, 1943",,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied occupation of Libya
Allied Occupation of Austria,"United Kingdom, Soviet Union, United States, France","Austria, Vienna","Division into occupation zones, joint occupation by Western Allies and Soviet Union, Vienna under Allied Control Council, full independence and neutrality granted to Austria in 1955, last occupation troops left in October 1955","April 27, 1945 - July 27, 1955","April 27, 1945",,"July 27, 1955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied-occupied Austria
Allied Occupation of Germany,"United States, United Kingdom, Soviet Union, France",Allied-occupied Germany,"Division of Germany into four occupation zones, return of annexed territories, detachment of eastern territories beyond Oder-Neisse line",,"May 8, 1945",,"October 1, 1949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied-occupied Germany
Anglo-Soviet Invasion of Iran,"United Kingdom, Soviet Union, Imperial State of Iran",Iran,"Invasion to secure supply lines to the USSR, protect Iranian oil fields, limit German influence, and preempt Axis advance, leading to the abdication of Reza Shah and his replacement by Mohammad Reza Pahlavi",August 1941,,Unknown casualties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anglo-Soviet invasion of Iran
Annexation of Dadra and Nagar Haveli,"Nationalist and Communist rebels from India, United Front of Goans, Communist Party of India, Rashtriya Swayamsevak Sangh, Azad Gomantak Dal",Dadra and Nagar Haveli,"Occupation of Dadra and Nagar Haveli by Indian activists, displacement of Portuguese rule, territories merged into the Indian Union in 1961",1954,,"Nearly 201,000 volunteer fighters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annexation of Dadra and Nagar Haveli
Annexation of Goa,"Republic of India, Portuguese Government","Goa, Daman, Diu","Annexation of Portuguese Indian territories by India, Operation Vijay, decisive victory for India, end of 451 years of Portuguese rule, mixed international reactions",December 1961,,"22 Indians, 30 Portuguese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annexation of Goa
Operation Polo,"Dominion of India, Hyderabad State",Hyderabad State,"Annexation of Hyderabad into the Indian Union, following military action by the Indian Armed Forces, Nizam's signing of the instrument of accession, and the end of the princely state's independence",,September 1948,,September 1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annexation of Hyderabad
Occupation of Junagadh,"Dominion of Pakistan, Government of India",Junagadh,"Dispute over accession, Hindu-majority population, surrounding by India, cessation of trade, food shortages, eventual integration into India","August 15, 1947 - February 1948","August 15, 1947",,February 1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annexation of Junagadh
Chinese Occupation of Tibet,"People's Republic of China, Government of Tibet, Central Tibetan Administration",Tibet,"Tibet accepted the Seventeen Point Agreement, ""Peaceful Liberation of Tibet"" by China, ""Chinese invasion of Tibet"" by Tibetan diaspora, Tibetan uprising in 1959, dissolution of Tibetan government and social structures",October 1951 - 1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annexation of Tibet
