Event Name,Date,Location,Notable Winners,Hosts,Host,Special Honors,Notable Performances,Leading Nominations,Special Details,trigger
37th Academy of Country Music Awards,"May 22, 2002","Universal Amphitheatre, Los Angeles, California",**Bold Winners**,,Reba McEntire,,,,,37th Academy of Country Music Awards
38th Academy of Country Music Awards,"May 21, 2003","Mandalay Bay Resort & Casino, Las Vegas, Nevada",**Bold Winners**,Reba McEntire,,,,,,38th Academy of Country Music Awards
39th Academy of Country Music Awards,"May 26, 2004","Mandalay Bay Resort & Casino, Las Vegas, Nevada",**Bold Winners**,Reba McEntire,,,,,,39th Academy of Country Music Awards
40th Academy of Country Music Awards,"May 17, 2005","Mandalay Bay Resort & Casino, Las Vegas, Nevada",**Bold Winners**,-,,,,,,40th Academy of Country Music Awards
41st Academy of Country Music Awards,"May 23, 2006","MGM Grand Garden Arena, Las Vegas, Nevada",**Bold Winners**,,Reba McEntire,,,,,41st Academy of Country Music Awards
42nd Academy of Country Music Awards,"May 15, 2007","MGM Grand Garden Arena, Las Vegas, Nevada",**Bold Winners**,,Reba McEntire,,,,,42nd Academy of Country Music Awards
43rd Academy of Country Music Awards,"May 18, 2008","MGM Grand Garden Arena, Las Vegas, Nevada",**Bold Winners**,,Reba McEntire,,,,,43rd Academy of Country Music Awards
44th Academy of Country Music Awards,"April 5, 2009","MGM Grand Garden Arena, Las Vegas, Nevada",**Bold Winners**,,Reba McEntire,,,,,44th Academy of Country Music Awards
45th Academy of Country Music Awards,"April 18, 2010","MGM Grand Garden Arena, Las Vegas, Nevada",**Bold Winners**,Reba McEntire,,,,,,45th Academy of Country Music Awards
46th Academy of Country Music Awards,"April 3, 2011","MGM Grand Garden Arena, Mandalay Bay, Las Vegas, Nevada",**Bold Winners**,"Reba McEntire, Blake Shelton",,,,,,46th Academy of Country Music Awards
47th Academy of Country Music Awards,"April 1, 2012","MGM Grand Garden Arena, Las Vegas, Nevada",**Bold Winners**,"Reba McEntire, Blake Shelton",,,,,,47th Academy of Country Music Awards
48th Academy of Country Music Awards,"April 7, 2013","MGM Grand Garden Arena, Las Vegas, Nevada",**Bold Winners**,"Blake Shelton, Luke Bryan",,,,,,48th Academy of Country Music Awards
49th Academy of Country Music Awards,"April 6, 2014","MGM Grand Garden Arena, Las Vegas, Nevada",**Bold Winners**,"Blake Shelton, Luke Bryan",,,,,,49th Academy of Country Music Awards
50th Academy of Country Music Awards,"April 19, 2015","AT&T Stadium, Arlington, Texas",**Bold Winners**,"Blake Shelton, Luke Bryan",,,,,,50th Academy of Country Music Awards
51st Academy of Country Music Awards,"April 3, 2016","MGM Grand, Las Vegas, Nevada",**Bold Winners**,"Luke Bryan, Dierks Bentley",,Categories voted by fans changed to professional membership voting,-,-,,51st Academy of Country Music Awards
52nd Academy of Country Music Awards,"April 2, 2017","T-Mobile Arena, Las Vegas, Nevada",**Bold Winners**,"Luke Bryan, Dierks Bentley",,-,-,,,52nd Academy of Country Music Awards
53rd Academy of Country Music Awards,"April 15, 2018","MGM Grand Garden Arena, Las Vegas, Nevada",**Bold Winners**,,Reba McEntire,Reba McEntire hosting for the fifteenth time,-,Chris Stapleton (5),,53rd Academy of Country Music Awards
54th Academy of Country Music Awards,"April 7, 2019","MGM Grand Garden Arena, Las Vegas, Nevada",**Bold Winners**,Reba McEntire,,"Jason Aldean honored as ""Artist of the Decade""","Amanda Shires, Charlie Worsham, Luke Combs, Keith Urban, Dierks Bentley, Brandi Carlile, Little Big Town, Miranda Lambert, Ashley McBryde","Chris Stapleton, Dan + Shay (6 each)",,54th Academy of Country Music Awards
55th Academy of Country Music Awards,"September 16, 2020","Nashville, Tennessee","**Miranda Lambert** (35th ACM award), **Thomas Rhett, Carrie Underwood** (Entertainer of the Year tie)",,Keith Urban,,,,"First major in-person award event in the US post-COVID, first tie for Entertainer of the Year award",55th Academy of Country Music Awards
56th Academy of Country Music Awards,"April 18, 2021","Nashville, Tennessee","Maren Morris, Lee Brice, Carly Pearce (2 each)","Keith Urban, Mickey Guyton",,"Keith Urban, Mickey Guyton making history as hosts",Record four Black artists performing,"Maren Morris (5), Highwomen",,56th Academy of Country Music Awards
57th Academy of Country Music Awards,"March 7, 2022","Allegiant Stadium, Las Vegas, Nevada",**Bold Winners**,"Dolly Parton, Jimmie Allen, Gabby Barrett",,ACM leaving CBS for Amazon Prime Video,-,"Miranda Lambert, Carly Pearce, Carrie Underwood, Chris Young (4 each)",,57th Academy of Country Music Awards
