Date,Location,Casualties,Train Description,Impact,Cause of Accident,Substances Involved,Causes of Accident,Government Response,Bus Description,"First railway chartered in Ontario as the London and Gore Railroad in 1834, rechartered as Great Western Railway in 1845","Peak length of 1,371 kilometers, main base in Hamilton, pivotal in opening up Canada West's interior",Significant bridge line between New York Central and Michigan Central Railroads,"Sir Allan MacNab key in financing, pushed out in 1854; Samuel Zimmerman promoted construction","Roswell Gardinier Benedict, assistant chief engineer, later chief engineer",Original line connected Niagara Falls to Windsor via Hamilton and London in 1853–54,"Branches opened to Toronto, Sarnia, and Bruce Peninsula in 1855","Beaten into service by Ontario, Simcoe and Huron Railway by six months due to construction delays",trigger
"November 10, 1979","Mississauga, Ontario, Canada","0 fatalities, 200,000 evacuated","CP Rail freight train from Windsor, Ontario derailed carrying chemicals and explosives","No fatalities, largest peacetime evacuation in North America, chemical spill and explosions",,"Styrene, toluene, propane, caustic soda, chlorine","Improperly-lubricated journal bearing caused a ""hot box"" leading to derailment and tank car explosions","Last major explosion in Greater Toronto Area until 2008, evacuation of 200,000 people, environmental impact",,,,,,,,,,1979 Mississauga train derailment
"August 11, 1995","Toronto, Ontario, Canada","3 killed, 30 injured","Line 1 Yonge–University subway, rear-end collision between two trains","Deadliest accident in Canadian rapid transit history, subway line shut down for five days","Human error, design flaw in mechanical safety devices",,,,,,,,,,,,,1995 Russell Hill subway accident
"April 12, 2001","Stewiacke, Nova Scotia, Canada",24 injured,Via Rail's Ocean train from Halifax to Montreal derailed due to a 13-year-old boy tampering with a railway switch,"24 injuries, destruction of dining car and farm supply outlet, nine cars derailed","Boy tampering with switch, train travelling at 77 km/h",,,,,,,,,,,,,2001 Stewiacke Via derailment
"February 26, 2012","Aldershot, Burlington, Ontario, Canada","3 killed, 46 injured","Via Rail train 92, eastbound passenger train from Niagara Falls to Toronto","3 fatalities, 46 injuries, derailment in industrial area east of Aldershot GO Station","Crew misinterpreted signal, believed authorized for track speed, actually slow speed",,,"Transportation Safety Board of Canada investigation, report released on June 10, 2013",,,,,,,,,,2012 Burlington Via derailment
"September 18, 2013","Barrhaven, Ottawa, Ontario, Canada","6 killed, 35 injured","Via Rail train #51 from Ottawa to Toronto, travelling at 75 km/h","6 fatalities, 35 injuries, sheared front end of bus, train derailment, condolences from officials","Collision at rail crossing, bus travelling at 67.6 km/h, train emergency brakes applied",,,,OC Transpo Route 76 double-decker bus with 83 passengers,,,,,,,,,2013 Ottawa bus–train crash
"November 21, 1950","Valemount, British Columbia, Canada",21 killed,Westbound troop train and eastbound Canadian National Railway Continental Limited collided head-on,"21 fatalities, including 17 Canadian soldiers en route to Korean War, installation of block signals, realignment of main line, successful defence by John Diefenbaker","Miscommunication in orders, incomplete message to troop train",,,,,,,,,,,,,Canoe River train crash
"August 5, 2005","Cheakamus River, British Columbia, Canada",0 fatalities,"Canadian National Railway freight train derailed, spilling caustic soda into river","Over 500,000 fish killed, restrictions on train car numbers, $7 million cost to CN",,Caustic soda,"Derailment of nine cars, caustic soda spill, environmental contamination, fish fatalities",,,,,,,,,,,Cheakamus River derailment
"October 7, 1966","Dorion, Quebec, Canada","20 killed, several injured",CN Rail freight train struck a school bus carrying 42 students at a level crossing,"20 fatalities, bus split in half and dragged, injured taken to hospital, funerals held for the deceased","Unseen second train heading westbound, students lifting crossing gates",,,,,,,,,,,,,Dorion level crossing accident
"September 1, 1947","Dugald, Manitoba, Canada",31 killed,"Minaki Campers’ Special, seasonal excursion service, collided head-on with eastbound train No. 4, the Continental Limited","31 fatalities, wooden carriages caught fire, series of events causing fires and explosions","Failure to enter siding at the east switch, head-on collision at 30 mph",,,,,,,,,,,,,Dugald rail accident
,,,,,,,,,,"First railway chartered in Ontario as the London and Gore Railroad in 1834, rechartered as Great Western Railway in 1845","Peak length of 1,371 kilometers, main base in Hamilton, pivotal in opening up Canada West's interior",Significant bridge line between New York Central and Michigan Central Railroads,"Sir Allan MacNab key in financing, pushed out in 1854; Samuel Zimmerman promoted construction","Roswell Gardinier Benedict, assistant chief engineer, later chief engineer",Original line connected Niagara Falls to Windsor via Hamilton and London in 1853–54,"Branches opened to Toronto, Sarnia, and Bruce Peninsula in 1855","Beaten into service by Ontario, Simcoe and Huron Railway by six months due to construction delays",Great Western Railway disaster
"February 8, 1986","Hinton, Alberta, Canada",23 killed,Canadian National Railway freight train and Via Rail passenger train Super Continental,"Deadliest rail disaster in Canada since 1947, serious flaws in safety practices, 56-day public inquiry","Freight crew failed to stop, conductor didn't use emergency brake",,,,,,,,,,,,,Hinton train collision
"October 27, 1854","Baptiste Creek near Jeannettes Creek, Chatham-Kent, Ontario, Canada",52 killed,"Train left Niagara Falls with eight cars, delays due to fog and mechanical issues","52 fatalities, worst rail disaster in North America at the time, severe damage to second-class and first-class cars","Gravel train mistakenly ventured onto mainline, collision at 5 a.m.",,,,,,,,,,,,,Jeannette's Creek train wreck
"July 6, 2013","Lac-Mégantic, Quebec, Canada",47 killed,"Montreal, Maine and Atlantic Railway freight train carrying Bakken Formation crude oil","47 fatalities, destruction of buildings, petroleum contamination, fourth-deadliest rail accident in Canadian history","Train left unattended on main line, insufficient handbrakes, lack of backup safety mechanism",,,,,,,,,,,,,Lac-M茅gantic rail disaster
"September 15, 2018","Ponton, Manitoba, Canada","1 killed, 1 injured","Train pulled by 3 locomotives, several dozen tanker cars carrying liquid petroleum","Diesel fuel leak, conflicting reports on cargo spill, train derailed due to beavers according to TSB","Derailment near Metishto River, spill of diesel fuel, train conductor fatally injured","Diesel fuel, gasoline, liquid propane gas, butane",,,,,,,,,,,,Ponton train derailment
"March 4, 1910","Rogers Pass, British Columbia, Canada",58 killed,"Canadian Pacific Railway's line through Rogers Pass, transcontinental railroad through Selkirk Mountains","Canada's worst avalanche disaster, 58 fatalities, locomotive and cars crushed, track buried","Unexpected avalanche from Avalanche Mountain, buried tracks and work crew",,,,,,,,,,,,,Rogers Pass avalanche
"January 21, 1910","Spanish River near Nairn, Ontario, Canada",At least 43 killed,Canadian Pacific Railway's No. 7 Soo Express passenger train derailed and crashed into Spanish River bridge,"At least 43 fatalities, second-class coach detached and rammed into bridge, resulting in derailment and fire","Derailment on the Webbwood Subdivision line, conflicting accounts of the incident",,,,,,,,,,,,,Spanish River derailment
"June 29, 1864","Mont-Saint-Hilaire, Quebec, Canada",99 killed,Grand Trunk passenger train fell through an open swing bridge into the Richelieu River,"Worst railway accident in Canadian history, 354-475 passengers, many immigrants, crammed into box cars, bridge built to not interrupt shipping lanes","Crew failed to obey stop signal, swing bridge opened for passing ships",,,,,,,,,,,,,St-Hilaire train disaster
