Duration,Main Causes,Impact on Economy,Key Figures,Economic Indicators,Actions Taken,Start Date,End Date,Unemployment Rates,GDP Decline,Key Outcomes,Peak Unemployment Rate,Recovery,trigger
November 1973 - March 1975,"1973 oil crisis, fall of the Bretton Woods system, emergence of newly industrialized countries, steel crisis, 1973–74 stock market crash","Stagflation, high unemployment and inflation, economic stagnation, low economic growth, restructuring of industrial core areas","Jimmy Carter, Ronald Reagan","2.3 million job losses, high inflation until early 1980s, 1973–74 stock market crash","Restructuring of industrial core areas, economic expansion from 1975, low economic growth",November 1973,March 1975,Peaked at 9% in May 1975,"3.9% decline in the UK, 14 quarters for GDP recovery",,,,1973–75 recession
February 2020 - Present,"COVID-19 pandemic, global lockdowns, economic slowdown, stock market crash","Global economic crisis, rapid increase in unemployment, drop in oil prices, energy crisis","United Nations, global leaders, Federal Reserve officials","10 million unemployment cases in the US, 6.7% global working hours lost, drop in oil prices","Recovery efforts, stimulus packages, monetary policy adjustments",February 2020,,Expected around 10% in some countries,Recovery to pre-pandemic levels by late 2020,,,,COVID-19 recession
January 1980 - July 1980,"Contractionary monetary policy, energy crisis, double-digit inflation, manufacturing and construction struggles","Unemployment rate remained unchanged, second recession in July 1981, strong recovery and lengthy expansion through 1990","Paul Volcker, Federal Reserve officials","Double-digit inflation, consumer price index increases, stagflation, rise in core consumer price index","Adoption of neoliberal economic policies, tax reform, stronger monetary policy by the Federal Reserve",,,,,,,,Early 1980s recession in the United States
1990-1993,"Restrictive monetary policy, 1990 oil price shock, end of the Cold War, savings and loan crisis, slump in office construction","15% reduction in active companies, nearly 20% unemployment in Finland, civil disturbances in the UK, growth of discount stores in the US","Bill Clinton, George H. W. Bush, Brian Mulroney","Global GDP growth by 1994, Canada in recession from April 1990 to April 1992, US economy returned to 1980s level growth by 1993","Central banks enacted restrictive monetary policy, US economy recovered by 1993, Canada raised interest rates higher than the US",,,,,"Canada's recession deeper than the US, Canada's economy weakened in Q2 1989, employment growth remained moderate throughout 1989",,,Early 1990s recession
2000-2001,"Slowdown after 1997 Asian financial crisis, burst of dot-com bubble, NASDAQ crash in March 2000","Mild recession in industrialized countries, no consecutive quarters of negative growth in the US, belated unemployment rate peak of 7.8% in mid-1992","Federal Reserve officials, economists predicting the recession, defense industry leaders",,,,,"7.8% peak in mid-1992, job growth initially muted by defense industry layoffs",,,,"Job growth accelerated in 1992, robust growth through 2000, Federal Reserve raised interest rates to cool the economy",Early 2000s recession
13 months,"Reduction in production, decline in durable goods, high unemployment rates, decline in manufacturing output","Industrial production fell by almost 30%, unemployment rose from 14.3% to 19.0%, manufacturing output declined by 37%",,,"Roosevelt Administration under assault, reduction in consumer expenditures, cutbacks in production, hourly earnings continued to rise",Mid-1937,Most of 1938,Jumped from 14.3% in May 1937 to 19.0% in June 1938,,,,,Recession of 1937–1938
11 months,"Post-World War II economic adjustments, monetary tightening, fall in fixed investments","1.7% GDP decline, 7.9% peak unemployment rate, 22% drop in department store sales","President Truman, Federal Reserve officials","-1.5% GNP change, 12-point drop in wholesale price index, 5-point drop in cost of living index",,November 1948,October 1949,,,"Recovery post-recession, economic reforms, lessons learned for future economic policies",7.9%,,Recession of 1949
Second quarter of 1953 - First quarter of 1954,"Post-Korean War inflation, funds transferred to national security, restrictive monetary policy, debt-refunding, increase in interest rates","Total cost of $56 billion, demand-driven recession, decline in GDP due to government spending and investment","James L. Sundquist, President Harry S. Truman, Federal Reserve officials, Treasury officials","Increase in interest rates, decrease in aggregate demand, increase in savings, decrease in consumer expectations","Federal Reserve increased availability of reserves, Treasury pursued flexible interest rate policies",,,Increased due to decline in output and employment,Decline due to decrease in aggregate demand and government spending,,,,Recession of 1953
8 months,"Worldwide economic downturn, spread to Europe and Canada, businesses shutting down","Sharp economic decline, recovery began in May 1958, new high levels of employment and production by the end of 1958","Dwight D. Eisenhower, Raymond J. Saulnier, Robert B. Anderson, Lyndon B. Johnson","Reduction in employment, production, and income, general reduction in economic activity","Government efforts to promote prompt economic recovery, focus on stimulating recovery while maintaining financial stability",,,,,"Index of industrial production at 142% of 1947-1949 average, total employment increased by 1 million, unemployment reduced by 1 million, Gross National Product at $453 billion annual rate",,,Recession of 1958
10 months,"Federal Reserve tightening monetary policy, easing off in 1960","1.4% GDP decline, unemployment rate peaking at 7.1% in May 1961","Federal Reserve officials, policymakers","GDP decrease, unemployment rate peak",Monetary policy adjustments,April 1960,February 1961,,1.4%,,7.1%,,Recession of 1960–61
11 months,"Economic slump from 1968, rising inflation, deficit spending, Federal Reserve interest rate hikes","0.6% GDP decline, unemployment rate peaked at 6.1% in December 1970","Federal Reserve officials, policymakers","GDP decrease, peak unemployment rate","Efforts to close budget deficits, raising interest rates",December 1969,November 1970,,,,,,Recession of 1969–70
