Satellite Name,Launch Vehicle,Launch Site,Purpose,Manufacturer,Launch Date & Time,Orbit Details,Operator,Alternative Names,Deployment,Mass,Design Life,Operating Organization,Mission Purpose,Launch Date,Launch Dates,Launch Vehicles,Deployment Status,Previous Designation,Number of Satellites Launched,Operational Satellites,Failed Launch,Mission Name,Funding Source,Program Manager,Additional Payloads,Space Shuttle,Landing Date & Time,Payload,Cargo,Payload Deployment,Deployment Success,Landing Site,Flight Duration,Boat Name,Type,Builder,Designers,Construction Material,Performance,Modifications,Wingsail Details,Launch Location,Testing Locations,Significant Announcement,Satellite Names,Key Technology,Spacecraft,Special Features,Program Name,Nickname,Announcement Date,President,Organization,Establishment Year,Technologies Studied,Research Focus,Key Scientist,Conclusion,Mission Details,Current Orbit Details,Unique Feature,Mission Designation,Mission Objectives,Production Facility,Satellite Bus,Launch Vehicle Configuration,Construction Completion,Storage of Satellite,Launch Order,Atlas V Tail Number,Atlas V Configuration,trigger
USA-10,Atlas E,"Vandenberg Air Force Base, SLC-3W",Navigation satellite,Rockwell Space Systems,"9 October 1985, 02:53 UTC","Medium Earth Orbit, 19,829 km perigee, 20,532 km apogee, 63.40° inclination",U.S. Department of Defense,"Navstar 11, GPS I-11, GPS SVN-11",-,-,5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-10
USA-100,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"10 March 1994, 03:40:01 UTC","Medium Earth Orbit, 20,200 km circular orbit, 55.0° inclination",U.S. Department of Defense,"GPS IIA-15, GPS II-24, GPS SVN-36",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-100
,,,,,"3 October 1985, 15:15:30 UTC",,,,,,,,,,,,,,,,,STS-51-J,,,,Atlantis,"7 October 1985, 17:00:08 UTC",U.S. Department of Defense payload,Classified,DSCS-III satellites,Yes,"Edwards Air Force Base, California","4 days, 1 hour, 44 minutes, 38 seconds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-11
Milstar,,,Military communications satellite,Lockheed Martin Space,,Geosynchronous orbit,United States Space Force,,,,,,,,1994-2003,"Titan IVA, Titan IVB",Operational,,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-115
USA-117,Delta II,"Cape Canaveral Air Force Station, LC-17B",Navigation satellite,Rockwell Space Systems,"28 March 1996, 00:21:00 UTC","Medium Earth Orbit, 20,200 km circular orbit, 55.0° inclination",U.S. Department of Defense,"GPS IIA-16, GPS II-25, GPS SVN-33",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-117
USA-126,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"16 July 1996, 00:50:00 UTC","Medium Earth Orbit, 20,272 km perigee, 20,365 km apogee, 55.03° inclination",U.S. Department of Defense,"GPS IIA-17, GPS II-26, GPS SVN-40",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-126
USA-128,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"12 September 1996, 08:49:00 UTC","Medium Earth Orbit, 20,058 km perigee, 20,305 km apogee, 717.94 minutes period, 54.7° inclination",U.S. Department of Defense,"GPS IIA-18, GPS II-27, GPS SVN-30",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-128
USA-130,-,-,Missile detection satellite,Defense Support Program,1997,-,United States Space Force,,Out of service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-130
USA-132,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Lockheed Martin,"23 July 1997, 03:43:01 UTC","Medium Earth Orbit, 19,023 km perigee, 20,224 km apogee, 54.90° inclination",U.S. Department of Defense,"GPS IIR-2, GPS SVN-43",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-132
USA-135,Delta II,"Cape Canaveral Air Force Station, LC-17A",Navigation satellite,Rockwell Space Systems,"6 November 1997, 00:30:00 UTC","Medium Earth Orbit, 19,923 km perigee, 20,644 km apogee, 722.00 minutes period, 54.90° inclination",U.S. Department of Defense,"GPS IIA-19, GPS II-28, GPS SVN-38",-,-,7.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-135
