Ship Name,Purpose,Responsible Party,Lives Lost,Date Sunk,Route,Passenger Capacity,Crew Size,Maiden Voyage Details,Location,Additional Details,Historical Significance,Owner,Population,Area,Full Name,Launch Date,Capital,Battle Honours,Role,Family Background,Reason for Name,Date of Birth,Date of Death,Key Achievements,Notable Landmarks,Fate,Original Name,Sinking Date,Significance,Type,Length,Birthplace,Sinking Details,Maiden Voyage Route,Service Period,Sinking Party,Gross Register Tons,Beam,Propulsion,Holds,Torpedoed By,POWs Aboard,Survivors,Construction Yard,Yard Number,Completion Date,Key Incident,Borders,Highest Point,Origin of Term,Definition,Examples,Historical Background,Manufacturing Process,Properties,Origins of the Word,Founded as U.S.D. Camaro Messina,Renamed to S.S.D. Città di Messina,Promoted to Serie D,Relegated to Eccellenza Sicily,Promoted to Eccellenza Sicily,Acquired by Rocco Arena,Name changed to Football Club Messina,Ended 2nd in Serie D Girone I,Won Serie D Girone I playoffs,Depth,Geology,Name,Parentage,Siblings,Attributes,Division,Boundaries,Hebrew Name,Meaning,Region,Divisions,Roman Conquest,Defeat of Cimbri and Teutons,Julius Caesar's Campaigns,End of Roman Control,Renaming History,Career,Notable Works,Number of Ships,Ship Class,Pennant Number,Commissioning Date,Notable Events,Key Captures,Commissioned Date,Commanding Officer,Notable Crew Members,Operations,HMS Formidable,HMS Ham,Construction Period,Ownership Changes,Capture by Japanese,Renaming,Routes Served,Title,Reign,Modernization Efforts,International Recognition,Financial Troubles,Removal from Power,Newspaper Name,Creation Year,Merger Details,Ownership,Publisher,Circulation,Administrative Capital,Neighboring Regions,Surrounding Bodies of Water,Notable Geographical Features,Main Mountain Ranges,Agricultural Characteristics,Tourist Attractions,River Name,Other Names,Origin,Historical Impact,Date of Construction,Passengers on Board,Location of Sinking,Number of Survivors,Former Names,Date of Capture,Capturing Party,Final Name,Class,Key Battles,Construction Details,Specifications,War,Battles Participated In,Siege Involved In,Original Purpose,Unique Features,Conversion during WWII,Seizure by,Renamed to,Service as,Decor Details,Professional Debut,Highest Rank,Notable Achievements,Career Path,USS Juneau (CL-52),USS Juneau (CLAA-119),USS Juneau (LPD-10),Victim,Assailant,Date of Assassination,Location of Assassination,Reason for Assassination,Outcome of the Assailant,Key Figures Present at Funeral,Key Propaganda Use,1,2-7,8,trigger
Australian Hospital Ship Centaur,Hospital ship,Japanese submarine,268 lives lost,14 May 1943,Western Australia to Singapore via Dutch East Indies,Not specified,Not specified,"Converted to a hospital ship in January 1943, torpedoed and sunk by a Japanese submarine off Moreton Island, Queensland during its second voyage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AHS聽Centaur
America Maru,,,,,,,,,,"Second of three high-speed passenger liners, converted into an armed merchantman during Russo-Japanese War, sunk by US Navy in 1944, owner Asano Sōichirō founded Tōyō Kisen, suspected of bringing rats with bubonic plague to Hawaii",,Oriental Steamship Company,,,,,,,,,,,,,,,,,,,,,,Hong Kong – Xiamen-Shanghai – Nagasaki – Yokohama – Kobe – Honolulu – San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America Maru
Arandora Star,Troopship,German U-boat,805 lives lost,2 July 1940,Transporting Italian and German civilians and prisoners of war to Canada,Not specified,Not specified,"Sunk off the coast of Ireland with a large loss of life, originally built as an ocean liner and converted into a cruise ship, part of the ""luxury five"" liners by Blue Star Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arandora Star
ARA General Belgrano,,,323,,,,,,,,,,,,,,,,,,,,,,,,USS Phoenix,2 May 1982,"Sunk during Falklands War, second ship named after Manuel Belgrano, only ship sunk by a nuclear-powered submarine during military operations",,,,,,1951-1982,Royal Navy submarine Conqueror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARA聽General Belgrano
Arisan Maru,"Initially used as a troop transport, later for POW transportation",,,,,,,,,,,Mitsui Senpaku,,,,,,,,,,,,,,,,"October 24, 1944",,Type 2A freighter,"137.3 m overall, 129.9 m between perpendiculars",,,,,,"6,886 GRT",18.2 m,Steam turbines,"Three holds, No.2 hold 15 x 23 m",American submarine,"1,781",Only nine survived the sinking,"Mitsui, Tamano, Japan",376,"June 22, 1944","Torpedoed during transportation of POWs from the Philippines to Manchuria, China or Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arisan Maru
,,,,,,,,,,,,,,,Armando Diaz,,,,Italian general and Marshal of Italy,"Son of Lodovico, a navy officer, and Irene Cecconi, the daughter of a minor noble",,5 December 1861,28 February 1928,"Chief of Staff of the Regio Esercito during World War I, led Italian forces to victories at the First Battle of Monte Grappa, Second Battle of the Piave River, and Battle of Vittorio Veneto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armando Diaz
Asama Maru,Ocean liner,,,,Yokohama to California via various ports,"222 first-class, 96 second class, 504 third class",330,"Departed Yokohama on 11 October 1929 for California, arrived on 24 October 1929, part of NYK's premier high-speed trans-Pacific Orient-California service, known as ""The Queen of the Sea""",,,,Nippon Yusen Kaisha,,,,30 October 1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asama Maru
,,,,,,,,,Southeastern Europe,,"Named after the Balkan Mountains in Bulgaria, created by August Zeune in 1808, geopolitical term for European provinces of the Ottoman Empire, synonymous with Rumelia, promoted during the Kingdom of Yugoslavia formation, stigmatized meaning related to Balkanization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adriatic Sea, Ionian Sea, Aegean Sea, Turkish Straits, Black Sea","Mount Musala, 2,925 meters in the Rila mountain range, Bulgaria","Obscure, possibly related to Persian or Turkish words, used during the Ottoman Empire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balkan
,,,,,,,,,Southern Italy,,"First region to take the name of Italy, founder of the homonymous name, inhabited by the Italics, historically referred to the heel tip of Italy, part of the Byzantine Duchy of Calabria",,Almost 2 million residents,"Approximately 15,222 square kilometers",,,Catanzaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calabria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard, brittle, heat-resistant, and corrosion-resistant materials made by firing inorganic, nonmetallic materials at high temperatures","Earthenware, porcelain, brick","Earliest ceramics were pottery objects made from clay, later glazed and fired for smooth surfaces, word ""ceramic"" derived from Greek word for pottery","Shaping and firing inorganic, nonmetallic materials like clay at high temperatures","Hard, brittle, strong in compression, weak in shearing and tension, resistant to chemical erosion, withstand high temperatures","Derived from Greek word for pottery, earliest known mention in Mycenaean Greek, used as an adjective or noun to describe materials or products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic
