Date,Location,Casualties,Perpetrator,Weapons,Legal Proceedings,Aftermath,Motive,trigger
"April 11, 1986","Dade County, Florida","2 FBI agents killed, 5 agents injured","William Russell Matix, Michael Lee Platt",Not specified,Shootout resulted in deaths of both perpetrators,"Infamous shootout in FBI history, led to introduction of more effective handguns, studied in law enforcement training, perpetrators met in U.S. Army, background of Matix and Platt's military service",,1986 FBI Miami shootout
"July 26, 2013","Todel Apartments, Hialeah, Florida",7 killed,Pedro Alberto Vargas,Glock 17 9mm semiautomatic pistol,Fatally shot by SWAT team,"Shooter killed 7 people, including himself, held two hostages, set apartment ablaze, called 911 reporting being followed, mother informed dispatcher of his behavior, poured combustible liquid on cash, shot and killed apartment manager and wife, fired from balcony killing a bystander, ultimately killed by SWAT team","Claimed to be followed and threatened by witchcraft, set apartment on fire",2013 Hialeah shooting
"November 2, 2018","Tallahassee Hot Yoga, Tallahassee, Florida","2 killed, 5 injured",Scott Paul Beierle,Not specified,Perpetrator deceased,"Identified victims, quick police response, heroic actions of individuals during the attack",Misogynist terrorism,2018 Tallahassee shooting
"December 5, 2019","Miramar, Florida","4 killed, 1 bystander killed","Lamar Alexander, Ronnie Jerome Hill",Not specified,"FBI investigation, officers involved in shooting","Shootout culminated in deaths of perpetrators, kidnapped UPS driver, and bystander, police pursuit details, jewelry store robbery, carjacking of UPS truck, exchange of gunfire with officers, officers returning fire, suspects' escape, shootout in rush hour traffic, officers involved in the pursuit",,2019 Miramar shootout
"January 23, 2019","SunTrust Bank, Sebring, Florida",5 killed,Zephen Xaver,Not specified,"Pleaded not guilty to five murders, charged with five counts of capital murder, held without bond, prosecutors seeking death penalty","SWAT team negotiated with barricaded suspect, SWAT entered bank, lone survivor escaped and called 911, victims shot execution style, Xaver identified as perpetrator, former correctional officer trainee, resigned from job, public defender appointed, entered not guilty plea, ongoing legal proceedings",,2019 Sebring shooting
"May 30, 2021","Miami-Dade County, Florida","23 shot, 3 killed",Multiple suspects at large,Not specified,"Ongoing investigation, suspects at large","Concert attendees shot, victims called parents, police labeled shooting as targeted, Governor DeSantis issued statement, calls for federal action on gun violence","Shooting targeted, occurred during hip hop concert",2021 Hialeah shooting
"February 2, 2021","Water Terrace apartment complex, Sunrise, Florida","2 FBI agents killed, 3 agents injured",Gunman (deceased),Rifle,"Gunman found dead after barricading himself, FBI agents serving warrant for child pornography case, massive law enforcement response, one agent returned fire, deadliest incident in FBI history since 1986","Gunman barricaded himself, found dead from self-inflicted gunshot wound, witnesses reported multiple gunshots, first agent fatally shot in line of duty since 2008",,"2021 Sunrise, Florida shootout"
"August 26, 2018","Jacksonville Landing, Jacksonville, Florida","3 killed, 10 injured",David Katz,Handguns,Not specified,"Perpetrator committed suicide, SWAT evacuated area, first responders arrived quickly, Coast Guard involved in search, footage uploaded to social media platforms",,Jacksonville Landing shooting
"June 18, 1990","GMAC car loan office, Jacksonville, Florida","9 killed, 4 wounded","James Edward ""Pop"" Pough",Not specified,Perpetrator committed suicide,"Deadliest mass shooting by lone gunman in Florida history, preceded by other killings, Pough's background and childhood, affiliations with gangs, criminal history, work as a common laborer, construction maintenance job, prior arrests and charges",,James Edward Pough
1889,"Seminole Indian camp northeast of Lake Okeechobee, St. Lucie County, Florida",Multiple killed,Jim Jumper,Not specified,Perpetrator killed by another Seminole,"Incident involving Jim Jumper, a bi-racial Seminole, who killed several Seminoles and was then killed by another Seminole, background of Jim Jumper's heritage and upbringing, relocation of Snake clan to Bluefields, reputation of Jumper for bad deeds",Not specified,Jim Jumper massacre
"February 26, 2012","Sanford, Florida",1 killed,George Zimmerman,Handgun,"Acquitted of murder charges, claimed self-defense","Zimmerman fatally shot Trayvon Martin, neighborhood watch coordinator, physical altercation, self-defense claim, widely reported trial, Department of Justice review, no additional charges filed, Martin's background, Zimmerman's background, trial outcome",,Killing of Trayvon Martin
"November 23, 2012","Gate Petroleum gas station, Jacksonville, Florida",1 killed,Michael David Dunn,Handgun,"Convicted of first-degree murder, sentenced to life imprisonment","Dunn argued stand-your-ground law, appeal rejected in 2021, incident sparked national debate on race and gun violence",,Murder of Jordan Davis
"December 6, 2019","Naval Air Station Pensacola, Pensacola, Florida","3 killed, 8 injured",Mohammed Saeed Alshamrani,Not specified,"Classified as act of terrorism, FBI investigation","Al-Qaeda claimed responsibility, FBI confirmed, training program details, Twitter message posted before attack",Jihadist ideology,Naval Air Station Pensacola shooting
"June 5, 2017","Fiamma, Orlando, Florida","5 killed, 1 suicide",John Robert Neumann Jr.,"Handgun, hunting knife",Perpetrator fatally shot himself,"Victims shot in the head, eight employees escaped unharmed, shooting occurred before Orlando nightclub shooting anniversary, victims identified, Neumann had history of minor crimes and was fired from Fiamma in April 2017",Not specified,Orlando factory shooting
"June 12, 2016","Pulse nightclub, Orlando, Florida","49 killed, 53 wounded",Omar Mateen,"SIG Sauer MCX semi-automatic rifle, 9mm Glock 17 semi-automatic pistol",Shot and killed by police,"Deemed terrorist attack, deadliest incident against LGBT people in U.S., deadliest mass shooting by single gunman until 2017 Las Vegas shooting","Swore allegiance to ISIS leader, cited U.S. interventions in Iraq and Syria",Orlando nightclub shooting
"February 14, 2018","Marjory Stoneman Douglas High School, Parkland, Florida","17 killed, 17 injured",Nikolas Cruz,AR-15 style semi-automatic rifle,Pled guilty to 17 counts of murder and attempted murder,"Deadliest high school shooting in U.S. history, led to gun control advocacy, law changes in Florida, criticism of police response, perpetrator awaiting sentencing",,Stoneman Douglas High School shooting
