Date,Type,Notes,Duration of Annularity,Saros Series,Eclipse Magnitude,Duration of Totality,Path of Totality,Cities in Total Phase,Path of Annularity,Eclipse Obscuration,Gamma,Greatest Eclipse,Delta T,Annularity Duration at Greatest Eclipse,Annularity Duration at Greatest Duration,Path Width at Greatest Eclipse,Path Width at Greatest Duration,Moon Diameter,Sun Diameter,Moon Declination,Sun Declination,Moon Right Ascension,Sun Right Ascension,Related Eclipses,trigger
,,,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of August 12, 2045"
"August 2, 2027",Total,"Total solar eclipse visible in Luxor, Jeddah, Mecca, Sana'a, and Tunisia. Maximum duration of totality observed in Egypt, approximately 37 miles southeast of Luxor, lasting 6 minutes and 22 seconds. First of three total solar eclipses observable in Tunisia in the 21st century.",,,-,"6 minutes, 22 seconds","Eastern Atlantic Ocean, Strait of Gibraltar, Spain, Morocco, North Africa, Middle East, Horn of Africa","Luxor (Egypt), Jeddah, Mecca (Saudi Arabia), Sana'a (Yemen), Tunisia",,,,,,,,,,,,,,,,,"Solar eclipse of August 2, 2027"
,,,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of August 24, 2063"
"February 17, 2064",Annular,"Member of a semester series, started with partial solar eclipse on May 19, 1613, contains 70 events",-,Solar saros 141,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of February 17, 2064"
"February 5, 2046",Annular,"Member of a semester series, started with partial solar eclipse on May 19, 1613, contains 70 events",-,Solar saros 141,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of February 5, 2046"
"January 26, 2028",Annular,"Member of a semester series, started with partial solar eclipse on May 19, 1613, contains 70 events",-,Solar saros 141,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of January 26, 2028"
,,,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of May 11, 2078"
,,,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of May 22, 2096"
"November 15, 2096",Annular,"Member of a semester series, started with partial solar eclipse on April 11, 1736, contains 70 events",-,Saros cycle 144,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of November 15, 2096"
"November 4, 2078",Annular,,"8 minutes, 29 seconds",,0.92551,,,,"Pacific Ocean, South America, Atlantic Ocean",0.85657,-0.22852,04 Nov 2078 16:53:57.5 UTC,"1 minute, 46.9 seconds","8 minutes, 29 seconds, 80 milliseconds","8 minutes, 31 seconds, 940 milliseconds",287.5 km,286.0 km,1764.8 arcseconds,1935.0 arcseconds,"15 degrees, 49 minutes, 24.5 seconds south of the Celestial equator","15 degrees, 38 minutes, 7.6 seconds south of the Celestial equator","14 hours, 40 minutes, 33.5 seconds","14 hours, 40 minutes, 53.9 seconds","21 October 2078 - Penumbral Lunar Eclipse, 19 November 2078 - Penumbral Lunar Eclipse","Solar eclipse of November 4, 2078"
"October 16, 2126",Total,"Total solar eclipse visible in various countries across Europe and Central Asia. Part of Saros cycle 155, with a total of 71 events. Longest total eclipses to occur on October 26, 2144, and November 7, 2162, lasting 4 minutes and 5 seconds.",,Saros cycle 155,-,-,"Europe, Central Asia, Norway, Sweden, Finland, Estonia, European part of Russia, Kazakhstan, Uzbekistan, Kyrgyzstan, Tajikistan, China","Umeå, Tampere, Helsinki, Narva, Saint Petersburg, Tver, Ryazan, Saratov, Atyrau, Tashkent, Kashgar",,,,,,,,,,,,,,,,,"Solar eclipse of October 16, 2126"
