Impact,Parties Involved,Significant Events,Outcome,Casualties,Start Date,Location,End Date,Date,Duration,Locations,Goals,Date of Massacre,Demands,U.S. Government Role,Union Growth,Victims,Perpetrators,Background,trigger
"Destruction of property, loss of life, economic disruption","Knights of Labor, Workingmen's Party, various workers and citizens","General strike, organized by labor groups, spread of violence along rail lines and major cities","Suppression of the strike, temporary unrest, attention to labor issues",61 dead and 124 injured in Pittsburgh riots,Mid-1877,,,,,,,,,,,,,,1877 St. Louis general strike
"Second-most deadly labor dispute in 20th-century US, weakened public support for unions","United Brotherhood of Teamsters, Employers' Association of Chicago, striking workers, strikebreakers, armed police","Sympathy strike, lockout, clashes between strikers and police, involvement of various unions, bribery allegations","Collapse of the strike, withdrawal of most unions, negative impact on public perception of labor unions","21 people killed, 416 injured",Summer of 1905,"Chicago, Illinois",Late July 1905,,,,,,,,,,,,1905 Chicago Teamsters' strike
"Defiance of assumptions about organizing immigrant workers, exposure of poor mill conditions, calls for investigation of the ""wool trust""","Industrial Workers of the World, Massachusetts government, mill workers, IWW leaders Joseph Ettor and Arturo Giovannitti, Bill Haywood, Elizabeth Gurley Flynn","Two-hour pay cut, rapid spread of strike, involvement of over 20,000 workers, sending children to sympathetic families, congressional hearings","Increased sympathy for strikers, exposure of poor working conditions, successful defiance of conservative trade union assumptions","Anna LoPizzo killed by police, violence at Lawrence train station","January 1, 1912","Lawrence, Massachusetts",March 1912,,,,,,,,,,,,1912 Lawrence textile strike
"Part of a series of industrial strikes in the garment and textile industries, involvement of immigrant factory workers","Silk mill workers, Industrial Workers of the World leaders Bill Haywood and Elizabeth Gurley Flynn","Demands for an eight-hour day and improved working conditions, approximately 1,850 strikers arrested","Galvanized support from left-leaning intellectual groups, successful in attracting interest from intellectual circles",,February 1913,"Paterson, New Jersey","July 28, 1913",,,,,,,,,,,,1913 Paterson silk strike
"Popular opinion against strikers, racial division within the union, use of convict labor in mines","United Mine Workers of America, coal mine operators, UMW president John L. Lewis, UMW vice-president Van Bittner","General strike called by UMW, racial violence, defeat for organized labor in Alabama, propaganda campaign by coal operators","Defeat for the union, failure to achieve demands, continued use of convict labor in some mines",,"September 8, 1920",,,,,,,,,,,,,,1920 Alabama coal strike
"San Francisco General Strike, settlement of West Coast Longshoremen's Strike, rise of industrial unionism","International Longshore and Warehouse Union, longshoremen, shipping companies, stevedoring firms","""Bloody Thursday"" deaths, San Francisco General Strike, unionization of West Coast ports","Unionization of all West Coast ports, catalyst for industrial unionism in the 1930s","2 workers killed on ""Bloody Thursday""","May 9, 1934",,,,83 days,,,,,,,,,,1934 West Coast waterfront strike
"NAACP's criticism, potential permanent changes in ship traffic","International Longshoremen's Association, 23 major shipping companies","Regular annual labor conflicts, strikes in major Gulf Coast docks, failed strike due to lack of support and resistance, violence during the strike","Strike failed, significant violence during the ten-week period",Not specified in the provided text,"October 1, 1935",,Mid-December 1935,,,"Corpus Christi, Galveston, Houston, Port Arthur, Beaumont, Lake Charles, New Orleans, Mobile, Pensacola",ILA control of dock operations in New Orleans,,,,,,,,1935 Gulf Coast longshoremen's strike
"Unpunished death of Tom Manning, escalation of tensions, weakening of union movement in Butte","Striking miners, Anaconda Copper Mining Company guards","Strike called by IWW and Metal Mine Workers Industrial Union, tensions from previous events, picketers blocking roads, deputization of mine guards","Failure to achieve goals of higher wages, eight-hour day, and end to blacklist system, continued tensions in Butte","Tom Manning killed, 16 others injured",,"Butte, Montana",,,,,,"April 21, 1920",,,,,,,Anaconda Road Massacre
"Improved working conditions, publicity for UMW, decline then rise in UMW membership","United Mine Workers, lawmen, strikebreakers, coal mine operators","Largest labor uprising in US history, armed conflict, involvement of US Army, decline then rise in UMW membership","Temporary decline then rise in UMW membership, improvements in working conditions",Up to 100 people killed,Late August to early September 1921,"Logan County, West Virginia",,,,,,,,,,,,,Battle of Blair Mountain
"Heightened tensions, deaths of key figures, increased support for miners' unionization efforts","Local coal miners, Baldwin–Felts Detective Agency, Matewan Chief of Police Sid Hatfield","Shootout between miners and detectives, clash at the Chambers Hardware Store","Deaths of detectives and townspeople, increased resistance against anti-union forces","7 detectives and 3 townspeople killed, including the Felts brothers and Mayor Testerman","May 19, 1920","Matewan, Mingo County, West Virginia",,,,,,,,,,,,,Battle of Matewan
