Fatalities,Date,Notable Impacts,Locations,Injuries,Damage Estimate,Path Length,Tornado Strength,Tornado Count,Year,Tornado Reports,Confirmed Tornadoes,Notable Events,1896,September 1927,January 1967,April 1981,April 2011,Total Tornadoes,Significant Events,EF Ratings,States Affected,Strongest Tornadoes,Peak Months,Trend of Activity,Atlantic Ocean,Western Pacific,Australian Region,trigger
9,"March 8, 1871","30 homes destroyed, 30 severely damaged, 6 railroad depots destroyed, 8 deaths in depots, 1 death on a bridge","St. Louis, Missouri, East St. Louis, Illinois",60,"$1,500,000",5 miles,F3,,,,,,,,,,,,,,,,,,,,,1871 St. Louis tornado
255,"May 27, 1896","Third-deadliest tornado in U.S. history, severe damage, thousands left homeless, major impact on city","St. Louis, Missouri, East St. Louis, Illinois",1000+,$10 million,20 minutes,F5,,,,,,,,,,,,,,,,,,,,,1896 St. Louis–East St. Louis tornado
5,"April 5, 1925","Deadliest tornado in Dade County, intense tornado, significant damage, multiple fatalities and injuries","Dade County, Florida",35,"$200-300,000",-,F3 (estimated),,,,,,,,,,,,,,,,,,,,,1925 Miami tornado
82,"September 29, 1927","Outbreak of 15 significant tornadoes, deadliest tornado in St. Louis, narrowly missed Downtown St. Louis, widespread destruction, significant injuries and fatalities","Central United States, Missouri, Illinois, Oklahoma, Arkansas, Iowa, Indiana",Many,"$150,000",7-12 miles,F3,,,,,,,,,,,,,,,,,,,,,1927 St. Louis–East St. Louis tornado
14,"April 1–2, 1936","Deadliest tornado outbreak, multiple waves of tornadic activity, significant damage, fatalities, and injuries","Southeastern United States, Greensboro, North Carolina, Cordele, Georgia",144,$2 million,Long path,F4,,,,,,,,,,,,,,,,,,,,,1936 Cordele–Greensboro tornado outbreak
144,"May 9-11, 1953","Deadly tornado outbreak with at least 33 tornadoes, strongest F5 tornado in Waco, Texas causing 114 deaths, significant damage, injuries, and advances in tornado research",Minnesota to Texas,597,-,-,"F3, F4, F5",,,,,,,,,,,,,,,,,,,,,1953 Waco tornado outbreak
18,"June 2-12, 1966","Series of tornado outbreaks, most destructive F5 tornado in Topeka, 57 confirmed tornadoes, 18 fatalities, 543 injuries","Midwest United States, Texas, Florida, New York, Topeka, Kansas",543,-,-,F5,,,,,,,,,,,,,,,,,,,,,1966 Topeka tornado
26,"May 11, 1970","Costliest tornado in U.S. history, 26 fatalities, widespread damage to homes, businesses, high-rise buildings, and public infrastructure","Lubbock, Texas",-,$135 million,8.5 miles,F5,,,,,,,,,,,,,,,,,,,,,1970 Lubbock tornado
2,"December 3, 1978","Violent tornado outbreak, significant damage, two fatalities, long-tracked tornadoes, historical impact","Bossier City, Louisiana, Arkansas",-,$100 million,4 miles,F4,,,,,,,,,,,,,,,,,,,,,1978 Bossier City tornado outbreak
5,"May 13, 1980","Struck downtown Kalamazoo, 5 deaths, 79 injuries, extensive damage to buildings and landmarks, power outage, 1,200 people homeless","Kalamazoo, Michigan",79,"$50,000,000",11 miles,F3,,,,,,,,,,,,,,,,,,,,,1980 Kalamazoo tornado
