Location,Event,Impact,Date,Historical Significance,VEI,Volume of Ejected Material,Geological Features,Casualties,Type of Eruption,Start Date,Evacuees,Areas Affected by Ash Cloud,Total Amount of Ejected Material,Volcanic Feature,Elevation,Recent Activity,Geological Processes,trigger
"Lombok, Indonesia",Samalas eruption,"Catastrophic eruption, VEI 7, created large caldera with Lake Segara Anak, Barujari cone remains active, eruption columns tens of km high, pyroclastic flows burying Lombok and reaching Sumbawa, ashfall in Java",1257,"Triggered volcanic winter, potential role in Little Ice Age, recorded in historical documents, global impact",7,>10 cubic km,"Large caldera, Barujari cone, eruption columns, pyroclastic flows",,,,,,,,,,,1257 Samalas eruption
"Sumbawa, Indonesia",Mount Tambora,"Most powerful eruption in recorded human history, Year Without a Summer in 1816, global temperature decrease, extreme weather, harvest failures, significant climate change, systematic climate forcings",10 April 1815,"Most recent confirmed VEI-7 eruption, centuries of dormancy, over-pressurization of magma chamber, violent climax, global ash dispersion",7,160–213 cubic kilometers,,,,,,,,,,,,1815 eruption of Mount Tambora
Sunda Strait,Krakatoa eruption,"One of the deadliest and most destructive volcanic events in recorded history, over 70% of the island and surrounding archipelago destroyed, explosion heard 3,110 km away, at least 36,417 deaths attributed to eruption",20 May 1883,"Significant global impact, sound heard around the world, tsunamis created, seismic activity reported until February 1884",,,,"36,417",,,,,,,,,,1883 eruption of Krakatoa
"Rotorua, New Zealand",Mount Tarawera eruption,"Largest and deadliest eruption in New Zealand in the past 500 years, 10-kilometre-high ash column, earthquakes, lightning, explosions heard 500 km away, 17-kilometre-long rift formed, extensive local damage, presumed destruction of Pink and White Terraces",10 June 1886,"Deadliest eruption in New Zealand history, destruction of Pink and White Terraces, significant expansion of Lake Rotomahana",5,,"Rhyolitic dome volcano, part of Ōkataina Volcanic Centre",120,,,,,,,,,,1886 eruption of Mount Tarawera
"Skamania County, Washington, United States",Mount St. Helens eruption,"Most significant eruption in the contiguous United States since 1915, declared most disastrous volcanic eruption in U.S. history, phreatic blasts, major explosive eruption, series of earthquakes, steam-venting episodes, large bulge, fracture system, sector collapse, largest subaerial landslide, eruption column, ash deposition, lahars, thermal energy release","May 18, 1980","Most disastrous volcanic eruption in U.S. history, significant impact on volcanic studies and hazard mitigation",5,26 megatons of TNT,"Large bulge, fracture system, sector collapse, lahars",N/A,,,,,,,,,,1980 eruption of Mount St. Helens
Luzon Volcanic Arc,Mount Pinatubo eruption,"Second-largest eruption of the 20th century, ash column 40 km high, pyroclastic flows, caldera formation, global ashfall, $100 million jet damage, lahars, bridge destruction",June 1991,"Significant global impact, raised awareness of volcanic hazards and disaster response",,,,N/A,Plinian,,,,,,,,,1991 eruption of Mount Pinatubo
Chile,Puyehue-Cordón Caulle eruption,"One of the largest volcanic eruptions of the 21st century, 3,500 people evacuated, ash cloud spread across cities in the Southern hemisphere, hundreds of flights canceled",,,,100 million tons,,,,4 June 2011,"3,500","Bariloche, Buenos Aires, Montevideo, Stanley, Porto Alegre, Cape Town, Hobart, Perth, Adelaide, Sydney, Melbourne, Wellington, Auckland, Port Moresby",100 million tons,,,,,2011鈥_012 Puyehue-Cord贸n Caulle eruption
Tonga,Hunga Tonga eruption,"Largest volcanic eruption since 1991 Mount Pinatubo eruption, caused tsunamis in multiple countries, at least four people killed in Tonga, two drowned in Peru, powerful eruption recorded in modern history, compared to Krakatoa eruption",20 December 2021,"Largest explosion recorded in the atmosphere, hundreds of times more powerful than Hiroshima bomb, significant atmospheric disturbance, first eruption since 2014",5,,,6,,,,,,,,,,2022 Hunga Tonga–Hunga Ha'apai eruption and tsunami
"Kikai Caldera, Japan",Akahoya eruption,"End of initial Jōmon culture in southern Kyūshū, parallel to Minoan civilization demise","7,300 BP",,7,150 cubic kilometers,,,,,,,,,,,,Akahoya eruption
Colombia,Armero tragedy,"Pyroclastic flows and lahars from Nevado del Ruiz volcano engulfed town of Armero, killing over 23,000 people, total death toll of 23,000, second-deadliest volcanic disaster of 20th century, led to controversy over government responsibility",13 November 1985,"Second-deadliest volcanic disaster of 20th century, raised global awareness of volcanic hazards and disaster response",,,,"23,000",,,,,,,,,,Armero tragedy
Mount Vesuvius,Avellino eruption,"Catastrophic eruption, larger than 79 AD eruption, source of Avellino pumice deposits, estimated 3-hour eruption, pyroclastic flows, lithofacies study, catastrophic and widespread impact",c. 1995 BC,"Catastrophic eruption, widespread impact, significant in pottery chronology, remains to be dated precisely",6,1.57 km3,"Vent location, pyroclastic flows, lithofacies, deposit thickness",,,,,,,,,,,Avellino eruption
"Pacific Ranges of the Coast Mountains, Canada",,,,,,,"Bowl-shaped depression, glacial ice and volcanic debris overlay, breached northern rim, lava and ash flows",,,,,,,Bridge River Vent,"1,524 m",Yes,Subduction of Juan de Fuca Plate under North American Plate at Cascadia subduction zone,Bridge River eruption
"Pompeii, Italy",Vesuvius eruption,"Deadly eruption in European history, obliterated Roman cities, buried under pyroclastic surges and ashfall deposits, UNESCO World Heritage Site, unknown death toll",79 AD,"Major tourist attraction, part of Vesuvius National Park, archaeological insights into Roman life",5,"100,000 times Hiroshima bomb","Vesuvian type eruption, pyroclastic flows",Unknown,,,,,,,,,,Eruption of Mount Vesuvius in 79
"Taupo Volcano, New Zealand",Hatepe eruption,"Largest eruption in last 20,000 years, devastated surrounding area, formed lava domes, caused local tsunamis, expanded lake, massive flood",180/233 CE,"Largest eruption in New Zealand, various eruptive styles displayed, significant geological and environmental impact",,"120 km3 total, 30 km3 in minutes","Rhyolitic lava domes, pyroclastic flow, ignimbrite deposits",,"Phreatomagmatism, Plinian, pyroclastic flow",,,,,,,,,Hatepe eruption
Mount Fuji,Hōei eruption,"Immense ash-fall over eastern Japan, landslides, starvation, Hokusai's depiction in One Hundred Views of Mount Fuji, formation of new vents, worst ash-fall disaster in Japanese history","December 16, 1707","Last confirmed eruption of Mount Fuji, significant impact on Japan, formation of new vents, worst ash-fall disaster in Japanese history",,,"Formation of three new volcanic vents, No. 1, No. 2, and No. 3 Hōei vents",N/A,Plinian,,,,,,,,,H艒ei eruption of Mount Fuji
Mount Vesuvius,Mercato eruption,"Plinian eruption, preceded by 7000 years of rest, followed by 4000 years of rest","8,010 ± 40 14C yr BP",N/A,5/6,,,N/A,,,,,,,,,,Mercato eruption
"Thera, Greece",Minoan eruption,"Catastrophic eruption, destroyed Minoan settlement at Akrotiri, devastated nearby islands and Crete, earthquakes, tsunamis, one of the largest volcanic events in human history",c. 1600 BC,"Marker horizon in archaeological sites, debated date, volcanic lightning possibly described in Egyptian Tempest Stele",6/7,60 km3,"Repeated volcanic activity, caldera formation, cyclical eruption process",,,,,,,,,,,Minoan eruption
