Main Combatant Groups,Troop Numbers,Duration,Key International Supporters,Russian Empire,Netherlands,Aceh Sultanate,"First Balkan War: Ottoman Empire, Balkan League","Second Balkan War: Bulgaria, Serbia, Greece, Montenegro, Romania, Ottoman Empire",Location,French Grande Armée,Iran,Iraq,Ruhollah Khomeini,Saddam Hussein,Military dead,Key Figures,Empire of Japan,Total Troop Numbers,Casualties,trigger
Qing Dynasty,Not specified,1911,Revolutionaries,,,,,,,,,,,,,,,,,1911 Revolution
"Iraqi Government, Peshmerga, Rebels",Not specified,March-April 1991,Not specified,,,,,,,,,,,,,,,,,1991 Iraqi uprisings
,,,,,1873–1914,1873–1914,,,,,,,,,,,,,,Aceh War
"United States, United Kingdom, Canada, Germany, Australia, Italy, New Zealand, Transitional Islamic State of Afghanistan, Taliban, al-Qaeda, ISIL–KP, Fidai Mahaz, Afghan National Security Forces, Resolute Support Mission","ISAF: 130,000, Afghan National Security Forces: 352,000, Resolute Support Mission: ~17,000, Taliban: 60,000, HIG: 1,500–2,000+, al-Qaeda: ~300 in 2016, Fidai Mahaz: 8,000, Afghan security forces: 67,558–70,558+ killed, Northern Alliance: 200 killed, Coalition: Dead: 3,576, Wounded: 22,773, Contractors: Dead: 3,937, Wounded: 15,000+, Taliban insurgents: 52,893+ killed, Civilians killed: 46,319, Total killed: 176,206–212,191+",2001–2021,"Hamid Karzai, Ashraf Ghani, Amrullah Saleh, George W. Bush, Barack Obama, Donald Trump, Joe Biden, Tony Blair, Gordon Brown, David Cameron, Theresa May, Boris Johnson, Jean Chrétien, Paul Martin, Stephen Harper, Justin Trudeau, Gerhard Schröder, Angela Merkel, John Howard, Kevin Rudd, Julia Gillard, Tony Abbott, Malcolm Turnbull, Scott Morrison, Silvio Berlusconi, Romano Prodi, Mario Monti, Enrico Letta, Matteo Renzi, Paolo Gentiloni, Giuseppe Conte, Mario Draghi, Helen Clark, John Key, Bill English, Jacinda Ardern",,,,,,,,,,,,,,,,,Afghanistan conflict (1978–present)
"Government of Algeria, FIS loyalists, GIA, EIJ",Not specified,26 December 1991–8 February 2002,"Tunisia, European Union, France, Egypt, Libya, Morocco, Saudi Arabia, Iran, Sudan",,,,,,,,,,,,,,,,,Algerian Civil War
"France, Algerian National Liberation Front (FLN)","~1,500,000 total deaths",1954–1962,,,,,,,,,,,,,,,,,,Algerian War
"Union, Confederacy","Union: 2,100,000, Confederacy: 1,064,000",1861–1865,,,,,,,,,,,,,,,,,,American Civil War
"American Patriots, Great Britain","American Patriots: Not specified, Great Britain: Not specified","April 19, 1775 – September 3, 1783","France, Spain",,,,,,,,,,,,,,,,,American Revolutionary War
"Spanish Empire, Kingdom of England",Not specified,1585–1604,Not specified,,,,,,,,,,,,,,,,,Anglo-Spanish War (1585–1604)
"MPLA, UNITA, FNLA, FLEC","MPLA: Not specified, UNITA: Not specified, FNLA: Not specified, FLEC: Not specified",1975–2002,"Cuba, Soviet Union, Romania, South Africa, United States",,,,,,,,,,,,,,,,,Angolan Civil War
"Portuguese military, MPLA, FNLA, UNITA","Portuguese military: Not specified, MPLA: Not specified, FNLA: Not specified, UNITA: Not specified",1961–1974,Not specified,,,,,,,,,,,,,,,,,Angolan War of Independence
"Indian Armed Forces, Hyderabad State, Razakars","Indian Armed Forces: Not specified, Hyderabad State: Not specified, Razakars: Not specified",September 1948,Not specified,,,,,,,,,,,,,,,,,Annexation of Hyderabad
"Arab League member countries, Israel","≈22,570 military deaths",1947–ongoing,,,,,,,,,,,,,,,,,,Arab–Israeli conflict
"Prussian-led German states, Austrian-led German Confederation states","Prussian-led German states: 637,262, Austrian-led German Confederation states: 522,203",1866,,,,,,,,,,,,,,,,,,Austro-Prussian War
,,,,,,,1912–1913,1913,,,,,,,,,,,,Balkan Wars
"Provisional Government of Bangladesh, India",Not specified,1971,Pakistan,,,,,,,,,,,,,,,,,Bangladesh Liberation War
"Boko Haram, ISWAP, Ansaru, Nigerian Army, Nigeria Police Force, Multinational Joint Task Force, Cameroonian Armed Forces","Boko Haram: Not specified, Nigerian Army: 130,000 active frontline personnel, Nigeria Police Force: 371,800 officers, Multinational Joint Task Force: 7,500 active personnel, Cameroonian Armed Forces: 20,000 active personnel",2011–Ongoing,"al-Qaeda, U.S. advisers",,,,,,,,,,,,,,,,,Boko Haram insurgency
"Republic of Bosnia and Herzegovina, Herzeg-Bosnia, Republika Srpska",Not specified,1992–1995,"Iran, Croatia, Serbia",,,,,,,,,,,,,,,,,Bosnian War
"Boxers, Imperial troops","Boxers: 100,000–300,000, Imperial troops: Not specified",1899–1901,,,,,,,,,,,,,,,,,,Boxer Rebellion
"Ethnic Hutu rebels, Hutu militias and youth gangs, Gov. forces",Not specified,1993–2005,RPF,,,,,,,,,,,,,,,,,Burundian Civil War
"Ottoman Empire, House of Habsburg, Safavid Persia",Not specified,1520–1566,Not specified,,,,,,,,,,,,,,,,,Campaigns of Suleiman the Magnificent
"Cristinos, Carlists",Not specified,1833–1876,Not specified,,,,,,,,,,,,,,,,,Carlist Wars
"Bolivia, Paraguay","Bolivia: Larger and better-equipped army, Paraguay: Controlled most of the disputed zone",1932–1935,"Royal Dutch Shell, Standard Oil",,,,,,,,,,,,,,,,,Chaco War
