Event Name,Location,Annual Occurrence,Focus,Dates,Significance,Purpose,Organizing Body,Key Organizer,Number of Attendees,Participating Organizations,Participants,Year,Date,Founding Year,Number of Participants,Year Founded,Significant Details,Year Established,Notable Participants,Funding Sources,Supporting Organizations,Attendance,Key Organizers,Event,Organizer,Duration,Opposition Party,Founders,Sponsors,Notable Participants/Supporters,Founding Organization,Founding Members,Awards,Notable Incidents,Significant Features,Locations,Historical Significance,Establishment Year,Organization Name,Events Hosted,Unique Activities,Fundraising Amount,Legal Recognition of Same-Sex Unions,Anti-Discrimination Laws in Employment,Extending Anti-Discrimination Laws to Gender Identity,Hate Speech and Hate Crime Legislation,Civil Unions Legalized for Same-Sex Couples,Rights for Transgender Individuals,Gender Identity Recognition Without Surgical Alteration,Same-Sex Couples' Rights to Foster Care Children,Gay Culture Hotspots,Main Activities,Notable Performers,Rotation Between Baltic Capitals,Opposition Faced,Key Developments,Notable Film,Berlin Pride,CSD Berlin,Opposition,Political Climate,Response to LGBTQ Rights,Significant Activities,Participant Numbers,Venue,Activities,Disruptions,Awards/Honors,Additional Events,Organizational Structure,Support from Local Inhabitants,Number of Attendees in 2018,Estimated Attendees (2014),Largest Attendance Year,Come Out with Pride,Attendance Growth,Features,2001,2002,2003,2004,2005,2006,2018,2019,Hosting Organization,Target Audience,Theme/Purpose,Significant Years,Opposition faced,Entry Details,Unique Events,Inclusion Criteria,International Participation,Activities during Event Week,Historical Background,Attendance Numbers,Activities Organized,Number of Volunteers,Services Provided,CEO,Number of Employees,Key Events,Fundraising Initiatives,Significant Films,Date Observed,Countries Commemorated,Specific Date Chosen,Significant Milestones,Founders/Staff,Awards Received,Start Year,Background,Attendees,Support from Leeds Inhabitants,Organizer Association,Themes Covered,Hiatus/Return,Number of Attendees in 2013,Goals and Aims,Focus/Theme,Related Events,1999,2000,Date of First Event,Volunteer Organizers,Support from Stakeholders,Controversies/Opposition,Attendees at Specific Years,Ban Status,Mr Gay Europe,Current Title Holder,Significant Achievements/Contributions,Year Started,Format,Significant Events,Broadcasting Platforms,Representation,Gaps in Occurrence,Affiliation,Representation Opportunities,Notable Winners,Representation at Mr. Gay World,Focus/Purpose,Cancellations/Alterations,Founding Artist Director,Collaborating Organizations,Gai Jatra Gay March,Nepal Pride Parade,Nepal Pride Parade (Online),Key Activities,Operations Location,Significant Participants,Historical Information,Participants/Supporters,Founder,Notable Appearances,Unique Selling Proposition,Significant Partnerships/Expansions,Support from Warsaw Inhabitants,Significant Performers,1990,2012,Organizations involved,Screening Venues,Co-founders,Renaming Year,Last Parade Year,Previous Name,Transition to Annual Occurrence,Venues,Notable Highlights,Former Name,Founded,Collaborations,Organizers,Genres of Films,Selection Process,Growth in Attendance,Organizing Bodies,Founding Purpose,Sápmi Pride,Criteria for Film Selection,Jury Composition,Prize Amount,Evolution of the Award,Typical Activities,------------------------------------------,Transgender Day of Remembrance,Significant Historical Details,Managing Organization,Affiliations,Local Authority Support,Slogan,Vienna Pride,Host Cities,WorldPride,Organizations,trigger
,"Yangon, Myanmar",,,,,,,,,,,,,2014,,,,,,"International donors, embassies, UN organizations, INGOs",,,,,,,,,,,,,,,,,,,<tgr>&PROUD</tgr>,"Yangon Pride festival, LGBTIQ Film Festival, 'On The Road' program, photo exhibitions, film screenings, LGBTQ community space, mental health service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&PROUD
Aarhus Pride,"Aarhus, Denmark",Annually since 2012,LGBT issues advocacy,,,,,,,,"6,000",,,,,,,,,,"Private individuals from the LGBT community, City of Aarhus",,,,,,,,,,,,,,,,,,,,"3.5-km parade, festival with sports, children's area, booths, DJ performances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aarhus Pride
Abhimani Film Festival,"Colombo, Sri Lanka",Annual,LGBTIQ film festival,"June 18, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abhimani Film Festival
AIDS Walk New York,"Central Park, NY",Annually since 1986,Fundraising for AIDS service organizations,Annual,,,,,,"Gay Men's Health Crisis, 50+ local AIDS organizations",,,,,"45,000",,,,,,,,,,,,,,,,,,,,,,,,,,,$7.4 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIDS Walk New York
Alternative Miss Ireland,"Dublin, Ireland",1987-2012,"Beauty pageant for men, women, animals",Sunday closest to St. Patrick's Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alternative Miss Ireland
Aomori International LGBT Film Festival,"Auga, Aomori",Annually since 2006,Diverse gender representation,"July 29, 2006 - July 13, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aomori International LGBT Film Festival
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,2005,-,Comprehensive,2015,2017,2018,2018,"Athens, Thessaloniki, Mykonos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athens Pride
Atlanta Pride,"Atlanta, Georgia",Week-long,,Oct,,,,,,,,,,,,,,1971,,,,"~300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta Pride
Augusta Pride,"Augusta, Georgia",Annually since 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pride Parade, Augusta Pride Festival","Bebe Rexha, Dev",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Augusta Pride
Baltic Pride,,Annual,LGBT+ rights advocacy,,,,,,,,,,,,,,,,,,ILGA-Europe,,"Mozaīka, LGL, Estonian LGBT Association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallinn, Riga, Vilnius","Political, public opposition",Rotational event since 2009 targeting issues of tolerance and rights; emergence of Mozaīka in 2005 to counter homophobia; official recognition after court intervention; expansion beyond parade since 2006; European Parliament expressed disappointment in 2007 and 2008.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baltic Pride
