Teams,Series Outcome,Notable Players,Significant Events,MVP,Start Date,Champion,Home Court Advantage,Games Played,Playoff Format,Finals MVP,Broadcasters,Runner-Up,Coach,Playoff Wins,End Date,Regular Season Record,Regular Season,Key Players,Regular Season Wins,Previous Finals,Key Events,Dates,Series Format,Home Court,Coaches,Outcome,Matchups,Offense,NBA Finals MVP,Playoff Performance,Historical Context,Regular Season Records,Key Moment,Format,Television Ratings,Noteworthy Detail,Length of Series,Venue of Games,Duration of Series,Games' Dates,Duration,Final Result,Series Length,Broadcasting Milestones,Notable Events,First Finals for Both Teams,Historic Game 7,Rookie Record,NBA Finals Appearance,Celtics' Performance,Hawks' Franchise Record,Longest Drought,Overtime Game in Finals,Lakers' Final Championship in 1972,Player Points Scored,5 Barnett,11 Selvy,12 Wiley,22 Baylor,24 Horn,25 Ellis,32 Krebs,33 Hundley,35 LaRusso,44 West,54 Jolliff,Average Margin of Victory,"The table contains information on the teams involved, the outcome of the series, key players, statistics such as the average margin of victory, and highlights significant events of the 1965 NBA World Championship Series where the Celtics triumphed over the Lakers with a 4-1 victory.",Historic Achievement,Overtime Games,Absence of Boston Celtics,Game Significance,Final Game,Statistics,Rebounds,Lakers Record,Knicks Record,Regular Season Performance,Rebounds & Assists,Home Games Venue,Scheduling Format,Notable Coaches,Suns Background,Celtics Background,Top Scorer,Notable Facts,"- Informally dubbed the ""George Washington series""",- Most recent title for a Western Conference team not in Texas or California,- Last NBA championship won by a team from the Northwest Division,Exceptional Individual Performance,Season Records,Notable Achievements,Playoff Qualification,Conclusion on Winning Team's Home Court,Documentary Title,Series Conclusion Date,Acquisitions,Playoff Run,Series Schedule,Game Highlights,Final Matchups,Offensive Statistics,Rebounding Statistics,Historical Significance,Schedule Rotation,Len Bias,Lakers' Achievement,Champions' Record,Celtics' Absence,Style of Play,Key Matchup,Key Statistics,Background,Road Game Record,Repeat Champions,Home-Court Advantage,Significant Changes,Records,Underdog Status,Key Statement,Record Achievement,Shortened Season,Twin Towers,Spurs Journey,Circumstances,Home Court Adv.,Lead-up Details,Notable Moment,Lakers' Performance,Year,Scoring Style,Championships,Significance,Previous Meeting,Achievements,Game Dates,Notable Stats,Avg. Point Diff.,Home-Court Adv.,Previous Matchup,Finals Rematch,Previous Appearances,Title Droughts,Head Coaches,LeBron James Stats,Injuries,Notable Statistics,Playoff Record,Notable Achievement,Notable Records,Championship Drought,Unique Stat,Coin Toss,Sponsor,Notable Background,trigger
Minneapolis Lakers vs. Syracuse Nationals,Minneapolis Lakers defeated Syracuse Nationals in a 4-2 series,"Dolph Schayes, George Mikan",,,"April 8, 1950",,,6,,,,,,,,,,,,,"Lakers won on a buzzer-beating shot in Game 1, Mikan led Lakers in scoring",,,,,,,,,,,,,,,Lakers second of five titles in Minneapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 NBA Finals
Rochester Royals vs. New York Knicks,Rochester Royals defeated New York Knicks in a 4-3 series,"Bob Davies, Red Holzman, Harry Gallatin","First BAA or NBA Finals to conclude in a seventh-game, Rochester's first NBA Finals appearance, New York's first Finals appearance",,"Saturday, April 7, 1951",,,,Best-of-seven series,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seven games played in fifteen days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951 NBA Finals
Minneapolis Lakers vs. New York Knicks,Minneapolis Lakers won the series 4-3,"Kaftan, Zaslofsky, Gallatin, Boryla",,,,Minneapolis Lakers,,,,,,New York Knicks,Lapchick,,,,,,,,,,,,,,,,,,,,,,,,,"Saint Paul Auditorium, 69th Regiment Armory",39 days,"April 12 - April 25, 1952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952 NBA Finals
Minneapolis Lakers vs. New York Knicks,Minneapolis Lakers defeated New York Knicks 4-1,"George Mikan, Slater Martin, Harry Gallatin",,,,,Minneapolis Lakers,5,,,,,John Kundla,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 days,Lakers win series 4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953 NBA Finals
Minneapolis Lakers vs. Syracuse Nationals,Minneapolis Lakers won the series 4-3,,"Lakers win their third consecutive NBA championship, Game two first televised Finals game",,,,Minneapolis Lakers had the advantage,,,,,,,,,,,,,,,"March 31 - April 12, 1954",,,,,,,,,,,,,,,,,,,,,Best-of-seven series,Game two and five were aired live on DuMont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954 NBA Finals
Syracuse Nationals vs. Fort Wayne Pistons,Syracuse Nationals defeated Fort Wayne Pistons in the championship round,,,,,,,,,,,,,,,,,,,,,,"NBA Finals used a 2-2-1-1-1 format, and NBA did not return to a 2-3-2 format until 1985",Fort Wayne Pistons' home games played in Indianapolis due to arena unavailability,,,,,,,,,,,,,,,,,,,,,"Fort Wayne Pistons suspected of conspiring with gamblers to throw the series to Syracuse, suspicious nature of Game 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955 NBA Finals
Philadelphia Warriors vs. Fort Wayne Pistons,Philadelphia Warriors defeated Fort Wayne Pistons 4-1,"5 Noble, 6 Cooper, 10 Zaslofsky, 12 Yardley, 17 Houbregs",Warriors win series 4-1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956 NBA Finals
St. Louis Hawks vs. Boston Celtics,"Celtics defeated Hawks in Game 7, 4-3","Bill Russell, Bob Pettit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Only Game 7 in NBA history decided in double-overtime,Bill Russell set record for rebounds in a single finals game and averaged 22.9 rebounds per game for the series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957 NBA Finals
St. Louis Hawks vs. Boston Celtics,St. Louis Hawks defeated Boston Celtics in six games,"Bob Pettit, Bill Russell, Bill Sharman","St. Louis Hawks winning their first and only NBA title, Bob Pettit's 50-point performance in Game 6",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958 NBA Finals
Minneapolis Lakers vs. Boston Celtics,Boston Celtics swept Minneapolis Lakers 4-0,"Elgin Baylor, Bob Cousy, Bill Russell","Start of Celtics' eight consecutive championships, first time a team with a losing record made it to the NBA Finals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Last time a team from Minnesota appeared in an NBA Finals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959 NBA Finals
St. Louis Hawks vs. Boston Celtics,Boston Celtics defeated St. Louis Hawks 4-3,"Bill Russell, Bob Cousy, Tom Heinsohn, Bill Sharman, Frank Ramsey, Sam Jones, K.C. Jones, Bob Pettit, Cliff Hagan, Slater Martin, Clyde Lovellette","Last NBA Finals played in March, Boston Celtics win series 4-3",,,,,,,,,,"Red Auerbach, Alex Hannum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960 NBA Finals
St. Louis Hawks vs. Boston Celtics,Celtics won the series 4-1,"Pettit, Ferrari, Wilkens",,,,Boston Celtics,,,,,,,,,,,,,,,,,,,"St. Louis Hawks: Ferrari, Boston Celtics: Seymour",,,,,,,,,,,,,,,,,,,,,,,,,"Fifth straight trip to the Finals, fourth championship series against Hawks",Last appearance in NBA Finals as of 2021-22 season,Second-longest Finals appearance drought in the NBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961 NBA Finals
Los Angeles Lakers vs. Boston Celtics,Boston Celtics defeated Los Angeles Lakers in a 4-3 series,"Elgin Baylor (LAL), Bill Russell (BOS)","Celtics win in overtime in Game 7, Elgin Baylor scores 61 points in Game 5, Bill Russell sets rebound records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Game 7 went into overtime, decided the series outcome",The Lakers would not win another championship until 1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962 NBA Finals
Los Angeles Lakers vs Boston Celtics,Boston Celtics defeated Los Angeles Lakers in a 4-2 series,"Elgin Baylor (Lakers), Jerry West (Lakers), Bill Russell (Celtics), Bob Cousy (Celtics)",,,,,,,,,,,Fred Schaus (Lakers) / Red Auerbach (Celtics),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Player Points Scored,6 pts,9 pts,14 pts,10 pts,5 pts,10 pts,2 pts,5 pts,20 pts,57 pts,11 pts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963 NBA Finals
San Francisco Warriors vs Boston Celtics,Boston Celtics defeated San Francisco Warriors 4-1,"Bill Russell, Wilt Chamberlain","First matchup of Bill Russell and Wilt Chamberlain in NBA Finals, Celtics' eighth consecutive trip to the championship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964 NBA Finals
Los Angeles Lakers vs. Boston Celtics,Celtics defeated Lakers in a 4-1 series,"John Havlicek, Elgin Baylor","Celtics average 123.4 points a game, Lakers average 110.8 points per game",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Celtics: 12.6 points, Lakers: 11 points","The table contains information on the teams involved, the outcome of the series, key players, statistics such as the average margin of victory, and highlights significant events of the 1965 NBA World Championship Series where the Celtics triumphed over the Lakers with a 4-1 victory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965 NBA Finals
Boston Celtics vs. Los Angeles Lakers,Boston Celtics defeated Los Angeles Lakers in a 4-3 series,"Bill Russell, Red Auerbach","Red Auerbach announces Bill Russell as Celtics' coach, Game 7 win",,,Boston Celtics,,7,,,,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston Celtics won eighth consecutive NBA title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966 NBA Finals
San Francisco Warriors vs. Philadelphia 76ers,Philadelphia 76ers defeated San Francisco Warriors 4-2,"Wilt Chamberlain, Rick Barry",,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1*,First time in 11 years Celtics did not win NBA Finals and first time in 1960s Celtics were not champions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967 NBA Finals
Boston Celtics vs. Los Angeles Lakers,Boston Celtics defeated Los Angeles Lakers in a 4-2 series,,,,,,,,,"No Finals MVP was named, introduced the following year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game 6 was the first NBA game ever played in May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968 NBA Finals
