Dates,Location,Official Name,Popular Name,Sports,Athletes,Number of Nations,Commonly Known As,Unique Circumstances,Events,Standout Performances,Participating Countries,Disciplines,Number of Athletes,Debuting Nations,Top Country - Medals,Total Events,Medal Standings - Gold,Medal Standings - Total,Bidding Process,Year,Future Games,Nations,Significance,Host City Selection,Bid Winner,Final Contenders,Previous Hosts,Nations Represented,New Sports,Medal Standings,Participating Nations,Boycotts,New Olympic Sport,Second Place,Language,Motto,Countries,New Events,Logo,Official Decision,Announcement,Nations Participated,Medal Distribution,Standout Performer,Main Venue,Number of Sports,Hosting Proposal,Notable Achievements,Medal Format,Reasons,Duration,Bids Received,Reason for Relocation,Notable Features,Sanctioned Nations,Opening Ceremony Date,Host City,Hosted Prior,Standout Performers,Bidding Cities,Total Cost,Revenue,Profit/Loss,Financial Details,Events & Sports,Art Competitions,Sports Venues Used,Cost Control Measures,IOC Vote,Infrastructure,Broadcasting,Filmmaker,Political Influence,Exclusion of Jews,Ticket Revenues,Winter Debuting Nations,Returning Nations,Reasons for Nickname,Standout Performance,Northernmost City,Consecutive EU Games,World Records,Medal Leaders,Significant Debut,Women Participants,Equestrian Events,Southern Hemisphere,Seasons,Southernmost City,Special Circumstances,Future Hosts,Significant Events,First Olympics in Asia,South Africa Exclusion,Technological Advances,Documentary Film,Name,Track Innovation,Timekeeping,Medal Achievements,Torch Relay,Bid Selection,South Africa,Notable Changes,Common Name,Munich Massacre,Nazi Regime,Symbol/Logo,Mascot,Theme Color,Fanfare Composer,Medal Leader,Olympic Park,Competition Sites,Stadium Design,Bid Winners,Competing Cities,Decision Announcement,Host Selection,Significant Boycotts,Host for Paralympics,Subsequent Games,Number of Nations Represented,Reason for Boycott,First-Time Nations,Most Medals - Gold,Most Medals - Total,Debutant Nations,Reasons for Boycott,Financial Success,Future Olympic Hosting,Debut Nations,Volunteers,Host Rank,Media Coverage,National Olympic Committees,Notable Performances,Legacy,Host Country,First Summer Olympics in,IOC Decision,Debut of Nations,Notable Milestones,Previous Bid Loss,Host Decision,Number of Countries,Debutants,Olympic Truce,Olympic Debuts,Total Medals,Medal Table,Nearby Communities,Previous Bid Attempts,Host Selection Date,Beaten Bids,Japan's Olympic History,Successor Event,Nations Participating,New Sports Introduced,Third Place,Standout Athlete,Notable Record,Estimated Cost,IOC President,Successor,Future Host,Reception,Team Officials,Medal Events,Significant Fact,Medal Design,Impact,Feedback,Mascots,Voting Process,Hosting by,Viewership Statistics,Organizing Committee,Host Country Achievements,Opening Ceremony,Closing Ceremony,Sustainability,Notable Achievement,Praise,Number of Events,Key New Competitions,Venues,Cost,Broadcast Audience,Significant Detail,Significant Achievement,Debut Sports,Controversies,Concerns/Controversies,Number of Hostings,Paris2004 Significance,Hosted by,Followed by,Bid Withdrawals,Concurrent Hosting,Host Cities,Decision-Making Process,New Addition,Historical References,US Previous Olympic Hosts,Significance for LA,Previous Hostings,Key Changes,Selection Process,Charter Modification,trigger
6 to 15 April 1896,"Athens, Greece",Games of the I Olympiad,,,,,Athens 1896,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"Gold - United States (11), Most Medals - Greece (47)",Carl Schuhmann (Germany) - 4 gold medals,Panathenaic Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896 Summer Olympics
14 May to 28 October 1900,"Paris, France",Games of the II Olympiad,Paris 1900,,,,,"Held as part of the 1900 World's Fair, competitions on a Sunday led to protests from American athletes",,,,,"1,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 different sports,Pierre de Coubertin proposed them in 1894 but held in 1900 due to 1896 Athens decision,"Women's participation for the first time, the first female Olympic champion was sailor Hélène de Pourtalès",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900 Summer Olympics
"July 1 to November 23, 1904","St. Louis, Missouri, United States",,,,62 athletes from outside North America,,,,,,,,,,,,,,,,,,,,,,,Between 12 and 15 nations,"Boxing, dumbbells, freestyle wrestling, decathlon",,,,,,,,,,,,,,,,,,,,"Introduction of gold, silver, and bronze for first, second, and third place","Tensions due to Russo-Japanese War, difficulties in travel, limited top-class athletes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904 Summer Olympics
27 April to 31 October 1908,"London, England, United Kingdom",IV Olympic Summer Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187 days,"4 (Rome, London, Berlin, Milan)",Eruption of Mount Vesuvius in 1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908 Summer Olympics
5 May to 22 July 1912,"Stockholm, Sweden",Games of the V Olympiad,Stockholm 1912,14,"2,408 (48 women)",,,,102,,,,,,,,,,,,,28,,,,,,,,"United States (most gold), Sweden (most total medals)",,,,,,,,,,,,,,,,,,,,,,,,"Solid gold medals, first Asian nation participation, introduction of new events and sports, US most gold medals, Sweden most medals overall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912 Summer Olympics
Unspecified in text,"Antwerp, Belgium",Games of the VII Olympiad,,Unspecified in text,,29 (with exceptions due to WWI),Antwerp 1920,,,United States - most gold and overall medals,,,,Newly formed Soviet Union,,,,,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Germany, Hungary, Austria, Bulgaria, Ottoman Empire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 Summer Olympics
4 May to 27 July 1924,,Games of the VIII Olympiad,Paris 1924,,,44,,"Germany not invited, countries debuting in the Olympics",,"United States (most gold and overall medals), top ten nations in medal standings",,,,,,"126 (23 disciplines, 17 sports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 July 1924,"Paris, France",Yes (Paris previously hosted in 1900),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924 Summer Olympics
25 January to 5 February 1924,"Chamonix, France",I Olympic Winter Games,,9,,16,Chamonix 1924,"First Winter Olympics, Sonja Henie's participation at age 11",,,,9,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charles Jewtraw, Sonja Henie, Gillis Grafström",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924 Winter Olympics
28 July to 12 August 1928,"Amsterdam, Netherlands",Games of the IX Olympiad,Amsterdam 1928,,,46,,,,,,,,,,,United States (22),United States (56),,,,,Amsterdam's bid process for previous Olympic Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amsterdam, Los Angeles",US$1.183 million,US$1.165 million,"Loss of US$18,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928 Summer Olympics
11 to 19 February 1928,"St. Moritz, Switzerland",II Olympic Winter Games,,4,,25,St. Moritz 1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928 Winter Olympics
"July 30 to August 14, 1932","Los Angeles, California, United States",,,,,,,,,,,,,,,,,,,,,,,"Los Angeles was the only bid, selected by default to host the 1932 Games",,,,,,,"37 compared to 46 in the 1928 Amsterdam Games, some nations did not attend due to the Great Depression",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Games reported to have made a profit of US$1,000,000 despite the economic challenges","117 events in 20 disciplines, comprising 14 sports, Equestrian jumping event with no medals awarded","Medals awarded for works inspired by sport-related themes in five categories: architecture, literature, music, painting, and sculpture","Fifteen venues used including existing facilities like golf courses, city parks, public highways, and newly constructed Swimming Stadium","Existing venues used to control costs, Rose Bowl converted to velodrome, Los Angeles Memorial Coliseum used as Olympic Stadium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932 Summer Olympics
"February 4-13, 1932","Lake Placid, New York",III Olympic Winter Games,,4,,17,Lake Placid 1932,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932 Winter Olympics
1-16 August 1936,"Berlin, Germany",Games of the XI Olympiad,Berlin 1936 or Nazi Olympics,,,,,,,,,,,,,,,,,,,,,,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29th IOC Session in April 1931,"New 100,000-seat stadium, six gymnasiums, smaller arenas","First televised Games, radio broadcasts in 41 countries",Leni Riefenstahl commissioned to film the Games for $7 million (Olympia film),"Hitler used the Games to promote his government's ideals, antisemitism","Jewish athletes barred or sidelined, except for some women swimmers from Hakoah Vienna","7.5 million Reichsmark, generating over one million RM profit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936 Summer Olympics
