Date,Location,Viewership,Director,Host,Time,Major Winners,Producers,Categories,Nominations Announced,Nominations Leader,Producer,Notable Occurrence,Notable Occurrences,Awards Presented,Number of Categories,Hosts,Nominations,Nominations Date,Best Picture Winner,Other Winners,Winners Announcement,Number of Awards,Most Awards,Notable Achievement,Notable Winners,Winners,Leading Nominations,Most Nominated Film,Most Nominations,Directors,Major Award Winners,Notable Events,Related Events,Notable Nominations,Technical Awards Host,Viewsership,Best Director Winner,Best Actor Winner,Best Actress Winner,Best Supporting Actress Winner,Best Supporting Actor Winner,Total Awards,Notable Achievements,Interesting Facts,Noteworthy Occurrences,"This table effectively summarizes all the key details surrounding the 73rd Academy Awards ceremony, highlighting essential aspects such as the awards, winners, nominations, and unique occurrences during the event.",Notable Detail,Telecast Viewership,"This table effectively summarizes the essential details of the 81st Academy Awards ceremony, covering the key aspects such as date, location, hosts, major winners, viewership, nominations, and notable occurrences.",Start Time,Best Picture Nominees,Unique Feature,Subsidiary Events,Presenters,Viewers,Nominations Announcement,Significant Nominations,Unique Occurrence,Top Nominations,Films Considered,Controversies,Eligibility criteria,trigger
"April 3, 1978","Dorothy Chandler Pavilion, Los Angeles",Information not provided,Marty Pasetta,Bob Hope,7:00 p.m. PST / 10:00 p.m. EST,"Annie Hall (4 awards, including Best Picture), Star Wars (6 awards), Julia (3 awards)",,23,,,Howard W. Koch,,"Woody Allen's multiple nominations, The Turning Point's 11 nominations without a win",,,,,,,,,,,,,,,,,,,,,Julia and The Turning Point (tied with eleven nominations each),,,,,,,,,,,,,,,,,,,,,,,,,,,,,50th Academy Awards
"March 24, 1986","Dorothy Chandler Pavilion, Los Angeles",,Marty Pasetta,,6:00 p.m. PST / 9:00 p.m. EST,"Cocoon, Witness (2 awards each), various others",Stanley Donen,,"February 4, 1986",,,,,23 categories,,"Alan Alda, Jane Fonda, Robin Williams",,,Out of Africa (7 awards),,"March 24, 1986",,,,,,"The Color Purple, Out of Africa (11 each)",,,,,,,,Macdonald Carey,37.8 million viewers in the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,58th Academy Awards
"March 30, 1987","Dorothy Chandler Pavilion, Los Angeles",N/A,Marty Pasetta,,6:00 p.m. PST / 9:00 p.m. EST,"Platoon (4 awards, including Best Picture), Hannah and Her Sisters, A Room with a View (3 awards each), Aliens (2 awards), Artie Shaw: Time Is All You've Got, The Assault, Children of a Lesser God, The Color of Money, Down and Out in America, The Fly, A Greek Tragedy, The Mission, Precious Images, Round Midnight, Top Gun, Women – for America, for the World (1 award each)",Samuel Goldwyn Jr.,23,,,,,"Platoon and A Room with a View led with eight nominations, Catherine Hicks presented the Academy Awards for Technical Achievement",,,"Chevy Chase, Paul Hogan, Goldie Hawn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59th Academy Awards
"April 11, 1988","Shrine Auditorium, Los Angeles",42.2 million viewers (in the United States),,Chevy Chase,6:00 p.m. PDT,,,,,The Last Emperor (9),,,All five Best Director nominees born outside the US,,,,,,The Last Emperor,,,22,The Last Emperor (9 awards),,,,,,,,,,,,,,Bernardo Bertolucci,Michael Douglas,Cher,Olympia Dukakis,Sean Connery,,,,,,,,,,,,,,,,,,,,,,60th Academy Awards
"March 29, 1989","Shrine Auditorium, Los Angeles",Over 42 million viewers in the United States,Jeff Margolis,,6:00 p.m. PST / 9:00 p.m. EST,"Rain Man (4 awards, including Best Picture), Who Framed Roger Rabbit (4 awards), Dangerous Liaisons (3 awards), The Accused, The Accidental Tourist, A Fish Called Wanda, etc. (1 award each)",Allan Carr,,"February 15, 1989",Rain Man (8 nominations),,Jodie Foster's win for Best Actress with a single nomination,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61st Academy Awards
"March 26, 1990","Dorothy Chandler Pavilion, Los Angeles",Over 40 million viewers in the United States,Jeff Margolis,Billy Crystal,6:00 p.m. PST / 9:00 p.m. EST,"Driving Miss Daisy (4 awards, including Best Picture), Glory (3 awards), Born on the Fourth of July, The Little Mermaid, My Left Foot: The Story of Christy Brown (2 awards each)",,23,,,Gil Cates,,,,,,"Driving Miss Daisy (9), Born on the Fourth of July (8)",,,,,,,"Third film to win Best Picture without a Best Director nomination, Jessica Tandy became the oldest winner of competitive acting Oscar at the time",,,,,,,,,,,,,,,,,,Not specified in the provided text,,,,,,,,,,,,,,,,,,,,,62nd Academy Awards
"March 25, 1991","Shrine Auditorium, Los Angeles",Nearly 43 million viewers in the United States,Jeff Margolis,Billy Crystal,6:00 p.m. PST / 9:00 p.m. EST,"Dances with Wolves (7 awards, including Best Picture), Dick Tracy (3 awards), Ghost (2 awards)",,,"February 13, 1991",,Gil Cates,,,23 categories,,,,,,"American Dream, Creature Comforts, Cyrano de Bergerac, Days of Waiting, Goodfellas, The Hunt for Red October, Journey of Hope, The Lunch Date, Misery, Reversal of Fortune, Total Recall (1 award each)",,,,,,,,,,,,,,,,,,,,,,,"Kevin Costner's multiple nominations and wins, Whoopi Goldberg's award as the second African American woman to win in her category",,,,,,,,,,,,,,,,,,,,63rd Academy Awards
"March 30, 1992","Dorothy Chandler Pavilion, Los Angeles",Over 44 million viewers in the United States,Jeff Margolis,Billy Crystal,6:00 p.m. PST / 9:00 p.m. EST,"The Silence of the Lambs (5 awards, including Best Picture), Terminator 2: Judgment Day (4 awards), Beauty and the Beast, Bugsy, JFK (2 awards each)",,,,,Gil Cates,,The Silence of the Lambs first horror film to win Best Picture and to be released on home video prior to winning the award,,23,,"Bugsy (10), JFK (8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64th Academy Awards
"March 29, 1993","Dorothy Chandler Pavilion, Los Angeles",45.7 million viewers in the United States,Jeff Margolis,Billy Crystal,6:00 p.m. PST / 9:00 p.m. EST,"Unforgiven (4 awards, including Best Picture), Bram Stoker's Dracula, Howards End (3 awards each), Aladdin (2 awards), The Crying Game, Death Becomes Her, Educating Peter, Indochine, The Last of the Mohicans, Mona Lisa Descending a Staircase, My Cousin Vinny, Omnibus, The Panama Deception, A River Runs Through It, Scent of a Woman (1 award each)",,,"February 17, 1993","Howards End, Unforgiven (9 nominations each)",Gil Cates,Clint Eastwood and Al Pacino's unique nominations and wins,,23 categories,,,,,,,"March 29, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65th Academy Awards
"March 21, 1994","Dorothy Chandler Pavilion, Los Angeles",Over 46 million viewers in the United States,Jeff Margolis,Whoopi Goldberg,6:00 p.m. PST / 9:00 p.m. EST,,,,,,Gil Cates,"Jane Campion's nomination for Best Director, Holly Hunter and Emma Thompson's double acting nominations",,23 categories,,,"Schindler's List (12), The Piano/ The Remains of the Day(8), etc.",,,"Jurassic Park, The Piano, Philadelphia, etc.",,,Schindler's List (7 awards),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66th Academy Awards
