Location,Date,Casualties,Event Trigger,Time,Description,Survivors,Event,Rescue Operations,Impact,Fatalities,Nationality of Victims,Houses Destroyed,People Involved,Number of Casualties,Injured,Organizations Involved,Previous Avalanches,Population,Individuals Involved,Number of Avalanches,Area,Capital City,Historical Background,Speed,Cause of Death,Total Casualties,1992 Görmeç avalanche,"This table provides a concise summary of the key information related to the 1992 Görmeç avalanche, including the date, location, total number of casualties, and the specific number of soldiers among the victims.",Number of Fatalities,Fatalities in Season,Avalanche Speed,Snowfall,Hazard Zones,Contributing Factors,Impact on Structures,Victims Nationality,Rescues,Details,Hikers,Houses Struck,Rescue Difficulties,Response from Authorities,Additional Details,Individuals Trapped,Altitude,Outcome for Trapped Individuals,Context,Cause,Number of People Involved,Soldiers,Civilians,Bordering Countries,Ethnic Groups,Historical Significance,Famous Empires,Neighboring Countries,City,Province,Country,Main River,Surrounding Mountains,Economic Focus,Notable Features,Main Deposit Distance,Glacier Chunk Thickness,Earthquake Details,County Name,Origin of Name,,Factors,People Present,Avalanche Weight,Avalanche Warning,Involvement,Investigations,Deliberate Shell-Firing,Additional Avalanches,Estimated Total Casualties,Commemorative Holiday,"Term ""White Friday""",Barracks Construction Details,Time Period,Locations,Residential Damage,Economic Impact,Unique Incidents,trigger
"Rogers Pass, Selkirk Mountains, BC, Canada","March 4, 1910",58,,Midnight,"Deadliest avalanche disaster in Canada, occurred during railroad track clearing, significant impact on Canadian Pacific Railway's transcontinental link",,,,Construction of protective snow sheds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910 Rogers Pass avalanche
"Khumbu Icefall, Mount Everest",5 April 1970,6,,,,,1970 Mount Everest Icefall Avalanche,,,,,,,,,,,,"Nepalese Sherpas (Mima Norbu, Nima Dorje, Tshering Tarkey, Pasang, Kunga Norbu, Kami Tshering), Japanese Skiing Expedition (Yūichirō Miura, Kyak Tsering)",,,,,,Ice-fall avalanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970 Mount Everest disaster
"Val-d'Isère, Savoie, France",10 February 1970,,,8:05 am,"Avalanche struck the ski resort, killing 39 and injuring 37, massive snowfall into a concrete chalet",,,N/A,,,,,,"39 killed, 37 injured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970 Val-d'Is猫re avalanche
Neskaupstaður,20 December 1974,,,,,1,,,"12 fatalities (including 2 children), impact on fishing industrial site and residential areas",,Icelandic,,,,,,,,,Two,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974 Neskaupsta冒ur avalanches
,,,,,,,,,,,,,,,,,,,,,,,,,,,71,"This table provides a concise summary of the key information related to the 1992 Görmeç avalanche, including the date, location, total number of casualties, and the specific number of soldiers among the victims.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992 G枚rme莽 avalanche
"Üzengili, Bayburt Province, Turkey","January 18, 1993",59,,,,,1993 Bayburt Üzengili avalanche,,,,,72,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993 Bayburt 脺zengili avalanche
"Flateyri, Westfjords",26 October 1995,20,1995 Flateyri avalanche,4:00 AM,,25,,,,,,17,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995 Flateyri avalanche
"Near Gokyo, Nepal",November 1995,,,,"Avalanche at a lodge near Gokyo triggered by a rare November snowstorm spawned by the 1995 India cyclone, leading to 63 deaths in Nepal",,,-,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995 Gokyo avalanche
"Súðavík, Westfjords",16 January 1995,14,1995 Súðavík avalanche,6:25 AM,,12,,,,,,15,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995 S煤冒av铆k avalanche
Mount Everest,10-11 May 1996,8,1996 Mount Everest disaster,,,,,,Raised questions about the commercialization of Everest,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996 Mount Everest disaster
