Founded,Total Assets,Seized By,Peak Earnings,Insolvency,Warning to Regulators,Branches,Branches Sale,Name Change,Name Changes,Acquirer,Original Name,Reason for Failure,Bank Failure Year,Branches Sold,Branch Locations,Growth History,Acquisitions,Peak Assets,Operation Type,Headquarters,Services Offered,Founding Year,Closure Date,Significant Events,Regulatory Action,Shareholders' Equity,Customer Deposits,Ranking by Assets,Establishment Year,Subsidiaries,Chairman of the Board,CEO,Acquisitions and Investments,Estimated Cost of Failure,Assets,Number of Offices,Client Investment Assets Managed,Regulatory Agency,Notable Historical Events,Banking Centers,ATMs,Locations,Bank Closure Date,Acquiring Institution,Reason for Closure,Financial Assistance,Loss in Final Year,Amount Owed to US Government,Nature of Services Offered,Founder,Acquisition,Assets Growth under New Management,Involvement in Scandal,Official Opening,Number of Branches,Partnerships,Chairman's Announcement,Significant Loans Issued,Environmental Conservation,Mission-Based Deposits,Financial Performance History,Losses in 2009,Capital Seeking Attempts,Closure,Former Name,Insolvency Date,Notable Events,Bank Failure Date,Final Name,Merger Year,Merger Details,Legislation Impacting Name,Founding Name,trigger
1882,,,,,,,,,"Harris Trust and Savings Bank (1907), Harris Bank, N.A. (1972)",Bank of Montreal,N.W. Harris & Co.,Not Applicable,Not Applicable,,,"Acquired First National Bank of Barrington (1985), State Bank of St. Charles and First National Bank of Batavia (1988), Libertyville Federal Savings Bank and Loan, Frankfort Bancshares (1990), Harris acquired 54 Chicago area branches (1996)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amcore Bank
1922,$30 billion in 1988,"Placed in receivership and later acquired by the Robert M. Bass Group, Inc.",$1.1 billion loss in 1984,September 1988,$468 million loss in 1987 which left the thrift technically insolvent,Multiple branches across the United States,,State Savings & Loan Association to American Savings,,,,,,"Split into good bank and bad bank, with New West Federal Savings Bank acquiring some branches in December 1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Savings and Loan
1889,,,,,,,,Amtrust Bank,,New York Community Bank,"Ohio Savings, Loan & Building Co.",Bank failure,,,,,"Citizens Federal Savings & Loan, Shaker Savings, Palm Plaza Savings Association",,,,,,December 2009,"Leo Goldberg acquisition in 1963, acquisition of Palm Plaza Savings in 1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AmTrust Bank
1996,,,,"October 30, 2009",,Grew to 68 branches by 2009,All deposits and branches transferred to U.S. Bank,,,,,Massive losses on $855 million worth of securities issued by Fannie Mae and Freddie Mac,,,,,"Acquired Torrance Bank in 1996, five branches of Topa Savings and Topa Thrift in 1998, People’s Bank of California in 2001, Fidelity Federal Bank in 2002",,,,,,,,"Closed by the Office of the Comptroller of the Currency, FDIC named Receiver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,California National Bank
1934,$8.2 billion in 1990,Government regulators in June 1990,$9 billion in assets in 1989,February 1990,Potential increase of $250 million in non-performing loans in 1990,"32 branches with $2.2 billion in assets in 1983, 23 in 1990",Great Western Bank acquired assets in June 1990,CenTrust Savings & Loan Association in 1984 after acquisition by David L. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CenTrust Bank
1910,$40 billion in 1984,Federal Deposit Insurance Corporation,Not provided,May 1984,Insolvency due to bad loans from Penn Square Bank in Oklahoma,Not provided,Not provided,,"Commercial National Bank, Continental National Bank, Continental & Commercial National Bank of Chicago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continental Illinois National Bank and Trust
1958,"Not specified, can be added if available",Federal Deposit Insurance Corporation,"Not specified, can be added if available","Highly undercapitalized, negative Tier 1 capital in 2009","In need of government assistance, negative Tier 1 capital",11 branches in the Chicago metropolitan area,,"Corus Bank from Corus Bankshares, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corus Bank
1972,$5.9 billion,Commissioner of Financial Institutions of Puerto Rico,,"February 27, 2015",Potential $250 million increase in non-performing loans in 1990,26 branches,No specific information provided,Doral Financial Corporation,,,,,,,,,,$5.9 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doral Bank
,US$187.62 million,,,,,,,,,,,,,,Multiple locations in Kenya,,,,Sharia Law,,,,,,,US$14 million,US$161 million,21 out of 43 licensed banks,2007,"FCB Takful Insurance Agency, FCB Capital Limited",Sheikh Mohamed Mbaye,Dr. Hussein Assad Ahmed Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Community Bank
1929,Not provided,Office of Thrift Supervision,Not provided,"December 18, 2009",Not provided,Approximately thirty-nine branches,"All 39 branches reopened as branches of OneWest Bank, FSB, Pasadena, CA",First Federal Savings and Loan Association of Santa Monica to First Federal Bank of California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Federal Bank of California
1920,,,,,,,,,"Republic National Bank of Dallas (1922), Republic National Bank and Trust Company (1928), etc.",NCNB Corporation,Guaranty Bank and Trust Company,Savings and loan crisis,1988,,,Largest bank in Texas by 1948,,,,,,,,,,,,,,,,,"Acquired North Texas National Bank, invested in other Texas banks, acquired Houston National Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First RepublicBank Corporation
1926,,,Became the 20th largest bank in the U.S.,,,,,,Renamed to Franklin National Bank,"Acquired by Harold Gleason initially, followed by influential figures like Michele Sindona and Laurence Tisch",Franklin Square National Bank,"Collapsed in obscure circumstances, connected to Michele Sindona and the Mafia",1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franklin National Bank
Not provided,$13.4 billion,U.S. federal regulators,$13.4 billion,1989,Non-performing loans could increase by $250 million in 1990,Not provided,"119 to Great Western Bank, eight to Home Savings of America, four to First Interstate Bank, three to First Federal Bank of California in December 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gibraltar Savings and Loan
1921,,,,,,,,,Gibraltar Savings and Building Association to Gibraltar Savings,First Texas Financial Corporation,,,,,,,,,,,,,,,,,,,,,,,,$2.875 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gibraltar Savings Association
1885,,Federal regulators in 1991,"Before insolvency, achieved $60 million debt offering",1991,,,"Prior to insolvency, 213 offices; 119 to Great Western Bank, eight to Home Savings of America, four to First Interstate Bank, three to First Federal Bank of California in December 1993",,"San Diego Building and Loan Association, San Diego Federal Savings and Loan Association; Great American Federal Savings and Loan Association, Great American First Savings Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great American Bank
1934,$19.1 billion in 1990,Federal regulators in July 1992,$115.7 million in 1989,July 1992,Non-performing loans could increase by $250 million in 1990,215 branches in 1990,"119 to Great Western Bank, eight to Home Savings of America, four to First Interstate Bank, three to First Federal Bank of California in December 1993",Home Federal Savings and Loan to HomeFed Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HomeFed Bank
,,,,,,,,,,,,,,,,,,,,City National Plaza,"Banking, Trust, Investment",1954,,,,,,,,,,,,,$91 billion,75 offices,$71.7 billion,OCC,"Moved headquarters to Arco Plaza in 2004, bank put up ransom money for Frank Sinatra's son",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imperial Capital Bank
