Headquarters,Founded,Founders,Filing Date,Bankruptcy Filing Date,Reason for Bankruptcy,CEO,Funding,Emergence Date,Acquired By,Founding Year,Date of Bankruptcy Filing,Legal Actions Taken,Original Name,Seizure Date,Bankruptcy Status,Ranking at Time of Seizure,Formation Date,Incorporation Result,Ownership,EVP/Chief Legal Officer,EVP/Chief Financial Officer,EVP/Power Operations,Generation Capacity,Number of Power Plants,Primary Energy Sources,Operations,Name Origin,Brands,Founding Member,Successor Companies,Incorporation,Expansion,Financial Offerings,International Presence,World War Contributions,Acquisitions Pre-Bankruptcy,Acquisitions Post-Bankruptcy,Location,Legal Representation,Largest RE Bankruptcy,Portfolio Size,Portfolio States,Rank,Filing Date for Chapter 11 Bankruptcy,Emerging Date from Bankruptcy,Legal Domicile,Peak Valuation,Acquisition by Level 3,Acquisition Amount,Assumed Debt,Executives Accused of Scandal,Filing Date for Bankruptcy,Impact on Financial Crisis,Acquirer of Key Divisions,Lehman Founding Year,Parent Company,Emergence from Bankruptcy,New Parent Company,Stock Exchange Listing Date,Bankruptcy Year,Total Assets,Total Liabilities,Reasons,Financial Mishandlings,Emergence Date from Bankruptcy,Total Assets after Sale of Subsidiaries,Total Debt after Sale of Subsidiaries,Collapse Date,Customer Accounts,Assets,Liabilities,CEO Scandal,IPO Date,IPO Shares,IPO Price,Stock Valuation,Valuation,Profit Growth,Acquisition Type,Year of Acquisition,Flagship Product,Havoline Owner,Origin,Merger,Unique Position,Circumstances,Total Assets after Sale of Subsidiary,Total Debt after Sale of Subsidiary,Acquisitions,Bankruptcy Filing,Renamed & Acquired By,trigger
,,,,,,,,,,,,,Southern New Hampshire Bank and Trust Company,1991,Chapter 7 liquidation,33rd largest bank in the U.S.,1985 as the first interstate regional bank in the U.S.,Most assets are now part of Bank of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bank of New England
"Houston, Texas",1984,Peter Cartwright,,,,Thad Hill,Initial capital of US$1 million,,,,,,,,,,,,"Energy Capital Partners, Access Industries Inc., Canada Pension Plan Investment Board",Thad Miller,Zamir Rauf,Charlie Gates,"Nearly 26,000 megawatts",78,"Natural gas, geothermal","23 states, Canada, Mexico",Combination of California and alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calpine
"Auburn Hills, Michigan",1925 (original Chrysler Corporation),,,,,,,,,,,,,,,,,,,,,,,,,,,"Chrysler, Dodge, Jeep, Ram, Mopar, SRT",Walter Chrysler,"DaimlerChrysler, Chrysler LLC, Chrysler Group LLC, Fiat Chrysler Automobiles, Stellantis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrysler
"St. Louis, Missouri (1908); New York City (1915); Delaware (1924)","February 11, 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924 (Delaware),Operations in Europe (1929),Automobile financing (1916); Factoring services (1928),Closed German operations (1934),Financed submarine chaser manufacture during WWI; Employee support during WWII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIT Group
,,,2002,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Security National of Indiana Corp., Lincoln Income Life Insurance, Bankers National Life Insurance","Greentree Financial, Colonial Penn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conseco, Inc."
,,,Late 2001,,,,,November 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern District of New York,"Weil, Gotshal & Manges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enron Corp.
"Cedar Rapids, Iowa; Chicago, Illinois",1954,,2009,,,,,,Brookfield Property Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"125 properties, 121,000,000 sq ft",40,2nd largest shopping mall operator in the US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General Growth Properties
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General Motors
New Jersey,,"Gary Winnick, Abbott L. Brown, David L. Lee, Barry Porter",,2002,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bermuda,$47 billion,"October 3, 2011",$3 billion,$1.1 billion,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Global Crossing
,,,,,"Exodus of clients, drastic losses, less liquid assets exposure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"September 15, 2008",Largest bankruptcy in US history,"Barclays, Nomura Holdings",1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lehman Brothers Holdings, Inc."
