Affected Regions,Start Date,End Date,Date,Snowfall Amount,Snowfall Amounts,Fatalities,Noteworthy Phenomena,Casualties,Damages,Storm Category,Impact,Unique Characteristics,Storm Development,States of Emergency,Storm Path,Development,Peak Wind Gusts,Snowfall,Dates,Notable Impacts,Wind Speeds,Total Snowfall,Duration,Airport Closure,Public Transit Issues,Response Failure,Location,Cause,Weather Conditions,Precipitation Types,Power Outages,Reported Tornadoes,Storm-related Deaths,Exacerbating Factors,Transportation Impact,Primary Name,Major Cities Impacted,Rare Phenomenon,Synoptic Factors,Causes,Severe Weather Produced,Reported Fatalities,Precipitation Variations,Storm Origin,Blocking High Pressure,Rainfall Severity,Snowfall Disparities,Event,Storm Type,Comparison,Gust Speeds,Lowest Pressure Recorded,Snow Levels,Development Process,Types of Severe Weather,Origin,Unique Features,Path,Maximum Sustained Winds,Wind Gusts,Lowest Pressure,Notable Phenomena,Events,Significance,Flight Cancellations,National Guard,Travel Ban,Significant Phenomena,Deaths,Reasons for Impact,Noteworthy Impacts,Record Low Temperatures,Major Impacts,NWS Rating,Record Snowfall,Causal Factors,"By extracting this information, the significant details of the Blizzard of 2003 are summarized, including its impact on major cities, causal factors contributing to the severity of the storm, and the path it took during development.",Impact on Transport,School Closure,International Reach,Reasons for Low Casualties,trigger
,"January 13, 1979","January 14, 1979",,,,,,"5 deaths, 15 injured",,,,,,,,,39 miles per hour,,,,,21 inches,38 hours,O'Hare Airport closed for 96 hours,"Frozen tracks on Chicago 'L' system, overcrowded buses, significant delays",Mayor Bilandic criticized for inadequate response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979 Chicago blizzard
,,,"October 31 to November 3, 1991",,,,,"22 people killed, over 100 injured",,,"Heavy snowfall, ice storm, record low temperatures",,,,,,,,,,,,,,,,"Upper Midwest of the United States, eastern half of Minnesota, northwestern Wisconsin, southern Minnesota, northern Iowa","Large storm system over the Atlantic Ocean, arctic air, strong arctic cold front","Contrast between warm air to the east and cold air to the west of the cold front, large temperature differences over short distances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991 Halloween blizzard
"Canada to Honduras, Eastern United States, Eastern Canada","March 12, 1993","March 15, 1993",,,"Up to 35 inches reported in highland areas of Alabama and Georgia, 13 inches in Birmingham, Alabama, 4 inches in the Florida Panhandle","Total of 318 deaths, 208 fatalities in the United States","Hurricane-force winds, high storm surges, scattered tornadoes, record low temperatures, volcanic winter speculated due to Mount Pinatubo eruption",,,,"Loss of power for over 10 million households, $2 billion in damages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993 Storm of the Century
Northeastern United States,,,"March 31 - April 1, 1997",Up to three feet of snow,,,,,,,,"Storm hit on April Fool's Day, caught many off guard, slow-moving, heavy snowfall","Originated as low-pressure system, intensified off New Jersey coast",,,,,,,,,,,,,,,,,"Rain, sleet, and snow",Left hundreds of thousands without power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997 April Fool's Day blizzard
"Midwestern US, Great Plains, Southeastern US, Eastern Seaboard, parts of Ontario",,,"December 22-24, 2009",,,At least 21 lives,"Warm air wrapped around the north and west side, cold air from the south, ""White Christmas"" region stretching from Canada to Dallas",,,,,,,Oklahoma,,,,- South Dakota: 30.8 inches<br>- Minnesota: 26 inches<br>- Texas: 9 inches<br>- Nebraska: caused six deaths<br>- Oklahoma: 19 inches; 3 deaths<br>- Iowa: high snowfall,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 North American Christmas blizzard
"Western New York, Southern Ontario",,,,Up to 100 inches in certain areas,,,,,,,,,,,,,Ranged from 46 to 69 mph,,"January 28 to February 1, 1977",,,,,,,,,,,,,,"23 in Western New York, 5 in Northern New York","Freezing of Lake Erie, below-normal temperatures, powdery snow conditions","Roads became impassable, snowmobiles necessary for travel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blizzard of 1977
"Midwestern US, Great Plains, Southeastern US, Eastern Seaboard, parts of Ontario",,,"December 22-24, 2009",,,At least 21 lives,"Warm air wrapped around the north and west side, cold air from the south, ""White Christmas"" region stretching from Canada to Dallas",,,,,,,Oklahoma,,,,- South Dakota: 30.8 inches<br>- Minnesota: 26 inches<br>- Texas: 9 inches<br>- Nebraska: caused six deaths<br>- Oklahoma: 19 inches; 3 deaths<br>- Iowa: high snowfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December 2009 North American blizzard
"Contiguous United States, parts of Canada",,,"December 22–29, 2010",12 to 32 inches in major cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windstorm Benjamin in Europe from Jan 4–15, 2011","Norfolk, Philadelphia, Newark, NYC, Hartford, Providence, Boston",Thundersnow,"Disagreements in models, skepticism by forecasters, storm difficulty in prediction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December 2010 North American blizzard
"Ohio Valley, Ontario, Canada",,,"December 22-23, 2004",,Up to 29 inches in Midwestern US,"18 total deaths, primarily from car accidents","Band of freezing rain and sleet, over 20 inches of snow",,Totaling US$900 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arctic cold front, surface cyclone movement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"December 21–24, 2004 North American winter storm"
North America,,,,,,,,,,,,,,,,,,,"November 26, 2006 - December 1, 2006","Superstorm designation by some meteorologists, frigid air flow from Canada and Alaska, snowfall in Pacific Northwest and British Columbia",,,,,,,,,,,,,,,,,,,,,"Major ice storm, blizzard, high winds, extreme cold, serial derecho, tornadoes",At least 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Winter 2006 North American storm complex
