Location,Date,Casualties,Details,Event Trigger,Event,Impact,Outcome,Class,Locomotive,Owner,History,Cause,Manufacturer,Ship Name,Historical Significance,Name,Operations,Formation,Privatization,Transition,Changes,Railtrack Transfer,Logo,Central Rail Road and Canal Company,Name Change to Central Rail Road and Banking Company of Georgia,"Railroad Construction to Macon, Georgia",Savannah Campaign of the American Civil War,Financial Control by Richmond Terminal Company,Bankruptcy and Reorganization as Central of Georgia Railway,E. H. Harriman and Illinois Central Railroad Ownership,Receivership during Great Depression,Emergence from Receivership,Mainline,Expansion,Repair Shops,Merger,Closure,Current State,Gazella,Eudorcas,Nanger,Procapra,Other Related Species,Building Background,Cause of Explosion,Establishment of New York and Harlem Railroad,Receivership by New York City Railway,Conversion by New York Railways Corporation,Incorporation into New York Central Railroad system,Conversion of trackless right-of-way to Harlem Valley Rail Trail,HMS Thunderer,Locomotive Experiment,Purpose of Construction,Boiler Manufacturer,Classification,Charter of Maine Central Railroad Company,Commencement of Operations,US Railroad Administration Control,Acquisition by Guilford Transportation Industries,Maine Central Operations,Boiler Type,Background,Aftermath,New York Central Railroad,Headquarters Location,Merger with Pennsylvania Railroad,Subsequent Merger with Conrail,Breakup of Conrail,Extensive Trackage Locations,Mileage at Peak and End of Operations,Mohawk and Hudson Railroad,Impact on Operations,Injuries,Legal Consequences,Type,Built By,Year Built,Involvement in Incident,Damage,Preservation,Railway Construction by Queensland Railways,Adoption of Narrow Gauge,Boneta collision with Idaho,Collision between Ruth and Gwendoline,Oregona collision with anchored barge,Annie Comings rammed by barque Europe,Clatsop Chief collision with steamship Oregon,F.B. Jones collision with tanker Asuncion,Daisy Ainsworth hit a rock and sank,Harvest Queen struck a fishtrap piling and sank,Construction Year,Length,Longest Ship,Renamed By,Final Status,Built,Role in WWI,Role in WWII,Fate,Year,Locomotives,Construction,Impacted Area,Importance,Result,Namesake,Construction Location,Launch Date,Sponsorer,Redesignation,Commission Date,USS Bennington (CV-20),USS Bennington (DDG-80),Number of Boilers,Note,Station Name,Opening Date,Surrounding Points of Interest,Artwork,Designation,trigger
"Philadelphia, County Durham",31 July 1815,At least 13 killed,,,,,,,Brunton's Mechanical Traveller (Steam Horse),,,,,,First recorded boiler explosion and railway accident with major loss of life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815 Philadelphia train accident
"Celilo, Oregon","April 14, 1893",8 killed,,,,,,,,Oregon Steam Navigation Company,"Built in 1877 at Celilo, Oregon, and rebuilt in 1887 at Texas Ferry, Washington. Chiefly remembered for a catastrophic boiler explosion in 1893 that led to the vessel's destruction and the death of eight individuals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annie Faxon
"Charleston, South Carolina","June 17, 1831",Fireman killed,,,,"Hurled metal fragments over a wide area, highlighting the need for safety valves in boiler systems",,,,,,"Fireman permanently closing steam pressure release valve, leading to overpressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Best Friend of Charleston
,,,,,,,,,,,,,,,,"British Railways, later traded as British Rail",Operated most overground rail transport in Great Britain from 1948 to 1997,Formed from the nationalization of the Big Four British railway companies,Privatized in stages between 1994 and 1997,"Initially a trading brand of the Railway Executive, became an independent statutory corporation in January 1963 as British Railways Board","Dieselisation and electrification process, complete replacement of steam locomotives with diesel and electric traction by 1968, passenger-focused business model, and significant network closures in 1960s","Responsibility for track, signalling, and stations transferred to Railtrack, while trains were managed by the train operating companies","British Rail Double Arrow logo, used to denote railway stations and on railway tickets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Railways
"Turcot Yard, Montreal, Canada","August 9, 1941","Fireman died, 53 injured","CN 242 collided with a stationary engine, resulting in a serious explosion. The incident took place in Turcot Yard, located in Montreal, Canada.",Boiler Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian National 242
,,,,,,,,,,,,,,,,,,,,,,,,Established as Central Rail Road and Canal Company,Railroad changed name for investment purposes,Constructed to create rail link to Savannah,Federal troops destroyed rails,Virginia company gained control,Sold at foreclosure and reorganized,Ownership changes and control shifts,Entered receivership due to financial hardships,Resolved financial issues and emerged from receivership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central of Georgia Railway
Hof,"April 3, 1939",,,,Boiler Explosion,,"Boiler explosion of German Class 04 steam locomotive (02 101) due to lack of water, leading to scrapping in 1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRG Class 04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connected New York City with Lake Erie,Merged with Atlantic and Great Western Railroad in 1865,"Located in Hornell, New York","Merged with Delaware, Lackawanna & Western Railroad in 1960","Hornell repair shops closed in 1976, operations moved to Scranton facility",Surviving routes operated by Norfolk Southern Railway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erie Railroad 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threatened,Threatened,Threatened,Threatened,Threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gazelle 
Stratford,10–11 December 1891,,"During construction, the locomotive was built and steam tested in a record time of 9 hours 47 minutes. It later ran 36,000 miles before returning for final paint.",Boiler Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgiana
