Location,Bridge Name,Casualties,Purpose,Collapse Date,Cause of Collapse,Designer,Construction Type,Construction Start Date,Length,Significant Event,Completion Date,Reason for Failure,Fatalities,Opening Date,Historical Significance,Date of Incident,Main Span Length,Date of Collapse,Construction Dates,Date,Replacement Bridge,Design,Designers,Construction Details,Purpose of the bridge,Different designs of bridges,Earliest types of bridges,Examples of ancient bridges,Specific timber bridge details,Chief Engineer,Preservation Status,Injuries,Type,Cause of Failure,Construction Company,Ownership,Construction Year,Reason for Collapse,Importance,Construction Material,Cost,Type of Bridge,Construction Cost,Construction Completion Date,Significance,Total Length,Historical Background,Historical origin of the word 'bridge',Inauguration Date,Immediate Response,Collision Details,Notable Event,Foundation Stone Laid Date,Population,Tragic Incident,Design and Construction,Reason for Replacement,Subsequent Actions,Management Authority,Construction Companies,Triggering Event,Original Bridge Collapse Date,Design Features,Previous Bridge Name,Original Bridge,Current Status,Event,Notable Feature,Reason for Closure,Significant Events,Designation,Structure Type,Span Length,Replacement Completion Date,Date of Construction,Responsible Party,Construction Timeline,Bridge Type,Outcome,Construction Period,Span Dimensions,Tower Composition,Event leading to collapse,Significant Detail,Scheduled Completion Date,Project Purpose,Causes of Failure,Public Response,Repair Costs,Peregrine Falcon Breeding Program,Engineering Firm,Bridge Features,Total Span Length,Original Purpose,Bridge Conversion,Rail Service End Year,Pedestrian Ramp Date,Restoration Funding,Project Completion,Rebuilt Year,Widening,Bus Diversions,Demolition Year,Replacement Design Approval,Reopening to Cars,Historic Significance,"June 18, 2000","September 30, 2006",Origin of the word 'bridge',Collapse Event,Replacement,Town Name,Landmarks,History,Notable Residents,Companies Involved,Project Manager Consultant,Collapse Details,Age of Bridge,Reported Crack,Maintenance Responsibility,Root Cause of Collapse,Number of Traffic Lanes,Sidewalk,Previous Bridge Failure,Appearance,Previous Bridge Type,Replacement Construction,Previous Replacement,Waterway Closure Duration,Bridge Closure Duration,Operational Year,Inquiry Findings,Impact of Collapse,Viaduct Name,Subsequent Action,Memorial Park Location,Initial Design Year,Phase 1 Completion Date,Phase 2 Construction Start Date,"September 26, 2007",,Initial Name,Renamed,Replacement Designers,Influence on Other Bridges,Consulting Engineer,Consulting Engineer's Future Work,Architectural Style,Architectural Significance,Structural Features,Material Composition,Modifications,Reconstruction Completion Date,Condition,Deaths,Vehicles Affected,Responsible Entity,Tower Height,Clearance to Water,Fatal Bridge Incident Date,Fatality Count,Proposed Second Bridge Construction Date,Estimated Cost of New Bridge,Funding Source,Alternative Name Proposal,Supporting Structure,Coordinates,Construction Changes,Failure Date,Failure Cause,Replacement Date,Original Bridge Details,Final Cost,Connection,Renamed in,Original Construction Plan,Opposition to Construction,Government Threat,Agreement Signing Date,Construction Contractor,Consulting Engineers,Bridge Span Length,"December 13, 2000","December 28, 2000",Other,Official Naming,Location of Incident,Description of Collapse,Consequences,Impact on Engineering Company,Lessons Learned,Original Twin Span Opening,Hurricane Katrina Damage,Replacement Span Opening,Westbound Lanes Completion,Bridge Official Naming,Original Twin Span Demolition,Original Span Details,Replacement Span Details,Damage after Hurricane Katrina,Event Date,Rescue Efforts,Bridge Location,Bridge Design,Post-Collapse Efforts,Engineers,Tolls,Fatal Collapse Date,Design Firm,Additional Bridges,Lane Width,Toll Cost,Extent of Damage,Cause of Fire,Restoration Efforts,Height,Original Structure,Record,Rebuilding,Commercial Service,Restoration,Collapse Reason,Ranking,Historical Designation,Original Bridge Type,Original Bridge Length,Main Span,Collapse Consequences,Details,Southern Terminus,Northern Terminus,Record Status,Total Concrete Pilings,Originator,Initiator,Organization,Commissioner,Railway Track Speed,Official Name,Road Bridge,Damages & Repairs,Borough Establishment,Incorporation Date,Incorporation Process,Referendum Date,Native American Inhabitants,Borough Naming Origins,Original Parker Homestead Date,Post Office Name Change,Early Economies and Residents,Military Involvement,Destruction Details,Post-War Status,Relevance to Bay Bridge,Local Traffic,Long-Distance Traffic,Major Highways Connected,Causes,Legal Implications,Compensation,Event Background,Railway System,Initial Construction,Upgrade,Reason for Upgrade,New Bridges Construction,Entities Involved in Construction,Causes of Collapse,Investigation,Legal Actions,Replacement Span Name,Contributing Factors,Debut Match,Contract Renewal,Loan Spell,Debut in French Football,Injury,Loan Cancellation,Release from Aston Villa,Heritage,Partial Use of Lanes,Connection of Districts,Lanes and Sidewalk,Traffic Flow Direction,Former Bridge Details,Former Bridge Dimensions,Demolition Date,Decision Outcome,Design Type,Architects,Inspection History,Maintenance,Distance from Juba,Distance from Gulu,Administrative Changes,Recent Developments,Population Estimates,Recent Infrastructural Projects,Imports from Uganda,Previous Bridges,Construction Project,Demolition Process,Westbound Span Opening,Eastbound Span Completion,Initial Issue,Impact,Repair Status,Destruction Event,Reconstruction Plan,Supporting Agency,Purpose of footbridges,Various bridge designs,Ancient bridge examples,Historical origin of footbridges,Importance of footbridges in rural areas,Recognition,Historical Context,Proposal Originator,Reconstruction Date,Original Arch Dimensions,Auxiliary Arches Dimensions,Construction Supervisor,Initial Construction Completion Date,Financial Supporter,Previous Collapses,Significance During Conflict,Historical Border Marker,Impact of World War II,Date of Accident,Number of Fatalities,Responsible Operator,Guilty Parties,Contributory Negligence,Financial Outcome,Expansion Date,Construction Improvement,Key Event,Construction Failures,Dimensions,Connecting Feature,Replacement for Original Bridge,Length of Bridge,Causeway Type,Second-Longest Bridge in Texas,Named After,Height at Apex,Weight,Replacement Occurrence,Replaced Bridge,Victim Count,Usage,Date of Opening,Primary Decks,Names of Sections,Supporting Engineer,Press Coverage,Largest Concrete Arch Status,Bridge Renovation,Highway Carried,Renaming History,Partial Failure Incident Date,Details of the Incident,Impact of Failure,Replacement Reason,Current Bridge Height,Annual Event,Notable Incident 1,Notable Incident 2,Film Connection,Construction Date,Abutment Spacing,Pier-to-Pier Spacing,Reconstruction Status,Investigation Outcome,Predecessors,Similar Design Bridges,Action Taken,Reopening Status,Builder,Year Opened,Previous Bridge,Characteristics,Toll System,Major Disasters,Popular Activities,Restrictions,Water Depth,Wedding Availability,Ceremony Restrictions,Original Bridge Opening,Original Bridge Collapse,Design Flaw,Replacement Bridge Opening,Replacement Bridge Details,Built,Grade,Initial Collapse Date,Repair Duration,Cost of Repair,Date of incident,Vessel involved,Damage caused,Human casualties,Aftermath,- Ship sunk under the bridge,- Cars drove over collapsed sections,- Press images of vehicles balancing on the ledge,- Wreck remains on the riverbed without navigation hazard,- Major impact on the bridge's structure and traffic,Budget Allocation,Debt and Losses of Company,Events Leading to Collapse,Collapse Incident Date,Response Efforts,Legal Charges Filed,Impact on Navigation,Height Above Water,Traffic Volume,Number of Lanes,Traffic Occupancy,Highway Name,Maintenance Issues,Closure Reason,Replacement Project,Official Dismantling Completion,Adaptive Reuse Post-Closure,Widening Date,Investigation Results,Architect,Architectural Features,Original Span,Final Span,Suspension Chain Details,Memorial,Actions Taken,Impact on Railway Traffic,Beams Removal Process,trigger
Connects Tjörn island to the Swedish mainland,Almö Bridge,,,,,,,,,"Collapsed on January 18, 1980 due to collision with the bulk carrier MS Star Clipper",,Collapsed after being struck by bulk carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arch bridge,"Eight people died, main span collapsed, no casualties on the ship, bridge not rebuilt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alm枚bron 
"Maine River in Angers, France",Angers Bridge,Over 200 soldiers killed,,"April 16, 1850",,,,,,,,,,,,,,,,,,,Joseph Chaley and Bordillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836-1839,"102m span, 7.2m deck width","Cast iron columns, 5.47m tall","Battalion of French soldiers marching during a thunderstorm, causing oscillation and bridge failure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angers Bridge
"Quebec, Canada",Beaver Dam Bridge,,,"May 22, 1963",Flood damage,,,,,,,,6 mine workers killed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pillar knocked down by flood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beaver Dam Bridge
"Belo Horizonte, Brazil",,"2 dead, 22 injured",,,,,,2010,,,,,,,,"July 3, 2014",,,,,,,,,,,,,,,,,,,Cowan Construction,,,,,,,,,,,,,,,"Forensic team to investigate, technical staff on-site, three days of mourning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 2014,Part of infrastructural improvements for the 2014 FIFA World Cup and Move Bus system,"Accelerated construction schedules, perceived incompetence, structural issues","Criticism towards authorities and businesses, anger among the public",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belo Horizonte overpass collapse
"Spans the James River between Prince George County and Charles City County near Hopewell, Virginia",Benjamin Harrison Memorial Bridge,,,,,,,,,,"Originally completed in 1966, substantially rebuilt after a collision in 1977",,,,,,,,,,,,,,,,,,,,,,,,,Virginia Department of Transportation,,,,,,,,,,,,,,,"Collision by the SS Marine Floridian in 1977, taking 20 months to complete repairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9.7 million for repairs and operations, recovered through a lawsuit",Hosts a successful breeding program in conjunction with the College of William and Mary,Hardesty & Hanover L.L.P. from New York,Mile-long drawbridge with a 360-foot-long vertical lift span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benjamin Harrison Memorial Bridge
"Louisville, Kentucky, and Jeffersonville, Indiana",Big Four Bridge,,,,,,,,,,,,,,,,547 feet,,,,,,,,,,,,,,,,,,,,"Completed in 1895, updated in 1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,525 feet",Railroad truss bridge connecting states,Converted to pedestrian and bicycle use in 2014,1968,"February 7, 2013","$22 million allocated by Kentucky, Indiana, and Jeffersonville","Louisville ramp opened in 2013, Jeffersonville ramp opened in 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Big Four Bridge
London,Bishopsford Road Bridge,,,"June 14, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flooding in the River Wandle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Around 1759,1940s,"Route 118 diversion, 718 temporary route introduction",2020,October 2020,October 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishopsford Road Bridge
"Smith River in Patrick County, Virginia, United States; off State Route 8 southeast of the community of Woolwine",Bob White Covered Bridge,,,,,,,,,,,,,,,,,,,,,,,Built in 1921; 80-foot long; Queen-post truss construction over two spans,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bridge washed away and destroyed in major flooding on September 29, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Listed on the National Register of Historic Places on May 22, 1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bob White Covered Bridge
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beam Failure,Beam Rupture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulevard du Souvenir overpass collapse
,,,,,,,,,,,,,,,,,,,,,,,,,Provide passage over physical obstacles,"Vary based on function, terrain, material, funds","Stepping stones, boardwalk bridges","Arkadiko Bridge, Sweet Track, Post Track","Holzbrücke Rapperswil-Hurden in Switzerland, 1523 BC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old English 'brycg' from Proto-Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bridge
