Location,Date,Fatalities,Event Name,Area Burned,Buildings Destroyed,Event,Casualties,Weather Conditions,Cause,Impact,Date Range,Organizations,Area Burned (hectares),Livestock Lost,Infrastructure Damage,Total Land Area Burned,Houses Destroyed,Firefighting Effort,Area Damaged,Homes Destroyed/Damaged,Factors Contributing to the Disaster,2006-07 Australian Bushfire Season,January 2007 Bushfires in Victoria,September 2006 Bushfires in New South Wales,Structures Destroyed,Economic Loss,Significant Impacts,Total Area Burned,Economic Impact,Livestock Losses,Insurance Claims Paid,Total Estimated Cost,Homes Destroyed,Homes Damaged,Causal Factors,Response Efforts,Total Fires Recorded,Commission Established,Total Land Area,Safety Changes,Memorials,History,Economic Activities,Cinque Ports Confederation,Naming Origin,Educational Institutions,Notable Buildings,Transportation Infrastructure,trigger
South-west region of Western Australia,Jan-Mar 1961,,,,,Bushfires,None,"Above average temperatures, dry conditions, hurricane-force winds, storm surge","Dry thunderstorms from cyclone, hot north-easterly winds","Destruction of Dwellingup, Karridale, smaller settlements, no human casualties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961 Western Australian bushfires
,,,,,,1974-75 Bushfire Season,6,,,,October 1974 - February 1975,,"117,000,000","57,000 farm animals","Destruction of nearly 10,200 km of fencing, lost crops, and damage to infrastructure including communications, roads, and railways",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974-75 Australian bushfire season
"New South Wales, Australia",,4,1994 Eastern Seaboard Fires,,,,,,,,27 Dec 1993 - 16 Jan 1994,,,,,"800,000 hectares",225,"20,000 firefighters deployed, one of the largest efforts in Australian history",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 Eastern seaboard fires
"Canberra, Australian Capital Territory",18-22 Jan 2003,"4 deaths, 490+ injuries",,,,2003 Canberra Bushfires,,,,,,,,,,,,,"70% pastures, pine plantations, nature parks, most of Mount Stromlo Observatory",470 homes destroyed or severely damaged,"Lightning strikes, poor management of response, initial fires from New South Wales not contained",,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Canberra bushfires
"Alpine National Park, Mount Buffalo National Park, Victoria, Australia",8 Jan - 7 Mar 2003,Not specified,Eastern Victorian Alpine Bushfires,"1,300,000 hectares","41 homes, 213 other structures, tree bridges, 10,000 livestock",,,,,,,"Country Fire Authority, Australian Defence Force, interstate firefighters, alpine firefighting specialists from New Zealand, personnel from the United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Eastern Victorian alpine bushfires
,,,,,,,,,,,,,,,,,,,,,,"Longest continuous burning bushfire complex, evacuation plans","Fatalities, significant livestock and property losses","Section 44 declarations, house burnouts at various locations",,,,,,,,,,,,,,,,,,,,,,,,,2006–07 Australian bushfire season
"Kangaroo Island, South Australia",6 Dec 2007,,2007 Kangaroo Island Bushfires,"95,000 hectares",,,None,"Lightning strikes, difficult extinguishing conditions",Lightning strikes,Destruction of national park and wilderness protection area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 Kangaroo Island bushfires
New South Wales,October 2013,2,2013 NSW Bushfires,,,,,"Warm, dry weather, strong winds contributing to early-season bushfire activity",,,,,,,,,,,,,,,,,248,A$94 million,,,,,,,,,,,,,,,,,,,,,,,2013 New South Wales bushfires
"Goldfields-Esperance region, Western Australia",15-26 November 2015,4 fatalities,2015 Esperance Bushfires,"128,000 hectares Cascades fire, 18,000 hectares Merivale fire, 164,000 hectares Cape Arid complex","Scaddan town hall, 1 house, 16 non-residential structures, 2 houses in Stockyard Creek, significant areas of Western Ground Parrot habitat",,,,,,,,,,,,,,,,,,,,,,"Catastrophic bushfires, civilian fatalities, destruction of properties, livestock casualties, crop damage, threat to critically endangered Western Ground Parrot habitat",,,,,,,,,,,,,,,,,,,,,,2015 Esperance bushfires
"Lower Mid North and west Barossa Valley regions, South Australia",25 Nov - 2 Dec 2015,2,,"86,000 hectares","91 houses, 388 non-residential structures, 93 farm machinery, 98 vehicles",2015 Pinery Bushfire,"90 hospitalized, 5 critical injuries","Daily maximum temperatures +5.61 °C above mean, record rainfall observed on 4-5 Nov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Pinery bushfire
"Northern Adelaide Hills and outer Adelaide metropolitan area, South Australia",2-9 January 2015,0,,"More than 20,000 hectares","At least 38 houses, 125 outbuildings, 134 injuries",2015 Sampson Flat fires,,"Extreme heat, dry conditions, low rainfall levels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Sampson Flat bushfires
,June 2019 - Jan 2020,At least 34,2019–20 Australian Bushfire Season,,"Over 5,900",,,,,,,,,,,,,,,,,,,,,,,24.3–33.8 million hectares,Expected to exceed $103 billion,,,,,,,,,,,,,,,,,,,,2019–20 Australian bushfire season 
Victoria and South Australia,16 February 1983,75,,,"3,700 buildings",Ash Wednesday Bushfires,,,,,,,,,,,,,,,,,,,,,,,,"340,000 sheep, 18,000 cattle",A$176 million,A$400 million,,,,,,,,,,,,,,,,,Ash Wednesday bushfires
"Grose Vale, Lane Cove NP, Blue Mountains NP","Christmas Eve-Day, 2001",,,"753,314 hectares",,Bushfires,,,,,,,,,,,,,,,,,,,,,,,,,,,121 destroyed,36 damaged,"Low rainfall, hot, dry weather, suspected arsonists","Involvement of firefighters, use of firefighting resources like Erickson S-64 Aircrane helicopter",,,,,,,,,,,,,Black Christmas bushfires
