Date,Location,Teams,Final Score,Key Players,Event,Regular Season Match-up,Outcome,Key Plays,Attendance,Game Statistics,Notable Players,Score,Key Player,Contributions,Circumstances,Notable Fact,Lead Changes,Other,Point Spread,MVP,Historical Context,Key Play,Unique Aspect,Betting Odds,Notable Facts,1969 AFL Championship,Summary:,"The 1969 AFL Championship Game, held on January 4, 1970, at the Oakland-Alameda County Coliseum, featured the Oakland Raiders facing off against the Kansas City Chiefs. The Chiefs emerged victorious with a final score of 17-7, despite being the underdogs. Key plays included a 66-yard drive by the Chiefs to tie the game and a touchdown by Charlie Smith for the Raiders. Key players in the game were Daryle Lamonica and Warren Wells.",trigger
"January 1, 1961","Jeppesen Stadium, Houston, Texas",Houston Oilers vs Los Angeles Chargers,,,,,,,,,,Houston Oilers 24 - 16 Los Angeles Chargers,George Blanda,"Threw three touchdown passes, kicked a field goal and three extra points for Houston","Game played in January instead of December, moved from Los Angeles Coliseum to Jeppesen Stadium due to poor ticket sales, drew near-capacity crowd of 32,183",George Blanda led Oilers to victory after retiring from the NFL in 1959,"Chargers led 6-0 in the first quarter, Oilers pulled ahead in the second quarter","Ben Agajanian was one of only two players to compete in the AAFC, NFL, and AFL",,,,,,,,,,,1960 American Football League Championship Game
December 24,"San Diego, California",Houston Oilers vs. San Diego Chargers,,,,,,Billy Cannon's touchdown reception and George Blair's field goal,,,,,,,,,,,Oilers favored by 3 points,,,,,,,,,,1961 American Football League Championship Game
December 23,"Jeppesen Stadium, Houston, Texas",Houston Oilers vs. Dallas Texans,Score TBD,"George Blanda, Charlie Tolar, Billy Cannon, Charlie Hennigan, Willard Dewveall, Abner Haynes, Len Dawson, Curtis McClinton",1962 AFL Championship,"Split regular season series - Texans won 31-7, Oilers won 14-6",,,"37,981","Houston and Dallas featured star players on both sides, with a significant interception by EJ Holub during the longest professional championship game in football history",,,,,,,,,,,,,,,,,,,1962 American Football League Championship Game
"December 28, 1963","Balboa Stadium, San Diego, California",San Diego Chargers vs. Boston Patriots,"Chargers: 51, Patriots: 10",,,,"Chargers favored and won convincingly, Lincoln played a key role in the victory, Chargers' third Western Division triumph in four years",,,,,,,,,,,,,Keith Lincoln,"Chargers won the Western Division, Patriots and Bills had identical records, Bills won a tiebreaker game due to Kennedy assassination, Patriots defeated Bills in the Eastern Division playoff",,,,,,,,1963 American Football League Championship Game
"December 26, 1964","War Memorial Stadium, Buffalo, New York",Buffalo Bills vs. San Diego Chargers,"Bills: 20, Chargers: 7",,,"Bills won both regular season meetings, Lance Alworth did not play due to injury","Bills win their first AFL title, dominating after early Chargers' score",,,,"Cookie Gilchrist, Jack Kemp, Mike Stratton",,,,,,,,,,,"""Hit heard 'round the world"" by Mike Stratton on Chargers' Keith Lincoln",,,,,,,1964 American Football League Championship Game
"December 26, 1965","Balboa Stadium, San Diego, California",San Diego Chargers vs. Buffalo Bills,"Bills: 23, Chargers: 0",,,,,,,,"Jack Kemp (MVP), Paul Maguire",,,,,,,,,,,,Only shutout in AFL title games history,,,,,,1965 American Football League Championship Game
"January 1, 1967","War Memorial Stadium, Buffalo, New York",Kansas City Chiefs vs. Buffalo Bills,"Chiefs: 31, Bills: 7","Hank Stram (Chiefs head coach), Buffalo Bills defense",,,Chiefs advanced to Super Bowl I,,,,,,,,,,,,,,,,,Chiefs were three-point favorites,,,,,1966 American Football League Championship Game
December 31,Oakland-Alameda County Coliseum,"Oakland Raiders, Houston Oilers",40–7,"Daryle Lamonica, Hoyle Granger, Pete Beathard",1967 AFL Championship,Oakland won 19–7 in regular season,,,"53,330","Oakland had 364 total yards of offense, 263 rushing; Houston had 146 total yards, 38 rushing; 3 turnovers forced",,,,,,,,,,,,,,,,,,,1967 American Football League Championship Game
December 29,"Shea Stadium, Queens, New York City, New York",Oakland Raiders vs. New York Jets,"Jets: 27, Raiders: 23","Joe Namath, Daryle Lamonica, George Blanda",1968 AFL Championship,,,"Namath with a 44-yard TD pass to Maynard, Turner's 33-yard FG, Lamonica's TD pass to Biletnikoff",,,,,,,,,,,,,,,,,"Jets won to advance to Super Bowl III, Lamonica struggled initially, leading to his eventual completion of key passes for Raiders",,,,1968 American Football League Championship Game
,,,,,,,,,,,,,,,,,,,,,,,,,,"Daryle Lamonica, Warren Wells",Summary:,"The 1969 AFL Championship Game, held on January 4, 1970, at the Oakland-Alameda County Coliseum, featured the Oakland Raiders facing off against the Kansas City Chiefs. The Chiefs emerged victorious with a final score of 17-7, despite being the underdogs. Key plays included a 66-yard drive by the Chiefs to tie the game and a touchdown by Charlie Smith for the Raiders. Key players in the game were Daryle Lamonica and Warren Wells.",1969 American Football League Championship Game
