Location,Event,Date,Casualties,Impact,Cause of Rioting,Number of Cities Affected,Total Damage,Specific Impact on Chicago,Parties Involved,Aftermath,Duration,Groups Involved,Reason,Duration of Strike,Significant Outcomes,Response from Law Enforcement,Violent Clashes,Reason for Cancellation,Participants,Main Figures,Dates,Comparisons to Other Riots,Significant Impact,Causes of Rioting,Historical Context,Impact of Long Depression,Nationwide Spread,Organizers,Purpose,Factions Involved,Tensions Leading Up to Event,Ethnic Group Involved,Key Factors,Englewood race riot,"U.P.W.A, neighbors",Police Response,Significance in Chicago,Housing Projects Context,Cause of Unrest,Cause,Cause of Riot,Impact on German Community,Political Context,Time Period,Key Incidents,Demographics,Involvement of Dr. Martin Luther King Jr.,Impacts on Labor Policy,Causes of Strike,Number of Workers Involved,Key Figures,trigger
"Chicago, Illinois",1905 Chicago Teamsters' strike,Summer of 1905,"21 killed, 416 injured",Second-most deadly labor dispute in 20th-century US,,,,,"United Brotherhood of Teamsters, Employers' Association of Chicago",,,,,103 days,"Undercut public support for unions, collapse of strike",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905 Chicago teamsters' strike
"Chicago, Illinois",1966 Chicago West Side riots,"July 12-15, 1966","Seven policemen wounded, unspecified civilian casualties",,Arrest of armed robbery suspect,Multiple districts,Not specified,"National Guardsmen deployment, subsided violence, simultaneous with Richard Speck murders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966 Chicago West Side Riots
United States,1968 Chicago riots,,39 deaths (34 black individuals),,Assassination of MLK Jr,Over 100,$50 million,"11 dead, 48 wounded by police, 90 policemen injured, 2,150 arrested, 3 miles of property in state of rubble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968 Chicago riots
Chicago,Protest activity against the Vietnam War during 1968 DNC in Chicago,August 1968,,,,,,,,,,"Counterculture and anti-Vietnam War protest groups, MOBE, NMC",,,,Chicago Police Department,"Indiscriminate violence described as ""police riot""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968 Democratic National Convention protest activity
"Chicago, Illinois, USA",Donald Trump rally cancellation at University of Illinois,"March 11, 2016",,,,,,,,,,,,,,,,Safety concerns due to protesters,"Anti-Trump demonstrators, Trump supporters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Donald Trump Chicago rally protest
"West Lawn and West Elsdon neighborhoods of Chicago, Illinois",Airport Homes race riots,1946,,Worst racial violence episode in Chicago after WWII,Racial intimidation against black war veterans by white residents,,,,,"West Elsdon Civic Association opposition to public housing, limited coverage by newspapers under CHR advice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airport Homes race riots
"Chicago, Illinois",Alderman's Wars,,Over 30 deaths reported,,,,,,,,1916 - 1921,,,,,,,,,"Johnny Powers, Anthony D'Andrea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aldermen's wars
"Chicago, Illinois",1990s Chicago Bulls Championship riots,,,"Over 200 civilians and 95 police officers injured, 61 police vehicles damaged, 1,000+ arrests, 347 stores looted",,,,,,,,,,,,,,,,,"June 12, 1991, June 14, 1992","Comparisons to Los Angeles riots, speculation on targeting of Korean-owned stores, extent of city-wide rioting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Bulls Championship riots
"Chicago, Illinois",,"July 27 to August 3, 1919","38 dead, 537 injured, 1,000-2,000 displaced",,,,,,,,,,,,,,,,,,,,"Considered the worst of the ""Red Summer"" riots in the US in 1919","Racial tension, economic slump, Great Migration, post-World War I racism","Sociopolitical atmosphere, ethnic tension, competition, racism, Great Migration",,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago race riot of 1919
"Chicago, Illinois",,"July 26, 1877","14 to 30 rioters dead or dying, 35 to 100 civilian, and 9 to 13 policemen",,,,,,,,,,,,,,,,,,,,,,,"Closed over a hundred railroads in the first year, significant job losses, 76 railroad companies bankrupt in 1876","Started in Martinsburg, West Virginia; spread through Baltimore, Reading, Scranton, Shamokin, St. Louis, and Pittsburgh",,,,,,,,,,,,,,,,,,,,,,,,,Chicago railroad strike of 1877
