Location,Dam Name,Consequences,Year of Failure,Reason,Casualties,Date,Cause,Response and Actions,Impact,Responsible Entity,Capacity,Deaths,Details,Cause of Failure,Purpose,Homes Destroyed,Age of Dam,Year of Construction,Height,Damages,Date of Failure,Aftermath,Other Dams,Complaints Before Failure,Contributing Factors,Regulatory Structure,Year,Injuries,Car Damages,Property Damage,Volume of Tailings Released,Waterways Affected,Cleanup Duration,Cleanup Cost,Environmental Impact,Length,Owner,Events Leading to Failure,Regulatory Oversight,Source of Breach,Rebuilding Efforts,Current Status,Type of Dam,Reason for Failure,Reconstruction/Repairs,Water Released,Response and Recovery Efforts,Fatalities,Causes of Failure,Responsible Party,Legal Actions,------------------,Kelly Barnes Dam,Structural Details,Construction Timeline,Important Personnel,Warning Signs,Volume of Spill,Contaminants,Clean-up Efforts,Long-Term Consequences,Event Trigger,Age of Dams,Event Date,Causes,People Evacuated,Infrastructure Failure,Year Built,Description,Historical Significance,Current Condition,Ongoing Repair Work,Dam Height,Warnings Issued,Type,Key Features,trigger
"Chamoli district, Uttarakhand, India",,,,,Over 200 killed or missing,7 February 2021,Rock and ice avalanche,"Flooding in Rishiganga and Dhauliganga rivers, at Tapovan dam site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Uttarakhand flood
"Ajka, Hungary",,,,,"10 dead, 150 injured",4 Oct 2010,"Dam failure at reservoir number 10, releasing one million cubic meters of red mud waste","Emergency response, investigation, government and company actions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ajka alumina plant accident
"Austin, Pennsylvania",Austin Dam,Significant destruction and loss of life in Freeman Run Valley,1911,Lack of vertical concrete slab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin Dam
"Baldwin Hills, Los Angeles",,,,,,"December 14, 1963",,,,,,5,"Dam containing Baldwin Hills Reservoir failed resulting in catastrophic flooding of surrounding areas, 250 million US gallons released",,,277,,,,,,,,,"Dam built on active fault line, signs of lining failure, leakage through east abutment prior to breach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baldwin Hills Reservoir
"Purvis, Mississippi",Big Bay Dam,Severe flooding and damage downstream,2004,Embankment failure through piping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Big Bay Dam
"Otter Tail River, Minnesota",Broken Down Dam,"Dam failure led to four other downstream failures, property damage, and one recorded flood in Fergus Falls",1909,Built on top of a spring causing foundation undermining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Down Dam
"Brumadinho, Brazil",,,,,"270 dead, 11 missing",25 January 2019,,,"259 officially confirmed dead, mudflow through mine offices and downstream",Vale,,,,Catastrophic failure,,,Built in 1976,,,,,,,,,"Weak regulatory structures, gaps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brumadinho dam disaster
"Logan County, WV",,"132 million US gallons of black waste water flooded 16 coal towns along Buffalo Creek Hollow, towns destroyed or damaged, numerous fatalities",,,"125 killed, 1,121 injured, over 4,000 homeless","February 26, 1972",,,"125 killed, 1,121 injured, over 4,000 homeless, 507 houses, 44 mobile homes, 30 businesses destroyed",Pittston Coal,,,Coal slurry impoundment dam burst causing significant loss of life and property damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buffalo Creek Flood
"Mamanguape River, Paraiba, Brazil",Camará Dam,,2004,,3 deaths by drowning,,,,Flooding towns of Alagoa Grande and Mulungu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camar谩 Dam
"Santa Catarina, Brazil",Campos Novos Dam,"Loss of water storage capacity, financial impact",2006,Tunnel collapse leading to dam wall break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Campos Novos Dam
"Black Hills, Western South Dakota",Canyon Lake Dam,"238 deaths, 3,057 injuries, 1,335 homes destroyed",,,,,Debris Clogging Dam,,,,,238,,,,"1,335",,,,,,,,,,,1972,"3,057","5,000",$160 million USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canyon Lake Dam
"Castlewood Canyon, Colorado",Castlewood Dam,"15-foot wall of water rushed down Cherry Creek to Denver, causing a flood",1933,Heavy rains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castlewood Dam
"Delhi, Iowa",Delhi Dam,"Breach, embankment failure, lake emptying",2010,Over-topping and heavy rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delhi Dam
