Date,Event,Magnitude,Death Toll,Time,Mercalli Intensity,Epicenter,Intensity,Impacted Regions,Impact on Infrastructure and Population,Casualties,Location,Date of Impact,Total Monetary Losses,Town of Impact,Hurricane Name,Typhoon,Death Toll Range,Villages Affected,Total Casualties,Fatalities,Injured,Affected Regions,Landfall Date,Maximum Intensity,Aftershocks Recorded,Cause,International Response,Cyclone Name,Ground Deformation,Financial Losses,Duration,Total Fatalities,Peak Intensity,Date of Formation,People Affected,Areas Affected,Most Affected Areas,Buildings Damaged,Notable Impact,Notable Buildings Destroyed,Notable Impacts,Population Affected,Dissipation Date,Maximum Slip,Economic Losses,Deaths,Impact on Infrastructure,Regions Affected,Most Affected Regions,Displaced People,Date of Landfall,Landfall Location,Villages Destroyed,Buildings Damaged/Destroyed,Effects,Notable Effects,Area Affected (sq km),Fatality Estimates,Key Events Leading to Disaster,Aftermath,Other Impacts,Impact on Towns,Notable Phenomena,Death Toll Estimate,Economic Toll,State Record High Temperatures Set,Start Month,Peak Month,Temperature Records set in Different States/Provinces,Significant Damage,Recorded Wind Speeds,Affecting Fault,Duration of Shaking,Tsunami Height,Affected Area,Geological Information,Magnitude (Mainshock),Magnitude (Aftershock),Tsunami Generated,Impact,Other notable impacts,Estimated Monetary Losses,Towns Affected,Communications Impact,Houses Flooded,Impact on Region,Time Period,Impacted Province,Highest Flood Levels,Estimated Death Toll,Fault,Dasht-e Bayaz Earthquake,Ferdows Earthquake,Houses Collapsed,Houses Severely Damaged,Landslides,Sandblows Observed,Region of Impact,Focal Mechanism,Main Impacts,Construction Material,Impact on Fishermen,Notable Impact on Infrastructure,Key Statistics,Distance to Tehran,Surface Rupture,Vertical Slip,Infrastructure Damage,Injuries,Injured Individuals,Distance to Major City,Missing,Monetary Damage,MSK Intensity,Notable Film References,Formation Date,Monetary Damages,Relief Efforts,Villages Demolished,Main Districts Affected,Hypocenter Depth,Possible Causes,Depth,Government Response,Cyclone,Rupture Length,Fault Line,Plate Tectonics Impact,Ground Conditions,Displaced Population,Land Area Affected,Mode of Onset,Lasting Impact,Distance to Epicenter,Timeframe,Highest Recorded Temperature,Significant Impacts on Infrastructure,Year,Contributing Factors,Seismic Activity,Geological Factors,Severely Injured,Slightly Injured,Affected Houses,Affected Families,Earthquake Type,Houses Affected,Significance of Infrastructural Damage,Noteworthy Rescue Efforts,Record High Temperature,Affected Population,Impact on Water Resources and Agriculture,Drought Association,Delay in Monsoon Rains,Climate Change Connection,Warning Plans Implemented,Impact on Buildings and Infrastructure,Tsunami Triggered,States Affected,Rescued by Indian Navy,Notable Details,Total Deaths,Total Injuries,Buildings Damaged or Destroyed,International Aid Response,Geological Context,Warning Prior to Event,Rainfall Amount,Maximum Mercalli Intensity,Impact on Armero,Overall Death Toll,Controversy Over Government Warnings,International Attention,Relief Challenges,Affected Region,Peak Sustained Winds,Estimated Monetary Damage,Key Events,Impact on Kobe,Hurricane,Most Affected Countries,Dates,Livestock Lost,Trigger of Eruption,Prevention Measures,Highest Rainfall Amount,Records Set,Iris,Joan,Kate,Max Sustained Winds,Maximum Sustained Winds,Peak Wind,Peak Pressure,Estimated Damage,Origin,Development,Landfalls,Peak Wind Speed,Impact on Philippines,Notable Event,Damage and Significance,Minimum Pressure Recorded,Peak Winds,Storm Surge,Seawalls Destroyed,Boats Destroyed,Crop Damage,Date of Dissipation,trigger
December 16,1920 Haiyuan earthquake,8.25 Mw,,19:05:53,Maximum Intensity,"Haiyuan County, Ningxia",,,,,,,,,,,"258,707-273,407",,,,,,,,,,,,,,,,,,"73,000",,,,,,,,,,,,,,,,,,"Sujiahe, Xiji County","Mosque in Zhangjiachuan, Lanzhou, Taiyuan, Xi'an, Xining, Yinchuan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 Haiyuan earthquake
August 1922,1922 Swatow Typhoon,,,,,,"100 mph winds, 27.53 inHg pressure, 12 ft storm surge",,,"60,000-100,000","Swatow, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000 deaths in Swatow, villages destroyed, ships wrecked, 50,000 casualties in surrounding area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922 Swatow typhoon
"September 1, 1923",Great Kantō Earthquake,7.9,"142,800–200,000",11:58:44,,,,"Kantō Plain, Tokyo, Yokohama, Chiba, Kanagawa, Shizuoka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Extensive firestorms, fire whirl, widespread destruction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923 Great Kant艒 earthquake
16 March 1925,1925 Dali earthquake,7.0,"5,000",14:42,,"Province of Yunnan, China",,,"Severe damage in Dali city, 76,000 homes destroyed, significant casualties in surrounding areas",,,,,,,,,,,,,,,IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925 Dali earthquake
,,,,,,,Category 4,"Cuba, Bermuda","Devastated large areas, major hurricane, peak winds of 150 mph",,,October 1926,,,1926 Havana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926 Havana–Bermuda hurricane
22 May,1927 Gulang earthquake,7.6 Mw,"40,912",6:32 a.m.,,"Near Gulang, Gansu, Republic of China",,,"Extensive destruction of houses, schools, temples, city walls, and civilian buildings with a death toll of nearly 41,000 people",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927 Gulang earthquake
,,,,,,,Category 5,"Florida, Lake Okeechobee, Puerto Rico","Devastation in Florida, especially around Lake Okeechobee",,,September 1928,$50 million,,Okeechobee hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928 Okeechobee hurricane
1 May,1929 Kopet Dag earthquake,7.2,"Up to 3,800",15:37 UTC,IX,"Kopet Dag area, Iran",,,,,,,,,,,,88 villages damaged,,,,,,,Over four years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929 Kopet Dag earthquake
,,,,,,,Category 4,Dominican Republic,Devastation and widespread casualties in the Dominican Republic,,,August - September 1930,,,Hurricane San Zenón,,,,"Approximately 8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930 San Zen贸n hurricane
June - August,1931 China Floods,,,,,,,"Wuhan, Nanjing, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140,000 - 4 million","Drought in 1928-1930, harsh winter of 1930, melting snow and ice, heavy spring rain, extreme cyclonic activity","Cholera epidemic in 1932, massive displacement and property destruction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931 China floods
,,,,,,,Category 5,"Cuba, Cayman Islands, Bahamas","Considered worst natural disaster of the 20th century, widespread devastation in central and eastern Cuba.",,,November 1932,Unknown,,1932 Cuba hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932 Cuba hurricane
August 25,1933 Diexi earthquake,7.3,"Up to 9,300",,X,,,,,,,,,Diexi,,,,Surrounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslides, sinking of town into Diexi Lake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933 Diexi earthquake
"January 15, 1934",1934 Nepal–India earthquake,8.0,,2:13 pm IST,,"Eastern Nepal, near Mount Everest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northern Bihar, Nepal",,,,,,,,,,,,,,,,,,,,,,,,,,Munger and Muzaffarpur completely destroyed,"Extensive liquefaction, sand and water vents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934 Nepal–India earthquake
31 May,1935 Quetta earthquake,7.7 Mw,,2:33 am - 3:40 am,,"4 km south-west of Ali Jaan, Balochistan, British India",,,,,,,,,,,,,,,,,,IX+,5.8 Mw on 2 June 1935,,,,,,,,,,,,"Quetta, Balochistan, British India and neighboring towns",,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000 - 60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935 Quetta earthquake
June - July 1936,1936 North American heat wave,,"5,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enormous,13 state record high temperatures,June 1936,July 1936,"North Dakota: 121°F, Ohio: 110°F, Texas, Oklahoma, Kansas, Arkansas, Minnesota, Michigan, North Dakota, South Dakota, Pennsylvania, Louisiana, Nebraska, Wisconsin, West Virginia, New Jersey, Ontario, Manitoba above 110°F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936 North American heat wave
2 September 1937,,,,,,,,,,"11,000",,,,,,1937 Great HK Typhoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.1m tidal wave, villages of Taipo and Shatin damaged","Mean: 59 knots, 10-minute mean: 74 knots, Maximum gust: 130 knots",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937 Great Hong Kong typhoon
July 1938,1938 Hanshin flood,,,,,,,,,,"Mount Rokkō area, Hyōgo Prefecture",,,,,,,,,715,,,,,,"Heavy rains, landslides, floods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938 Hanshin flood
27 December,1939 Erzincan Earthquake,7.8 Mw,"32,968",1:57:23 AM,XII,"Erzincan, Turkey",,,,,,,,,,,,,,,"100,000",,,,,,,,,,,,,,,,,"116,720","Historic death toll, significant infrastructure damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Anatolian Fault,52 seconds,1-3 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939 Erzincan earthquake
10 November 1940,1940 Vrancea earthquake,7.7,,03:39,,Vrancea zone,,,,,,,,,,,,,,,,,,IV-VI (estimate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000 km2","Strongest earthquake in Romania in the 20th century, epicenter depth of 133 km, seismic activity due to active fault mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940 Vrancea earthquake
27 November,1943 Tosya–Ladik earthquake,7.5,"2,824-5,000",00:20,IX–X,,,,,,"Tosya, Kastamonu Province, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943 Tosya–Ladik earthquake
15 January 1944,1944 San Juan earthquake,Moderate to Strong,"10,000 fatalities, 10% of population",8:52 pm,,"30 km north of San Juan, Argentina",,,"Large destruction in San Juan, 90% of buildings destroyed, one-third population homeless",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Significant damage to construction, led to adoption of a new building code",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944 San Juan earthquake
28 November 1945,1945 Balochistan earthquake,8.1,,01:26 PKT,X,"97.6 km south-southwest of Pasni, Balochistan",,,,,,,,,,,"300 to 4,000",,,,,,,,,,,,,,,,,,,,,,,,Tsunami along Makran coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945 Balochistan earthquake
August 4,1946 Dominican Republic earthquake,,,17:51 UTC,,,,,,,"Samaná, Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.6,Yes,"Widespread devastation, Caribbean-wide tsunami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946 Dominican Republic earthquake
"October 6, 1948",1948 Ashgabat earthquake,7.3,,,X,,,,,"10,000-110,000",,,,Ashgabat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Extensive damage to infrastructure, significant number of casualties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948 Ashgabat earthquake
