Magnitude,Date and Time,Location,Date,Casualties,Geological Context,Epicenter Location,Impact,Time,Mercalli Intensity,Intensity,Epicenter,Affected Areas,Aftershocks,Tsunami,Damage,Fatalities,Tsunami Impact,Event,Duration,Fault Zones,Injuries,Other Names,Historical Earthquakes,Rupture Area,Tsunami Height,,Impacted Regions,Scientific Studies,Tectonic Context,Focal Mechanism,Plate Boundary,Aftershock Magnitude,Tsunamis,Affected Regions,Seismic Context,Tsunami Impacts,Plate Boundaries,Rupture Length,Impacts,Depth,Deaths,Tsunami Run-Up Height,Economic Losses,Infrastructure Impact,Tsunami Characteristics,Maximum Mercalli Intensity,Reported Deaths,Impact on Oil Storage,Aftershock Date,Tsunami Warnings,Unique Characteristics,Epicenters,Notable Impacts,Geographic Features,Populated Areas,Rupture Details,Foreshocks,Epicenter Distance,Tsunami Cause,Damage Assessment,Total Losses,Aftershock Zone Size,Impacts on Alaska,Impacts on Hawaii,Limited Data,Building Damage,Tsunami Location,Epicenter Distance from Santiago,Most Affected City,Tsunami Wave Height,Furthest impact,Death Toll Estimates,Monetary Loss Estimates,Sequence of Quakes,Notable Quakes,Impact on Infrastructure,Fault Rupture Length,Ground Failures,Damages to Anchorage,Uplift and Subsidence,Motion in Distant Areas,Structural Components,Tsunami Run-Up Heights,Observed Locations,Deaths Reported,Max. Mercalli Intensity,Major Impacts,Houses Destroyed/Damaged,Surface Rupture Zone,Fault Mechanism,Seismic Moment Release,Structural Damage,Tsunami Triggered,Tsunami Effects,Date of Occurrence,Area Affected,First Earthquake Date,Second Earthquake Date,Magnitude (1st Earthquake),Magnitude (2nd Earthquake),Tsunami (1st Earthquake),Tsunami (2nd Earthquake),Subduction Zones,Tsunami Details,Subduction Zone Characteristics,Recurrence Intervals,Building Collapses,Largest Aftershock,Aftershock Location,Tsunami Inundation Distance,Impact Areas,Rupture Stages,Historical Recurrence,Comparisons with 2005 Event,Hardest Hit Area,Effects,Regional Impact,Main Aftershocks,Tectonic Activity,Vulnerability Factors,Magnitude (1st earthquake),Magnitude (2nd earthquake),Intensity (1st earthquake),Intensity (2nd earthquake),Epicenter Coordinates,Response Measures,Distance from San José,Infrastructure Damage,Uplift at Waterfront,Reconstruction Efforts,Displaced,Response,Tsunami Generated,Intensity in Shikotan,Tokyo Intensity,Hokkaido Intensity,Subsidence,Tsunami Run-up Height,Fault Rupture,Felt Intensity,Runup Measurements,GPS Deformation Measurements,Nearby Features,Tectonic Features,Damages,Dates,Mainshock Magnitude,Subsequent Events Magnitudes,Epicenter Locations,Significance,Max Mercalli Intensity,Historical Context,Ground Failure Effects,Casulaties,Plate Interactions,Fault System,Foreshock,Rupture Type,Focal Depth,Fault Duration,Hypocenter Depth,Fault Type,Distance to Major Cities,Maximum Shindo Intensity,Tsunami Runups,Faulting Type,Rise in Sea Levels,Other affected countries,Precautionary measures,Impact on other countries,Intensity Levels,Affected Cities,Population Impact,Aftermath,Magnitudes,Nature of Earthquakes,Tsunami Alert,Convergence of Plates,Future Plate Splitting,Unique Features,1 April,3 April,16 March,Significant Comparisons,"December 9, 2016","December 17, 2016",Magnitude (Mw),Richter Scale,Impact on Mexico City,Tsunami Alerts,Historical Significance,Tectonic Plates,Type of Fault,Geological Impact,Max. Intensity,Characteristics,"July 28, 2021",Coordinates,12 September,13 September,20 September,trigger
8.6,,,August 15,"4,800",,"Mishmi Hills, India",,,,,,,,,,,,,,,,,,,,,"Assam, Tibet","Field studies by National Geophysical Research Institute and Institute of Physics, Bhubaneswar",,,,,,,,,,,,,,,,,,,,,,,"Strongest earthquake on land, loud noises reported throughout the region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Assam-Tibet earthquake
7.3 and 7.8 (largest quakes),,Eastern Taiwan,"October 22 to December 5, 1951",85 people killed,,,,,,,,,,,,,,,,,,"1951 Hualien earthquakes, 1951 Hualien-Taitung earthquakes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hualien City, Yuli","Felt throughout Taiwan, significant damage and casualties",East Rift Valley formed by Philippine Sea and Eurasian plates interaction,"Hualien, Taitung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951 East Rift Valley earthquakes
9.0 Mw,"4 November 1952, 16:58 local time",,,,"Kuril-Kamchatka Trench, Pacific subducting beneath Okhotsk Sea Plate, seismic activity along subduction zone",,"Major tsunami hitting Severo-Kurilsk, Sakhalin Oblast, Kamchatka Oblast, destruction in several settlements",,,,,,,,,,,,,,,,"1737: Mw 9.0-9.3 with large tsunami, 1841: Mw 9.0 with significant tsunami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruptured patch from Onekotan to Cape Shipunskii, 700 km long, 150-200 km wide, perpendicular slip to trench",Sequence of foreshocks two years before mainshock near epicenter and southern edge of rupture zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952 Severo-Kurilsk earthquake
7.7,"July 9, 03:11 UTC","South of Amorgos, Aegean Sea",,,,,,,,IX on the Mercalli scale,,,,"Major, run-up of 30 m",Significant on Amorgos and Santorini,"53 deaths, 100+ injured",,,,,,,,"Estimated 110 km along strike, 26 km depth",,,,,"Extensional tectonics, Aegean Sea Plate","Normal faulting, SW-NE trend",,,,,,,,,,,,,,,,,,,,,,,,,,,,Near Santorini,Earthquake-triggered underwater landslides,"529 houses demolished, severe damage reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956 Amorgos earthquake
8.6,,"South of the Andreanof Islands group, Alaska",March 9,,,,,,VIII,,,,,"Basin-wide, impacting Alaska and Hawaii",,,,,,,,,,,,,,,,,Aleutian Trench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately $5 million,750 mi,"Severe damage to infrastructure, no lives lost","Extensive damage, two indirect fatalities","Mechanism not well understood, few instruments captured the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957 Andreanof Islands earthquake
"Moment magnitude 8.0, surface wave magnitude 8.2","May 4, 19:15 local time",,,,Active subduction along the southern half of Kamchatka Peninsula,,,,,Maximum intensity VIII on the Medvedev–Sponheuer–Karnik scale,"Near Kamchatka Peninsula, Russian SFSR, USSR",,,Triggered a tsunami with 2 meters of runup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported in Petropavlovsk-Kamchatsky,"Recorded in Massacre Bay, Alaska, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959 Kamchatka earthquake
9.4-9.6,,"Near Lumaco, Chile","May 22, 1960",,,,,Afternoon,,,,,,,,,"Southern Chile, Hawaii, Japan, Philippines, New Zealand, Australia, Aleutian Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximately 570 km south,Valdivia,Up to 25 meters,"Hilo, Hawaii (10,000 km away), waves up to 10.7 meters","Between 1,000 and 6,000",Between US$400 million and $800 million,1960 Concepción earthquakes,"8.1 Mw Concepción earthquake on May 21, 1960; additional quakes on May 22, 1960, including the Valdivia earthquake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960 Valdivia earthquake
8.5,"October 13, 1963 at 05:17 UTC",,,,,,,,,,,,,,,,,1963 Kuril Islands earthquake,,,,,,,,,,,,,,Mw 7.8,"Triggered tsunamis in northern Pacific ocean, 4.5 m wave, locally","Kuril Islands, Canada, Japan, Mexico, Hawaii, Alaska, California",Island arc formed above subduction zone of Pacific and Eurasian Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No damage, deaths, or injuries reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963 Kuril Islands earthquake
9.2,"March 27, 5:36 PM AKST",,,About 131 deaths,,,,,,,,"Alaska, British Columbia, Washington, Oregon, California, Hawaii, Japan",,,,,,,4 minutes and 38 seconds,,,,,,,,,,,,,,,,,"27-foot wave in Chenega, damage in Whittier, Seward, Kodiak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 miles,"Soil liquefaction, fissures, landslides",Destruction to inadequately earthquake-engineered structures,"30 feet southwest of Kodiak, 8 feet drop near Turnagain Arm",Reported in Florida and Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964 Alaska earthquake
8.7,,"Rat Islands, part of the Aleutian Islands, at the Alaska-Aleutian megathrust",4 February 1965,,,,,05:01 UTC,,,,,Magnitude 7.6 earthquake nearly two months later,"Over 10 meters on Shemya Island, minor damage caused",,,,,,,,,,,,,,,,,,,,,,,Pacific Plate subducting beneath North American Plate,Around 600 km,"$10,000 damage on Amchitka Island, minor damage on Attu and Shemya islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three asperities along the plate interface,"10.7 m on Shemya Island, 2.0 m at Amchitka Island, 1.6 m at Attu Island, 1.1 m in northern Kauai, Hawaii","Peru, Ecuador, Mexico, California, Japan, eastern Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965 Rat Islands earthquake
Mw 8.1,"October 17, 16:41 local time",,,,,,,,,,Off the coast near Huacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,About 100,"MMI IX in San Nicolás, MMI VIII in Huacho, MMI VII in Callao","Building damage, landslides, ground cracks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966 Peru earthquake
7.4 Mw,,"Near Mudurnu, Bolu Province, north-western Turkey","July 22, 1967",,,,,18:57 local,,,,,,,,86,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,200","80 km long, 1-4 km wide, East-West from Lake Abant to Sapanca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967 Mudurnu earthquake
Mw 8.3,"May 16, 0:49 UTC",,,,,Offshore of Aomori and Hokkaido,,,,Shindo 5 in Aomori and Hakodate,,,,,,,,,,,,,,,Up to 6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thrust fault with slip-strike component,About 28×10^20 N m,"Building collapses, railroad and highway damage",Yes,"Flooding, aquaculture damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968 Tokachi earthquake
,,Colombia,,,,,,,,,,,None reported,,,"1 dead, several injured",,,,,,,,,,,,"Dziewonski and Gilbert study, Russakoff, Ekstrom, and Tromp reassessment",,,,,,,,,,,,Deep-focus earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July 31,"San Juan, Bogotá, Caracas, Buenos Aires, São Paulo, felt as far north as Mexico City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970 Colombia earthquake
,,,,,,,,,,,,,,,,,,,,"Northwestern Solomon Islands Trench, Northeastern New Britain Trench",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July 14,July 26,Mw 8.0,Mw 8.1,"Yes, observed in Rabaul","Yes, 3.4 m runup in New Britain","Solomon Sea Plate subducting beneath Pacific Plate, Bismark Sea Plate subducting beneath Pacific Plate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971 Solomon Islands earthquakes
