Location,Date,Casualties,Cause of Explosion,Impacts,Response and Aftermath,Depot Details,Aftermath,Cause,Owner,Time,Additional Details,Aftermath and Response,Number of Injuries,Details,Impacts and Aftermath,Mine Details,Ship Details,Impacts and Response,Details of Incident,Cause of Accident,Impact,Injuries,Significance,Impacts/Aftermath,Factory Details,Operator,Details of Gunpowder Storage Facility,Area of Impact,Specific Details,Description,Type of Missile,"ARCO Chemical, Channelview, Texas",Industrial Context,Extent of Damage,Warning Signs Ignored,Companies Involved,Fines,Details of Explosion,Cause of Explosions,Area Impacted,Response Measures,Plant Details,2013,6 fatalities initially reported,Details of Buildings,Response by Consolidated Edison,NTSB Findings,Impact on Metro-North Railroad Tracks,Company,Response,"October 1, 2014",---------------,Factory completely destroyed,"Huge craters left behind, debris flying","Previous citations for outdated equipment, improperly stored explosives",Specific Details of the Incident,Confirmed Casualties,People in Mine at Time of Explosion,Conflicting Reports by Local Rebels,Call for Access by Ukrainian President,Vehicle Involved,Area of Explosion,Aftermath/Legal Proceedings,Response Time,Background,Facility Details,Fire Brigade Response,Official Actions,Property Damage,Homeless Population,Storage Details,Seismic Impact,Government Response,State of Emergency,Protests Against Government,Economic Crisis,Number of Floors,Safety Measures,Victims,Explosions,Investigation,Previous Incident,25 June 2020,30 June 2020,Time of Explosion,Gas Leak Details,Area of Incident,Colliery Details,Aftermath and Controversies,Event Site Details,Key Details of Incident,Cause of Derailment,Key Details,Gunpowder Store Details,Site Details,Gunpowder Theft Details,Historical Connections,Vehicles Involved,Statements by Officials,"June 1, 1974",Additional Information: Casualty figures could have been higher on a weekday; lack of mechanical engineering expertise in management; impact on UK process safety regulations and Seveso Directive in Europe; change in plant production from fertiliser to caprolactam,Area of Fire,Company Details,Aftermath and Responses,Blast Area Damage,Consequences,Identified Causes,Railway Details,Housing Complex Details,Related Incidents,Extent of Impact,Duration of Repairs,Responsible Party,Fines Imposed,Legal Actions,Fatalities,Main Cause,Monetary Damage,Responsible Parties,Legal Outcome,Significant Impacts/Aftermath,Rocket Details,School Details,Owner/Operator,Impacts or Aftermath,"May 4, 1988","**Please note that the provided table covers the main details of the explosion, such as the date, location, casualties, cause of the explosion, and the area affected. Further details can be added as needed.",Founding Date,Founders,Headquarters,Primary Operations,Notable Achievements,Aftermath and Impact,Incident Details,Aftermath and Investigation,Number of Fatalities,Number of Buildings Damaged,Estimated Cost of Damage,Details of Vehicles Involved,"January 30, 1900",Additional columns that could be included:,- Time of the explosion,- Name and brief background of the individual killed,- Any official investigations conducted,Miners Underground,"January 28, 1986",Additional Information:,- The accident occurred during the Space Shuttle Challenger's tenth flight (STS-51-L) and twenty-fifth flight of the Space Shuttle fleet.,- Crew members were supposed to deploy a communications satellite and study Halley's Comet.,- The disaster was caused by the failure of O-ring seals due to record-low temperatures.,- The accident led to the disintegration of the spacecraft over the Atlantic Ocean.,- Fragments were recovered from the ocean after a search-and-recovery operation.,Building Details,Refinery Details,Aftermath and Consequences,Magnitude of Explosion,--------------,"April 17, 2013",trigger
"Birgu, Malta",18 July 1806,Approximately 200 dead,Negligence during shell transfer in gunpowder magazine,,,,,,,,,,,,,,,,,,,,,,,,Gunpowder stored in an improvised casemate within city walls near Porta Marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806 Birgu polverista explosion
"Nixon, New Jersey","March 1, 1924",20 dead,Ammonium nitrate processing building explosion,,,,,,,,,,,,,,,,,,,,,,,,,12 square miles demolished,"Other materials ignited, plastic manufacturing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924 Nixon Nitration Works disaster
"Victoria Dock, Bombay, British India",14 April 1944,"Around 800-1,300 killed, 80,000 homeless, 71 firemen dead","British freighter SS Fort Stikine carrying 1,400 tons of explosives, cotton bales, gold",,,,"Debris scattered, surrounding ships sunk, area set on fire, significant loss of life, 71 firemen casualties",,,,,,,,,,"Built in 1942, cargo included sensitive explosives, ammunition, gold bullion, cotton bales, and other materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944 Bombay Explosion
"Aarhus, Denmark",4 July 1944,"39 killed, 250 injured",150 tonnes of ammunition explosion,,,Barge loaded with ammunition detonated at basin III near Korn- og Foderstof Kompagniet silos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944 explosion in Aarhus
"Edgewood Arsenal, Harford County, Maryland","May 25, 1945","12 killed, 50+ injured",Phosphorus igniter assembly explosion for incendiary bombs,,,"Building 509, production facility for igniter assemblies, primarily female staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945 Edgewood Arsenal explosion
"Chicago, Illinois, USA","May 25, 1950","34 dead, 50 injured",Collision with gasoline truck,,,,,,,,,,,,,,,,,,,,,,,,,,,"Green Hornet Streetcar collided with a gasoline truck resulting in explosion, one of deadliest in Chicago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 Chicago streetcar crash
"Indianapolis, Indiana, United States","October 31, 1963","81 dead, 400 injured",Liquefied petroleum gas leak igniting with electrical heating element,"Severe casualties, significant damage to stands","Emergency responders, evacuation, settlements for victims",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963 Indiana State Fairgrounds Coliseum gas explosion
"Roseville, California","28 April, 1973",48 injured,Small fire in a box car caused by overheated brakes,"No fatalities, 40-mile audible range",,"Hawthorne, NV Army Depot, US military-owned box car, high explosive aircraft ammunition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973 Roseville Yard Disaster
"Bradley Township, Van Buren County, Arkansas","September 18–19, 1980","None directly, 1 injured",,,,,,Liquid fuel explosion inside missile silo,,,"Missile Complex 374-7, 9 megaton W-53 Nuclear Warhead, 3.3 miles NNE of Damascus",,,,,,,,,,,,,,,,,,,,LGM-25C Titan II ICBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980 Damascus Titan missile explosion
,,,,,,,Safety changes at other US plants by ACC,,,,,,,,,,,,,,,,,,,,,,,,,Compressor malfunction causing vaporized gas ignition,Largest industrial disasters in Greater Houston area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990 ARCO explosion
"Analco Colonia Atlas, Guadalajara, Mexico","April 22, 1992","Approximately 252 reported killed, estimates of 1,000",Numerous gasoline explosions in sewer system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8 kilometers of streets destroyed, $300 million to $3 billion damage","Strong gas-like smell, gasoline in water pipes, high levels of gasoline fumes in sewers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992 Guadalajara explosions
"Huanjiang county, Guangxi, China","Week of August 1-5, 1994","77 dead, 230+ injured",8 tonnes of dynamite explosion,"Flattened dormitory, warehouses","Government officials mobilized, rescue efforts, investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 Kenpeng mine disaster
"Jesse, Nigeria","October 18, 1998","1,082 deaths",,"Most deadly pipeline explosion in Nigeria, pipeline link between Warri and Kaduna, located in Niger Delta","Extinguished by US firefighting company, visit by Nigerian President, rising death toll, victims too badly burned for identification, mass graves for over 300 bodies",,,Debate between scavengers and neglect as cause,Nigerian National Petroleum Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998 Jesse pipeline explosion
"Lagos, Nigeria","January 27, 2002","At least 1,100 killed, 20,000 displaced",Accidental detonation of high explosives,,,"Ikeja Cantonment, storage of high calibre bombs",,,,,,,,,"Fires, destroyed buildings, displaced people, government inquiry blamed Nigerian Army",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Lagos armoury explosion
"Etobicoke, Toronto, Ontario","April 24, 2003","7 dead, 4 injured",Backhoe breach of Enbridge pipeline,,,,"Memorial garden dedication, damages, rescue efforts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enbridge, Precision Utility",Fined in 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Etobicoke gas explosion
"Arkhangelsk, Russia","March 16, 2004",58 dead,Sabotage of the gas system by former employee Sergey Alekseychik,,,,,,,3:03 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Arkhangelsk explosion
"Milwaukee, Wisconsin, USA","December 6, 2006","3 killed, 47 injured",Propane gas leak leading to an explosion,"Cars flipped, debris scattered, legal actions launched, leaks in gas pipe found",,"Two joined buildings housing propane tanks, covers 50,000 sq ft",,,Rexnord (owner),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006 Falk Corporation explosion
