Extinction Event,Duration,Period,Timing,Event Name,Approximate Age,Organisms Affected,Impacted Organisms,Characteristics,Event,Preceding Extinction Events,Period of Most Extinction,Impact on Periods,Impact on Species,Climate Change,Geological Markers,Triggers,Location,"Extinction ""Datum Points""",Causes,Extinct Organisms,Possible Triggers,Species Extinct,Carboniferous Rainforest Collapse,"This table provides a clear breakdown of the crucial details about the Carboniferous rainforest collapse, including when it happened, its impacts, causes, duration, and characteristics of the event.",Environmental Changes,Disturbances in Cycles,Affected Organisms,Probable Cause of Extinction,Timeframe,Marine Genera Loss (Estimates range),Comparison to Other Extinctions,Debate on Exact Loss,Ecological Impact,Evidence of Mass Extinction,Ediacaran Survivor,Speculated Causes,Impact of Meteorite Impacts,Faunal Turnover,Speciation Patterns,Changes in Geological/Chemical Markers,Extinct Species Affected,Documented Extinctions,Extinction Rate Compared to Natural Rates,Contributing Factors,Changes in δ13C,Changes in δ18O,Severity Rating,Main Effects,Impact on Ice Sheet Growth,Changes in Atmospheric CO2 Levels,Extinction Type,Global Sea Level Change,Geochemical Isotope Excursion,Extinction in Conodont Fauna,δ13C Isotope Analysis,CO2 Levels,Synchronous Deposits,Predominant Affected Organisms,Initial Identification,Key Theories,Extent of Extinction,Impact on Biodiversity,Causes of Extinction,Recovery Timeframe,Evidence of Recovery,Regions Affected,Main Causes,Human Presence,Hypothesized Theory,Impact on Megafauna,Start (Mya),End (Mya),Key Events,Climate,Geographic Changes,Evolution of Flora and Fauna,Major Geological Events,Impact on Land Life,Impact on Marine Life,Leading Theory,trigger
,Unknown,,c. 116-117 Ma,,,,Marine organisms,,Aptian Extinction,,,,,,,,,,,,"Rahjamal Traps volcanism, Kerguelen hotspot","Stegosaurs, Tritylodonts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aptian extinction
Cambrian–Ordovician Extinction,,,,,488 million years,"Brachiopods, Conodonts, Trilobites",,,,"End-Botomian (517 million years ago), Dresbachian (502 million years ago)",Caerfai Period,"Ended Cambrian Period, led into Ordovician Period",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cambrian–Ordovician extinction event
,,,,,,,,,,,,,,,,,,,,,,,"Altered vast coal forests, led to extinction, continued coal-forming tropical forests","This table provides a clear breakdown of the crucial details about the Carboniferous rainforest collapse, including when it happened, its impacts, causes, duration, and characteristics of the event.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carboniferous rainforest collapse
,,Late Triassic,,Carnian Pluvial Episode,,,,,,,,,"Extinction of aquatic invertebrate species, diversification of life",Global Warming,,,,,,,,,,,"Shift to humid climate on land, reduced carbonate mineral deposition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carnian Pluvial Event
,"400,000 years",,93.9 ± 0.15 Ma,,,,,"Thick layer of black shale, chert, radiolarian sands",Cenomanian-Turonian boundary event,,,,,,,,,,,,,,,,,"Carbon, oxygen, sulfur cycles disrupted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cenomanian-Turonian boundary event
Cretaceous–Paleogene Extinction,-,,Approximately 66 million years ago,,,,,,,,,,,,K–Pg boundary clay layer,,,,,,,,,,,,"Three-quarters of plant and animal species on Earth, tetrapods over 25 kg, except some ectothermic species survived",Impact of a massive comet or asteroid 10 to 15 km wide approximately 66 million years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cretaceous–Paleogene extinction event
Capitanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~260 million years ago,33-35%,Comparable to K-Pg extinction,Varied estimates,Fifth worst in ecological impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End-Capitanian extinction event
End of Ediacaran,,,,,542 million years ago,"Ediacaran biota, Calcifying organisms",,"Disappearance of major organism groups, increase in burrowing",,,,,,,,,,,,,,,,,,,,,,,,,,"Disappearance of soft-bodied and calcifying organisms, increase in burrowing during Cambrian period","Theory that Ediacarans became extinct challenged by potential survivors like Ediacaria booleyi, suggesting not all biota disappeared completely",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End-Ediacaran extinction
Large-scale extinction and floral/faunal turnover,,,,,,,"Marine and aquatic organisms, last of the ancient ungulates",,,,,,,"Decrease in atmospheric carbon dioxide, onset of ice sheet coverage on Antarctica","Oligocene Oi-1 event, Grande Coupure",,,,,,,,,,,,,,,,,,,,,"Cooling climate, extended volcanic activity, meteorite impacts","Chesapeake Bay crater, Popigai crater",European turnover in mammalian fauna,"Widespread extinctions, allopatric speciation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eocene–Oligocene extinction event
,N/A,,,The Great Oxidation Event,2.4–2.0 Ga,"Anaerobic species, potentially mass extinction",,"Rise in atmospheric oxygen, transition to oxidizing atmosphere",,,,,,,,Cyanobacteria producing oxygen,,,,,,,,,,,,,,,,,,,,,,,,Transition from a reducing to an oxidizing atmosphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Oxygenation Event
Holocene Extinction,,Present Holocene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bacteria, fungi, plants, mammals, birds, reptiles, amphibians, fish, invertebrates",Majority undocumented,"100-1,000 times higher than natural","Human activity, habitat degradation, overhunting, climate change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holocene extinction
,"200,000 years",Silurian,,Ireviken,,,,,,,,,"50% of trilobite species, 80% of global conodont species",,,"Originated in deep oceans, affected shallow shelf seas","Ireviken, Gotland","Eight, first four linked to Milankovic obliquity cycle",,,,,,,,,,,,,,,,,,,,,,,,,,,+1.4‰ to +4.5‰,−5.6‰ to −5.0‰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ireviken event
Late Devonian Extinction,,,,,372 - 359 Ma,"Brachiopods, Trilobites, Reef-building organisms",,,,"Givetian, Frasnian, Hangenberg events",End-Famennian,Affected the transition to the Carboniferous Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late Devonian extinction
,Late Ludfordian stage,Silurian,,Lau event,,,Conodonts,,,,,,,,,,"Gotland, Sweden",Eke beds,"Peak in δ13C, fluctuations in isotope concentrations",,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,"Increased extinction rates, crisis in conodonts, graptolites",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau event
,,,Roughly 14 million years ago,Middle Miocene disruption,,,,,,,,,,,,,,,"Cooling due to orbital changes, growth of ice sheets globally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth of East Antarctic Ice Sheet,Atmospheric CO2 dropped from 300 to 140ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Miocene disruption
