Location,Event Name,Activities,Establishment Year,Annual Occurrence,Reason for Deferral,Total Years Held,Duration,Year Established,Founder,Admission,Notable Appearances,Conclusion Reason,Festival Name,Special Events,Statistics,Unique Features,Notable Achievements,Year Deferral,Attendance,Notable Features,Cancellations,Strict Measures in 2021,Host Organization,Year Moved,Changes/Measures,Year,Replacement Event,Amount Raised,City,State,trigger
"Niceville, Florida",Boggy Bayou Mullet Festival,"Music, food, rides, arts, crafts",1977,Third Friday in October,,,,,Walter Francis Spence Jr.,,"Chantal from ""Good Morning America""","COVID-19 pandemic, declining revenues, celebrity sightings",,,,,,,,,,,,,,,,,,,Boggy Bayou Mullet Festival
"Williston, Florida",Central Florida Peanut Festival,,1989,October,COVID-19 pandemic,32nd year,,,,,,,,,,,,,,,,,,,,,,,,,Central Florida Harvest and Peanut Festival
"Epcot, Walt Disney World Resort",,"Food and drink kiosks around the World Showcase, concerts, book signings, demonstrations",,,,,Late August to mid-November (recently),,George Kalogridis,Basic festival included with park admission,,,Epcot International Food & Wine Festival,Separate admission required for some events,"100,000 dessert portions, 360,000 beer servings, 300,000 wine pours, 1.5 million food samplings",,,,,,,,,,,,,,,,Epcot International Food & Wine Festival
"Fellsmere, Florida",Fellsmere Frog Leg Festival,,1990,Third week of January,COVID-19 pandemic,33rd year,,,,,,,,,,,,,,,,,,,,,,,,,Fellsmere Frog Leg Festival
"Apalachicola, Florida",Florida Seafood Festival,"Parade, carnival, blue crab races, oyster contests, 5km race, concert, crafts",1964,,,,,,,,,,,,,Oldest seafood festival in the state,2010 Oyster Shucking Champion,2020,,,,,,,,,,,,,Florida Seafood Festival
"Plant City, Florida",Florida Strawberry Festival,"Flea market-style craft sales, entertainment acts, midway, daily concerts, honoring King Strawberry, food fair",1930,,,,11 days,,,"$10 for adults, $5 for children, free for kids under 5",,,,,,,,,Half a million patrons,"Top 40 Fairs in North America, cancellations in 1942-1947",1942-47,"Social distancing, mask wearing",,,,,,,,,Florida Strawberry Festival
"Miami Beach, Lincoln Road",South Beach Wine & Food Festival,"Dinners, wine seminars, tasting and demos, brunches and lunches, walk around tastings, family events, fitness, late-night parties",,,,,Mid-February,,,,,,,,,,,,,,,,Florida International University,2021,,,,,,,Food Network South Beach Wine and Food Festival
"Fernandina Beach, FL",Isle of Eight Flags Shrimp Festival,"Shrimp and seafood cooking, arts and crafts, music, Miss Shrimp Festival pageant, fireworks display, parade",1964,First weekend in May,COVID-19 pandemic,,,1964,,,,,,,,,,,,,,,,,,,,,,,Isle of Eight Flags Shrimp Festival
"Dade City, Florida",Kumquat Festival,"Celebrates kumquat fruit with events, visitors, marmalades",,,,24,,1997,,,,,,,,,,,,,,,,,"Moved to March, masks required",,,,,,Kumquat Festival
"Land o' Lakes, Florida",Land o' Lakes Flapjack Festival,"Parade floats, pageant, honorary mayor, pancake eating",,,,,,,,,,,,,,,,,,,,,,,,1976,Swampfest,,,,Land o' Lakes Flapjack Festival
"Naples, Florida",Naples Winter Wine Festival,"Charity wine festival, chef dinners, auction",,,,,,2001,,,,,,,,,,,,,,,,,,,,$245 million raised,,,Naples Winter Wine Festival
,,,1824,,,,,,,,,,,,,,,,,,,,,,,,,,Tallahassee,Florida,Tallahassee Food Festival
"Tallahassee, Florida",Tallahassee Wine and Food Festival,"Wine dinner reception, wine dinner, celebrity chef, VIP reception at wine tasting, festival shoppe, wine auction, silent auction, press and media party, golf tournament, meélange market",1995,November,,,,,,,,,,,,,,,,,,,,,,,,,,,Tallahassee Wine and Food Festival
