Date,Location,Casualties,Injuries,Event,Possible Causes,Impact,Number of Casualties,Historical Context,Cause of Fire,Nature of Explosion,Federal Investigation,Individuals Convicted,Illegal Operation,Possible Cause,Cause of Explosion,Countries Involved,People Involved,Violations,Charges,Building Details,Consequences,Survivors,Historical Background,Aftermath,Individuals Involved,Contributing Factors,Lack of Safety Precautions,Background,Possible Cause of Fire,Significant Points,Lack of Permission,Number of Pilgrims Present,Capacity Violation,Lack of Safety Measures,Pyrotechnic Ignition,Flammable Materials,Entities Involved,Impact on Victims and Survivors,People Present,Victims,trigger
"April 5, 1986","San Francisco, California",,,,,,"8 killed, 20 injured",,,"Massive explosion, fire in fireworks factory","Bureau of Alcohol, Tobacco and Firearms","Thomas C. Cuyos, Nolan Florita",Largest known illegal operation in US history,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986 San Francisco fireworks disaster
"December 20, 2016","Tultepec, Mexico",42 killed,Dozens,,Ignition of gunpowder,"300 tonnes of fireworks present, significant damage to nearby homes and market",,"Major fireworks culture, industry with 200-year history, prior incidents in 2005 and 2006, 65% of town involved in production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 San Pablito Market fireworks explosion
"February 9, 2009",Beijing central business district,Not specified,,Beijing Television Cultural Center fire,,,,,Unsanctioned fireworks display nearby,,,,,,,,,,,"Adjacent to CCTV Headquarters, involvement of CCTV officials, construction details","Furor in China, media coverage, international criticism",,,,,,,,,,,,,,,,,,,,Beijing Television Cultural Center fire
"May 27, 1983","Benton, Tennessee",,,,,,"11 killed, 1 injured",,,Powerful explosion at illegal fireworks factory,Two-year investigation,"Owner, mastermind, others convicted",Largest known illegal fireworks operation in US history,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benton fireworks disaster
"May 7, 1991","Sungai Buloh, Selangor",26 killed,Over 100 injured,Bright Sparklers Fireworks Factory Explosion,,"26 killed, over 100 injured, major damage to over 200 residential properties",,,,,,,,Explosive chemicals ignition leading to explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,Bright Sparklers Fireworks disaster
"September 7, 1984","Off Qala Point, Gozo, Malta",7 killed,,C23 Tragedy,,,,,,,,,,,Spark from closing hatch igniting seized illegal fireworks,,,,,,,1 severely injured,"Vessel originally built for US Navy, donated to Malta in 1971, operated by AFM, decommissioned in 2010","Boat repaired, renamed P23, remains as memorial at AFM base",,,,,,,,,,,,,,,,,C23 tragedy
"November 24, 2001","Belo Horizonte, Minas Gerais, Brazil","7 killed, 197 injured",Pyrotechnics,Canecão Mineiro nightclub fire,,,,Not available,Pyrotechnics set off on the stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canec茫o Mineiro nightclub fire
"September 26, 1999","Celaya, Mexico",,,,,,"63 killed, 348 injured",,,Detonation of illegal fireworks and gunpowder stockpile,Investigation announced by President Zedillo,"5 business inspectors, agent of attorney general, 7 business owners","Yes, illegal possession and sale",,,,,,,,,,,,,,,,,,,,,,,,,,,,Celaya fireworks disaster
"October 30, 2015","Bucharest, Romania","64 killed, 146 injured",Poisoned by burning foam toxins,Colectiv nightclub fire,Band's pyrotechnics igniting flammable foam,,,"Deadliest fire in Romanian history, related to corruption protests",,,,,,,,"Israel, Netherlands, Belgium, Austria, United Kingdom, Norway, Germany, France",,,,,,,,,"Alin George Anastasescu, Costin Mincu, Paul Cătălin Gancea",,,,,,,,,,,,,,,,Colectiv nightclub fire
"February 14, 1991","Culemborg, Netherlands","2 deaths, 20-30 injuries",Heavy structural damage,Culemborg fireworks disaster,,Explosions from ignited fireworks storage,,,,,,,,,,,,,,,,,,,,Factors not determined,Recommendations not implemented,,,,,,,,,,,,,,Culemborg fireworks disaster
