Date,Location,Injuries,Fatalities,Deaths,Aftermath,Cause of Stampede,Cause,Event Name,Context,Arrests,Attendees,Estimated Deaths,Cause of Disaster,Casualties,Background,Court Proceedings,Largest Victim Countries,Official Government Report,Festival Cancellation,Security Actions,Additional Context,Event Trigger,Hospitals,Background Context,Event Details,Festival Details,Event Context,Concert Details,Estimated Injuries,Details,Investigations,Commission Findings,Recommendations/Actions Taken,Legal Consequences,Specific Event Trigger,Factors Contributing,Government Actions,Relief Measures,Time,Number of Pilgrims,Previous Incidents,Responsible Parties,Security Arrangements,Demographics,Official Response,Stampede Cause,Response,Bridge Details,Conflicting Reports,Party,Accusations,Investigation Outcome,Gate Closures,Witness Accounts,Government Response,Causes,Key Individuals/Organizations,Financial Aid Provided,Trigger Event,Official Reports,Relief Distribution Details,Security Measures,Causes of Stampede,Legal Actions,Coordinates,Concert Organizer,Streaming Service,Event Description,Children Killed,Venue Name,Notes,Additional Details,Notable Individuals,Sporting Event,Subsequent Actions,Venue Capacity,Venue Details,Main Cause of Stampede,Aftermath/Commemorations,COVID-19 Enforcement,Nightclub Raid Details,Stampede Details,Notable Awards/Recognitions,Chief Minister's Compensation Announcement,Expected Attendees,Resumption of Pilgrimage,Official Death Toll,Notable Incidents,Football Match Details,Police Involvement,Key People,Attendance,Perpetrator,Motive,Event,Eyewitness Accounts,Government Investigation,Official Condolences,Compensation,Age Range of Victims,Safety Actions,trigger
23 February 1807,"Newgate Prison, London",Many,,27+,,,,,"Human crush outside Newgate Prison resulting from a collapsing wooden cart at the execution of John Holloway and Owen Haggerty, who were widely believed to be wrongly convicted of murder, large dense crowd gathered for the public execution leading to fatal crowd crush",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1807 Newgate disaster
3 Feb 1954,Allahabad,,,,"No compensation paid, call for politicians to stay away, restrictions due to Ganges River",,,,,,,350-800+,"Surge of crowd breaking through barrier, stampede",,,,,,,,,,,,,,,,2000+,"Main bathing day of Mauni Amavasya during Kumbh Mela, 4-5 million pilgrims, politicians present, politics during Independence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954 Kumbh Mela stampede
3 Dec 1979,"Cincinnati, Ohio",,11,,"The Who resumed tour after temporary suspension, inquiries conducted, changes made to concert venue management, new guidelines implemented for future events",,Rush of concert-goers resulted in deaths of 11 people,The Who Concert Disaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979 The Who concert disaster
3 July 1990,"Mecca, Saudi Arabia",,"1,426",,,,"Crowded tunnel near Mecca used by pilgrims, bridge railing bent causing fall of pedestrians, tunnel filled beyond capacity",,,,,"Over 1,400",,,,,"Malaysian, Indonesian, Pakistani",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990 Mecca tunnel tragedy
23 November 1994,"Nagpur, India",500,,114,"Maharashtra Tribal Dev. Minister resignation, no action against CM",Police baton charge on Gowari protesters causing stampede,,,,,,,,,"Gowari community protest, majority casualties women and children, government actions",,,,,,,,,,,,,,,,"Justice S S Dani Commission, held nobody responsible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 Gowari stampede
23 May 1994,"Mecca, Saudi Arabia",,,,,,,,,,,At least 270,Stampede during the Stoning of the Devil ritual at the Hajj due to overcrowding,,,,"Turkey, Lebanon, Indonesia","Saudi official report: 829 deaths, including 270 from stampede",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 Hajj stampede
14 January 1999,"Sabarimala, Kerala",,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,"State Government negligence, collapse of hillock sides, lack of basic amenities for pilgrims from other states","Need for amenities on pilgrim route, public outcry after subsequent stampede incidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 Sabarimala stampede
"February 17, 2003","Chicago, Illinois",50+,21 dead,,"Club owners' legal consequences, specifics of event trigger, fatalities, injuries, aftermath",Use of pepper spray,,,,,,,,"21 dead, 50+ injured",,,,,,,,,,,,,,,,,,,,"Club owners convicted of criminal contempt, 2-year prison sentence",Security guard's pepper spray use to break up a fight,"Fire code violations, closed exits, heap of bodies, trapped patrons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 E2 nightclub stampede
2004,Miyun District,15,,37,,"Spectator tripped on an open grate causing a chain reaction, leading to a stampede at the Lantern Festival",,,,,,,,,,Two police officers sentenced to 3 years in jail,,,No,Beijing Mayor Liu Qi rushed to the scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Miyun stampede
18 December 2005,"MGR Nagar, Chennai, Tamil Nadu",37,,42,,Relief supplies distribution during severe flooding,,,,,,,,,"Heavy rains, flooding, homeless population requiring relief measures, change of distribution venue due to narrow street",,,,,,,,,,,,,,,,,,,,,,"Appointment of one-man commission, compensation offered","Distribution of ₹2,000, 10 kg of rice, clothing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 December Chennai stampede
12 January 2006,"Mecca, Saudi Arabia",,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:28 PM,2-3 million,"76 deaths due to collapsed hostel on 5 January 2006, stampede killing 244 in 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006 Hajj stampede
