Date,Location,President,Vice President,Chief Justice,Unique Aspects,Notable Quotation,Event,Length of Term,Oath Ceremony Time,Attendees,Unique Aspects:,Notable Attendees,Notable Aspects,Oath Ceremony Details,Reason for Change,Weather,Inauguration,Theme,Notable Quotes,Significant Details,"January 20, 2001",- First inauguration of the 21st century,- First inauguration in the 3rd millennium,- Controversies and protests surrounding the 2000 election outcome,Notable Incidents:,- Demonstrators protesting the election outcome,- Four protesters arrested,- Bush's limousine hit by a tennis ball and an egg during the parade,"April 30, 1789",- Held on a balcony of Federal Hall,- Administered by Chancellor of New York Robert Livingston,- Official start of the executive branch under the new U.S. Constitution,Attire,Inaugural Ball Venue,Ticket Prices,Notable Occurrences,Reason for Holding Outside,Thomas Jefferson,- Commencement of Thomas Jefferson's first four-year term as president,- Only four-year term for Aaron Burr as vice president,- Jefferson sworn in by Supreme Court Chief Justice John Marshall,"- Held in Washington, D.C., the first time an inauguration was held in the city",- Temperature at High Noon estimated at 55 degrees Fahrenheit,"- Jefferson walked to the ceremony instead of riding a carriage, becoming the first president to do so",William McKinley,- First filmed inauguration,- Last inauguration of the 19th century,Physical Characteristics,Key Policy Points,Attendance Estimates,Oath Administrator,Bibles Used,Presidential Oath Administrator,Vice Presidential Oath Administrator,Records Set,,Topics Covered,Criticisms,Notable Quotations,Telegraph Report,Newspaper Illustration,Family Bible at Oath,Weather Condition,Estimated Temperature,Length of Inaugural Address,Unique Circumstances,Notable Achievement,Notable Details,Reason for Location Change,Reason for Rescheduling,- First inauguration to feature African Americans in the inaugural parade,"- First extensively photographed inauguration, iconic images exist",- Vice President-elect Andrew Johnson appeared intoxicated at the Senate chamber oath ceremony,Events,Notable Statements in Inauguration Address,Inaugural Oath Administrator,Notable Weather Conditions,Attendance,Unique Aspect,Reason for Indoor Ceremony,Change in Date Reason,Inaugural Address Summary,Unique Aspects/Notable Incidents:,"- Held privately on March 4, 1917, and publicly on March 5, 1917",- Start of Wilson's second and final four-year term,- Women's suffrage picketing incident overshadowed the inauguration,trigger
"March 4, 1861","East Portico of US Capitol, D.C.",Abraham Lincoln,Hannibal Hamlin,Roger B. Taney,"Lincoln's first public appearance with a beard, heightened security due to impending war",N/A,,1 full term,,"Family, friends, John C. Breckinridge, Union Army, security personnel, dignitaries",,,,"Oath administered by Roger B. Taney, first outgoing VP administering oath to successor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Abraham Lincoln
"March 4, 1829","United States Capitol, Washington, D.C.",Andrew Jackson,John C. Calhoun,John Marshall,"First inauguration of Andrew Jackson, large crowds, East Portico venue","""It is beautiful; it is sublime!""",,,,"Ten thousand attendees, Francis Scott Key's reaction, roughly 21,000 spectators",,,,,Calhoun resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Andrew Jackson
"January 20, 2009","West Front of the US Capitol, Washington, D.C.",Barack Obama,Joe Biden,,"Record attendance, global audience observation",,Inauguration,,,,,,,,,,,"""A New Birth of Freedom""","""A New Birth of Freedom"" from the Gettysburg Address",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Barack Obama
"January 20, 1993","West Front of the US Capitol, Washington, D.C.",Bill Clinton,Al Gore,,"Third-youngest president, first Baby Boomer leader",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Bill Clinton
"January 20, 1953","East Portico of the US Capitol, Washington, D.C.",Dwight D. Eisenhower,Richard Nixon,Fred M. Vinson,,,,,,,,,,"Two Bibles used, recitation of a personal prayer instead of kissing the Bible, oath administrator for each official",,,,,,"42nd inauguration, first term of Eisenhower as President, first term of Nixon as Vice President",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Dwight D. Eisenhower
"March 4, 1933","East Portico of the US Capitol, Washington, D.C.",Franklin D. Roosevelt,John Nance Garner,Charles Evans Hughes,"Last inauguration on March 4, move of Inauguration Day to January 20, Roosevelt's attire","""We have nothing to fear but fear itself""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Franklin D. Roosevelt
,,,,,,,,,,,Unique Aspects:,,,,,,,,,,"Estimated 300,000 people",- First inauguration of the 21st century,- First inauguration in the 3rd millennium,- Controversies and protests surrounding the 2000 election outcome,Notable Incidents:,- Demonstrators protesting the election outcome,- Four protesters arrested,- Bush's limousine hit by a tennis ball and an egg during the parade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of George W. Bush
,,,,,,,,,,,Unique Aspects:,,,,,,,,,,,,,,,,,,Robert Livingston,- Held on a balcony of Federal Hall,- Administered by Chancellor of New York Robert Livingston,- Official start of the executive branch under the new U.S. Constitution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of George Washington
"March 4, 1885","East Portico of the US Capitol, Washington, D.C.",Grover Cleveland,Thomas A. Hendricks,Morrison Waite,"First term of Grover Cleveland, only term of Thomas A. Hendricks, unique due to non-consecutive terms",,Inauguration,4 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Grover Cleveland
"March 4, 1809","House of Representatives, US Capitol, Washington, D.C.",James Madison,George Clinton,John Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% American-made wool suit,Long's Hotel,$4,"Clinton's death during term, vacant office, Madison's entrance details, inaugural ball, Dolley Madison's attire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of James Madison
