Duration,Outcome,Start Date,End Date,Military Force,Key Events,Event Trigger,Casualties,Date,Purpose,Outcomes,Countries,Reason for Occupation,Background,Significant Events,Signatories,Territory,Territories Occupied,Timeline,Major Operations,Airstrikes,Objective,Consequences,Reason,Second phase,Third phase,Fourth phase,Second phase 1977–1982,Third phase 1982–1984,Fourth phase 1984–1990,Coalition,Total Casualties,Initial Support for Czechoslovak Legion,Support for White forces,End of Interventions,Administration Divided,Major Events,Division,Recognition,Treaty,Zones,Conference Ratification,Territory Changes,Future Implications,Participating Countries,Strategic Significance,Involved Countries,Reasons,Occupying Forces,Division of Serbia,Governing Structure,Harsh Measures,Event,Parties involved,Areas Under Occupation,Measures of Repression,Involved Parties,Opening Months of War,1915 Progress,1916 Offensives,Kingdom of Romania Entry,Theatre of Conflict,Belligerent Powers,Context,Nullification,Administrative Division,Economic Impact,Political Repression,Resistance Movements,Client State,Civilian Casualties,Establishment,Ethnic Impact,Soviet Liberation,Impact on Population,Areas Behind Western Front,US Guarantee of Greenland,Greenland's Self-Ruling,US Coast Guard's Role,Taiwan placed under Republic of China governance,Declaration of martial law in Taiwan,ROC government retreats to Taiwan,Taipei declared temporary capital of ROC,UN expels ROC and replaces with PRC,Martial law lifted in Taiwan,First direct presidential election in Taiwan,Democratic Progressive Party comes to power,Key Military Figures,Key Political Figures,Indian Armed Forces,Pakistani Armed Forces,Indian Casualties,Pakistani Casualties,Conflicting Claims,Countries Involved,Support,Major Insurgent Attacks,Key Outcome,Strategic Importance,Motivation for Invasion,Military Forces,Timeline of Main Events,Agreement between France and Japan,Territorial Occupation by Japan,Strategic Goals of Japan,Iraqi invasion of Kuwait,Coalition intervention,Naval operations,Air campaign,Liberation of Kuwait,Post-ceasefire,Geography,British Strategy,Blockade Purpose,Raeder's Proposal,Codename,International Response,Treaty Establishment,Baltic coast,Northern Front,Southern Front,Asia-Pacific,Mediterranean and Middle East,Other campaigns,Coups,Military invasion of the Netherlands or predecessors,"In the case of military invasions of the Netherlands or its predecessor states, the key information to extract includes the event trigger that led to the invasion, the outcome of the invasion, and the military force involved in carrying out the invasion. The specifics of each invasion would vary based on the historical context, including the period, the countries or entities involved, and the objectives of the invading forces. This information provides a snapshot of the military history of the region and the impact of external interventions on the Netherlands.",Italian Declaration of War,French Announcement of Armistice with Germany,Italian General Offensive,Armistice Signing with Italy,Territories,Commencement,Locations,Completion,Excluded Territories,Impact of Liberation of Paris,Declaration as Independent Nation,Japanese Presence until end of war,Battle,Surrender,Hardships,Japanization Policy,Impact on Local Population,Military Objective,British Garrison,Japanese Invasion Force Units and Ships,Date of Port Blair's Occupation,Resistance from British Garrison,Fate of British Officers and Prisoners,Formal Annexation Date,Territory Involved,Events Leading Up to Annexation,International Recognition,Population Implications,Involved Forces,Objectives,Celebrated by,Hitler's claim,Start of war,Annexation,Additional demands,Meeting location,North Vietnamese/Pathet Lao Victory,Air Operations,Naval Operations,American Intervention,Tet Offensive,Vietnamization,Post-Paris Peace Accords,Spring 1975,UK,France,Italy,Sudetenland,Bohemia & Moravia,Zaolzie,Carpathian Ruthenia,Axis Forces Involved,Leading Country,Supervising Entity,Total Allied Soldiers,Overseer Generals,Soviet Union Influence,Emperor's Role,Reforms,Constitution Replacement,Military Limitation,Roman Occupation,Burgundian Occupation,Spanish Occupation,French Occupation,Authority,Impact on Ethnic Relations,High Commissioner,Projects,End of Occupation,Greco-Turkish War,Treaty of Lausanne,---------------------------------,Date of Invasion,Claimant,Previous Sovereignty,Military Forces Involved,Administering Authority,Dissolution of Government,Recognition by Arab League,Administration,US Role,Ukrainian State,Governorate of Subcarpathia,Soviet Occupation in World War II,Republic of Crimea and Sevastopol Occupation,Donetsk and Luhansk People's Republic Occupation,Start,Trigger,Players Involved,Frontline Strength,Other Casualties,Phases,Motivation,Operation Name,Main Objective,Approval Date,Other Military Forces,Accusations,------------------------------,South African incursion into Angola (Operation Savannah),Regions,Parties Involved,Red Army invasion,Dissolution of ADR,Creation of AzSSR,Establishment of AzCP,Commissar's note,Formation of alliance,Population Demographics,Historical Background,Establishment as Protectorate,Reintegration into Germany,Industrial Importance,Historical Context,Control by League of Nations,Post-World War II Protectorate,Policy of Industrial Disarmament,French Control,Return to West Germany,Participants,Major Encounters,Significance,Insurgency,Forces Involved,Disputed Numbers,Year,Supporting Forces,Protagonist Commander,Opposition Commander,Soviet Brigades,Notable Tactics,Opposition Faction Defection,Supporting Government Approval,Collaboration,Territories Annexed,Total Area,Total Population,Ultimatum by Soviet Union to Romania,Romanian Government Response,Annexation Process,Involvement of Nazi Germany,International Legal Perspective,Territory Occupied,Significant Outcome,Baltic Offensive,Siege of Leningrad,Tartu Offensive,Transbaikal Front,1st Far Eastern Front,2nd Far Eastern Front,Kwangtung Army,Fifth Area Army,Asia-Pacific region,Agreements/Treaties,Location,Troop Deployment,Coordination,Initial Deployment,Actions Taken,Phase 1: February Revolution,Phase 2: Strengthening,Phase 3: War Continuation,Insurgent Attacks,Massacres,Other,Main Events,Key Factors,trigger
,"Israel Defense Forces achieved a military victory against the Palestine Liberation Organization, forcing their withdrawal from southern Lebanon",,,Israeli military utilized 500 paratroopers as a significant military force in the conflict,,,,,,,,,,,,,,,,,,,,"Israel initiated military actions against Palestinian militants in southern Lebanon, leading to internal displacement and casualties","Israeli invasion escalated after the Coastal Road massacre, resulting in further casualties and displacement",Conflict continued with ongoing military operations and international incidents as part of the Israeli-Palestinian conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978 South Lebanon conflict
,,,,,,,,,,,,,,,,,,,,,,,,,,,Period leading up to the 1982 Lebanon War marked by repeated attacks and counter-attacks between the PLO and IDF.,"Military operation launched by the IDF after gunmen attempted to assassinate Israel's ambassador to the UK, leading to the invasion of southern Lebanon.","Occupation of southern Lebanon, surrounding the PLO and Syrian Army, and negotiations for their exit from the country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982 Lebanon War
,Victory,,,500 paratroopers,,Indian/Maldivian government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988 Maldives coup d'茅tat
19 March 2003 - 1 May 2003,Victory in the invasion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States, United Kingdom, Australia, Poland","196+ killed, 551+ wounded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 invasion of Iraq
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russian ports, Siberia","Various major cities, Trans-Siberian Railway","Arkhangelsk, Vladivostok, Sakhalin, Siberia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied intervention in the Russian Civil War
1943-1951,Granting of Libyan independence in 1951,February 1943,1951 (Independence granted to Libya),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United Kingdom (Tripolitania and Cyrenaica), France (Fezzan)","Liberation of Cyrenaica in November 1942, Training of Libyan civil service, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied occupation of Libya
,,"April 27, 1945","July 27, 1955",,,,,,,,"United Kingdom, Soviet Union, United States, France",,,,,,,,,,,,,,,,,,,,,,,,,,Four occupation zones with Vienna subdivided,Austria as the first victim of Nazi aggression,Austrian State Treaty leading to independence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied-occupied Austria
1945-1949,,"May 8, 1945","October 7, 1949",,,,,,"Joint authority and sovereignty over Germany, division into four occupation zones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"American, British, French, Soviet",Potsdam Conference,"Return of annexed territories, detachment of territories east of Oder-Neisse line","Support for shifting Poland's borders, incorporation of eastern Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied-occupied Germany
,"Iranian government surrenders, Reza Shah abdicates and is replaced by son Mohammad Reza Pahlavi",,,,,,,August 1941,"Ensure safety of Allied supply lines, secure Iranian oil fields, limit German influence, preempt possible Axis advance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United Kingdom, Soviet Union","Securing oil fields, limiting German influence, ensuring safety of supply lines to USSR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anglo-Soviet invasion of Iran
,Victory,,,500 paratroopers,,Indian/Maldivian government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annexation of Dadra and Nagar Haveli
