Event Name,Date,Location,Host,Winners in Bold,Hosts,Nomination Announcement Date,Winners,Host(s),Artist with Most Nominations,Special Honoree,Notable Winners,Notable Performances,Performers,Nominations,Impact of COVID-19,Notable Facts,Streaming Platform,Major Nominations,Note,trigger
37th Academy of Country Music Awards,"May 22, 2002","Universal Amphitheatre, Los Angeles, CA",Reba McEntire,Yes,,,,,,,,,,,,,,,,37th Academy of Country Music Awards
38th Academy of Country Music Awards,"May 21, 2003","Mandalay Bay Resort & Casino, Las Vegas, Nevada",Reba McEntire,Yes,,,,,,,,,,,,,,,,38th Academy of Country Music Awards
39th Academy of Country Music Awards,"May 26, 2004","Mandalay Bay Resort & Casino, Las Vegas, Nevada",Reba McEntire,,,,,,,,,,,,,,,,,39th Academy of Country Music Awards
40th Academy of Country Music Awards,"May 17, 2005","Mandalay Bay Resort & Casino, Las Vegas, Nevada",To be determined,Yes,,,,,,,,,,,,,,,,40th Academy of Country Music Awards
41st Academy of Country Music Awards,"May 23, 2006","MGM Grand Garden Arena Las Vegas, Nevada",Reba McEntire,Yes,,,,,,,,,,,,,,,,41st Academy of Country Music Awards
42nd Academy of Country Music Awards,"May 15, 2007","MGM Grand Garden Arena, Las Vegas, Nevada",Reba McEntire,Yes,,,,,,,,,,,,,,,,42nd Academy of Country Music Awards
43rd Academy of Country Music Awards,"May 18, 2008","MGM Grand Garden Arena Las Vegas, Nevada",Reba McEntire,Yes,,,,,,,,,,,,,,,,43rd Academy of Country Music Awards
44th Academy of Country Music Awards,"April 5, 2009","MGM Grand Garden Arena, Las Vegas, Nevada",Reba McEntire,,,,,,,,,,,,,,,,,44th Academy of Country Music Awards
45th Academy of Country Music Awards,"April 18, 2010","MGM Grand Garden Arena, Las Vegas, Nevada",Reba McEntire,Yes,,,,,,,,,,,,,,,,45th Academy of Country Music Awards
46th Academy of Country Music Awards,"April 3, 2011","MGM Grand Garden Arena and Mandalay Bay, Las Vegas, Nevada",,Yes,Reba McEntire and Blake Shelton,,,,,,,,,,,,,,,46th Academy of Country Music Awards
47th Academy of Country Music Awards,"April 1, 2012","MGM Grand Garden Arena, Las Vegas, Nevada",,,Reba McEntire and Blake Shelton,,Yes,,,,,,,,,,,,,47th Academy of Country Music Awards
48th Academy of Country Music Awards,"April 7, 2013","MGM Grand Garden Arena, Las Vegas, Nevada",,,Blake Shelton and Luke Bryan,,-,,,,,,,,,,,,,48th Academy of Country Music Awards
49th Academy of Country Music Awards,"April 6, 2014","MGM Grand Garden Arena, Las Vegas, Nevada",,Yes,Blake Shelton and Luke Bryan,,,,,,,,,,,,,,,49th Academy of Country Music Awards
50th Academy of Country Music Awards,"April 19, 2015","AT&T Stadium in Arlington, Texas",,,Blake Shelton and Luke Bryan,"January 30, 2015",,,,,,,,,,,,,,50th Academy of Country Music Awards
51st Academy of Country Music Awards,"April 3, 2016","MGM Grand, Las Vegas, Nevada",,,,"February 1, 2016",,"Luke Bryan, Dierks Bentley",,,,,,,,,,,,51st Academy of Country Music Awards
52nd Academy of Country Music Awards,"April 2, 2017",T-Mobile Arena,,,,"February 16, 2017",,"Luke Bryan, Dierks Bentley",,,,,,,,,,,,52nd Academy of Country Music Awards
53rd Academy of Country Music Awards,"April 15, 2018","MGM Grand Garden Arena, Las Vegas, Nevada",Reba McEntire,Yes,,"March 1, 2018",,,,,,,,,,,,,,53rd Academy of Country Music Awards
54th Academy of Country Music Awards,"April 7, 2019","MGM Grand Garden Arena, Las Vegas, Nevada",Reba McEntire,,,"February 20, 2019",,,Chris Stapleton and Dan + Shay,Jason Aldean - Artist of the Decade,"Chris Stapleton, Dan + Shay, Kacey Musgraves (Album of the Year)","Dierks Bentley, Brandi Carlile, Little Big Town, Miranda Lambert, Ashley McBryde",,,,,,,,54th Academy of Country Music Awards
55th Academy of Country Music Awards,"September 16, 2020","Nashville, Tennessee",Keith Urban,"Miranda Lambert (Vocal Event Winner), Thomas Rhett, Carrie Underwood",,,,,,,,,,,,,,,,55th Academy of Country Music Awards
56th Academy of Country Music Awards,"April 18, 2021","Nashville, Tennessee",,,Keith Urban and Mickey Guyton,,"Maren Morris, Lee Brice, Carly Pearce",,,,,,Various,Maren Morris led with 5,"No ticketed audience, limited healthcare workers","Keith Urban and Mickey Guyton co-host, diverse performer lineup, exclusion of Morgan Wallen",,,,56th Academy of Country Music Awards
57th Academy of Country Music Awards,"March 7, 2022",Allegiant Stadium,,,,"August 19, 2021",,"Dolly Parton, Jimmie Allen, Gabby Barrett",,,,,,,,,Amazon Prime Video,"Miranda Lambert, Carly Pearce, Carrie Underwood, Chris Young",First major awards show live streamed exclusively; ACM leaving CBS after Amazon acquisition.,57th Academy of Country Music Awards
