Date,Event,Location,Purpose,Participants,Notable Quotes,Organizers,Counter-Protestors,Impact,Locations,Scale,Estimated Participants,Significant Incidents,Parallel Event,Conflict,Duration,Key Actions,Outcome,Significant Achievement,Origin,Cause,Response from Authorities,International Support,Event Trigger,Alternative Name,Cities of Demonstrations,Organizing Groups,Notable Speaker,Estimated Attendance,Police Department Estimate,National Park Service Estimate,Background,National Director,Attendance,Themes,End Location,Significance,American Casualties,Policies and Public Perception,Origin and Development,Key Organizers,Total Participants,Key Participants,Notable Statistics,Dates,Trigger,Organization,Demands,Consequences,trigger
"June 22 - July 13, 1356",Lancaster's Chevauchée of 1356 in Normandy,"Cotentin, Duchy of Normandy",,"2,300 men",,,,,,,,,,,22 days,"Large-scale mounted raid led by Henry, Earl of Lancaster; raided and burnt eastward to Verneuil-sur-Avre, aiding besieged citadels; seized loot and damaged French economy","Strengthened English alliances, damaged French economy and prestige, traveled 330 miles during the offensive period",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RickyRenuncia
"November 30, 1999",1999 Seattle WTO protests,"Washington State Convention and Trade Center in Seattle, Washington","Protest against the WTO Ministerial Conference of 1999, showcasing opposition to economic globalization","Over 40,000 demonstrators, including NGOs, labor unions, student groups, religious organizations, and anarchists",None specified,,"None specifically mentioned, but included opponents to the protesters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 Seattle WTO protests
"April 24, 2015",March for Justice,Little Armenia in Hollywood to Turkish consulate of Los Angeles,Demanding recognition of the Armenian genocide,"130,000","Eric Garcetti: ""From Mount Hollywood to Mount Ararat, today we cry and we cry out for those who were lost and those who are living. One hundred years later, we shouldn’t have to take to the streets.""",,About 30 pro-Turkey counter-protestors at the Turkish consulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Armenian March for Justice
"January 21, 2017",Women's March,"Washington, D.C., and worldwide","Advocacy for human rights issues including women's rights, immigration reform, healthcare reform, LGBTQ rights, and racial equality among others","Over 470,000 in Washington March, over 7 million worldwide",,,,,,,,,,,,,,"Largest single-day protest in U.S. history, no arrests made in major cities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 Women's March
"January 20, 2018",Women's March 2018,,Gather the political power of diverse women and their communities to create change in society; nonviolent action against oppression,Hundreds of thousands,Speakers included House Minority Leader Nancy Pelosi and Senator Kirsten Gillibrand; #MeToo movement was a galvanizing force at many of the rallies,,Not specified,,"Across the United States, Canada, UK, Japan, Italy, and several other countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 Women's March
"April 22, 1970",Earth Day,,,,,,,First Earth Day remains the largest single-day protest in human history; Denis Hayes organized events in 141 nations in 1990,,Over 1 billion people in 193 countries globally coordinated by EarthDay.org,,,,,,,,,"Proposed to honor Earth and peace, later expanded to environmental teach-in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth Day
"May 26, 2020",George Floyd Protests,"Minneapolis, Minnesota",,,,,,"Largest protests in U.S. history, spread to over 2,000 cities globally, majority peaceful but some escalated into riots and clashes",,,15-26 million in the U.S.,,,,,,,,,Police Brutality and Racism,"Arrest of Derek Chauvin and other officers involved, Chauvin's trial",Protests in over 60 countries,,,,,,,,,,,,,,,,,,,,,,,,,,,George Floyd Protests
"May 1, 2006",,,One-day boycott of US schools and businesses by immigrants to demonstrate the importance of undocumented immigrants to the labor force,,,,,,,,,"Vista, California rally turned violent",,,,,,,,,,,Great American Boycott,Day Without an Immigrant,Major cities across the US,,,,,,,,,,,,,,,,,,,,,,,,Great American Boycott
"March 24, 2018",March for Our Lives,"Washington, D.C., and 880 sibling events throughout the US and globally","Support gun control legislation, following the Parkland school shooting",,"Eric Garcetti: ""From Mount Hollywood to Mount Ararat, today we cry and we cry out for those who were lost and those who are living. One hundred years later, we shouldn’t have to take to the streets.""","Never Again MSD, Everytown for Gun Safety",,,,Over 1.2 - 2 million,,"Robb Elementary School Shooting in Uvalde, Texas; Marjory Stoneman Douglas High School shooting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March for Our Lives
"April 22, 2017",March for Science,"Washington, D.C., and over 600 cities worldwide",Celebrate science's role in everyday life; call for evidence-based policy and support for science,1.07 million,"""An American government that ignores science to pursue ideological agendas endangers the world."" - March for Science organizers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March for Science
