Date,Location,Fatalities,Event,Cause of Accident,Train Composition,Impact,Number of Casualties,Train Route,Railway Company,Cause of Derailment,Injuries,Description,Sequence of Events,Railway Ownership,Type of Incident,Reason for Derailment,Dangerous Cargo Carried,Causes of the Accident,People Injured,Speed at Incident,Cars Involved,Damage Caused,Investigating Agency,Mode of Transport,Train Speed,Bus Speed,Railway Companies,Contents of Derailed Cars,Environmental Impact,Government Intervention,Financial Cost,Consequences,Trains Involved,Railway Name,Operating Location,Charter Date,Peak Length,Operating Base,significance,Founder,Significant Individual,First Operation Date,Important Additions,Further Branches,Competitive Factor,Event Description,Train Types Involved,Cause of Collision,Inquiry Findings,Train Cargo,Details of Victim,Attributions to Incident,trigger
"November 10, 1979","Mississauga, ON",0,,,"106-car CP Rail freight train from Windsor, Ontario led by EMD F40PH diesel locomotives",,,,,,,,,,Train derailment with multiple tank car fires,Improperly-lubricated journal bearing causing fire,"Styrene, toluene, propane, caustic soda, chlorine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979 Mississauga train derailment
"August 11, 1995","Toronto, Ontario, Canada",,,,,Deadliest rapid transit accident in Canadian history,3,,,,,,,,,,,"Human error, design flaw in mechanical safety devices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995 Russell Hill subway accident
12 April 2001,"Stewiacke, Nova Scotia, Canada",,,,,,,"Halifax, Nova Scotia to Montreal, Quebec",,Boy tampering with railway switch,,,,,,,,,24,77 km/hour,"Locomotives, baggage car, first coach, 9 cars der","Destruction of dining car, farm supply outlet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001 Stewiacke Via derailment
"February 26, 2012","Burlington, Ontario, Canada",3 engineers,,Crew misinterpretation of signal authorization,,,,"Niagara Falls, Ontario to Toronto, Ontario Corridor route",,,46,,,,,,,,,,,,Transportation Safety Board of Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012 Burlington Via derailment
"September 18, 2013","Barrhaven, Ottawa",6,,,,,,Ottawa to Toronto,,,"35 injured, 5 seriously",,,,,,,,,,,,,"OC Transpo double-decker bus, Via Rail train",75 km/h,67.6 km/h,"OC Transpo, Via Rail",,,,,,,,,,,,,,,,,,,,,,,,,,2013 Ottawa bus–train crash
"November 21, 1950","Valemount, BC, Canada",21,Canoe River train crash,Misinterpreted order led to collision of trains,Westbound troop train & eastbound CNR Continental Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canoe River train crash
"August 5, 2005","Cheakamus River, BC, Canada",,Cheakamus River derailment,,,,,,Canadian National Railway,,,,,,,,,,,,,,,,,,,"Caustic soda (40,000 litres)","Contamination of river, death of over 500,000 fish","Limitation of train cars to 80, $7 million cost",$7 million,,,,,,,,,,,,,,,,,,,,,,Cheakamus River derailment
"October 7, 1966","Dorion, Quebec, Canada",20,,Students lifting crossing gates,,,,,,,,"School bus struck by CN Rail freight train, resulting in 19 instant fatalities and several injuries",,,,,,,,,,,,,,,,,,,,"Deaths, injuries, long-term impact",,,,,,,,,,,,,,,,,,,,,Dorion level crossing accident
"September 1, 1947","Dugald, Manitoba, Canada",31,Dugald rail accident,,,,,,,,,"Head-on collision between a westbound excursion train and a stationary eastbound train, resulting in a fire",,,,,,,,,,,,,,,,,,,,,"Passenger Extra 6001, Continental Limited",,,,,,,,,,,,,,,,,,,,Dugald rail accident
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Western Railway,"Ontario, Canada West","March 6, 1834 (as London and Gore Railroad), rechartered in 1845","1,371 kilometers",Hamilton,Bridge line between New York Central and Michigan Central Railroads,Sir Allan MacNab,"Samuel Zimmerman (promoted construction), Roswell Gardinier Benedict (chief engineer)",1853–1854,"Branch to Toronto, rail connections via Niagara Falls Suspension Bridge","Sarnia, Bruce Peninsula","Beaten into service by Ontario, Simcoe and Huron Railway by six months",,,,,,,,Great Western Railway disaster
8 February 1986,"Hinton, Alberta",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hinton Train Collision,"Canadian National Railway freight, Via Rail","Freight crew failed to stop their train, conductor negligence",Safety flaws in culture and practices at Canadian National Railway,,,,Hinton train collision
"October 27, 1854","Baptiste Creek near Jeannettes Creek, Chatham-Kent, ON",52,Jeannette's Creek train wreck,,"8 cars (4 first-class, 2 second-class, 2 baggage)",,,,,,,,"Series of delays due to fog, derailed gravel train, mechanical issues, and slow freight train leading to a collision with a gravel train",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeannette's Creek train wreck
6 July 2013,"Lac-Mégantic, QC",47,,Unattended train carrying crude oil derailed,,Destruction of buildings due to explosion/fire,,,,,,,,"Montreal, Maine and Atlantic Railway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lac-M茅gantic rail disaster
"September 15, 2018","Ponton, Manitoba",1,,,,,,,,Beaver activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gasoline, liquid propane gas, butane",Train conductor Kevin Anderson,Transportation Safety Board,Ponton train derailment
"March 4, 1910","Rogers Pass, Selkirk Mountains, British Columbia",,,,,"Canada's worst avalanche disaster, affecting vital transcontinental railway link",58,,Canadian Pacific Railway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogers Pass avalanche
