Date,Location,Casualties,Event,Responsible Party,Suspected Cause,Previous Attacks,Arrests/Convictions,Method of Attack,Target,Motive,Aftermath,Government Response,Investigation,Duration,Suspects,Details,Details of Victims,Injuries,Responsible Group,Hostages,Outcome,Incident,Special Forces Involvement,Motive and Demands,1994 Baku Metro bombings,Security Plan Activation,Key Officials,Claimed Attacks,Suspected Group,Coordinates,Key Findings,Suspected Cause/Responsible Party,Notable Details,Government Response/Investigation,International Reaction,Train,Timing of Explosion,Attacker,Victims,Weapon Used,Police Response,Attacker's Interaction,Reported Statements,Suspect,Background,Response,Type of Attack,"Feb 29, 1948","Mar 31, 1948","Apr 22, 1947","May 15, 1947","Aug 9, 1947","Sep 29, 1947",Background Information,Impact on Railway Service,Previous Arrests/Convictions,Details of Incident,Timing of Accident,Rizal Day bombings,"This table outlines the essential details of the Rizal Day bombings in the Philippines, including the event date, locations of the bombings, casualties, responsible parties, explosives used, the origin of materials, and the subsequent arrest and confession of a suspect.",Tarnów train station bombing,,Suspected Perpetrator,Key Players Involved,trigger
11 July 2006,"Mumbai, Maharashtra, India","209 killed, 700+ injured",2006 Mumbai Train Bombings,,Terrorism,,,Pressure cooker bombs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 July 2006 Mumbai train bombings
24 June 1953,Eastern French Indochina (Vietnam),Approximately 100 killed,Col des Nuages Derailment,Viet Minh rebels,Sabotage/explosive charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953 Col des Nuages derailment
18 June 1961,"Near Vitry-le-François, Marne, France","28 killed, 100+ injured",Vitry-Le-François Train Bombing,Organisation armée secrète,,,,,Strasbourg–Paris train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961 Vitry-Le-Fran莽ois train bombing
2 December 1975,"Wijster, Netherlands",3 hostages killed,Train Hijacking,,,,,,,Demand for independent state; Betrayal,,,,12 days,,,,,,50,3 hostages killed; Surrender after 12 days; Convictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975 Dutch train hostage crisis
23 May 1977,"De Punt, Netherlands","2 hostages, 6 hijackers killed",,,,,,,,,,,,20 days,,,,,,,,Train Hijacking,Dutch counter-terrorist special forces,"Dutch government promises unmet, demands for independence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977 Dutch train hostage crisis
8 January 1977,"Moscow, Russia","7 killed, 37 injured",1977 Moscow bombings,Not claimed,,,,,,,"Andrei Sakharov's appeal, KGB investigation, uncertainties in responsibility",,,,Three executed Armenian nationalists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977 Moscow bombings
15 June 1991,"Ludhiana district, Punjab, India",At least 80-100 killed,1991 Punjab killings,Khalistani militants,,None as of the provided information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991 Punjab killings
,,,,,,,,,,,,,,,,,,,,,,,,,Arrest of Armenian intelligence officers in Moscow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 Baku Metro bombings
"October 9, 1995","Palo Verde, Arizona","1 killed, 78 injured",1995 Palo Verde derailment,Unknown,,,,,,,,,,,,"Sabotage of Amtrak's Sunset Limited resulting in derailment, notes signed ""Sons of the Gestapo"" found at site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995 Palo Verde derailment
25 July 1995,"Saint-Michel station, Paris; Arc de Triomphe, Lyon","8 killed, 190 injured",,Armed Islamic Group of Algeria,,,,"Bombing with gas bottles, second bomb near Arc de Triomphe, attempted bombing on high-speed rail line near Lyon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995 Paris Metro bombing
