Duration,Recession Period,Start Date,End Date,GDP Change,Peak Unemployment Rate,Significant Events,Impact on Economies,Effect on Industries,Recovery Progress,Factors Leading to Recession,Key Figures,Economic Indicators,Impact,Other,Key Causes,Impact on US,Impact on UK,Aftermath,Timeline,Stock Market Crash,Unemployment Statistics,Global Energy Crisis,Period,Impact on Western World,US Economy,Global GDP Growth,Canada's Recession,Affected Regions,Main Causes,Response Strategies,Industrial Production Decrease,Unemployment Rate Rise,Impact on Durable Goods,Hourly Earnings Change,Consumer Spending Reduction,Contributing Factors,trigger
November 1973 - March 1975,1973-1975,,,,,,,,,,,,,,"1973 oil crisis, fall of Bretton Woods, steel crisis",2.3 million job losses,GDP declined by 3.9%,"Unemployment rate peaked at 9%, slow recovery",,,,,,,,,,,,,,,,,,,1973–75 recession
,,,,,,,Global economic recession caused by COVID-19 pandemic,"Drop in oil prices, collapse of tourism and hospitality industry",GDP returning or exceeding pre-pandemic levels by April 2022,,,,,,,,,,February 2020 - April 2022,Late February-March 2020,Over 10 million unemployment cases filed in US by October 2020,"Driven by global surge in demand as world exits early recession, strong energy demand in Asia",,,,,,,,,,,,,,,COVID-19 recession
16 months,1980–1981 Recession,Jan 1980,July 1981,,,,"Initial recovery, followed by second downturn in July 1981, strong recovery and expansion through 1990","Manufacturing and construction struggled, shift towards neoliberal economic policies",Stable growth through 1990,"Neoliberal policies, contractionary monetary policy, double-digit inflation, energy crisis",,,,,,,,,,,,,,,,,,,,,,,,,,,Early 1980s recession in the United States
,,,,,,,,,,"Restrictive monetary policy, loss of consumer and business confidence, 1990 oil price shock, end of the Cold War, savings and loan crisis, slump in office construction",,,,,,,,,,,,,Early 1990s,"Economic downturn, impacts on elections, resignation of leaders, reduction of active companies, high unemployment rates, civil disturbances, growth of discount stores",Returned to 1980s level growth by 1993,Returned to pre-recession levels by 1994,"Lasted from April 1990 to April 1992, deeper than US recession, due to higher inflationary pressures, weakening economy in second quarter of 1989, employment growth remained moderate",,,,,,,,,,Early 1990s recession
2000 - 2001,Early 2000s,,,,,,,,,,,,,,,,,,,,,,,,,,,"European Union, United States, Japan, Russia, others","Slowdown after 1997 Asian financial crisis, dot-com bubble, stock market crash",Federal Reserve raised interest rates,,,,,,,Early 2000s recession
13 months,1937-1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almost 30%,14.3% to 19.0%,Fell even faster,Continued to rise,Declined due to unemployment,"Business-hostile New Deal, antitrust legal threats, labour strikes",Recession of 1937–1938
11 months,Recession of 1949,Nov 1948,Oct 1949,-1.7%,7.9%,"Monetary tightening, Truman's ""Fair Deal"" policies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recession of 1949
Second quarter of 1953 to first quarter of 1954,,,,,,,,,,,"James L. Sundquist, Dwight D. Eisenhower, Harry S. Truman","Recession cost approximately $56 billion, GDP declined due to government spending and investment","Described as ""relatively mild and brief,"" caused by events in early 1950s, demand-driven recession of output and employment","Post-Korean War inflation period, restrictive monetary policies, debt-refunding, flexible interest rate policies, increase in pessimism towards the economy, increase in savings",,,,,,,,,,,,,,,,,,,,,,,Recession of 1953
Recession lasted from mid-1957 to April 1958,,,,,,,,,,,"Dwight D. Eisenhower, Raymond J. Saulnier, Robert B. Anderson, Lyndon B. Johnson","Industrial Production: 142% of 1947-1949 average, Gross National Product: $453 billion annual rate","Recovery began in May 1958, employment increased by 1 million, unemployment reduced by 1 million, income at new highs","Officially regarded as a moderate recession, government efforts important in recovery",,,,,,,,,,,,,,,,,,,,,,,Recession of 1958
10 months,1960–1961 Recession,Apr 1960,Feb 1961,-1.4%,7.1%,"Federal Reserve's monetary policy tightening in 1959, GDP decline of 1.4%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recession of 1960–61
11 months,1969–1970 Recession,Dec 1969,Nov 1970,-0.6%,6.1%,"Budget deficits, Vietnam War, Interest Rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recession of 1969–70
