Resignation Date,Reason for Resignation,Constituency,Position,Party,Position Resigned from,Education,Year Elected,Political Party,Political Career,Role,Breach,Name,Ministerial Positions,Resignation Reason,Legal Career,Years Active,Date of Resignation,Date,Reason,Term,Successful Campaign,Position Held,Previous Constituency,Term of Service,Whip Status,Retirement,Previous Experience,Achievements,Career Highlights,Career Background,Cabinet Positions,PPS Positions,All-Party Parliamentary Group Chairmanship,Other APPG Roles,Resignation 2019,Resignation 2021,EU Referendum Stance,Resignations,Resignation Announcement,Date of Birth,Previous Positions,Experience,Books,Parliamentary Role,Resigned as MP,Previous Position,Whip Removal Date,Re-admission Date,Leadership Position,Legal Background,Family,Personal Life,Spiritual Affiliation,Roles,Government Positions,trigger
"July 22, 2019",Citing Boris Johnson's election to the Tory leadership & premiership,,,,Minister of State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alan Duncan
,,North East Bedfordshire,,Conservative,,,,,,,,,"Department of Social Security (1992-1997), Foreign and Commonwealth Office (2010-2013), Department of Health (2015-2016)",,,,,,,,,Member of Parliament,Bury North (1983-1997),2001-2019,"Conservative whip removed in September 2019, reinstated in October 2019",Retired at the 2019 general election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alistair Burt
April 2018,Connected to the Windrush deportation scandal,,,,"Home Secretary, Secretary of State for Work and Pensions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amber Rudd
"May 22, 2019",Protest against May's Brexit strategy,,,,Leader of the House of Commons,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Leadsom
,,Brigg and Goole,Member of Parliament,,,"University of York, Leeds University (law conversion course)",,Conservative,,,,,,,,,,,,,,,,,,,"Parish Councillor for Airmyn, Councillor for Bricknell ward on Hull City Council","Elected MP in 2010, active in various parliamentary groups, increased majority in 2015 general election",,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Percy
September 2019,Conservative whip removed leading to independent status,,,,Minister of State for Skills and Apprenticeships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anne Milton
,,Berwick-upon-Tweed,"Secretary of State for International Trade, President of the Board of Trade, Former Secretary of State for International Development",Conservative,,"St Paul's Girls' School, Oxford Polytechnic, Chartered Accountant with Price Waterhouse",,,,,,,,,,,,,,,,,,,,,,,"Former Governor of Northumbria Healthcare Trust and Berwick Academy, Lead of ""Dual the A1 Campaign""",,,,,,,,,,,,,,,,,,,,,,,,,,,Anne-Marie Trevelyan
2018,,,Secretary of State for Foreign and Commonwealth Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boris Johnson
2019,,Daventry,"Minister of State for Europe, Brexit Minister, Minister of State for Transport, Chief Whip of the Conservative Party",Conservative,,,,,,,,,,Resigned as Brexit Minister in 2019 to support Andrea Leadsom's Conservative leadership bid,,2010 - present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Heaton-Harris
,Implicated in the 2017 Westminster sexual misconduct allegations,,,,Assistant Whip and Comptroller of the Household,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Pincher
2020,"""Veiled threats"" during a financial dispute involving his father",,,,Minister of State for Trade Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conor Burns
,,North Warwickshire,,Conservative,,Framwellgate Moor Comprehensive School,2015,,,Member of Parliament,,Craig Paul Tracey,,,,,,,,,,,,,,,,,,"Started his own insurance broker's business at 21, served as a parish councillor, elected as MP for North Warwickshire in 2015",,,,,,,,,,,,,,,,,,,,,,,,,,Craig Tracey
December 2017,"Breach of Ministerial Code, inappropriate conduct allegations involving a woman, accessing pornography on a work computer",,,,"First Secretary of State, Minister for the Cabinet Office",,,,,,Ministerial Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damian Green
"July 24, 2019",Following the Conservative Party leadership election,South West Hertfordshire,Member of Parliament,Conservative,,"Northgate High School, St Edmund Hall (Oxford), College of Law (Chester)",,,"Elected to House of Commons in 2005, served various roles in Cameron and May governments",,,,,,"Trainee solicitor at Richards Butler, solicitor at Macfarlanes",,,,,,,,,,,,,,,,"Secretary of State for Justice, Lord Chancellor, Chief Secretary to the Treasury, Secretary of State for Work and Pensions",,,,,,,,,,,,,,,,,,,,,,,,,David Gauke
"July 24, 2019",Resigned in anticipation of Boris Johnson becoming British Prime Minister,,,,Minister for the Cabinet Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Lidington
,,,Brexit Secretary,,,,,,,,,,,,,,,2018,Opposition to May's draft Brexit withdrawal agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominic Raab
July 2018,Misleading the House of Commons regarding the Universal Credit scheme,,,,Secretary of State for Work and Pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esther McVey
,,Dartford,Member of Parliament,Conservative,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,"David Gauke, Matthew Hancock",Dominican Republic,"Retail, British Sikhs",,,,,,,,,,,,,,,,,,,,,,Gareth Johnson
,,South Staffordshire,"Member of Parliament, Secretary of State for Defence, Secretary of State for Education",Conservative,,"Raincliffe School, Scarborough Sixth Form College, University of Bradford",,,"Elected as MP in 2010, served as Chief Whip, Secretary of State for Defence, Secretary of State for Education",,,,,,,,,,,,,,,,,,,,,,,,,,Dismissed as Defence Secretary due to Huawei leak from National Security Council,Dismissed as Education Secretary in cabinet reshuffle under Boris Johnson,,,,,,,,,,,,,,,,,,,,Gavin Williamson
"February 28, 2019",Unspecified reasons,,,,"Minister of State for Agriculture, Fisheries and Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Eustice
,,Chelsea and Fulham,"Minister of State for Business, Energy, and Clean Growth",Conservative,,,2005,,,,,,"Minister of State for Trade Policy, Chief Secretary to the Treasury",,,,,,,,,,,,,,,,,,,,,,,,Voted for the UK to remain in the EU,"Resigned in 2018, returned to Minister of State for Trade Policy in 2020",,,,,,,,,,,,,,,,,,Greg Hands
July 2018,N/A due to disagreement with the government policies,,,,Minister for Defence Procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guto Bebb
January 2018,Resigned on health grounds,,,,Secretary of State for Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Brokenshire
September 2019,Disagreement on Brexit strategy and desire to campaign for a referendum,,,,"Minister of State for Universities, Science, Research and Innovation",,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jo Johnson
January 2018,Cabinet reshuffle,Putney,"Secretary of State for Education, Minister for Women and Equalities",Conservative,,,,,,,,,,,,,,,,2016-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Justine Greening
Prior to upcoming general election,Standing down after having whip restored,Stourbridge,Minister of State for Digital and Creative Industries (2018-2019),Conservative,,London School of Economics (Economics and Government),,,"Member of Parliament for Stourbridge (2010-2019), Whip removed in September 2019, resigned prior to upcoming general election after having whip restored",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margot James
,,Selby and Ainsty,"Minister of State without Portfolio, Member of Parliament",Conservative,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 April 2022,,,,,,,,,,,,,,,,,Nigel Adams
"March 13, 2019",Opposed the UK leaving the EU without a deal,East Renfrewshire,Member of Parliament,Scottish Conservative Party,,"University of Dundee, Diploma in Legal Practice",,,"Unsuccessful 2016 Scottish Parliament election, won 2017 General Election",,,,,,"Traineeship with McGrigors, newly qualified solicitor",,,,,,,,,,,,,,,,,,,,,,,,,"November 2, 1985",,,,,,,,,,,,,,,,Paul Masterton
July 2019,Opposition to supporting a no-deal Brexit,,,,Chancellor of the Exchequer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philip Hammond
,,,International Development Secretary,,,,,,,,Ministerial Code,,,,,,,2017,Unauthorised meetings with the Government of Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Priti Patel
,,North East Hampshire,,,,,2015,Conservative,,Member of Parliament,,Ranil Malcolm Jayawardena,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranil Jayawardena
,Resigned from the position of Special Envoy for Freedom of Religion or Belief,Gillingham and Rainham,United Kingdom's Special Envoy for Freedom of Religion or Belief,Conservative,,,2010,,,,,,,,,,14 September 2020,,,,,,,,,,,,,,,,,,,,,,,,"Vice Chair of the Conservative Party for Communities, Prime Ministerial Trade Envoy to Pakistan",,,,,,,,,,,,,,,Rehman Chishti
