Satellite Name,Launch Date,Launch Vehicle,Other Names,Launch Time (UTC),Manufacturer,Design Life,Orbit Details,Orbital Period,Inclination,Launch Site,Operator,Purpose,Current Status,Configuration,Orbit Perigee,Orbit Apogee,PRN Signal,Constellation Slot,Orbit Inclination,Mass at Launch,Orbit Period,Satellite Bus,Operational Status,Milstar Block I DFS-1,Milstar Block I DFS-2,Milstar Block II (first satellite),Expected Lifespan,Communication Payload,Propulsion System,Payload,Power Source,Notable Incidents,Mission,Mission Duration,Mission Description,Mission Designation,Weight,Program Manager,Mission Objectives,Dimensions,Launch Time,Secondary Payloads,Orbital Inclination,Orbit,Mass,Launch Outcome,Deployment Status,Mission Details,Orbit Location,Landing Location,Deployment Details,Landing Site,Landing Time (UTC),Type,Additional Details,Project Status,Related Incidents,Primary Contractor,Delta-v,Final Status,Design,Performance,Designers,Launch Location,Modifications,Wing Dimensions,Number of Spacecraft,Main Objective,Program Funding,Fourth Stage Developer,Technical Features,Primary Mission Outcome,Satellite Names,Funding,Development Funding Source,Key Technology Features,Funding Source,Unique Characteristic,Program Name,Announced by,Announcement Date,Advanced Weapon Concepts Studied,Organization overseeing development,Year of establishment of SDIO,Directed by,Technologies Studied,Research Investment Focus,Lead of Innovative Sciences and Technology Office,Research Funding Sources,Contributions to Science and Engineering,Conclusion by American Physical Society,Destruction Details,Development Contractors,Launch Weight,Destruction Method,Details,Liftoff Time (UTC),Primary Payload,Background Information,COSPAR Code,Specific Use,Record,Mission Type,Antennas,Antenna Diameter,Director,Liftoff Direction,Official Updates,International Desig.,Payloads,Orbit Type,Operational Handover,Imaging Capabilities,Carrier Rocket,Deployment Orbit,Features,Postponed Launch Date,Records Broken,Landing Date,Orbit Duration,Operator/Manufacturer,Space Segment,Control Segment,Terminal Segment,Expected Operational Life,Flight Number,Notable Incident,Mission Logo,Payloads onboard,Significant Achievements,Orbital Position,System Segments,Bandwidth,Procurement Details,Longitude,System Components,Procurement,Key Feature,Bus Type,Sensors,Key Features,Notable Capabilities,Orbital Location,International Partners,Longevity,Objectives,Onboard Payloads,Duration in Orbit,Controversy,Reason for Failure,Launch Sequence,Tail Number,Deorbit Purpose,Primary Function,Purpose/Usage,Misty (1st Satellite),Misty (2nd Satellite),Misty (3rd Satellite),Shuttle Used,Crew Change,Payload Description,Notable Outcome,Development Entity,trigger
USA-10,9 October 1985,Atlas E,"Navstar 11, GPS I-11, GPS SVN-11",,Rockwell Space Systems,5 years,"19,829 km (perigee), 20,532 km (apogee)",717.90 minutes,63.40°,Vandenberg Air Force Base,,Navigation satellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-10
USA-100,10 March 1994,Delta II,"GPS IIA-15, GPS II-24, GPS SVN-36",03:40:01,Rockwell Space Systems,7.5 years,"19,986 km (perigee), 20,315 km (apogee)",716.69 minutes,54.9°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-100
Space Shuttle Atlantis (STS-51-J),3 October 1985,,,15:15:30,,,,,,"Kennedy Space Center, Florida",,,,,,,,,,,,,,,,,,,,U.S. Department of Defense payload (classified),,,,"4 days, 1 hour, 44 minutes, 38 seconds",,,,,,,,,,,,,,,,,Two DSCS-III satellites launched into stationary orbits by an Inertial Upper Stage,"Edwards Air Force Base, California",17:00:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-11
,,,,,,,,,,,,,,,,,,,,,,,,-X wing payload deactivated,Replaced classified payload with ballast,Placed into lower orbit and damaged during deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-115
USA-117,28 March 1996,Delta II,"GPS IIA-16, GPS II-25, GPS SVN-33",00:21:00,Rockwell Space Systems,7.5 years,"20,078 km (perigee), 20,282 km (apogee)",718.00 minutes,54.70°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-117
USA-126,16 July 1996,Delta II,"GPS IIA-17, GPS II-26, GPS SVN-40",00:50:00,Rockwell Space Systems,7.5 years,Transfer orbit,723.60 minutes,55.03°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-126
USA-128,12 September 1996,Delta II,"GPS IIA-18, GPS II-27, GPS SVN-30",08:49:00,Rockwell Space Systems,7.5 years,"20,058 km (perigee), 20,305 km (apogee)",717.94 minutes,54.7°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-128
USA-130,1997,,,,,,,,,,,,,,,,,,,,,,Out of Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSP-I Block 5,"Reconnaissance satellite, Defense Support Program satellite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-130
USA-132,23 July 1997,Delta II,"GPS IIR-2, GPS SVN-43",03:43:01,Lockheed Martin,10 years,"19,023 km (perigee), 20,224 km (apogee)",713.00 minutes,54.90°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-132
USA-135,6 November 1997,Delta II,"GPS IIA-19, GPS II-28, GPS SVN-38",00:30:00,Rockwell Space Systems,7.5 years,"19,923 km (perigee), 20,644 km (apogee)",722.00 minutes,54.90°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-135
