Name,Occupation,Nationality,Birthplace,Sentencing,Crime Type,Alias,Number of Victims,Location,Date of Death,Arrest Date,Full Name,Nickname,Period,Circumstances of Death,Age Range of Victims,Accusations,Date of Birth,Significant Events,Victims,Sentence,Parents,Criminal Activities,Location of Death,Education,Date,Charges,Place of Birth,Event,Casualties,Perpetrator,Legal Outcome,Achievements,Modus Operandi,Crime,Legal Status,Details,Family Background,Aliases,Team,Draft History,Nicknames,Residence,Legal Proceedings,Key Details,Arrest Details,Trial Outcome,Accomplice,Personal Life,Family,Date of Conviction,Injuries,Affiliation,Incident Date,Children,Date of Arrest,Birthdate,Military Service,Outcome,Shooter,Terrorist Group,Trial Date,Role,Number of Life Sentences,Specific Attacks,Arrest and Sentencing,Prison Location,Current Status,Legal Issues,Alfredo Galán Sotillo,"This table succinctly presents the essential details about Alfredo Galán Sotillo, summarizing his criminal activities, the number of victims, the timeline, locations, and significant events associated with his capture and confession as the ""Playing Card Killer.""",Son 1,Son 2,Event Trigger,Attack Locations,Legal Consequences,Personal Background,Motivation,Siblings,League,Ponzi Scheme Amount,NASDAQ Position,Guilty Plea Date,Age at Crime,Sentence Length,Parole Eligibility,Current Incarceration Location,Criminal Accomplice,Noteworthy Events,Motive,Global Impact,Estimated Worth of Scheme,Duration of Scheme,Influential Connections,Number of Clients,Connection to Military,Nature of Scheme,High-Profile Investors,Actual Duration of Imprisonment,Capture Details,Notable Remarks,Number of Counts,Specific Details,Political Career,Notable Roles,Language Skills,Conviction,Prior Convictions,Psychological Profile,Childhood,Crimes Committed,Key Events,Supporters,Event Date,Type of Incident,Perpetrators,School Information,Victim Demographics,Weapon Used,Involvement of Other Students,Trials and Convictions,Events,Criminal History,First Wife,Notable Events,Number of Confirmed Murders,Methods of Killing,Current Team,Teams Played For,Debut Date,Loan Deal Date,Key Incidents,Notable Works,Awards,Crimes Commiited,Date of Capture,Characteristics,Methods,Observations,Release Date,Significant Legal Events,Role in Attack,Verdict,Rally Description,Convictions,Date of Sentencing,Latest Charge,Career Highlights,Trials,Country Moves,Number of Hostages,Duration of Hostage Crisis,Gunmen,Gunmen Background,Circumstances of Arrest,Contempt for Women,Sexual Abuse in Childhood,Criminal Record History,Murder Investigation Details,Mark Goudeau,Location of Imprisonment,Background Information,Olympics Participated,Criminal Activity,Time Period,Method of Inspiration,Prosecution Details,Significant Details,Important Dates,Murders,Unique Childhood Situation,Spouse,Civic Posts,Notable Achievements,Victim,Abductor,Captivity Duration,Captivity Location,Perpetrator's Wife,Additional Details,Research Interests,Key Contributions,Age at Death,Cause of Death,Conviction 1,Conviction 2,Current Location,Employment,Counties of Crimes,Conviction Counts,Position,Teams,Positions held,Date of Incident,Criminal Convictions,,Incarceration Location,Co-conspirator,Co-inmates,Accomplishments,Foundation of LTTE,Death Date,trigger
,,,,,,,,"Ortaköy, Istanbul",,17 January 2017,,,,,,,,,,,,,,,1 January 2017,,,Istanbul nightclub shooting,"39 killed, 79 wounded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdulkadir Masharipov,ISIS,11 December 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdulkadir Masharipov
,,Palestinian,Kuwait,,,,,,,,Abdullah Ghaleb Barghouti,,,,,,1979,,,,,,,,,,,,,,,,,,,,"From the Barghouti clan based in the Ramallah area of the West Bank, family from Beit Rima",,,,,,,,,,,,,,,,,,,,,,,,,"Leading commander in Hamas' Izz al-Din al-Qassam Brigades, chief bomb maker",67,"Sbarro restaurant suicide bombing, Ben Yehuda pedestrian mall bombings, Café Moment bombing, etc.","Arrested by Israeli Shin Bet security service in March 2003, sentenced to 67 life terms plus 5,200 years in prison","Gilboa Prison, near Beit She'an, Israel",Incarcerated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdullah Barghouti
Adnan Oktar,"Cult leader, creationist, preacher, pamphleteer",,,"1,075 years in prison, total sentences for 13 individuals amounted to 9,803 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adnan Hoca, Harun Yahya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sex and financial charges, forming a criminal enterprise, financial fraud, sexual abuse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adnan Oktar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Killed 6, wounded 3, Surrendered and confessed, Signature of leaving playing cards","This table succinctly presents the essential details about Alfredo Galán Sotillo, summarizing his criminal activities, the number of victims, the timeline, locations, and significant events associated with his capture and confession as the ""Playing Card Killer.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfredo Gal谩n
Allen Brown,American football tight end,,,,,,,,27 January 2020,,,,,,,,,"Missed 1965 season, retired in 1968",,,,,,,,,,,,,,"All-America, All-SEC selection",,,,,,,Green Bay Packers,1965 NFL Draft (3rd round),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy Brown,Burkes Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allen Brown
,Anti-immigration domestic terrorist,Norwegian,,,,"Anders Behring Breivik, Andrew Berwick",,,,,Fjotolf Hansen,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 Norway attacks,"Oslo, Utøya Island",Sentenced to 21 years imprisonment with preventive detention,"Arrested at 16 for graffiti, not chosen for armed forces, anti-immigration political involvement, gun club membership, financial information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anders Breivik
Andrés Ulises Castillo Villarreal,Narcomenudista,Mexican,,Sentenced to 120 years in 2017,Serial killer,,"At least 3, confessed to around 12",,,,,,,,,,,"First identified victim was Lorenzo Ernesto Olivas Barrios, dismembered bodies were left with toys as a ""signature"" next to them.",,,,,,,,,,,,,,,"Lured victims with drugs, drugged and incapacitated them, raped and killed by hitting on the head with a blunt object, dismemberment",,,,,,,,"The Chihuahua Ripper, The Urban Development Ripper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sexual compulsion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andr茅s Ulises Castillo Villarreal
,,,"Duey, Yauco, Puerto Rico",,,,,"2207 Seymour Avenue, Cleveland, Ohio",3 September 2013,,Ariel Castro,,,Suicide by hanging in prison cell,,,,,"Michelle Knight, Amanda Berry, Georgina DeJesus","Life imprisonment plus 1,000 years without parole","Pedro Castro, Lillian Rodriguez",,,Graduated from Lincoln-West High School in 1979,,"Four counts of kidnapping, three counts of rape",,,,,,,,"Kidnapping, Rape",,,,,,,,Lived on Seymour Avenue in Cleveland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 siblings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ariel Castro
Arthur Franklin,Australian rules footballer,Australian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melbourne Football Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victorian Football League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthur Franklin
Bernard Henry McGinn,Provisional IRA volunteer,Irish,"Castleblayney, County Monaghan",Released in 2000 under Good Friday Agreement,,,,,Not specified,,,,,"Died after release from prison, involved in IRA bombing campaigns and sniper activities, arrested by SAS",,,,,,,,- Sentenced to 490 years in 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernard Henry McGinn
