Ship Name,Lives Lost,Date Sunk,Responsible Party,Location,Full Name,Region,,Original Name,Birthplace,Borders,Origin,Name,Population,Casualties,Sinking Date,Construction,Role,Historical,Builder,Launch Date,Ship Type,Propulsion,Title,Etymology,Capital,Year Built,Family Background,Type,Sinking,Education,Historical Significance,Notable Event,Significance,Yard Number,Owner,Purpose,Fate,Notable Battles,Parents,Area,History,Promotions,Specifications,Torpedoed by,Dimensions,Ownership History,Divisions,Career,Ship Class,Language,Occupation,Geography,Built,UNESCO World Heritage Site,Death,Details,Troopship,Key Modifications,Service Years,War,Sunk by,Gross Register Tons,Length Overall,Length Between Perpendiculars,Beam,Holds,Key Event,Prisoners Aboard,Survivor Count,Construction Yard,Completion Date,Key Characteristics,Family Heritage,Military Education,Graduation Year,Command Style,Highest Point,Definition,Alternative,Most Populous City,Productivity,National Park,Types of Ceramics,Historical Development,Properties,Manufacturing Process,Use,Former Names,Disbandment,Relegations,Ownership,Name Change,League Standings,Maiden Voyage,Cause of Sinking,Impact,Geology,Size,Modern Use,Mythological Role,Sisters,Associated Instruments,Family Ties,Depictions,Residence,Nationality,Years in Office,Relationships,Political Ideology,International Status,Scandal,Defining Moment,Legacy,Ancestry,Linguistic Skills,Date of Incident,Final Fate,Extends,Includes,Overlaps with,Hebrew Meaning,Quote,Historical Context,Archaeological,Roman Conquest,Assimilation,Nickname,Birthdate,Early Life Incidents,Alliances,Victories,Nickname Origin,Birth Date,Marital Status,Career Milestones,HMS Aboukir,HMS Avenger (1695),HMS Avenger (1758),HMS Avenger (1845),HMS Avenger (1914),HMS Avenger (1940),HMS Avenger (R73),HMS Avenger (D185),HMS Avenger (F185),HMS Avenger (P198),HMS Barham,HMS Courageous,Pennant Number,Commission Date,Notable Missions,Captured Vessels,Reuse of vessels,Tonnage,Seized By,Royal Navy Commission Date,Commanding Officer,Notable Crew,Operations,HMS Formidable (1751),HMS Formidable (1777),HMS Formidable (1799),HMS Formidable (1825),HMS Ham (ex-French Formidable),Planned HMS Formidable (1825),HMS Galatea,HMS Hawke,Planned,HMS Penelope,* Inshore Squadron (1809),* Java (1811),* Java (1814),* Baltic (1855),* Mediterranean (1855-56),* Jutland (1916),* Aegean (1943),HMS Royal Oak (1664),HMS Royal Oak (1709),HMS Royal Oak (1769),HMS Royal Oak (1852),HMS Royal Oak (1892),HMS Royal Oak (08),HMS Royal Oak (1958),Gross Tonnage,First Owner,Armament,Involvement,Speed,Features,Built By,Passenger Capacity,Service History,Role in WWI,Tragic Event,Owners,Routes,Reign,Modernization,Philosophy,Policies,Recognition,Debt Issue,Removal,Newspaper,Establishment,Merger,Founders,Previous Owners,Current Owner,Publisher,Circulation,Administrative Capital,Bodies of Water,Landforms,Agriculture,Main Orange Producer,Landmark,Kingdoms,Subdivision,Counties,ISO Code,Flag,Origins,Notable King,Province Name,Modern Location,Initial Status,Establishment as Province,Significant,Family,Disability,Influence,Career Path,Oratory Skills,Profession,Achievements,Early Life,Personal Life,River Name,Alternative Names,Flow,Length,Importance,Evolution,Shifts,Usage,Official Name,Indigenous People,Historical Facts,Culture,Captain,Sinking Location,Survivors,Lifeboat Capacity,Number in Lifeboat,Rescued,Unique Survivor,Survivor's Account,City Name,Population (2020),Foundation,Sources of Income,Fortress,Architectural Style,Tourist Attractions,Term,Birth Year,Marriage,Children,Burial Place,Captured By,Year Scrapped,Completion,Operator,Capture Date,Capture Location,War Prize,Renamed To,Management,Convoys,Sister Ship,Key Battles,Program Inclusion,Post-Treaty Freedom,Displacement,Top Speed,Aircraft Capacity,Protection Level,Design Elements,Appearance,Association,Infrastructure,Commercial Status,University,Climate,Admiral,Born,Wars,Notable Achievements,Built for,Funnel,Passengers,Conversions,Captured by,Role in World War II,Unique Feature,Provinces,Geographic,Prehistoric,Caves,Open-air site,Natural Borders,Broader Regions,Major Cities,UNESCO Sites,Historical Rule,Middle Ages,Ottoman Rule,Habsburg Control,Austro-Hungarian,Treaty,Country,Description,Economy,Debut,Top Division Debut,Highest Rank,Kinboshi,Retirement,Post-Retirement,Succession of Elder Names,Judo Background,Promotion History,Titles,Metropolitan Area,Tourism,Cultural Landmarks,Affiliation,Leadership,NSDAP Involvement,Assassination,Shooter,Legal Action,Funeral,Propaganda Impact,Aftermath,Tractate Number,Chapters,Content,Gemara Sources,Main Topics,trigger
,,14 May 1943,,"Off the coast of Queensland, Australia",,,,,,,,,,268 out of 332 aboard perished,,,,,,,,,,,,,,,,,,"Incident led to international outrage and protests due to the targeting of a hospital ship, considered a war crime",,,,,,,,,,,,,,,,,,,,,,,,"Used to transport materiel to New Guinea, converted to a hospital ship in January 1943, attacked and sunk by a Japanese submarine during its second voyage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AHS聽Centaur
America Maru,Great loss of civilian lives,1944,United States Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America Maru
SS Arandora Star,805 people,,German U-boat attack,,,,,SS Arandora,,,,,,,2 July 1940,"Built by Cammell Laird in 1927, 12,847 gross register tons, 512.2 feet long, 164 first class passengers",,,,,"Ocean liner, refrigerated cargo ship (1927), converted into a cruise ship (1929)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requisitioned as a troopship in World War II,"Refitted in 1929 to increase gross tonnage to 14,694, passenger capacity to 354, added tennis court and swimming pool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arandora Star
ARA General Belgrano,323,,,,,,,,,,"Originally USS Phoenix, acquired by Argentina",,,,2 May 1982,,,,,,,,,,,,,,,,,,Only ship sunk during military operations by a nuclear-powered submarine post-World War II,,,,,,,,,,,,,,,,,,,,,,,,,,1951 - 1982,Falklands War,Royal Navy submarine Conqueror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARA聽General Belgrano
Arisan Maru,,,,,,,,,,,,,,,,,,,,,Type 2A freighter,Steam turbines,,,,,,,,,,,,376,Mitsui Senpaku,"Initially used for troop transport, later for POW transport","Sank after being torpedoed, prisoners not rescued by Japanese",,,,,,,,,,,,,,,,,,,,,,,,,"6,886 GRT",137.3 meters,129.9 meters,18.2 meters,Three holds,"Torpedoed by an American submarine on October 24, 1944","1,781 POWs onboard during sinking",Only nine prisoners survived the sinking of the ship,"Mitsui yard in Tamano, Japan","June 22, 1944","Designed for raw material transport, bunks 0.91m apart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arisan Maru
,,,,,Armando Diaz,,,,"Naples, Italy",,,,,,,,Chief of Staff of the Regio Esercito during World War I,,,,,,"1st Duke of the Victory, OSSA, OSML, OMS, OCI",,,,,,,,,,,,,,,"First Battle of Monte Grappa, Second Battle of the Piave River, Battle of Vittorio Veneto",Lodovico (navy officer) and Irene Cecconi (minor noble),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italian and distant Spanish,"Military College of Naples, Military College of Turin",1884 (as an artillery officer),"Described as a strict disciplinarian, calm demeanor in military life, and characteristically calm in danger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armando Diaz
Asama Maru,Not specified,Date not provided,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asama Maru
,,,,Southeastern Europe,,,,,,"Adriatic Sea, Ionian Sea, Aegean Sea, Turkish Straits, Black Sea",,Balkans,,,,,,"Defined by August Zeune in 1808, synonym for Rumelia in the 19th century",,,,,,"Obscure origins, potentially related to Persian and Turkish words, used by Ottoman Empire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mount Musala, 2,925 meters","Geopolitical rather than geographical, disputed by modern geographers",Southeast Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balkan
,,,,Southern Italy,,Calabria,Byzantine Empire created the Duchy of Calabria in the 7th century AD,,,North: Basilicata,,,Almost 2 million residents,,,,,First region to take the name of Italy,,,,,,,Catanzaro,,,,,,,,,,,,,,,"Approximately 15,222 square kilometers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggio Calabria,14th most productive region in Italy,"Pollino National Park with 192,565 hectares, ranking among the 50 largest in the world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calabria
,,,,,,,,,,,,,,,,,,,,,,,,"Greek word ""ceramicos"" meaning ""pottery"", derived from ""keramos"" meaning ""potter's clay"", earliest mention in Mycenaean Greek language",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Earthenware, porcelain, brick, advanced ceramic engineering materials","Earliest ceramics were pottery objects or figurines made from clay. Later, ceramics were glazed and fired.","Hard, brittle, heat-resistant, corrosion-resistant, strong in compression, weak in shearing and tension, withstand high temperatures, can be crystalline or glassy","Shaping and firing an inorganic, nonmetallic material like clay at high temperatures, decrease porosity with glassy coatings, sintering in a kiln","Domestic products, industrial and building materials, semiconductors in advanced ceramic engineering, materials suited for harsh environments like acidic or caustic conditions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic
