Date,Series Start Date,Series End Date,Duration of Totality,Type,Saros Series Details,Duration of Annularity,Path of Totality,Saros Series,Saros Cycle,Magnitude,Cities,Comparison to 2017 Eclipse,Major Cities,Unique Features,Number of Events,Total Eclipses in Series,Special Characteristics,Series Details,Comparison to 2132 Eclipse,Type of Eclipse,Eclipse Magnitude,Eclipse Obscuration,Gamma,Greatest Eclipse Time,Delta T,Annularity Duration at Greatest Eclipse,Annularity Duration at Greatest Duration,Path Width at Greatest Eclipse,Path Width at Greatest Duration,Moon Diameter,Sun Diameter,Moon Declination,Sun Declination,Moon Right Ascension,Sun Right Ascension,First Eclipse of Season,Third Eclipse of Season,Eclipse Season Series,Countries/Regions,Significant Cities,trigger
"August 12, 2045",,,at least 6 minutes,,,,"California, Nevada, Utah, Colorado, Kansas, Oklahoma, Arkansas, Mississippi, Alabama, Florida, Bahamas, Turks and Caicos Islands, Cuba, Dominican Republic, Haiti, Venezuela, Trinidad and Tobago, Guyana, Suriname, French Guiana, Brazil",,,1.0774,"Reno, Salt Lake City, Colorado Springs, Oklahoma City, Tulsa, Tampa, Orlando, Fort Lauderdale, Miami, Nassau, Santo Domingo, Belém, São Luís, Recife","Descending lunar node, second total eclipse visible from Little Rock in 21.3 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of August 12, 2045"
"August 2, 2027",,,"6 minutes, 22 seconds",Total,,,"Eastern Atlantic Ocean, Spain, Morocco, North Africa, Middle East, Horn of Africa",,,,,,"Luxor, Jeddah, Mecca, Sana'a",First of three total solar eclipses observable in Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of August 2, 2027"
"August 24, 2063","June 14, 1360","July 30, 2622","7 minutes, 7.74 seconds",Total,"Solar Saros 136, every 18 years, 11 days, 71 events",,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of August 24, 2063"
"February 17, 2064","May 19, 1613","June 13, 2857",,Annular,"Solar saros 141, repeating every about 18 years, 11 days, and 8 hours, 70 events",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of February 17, 2064"
"February 5, 2046","May 19, 1613","June 13, 2857",,Annular,"Solar saros 141, repeating every about 18 years, 11 days, and 8 hours",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of February 5, 2046"
"January 26, 2028","May 19, 1613","June 13, 2857",,Annular,"Solar saros 141, repeating every about 18 years, 11 days, and 8 hours, 70 events",12 minutes and 9 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of January 26, 2028"
"May 11, 2078","May 17, 1501","July 3, 2763","7 minutes, 29.22 seconds",,,,,139,,,,,,,,71,"Longest total solar eclipse, part of a semester series",,,,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of May 11, 2078"
"May 23, 2096","May 17, 1501","July 3, 2763","6 minutes, 55.02 seconds",,,,,139,,,,,,,,,,"Solar saros 139, repeating every 18 years, 11 days, 8 hours, 71 events, longest duration on July 16, 2186","Longest duration since July 11, 1991",,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of May 22, 2096"
"November 15, 2096","April 11, 1736","May 5, 2980",,,,"9 minutes, 52 seconds",,,144,,,,,,,,,,,Annular,,,,,,,,,,,,,,,,,,,,,"Solar eclipse of November 15, 2096"
"November 4, 2078",,,,,,,,,,,,,,,,,,,,,0.92551,0.85657,-0.22852,04 Nov 2078 16:53:57.5 UTC,"1 minute, 46.9 seconds","8 minutes, 29 seconds, 80 ms","8 minutes, 31 seconds, 940 ms",287.5 km,286.0 km,1764.8 arcseconds,1935.0 arcseconds,"15° 49' 24.5"" S","15° 38' 7.6"" S",14h 40m 33.5s,14h 40m 53.9s,"October 21, 2078 - Penumbral Lunar Eclipse","November 19, 2078 - Penumbral Lunar Eclipse",Approximately every 177 days and 4 hours,,,"Solar eclipse of November 4, 2078"
"October 16, 2126","June 17, 1928","July 24, 3190",Totality will occur,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Europe, Central Asia","Norway, Sweden, Finland, Estonia, Russia, Kazakhstan, China","Solar eclipse of October 16, 2126"
