Parties Involved,Location,Casualties,Impact,Duration,Significance,Date,Start Date,Outcome,Organizing Union,Significant Event,Significant Events,Influence,Demands,Workforce Demographics,Working Conditions,Public Perception,Demand,Number of Miners Involved,Incidents of Violence,Company,End Date,Causes,Participants,Main Demands,Challenges,Convict Labor,Resulting Strike,Mining Company,Notable Events,Commemoration,States Affected,Government Role,Wage Increase,Primary Demand,Impact/Outcome,Outcome/Impact,Organizing Body,Reason,Aftermath,Events Leading Up,Final Death Toll,Union,Reason for Strike,Opposition,Background,Number of Casualties,Cost Estimate,Cause of Violence,Context,Legal Actions,Number of Workers,Organizer,Main Crops,Violent Tactics,Ethnic Demographics,Significant Casualties,Legal Repercussions,Root Causes,Companies Involved,Companies,trigger
"Knights of Labor, Workingmen's Party, general population","St. Louis, Missouri","61 dead, 124 injured",,Mid-1877,"One of the first general strikes in the US, part of the Great Railroad Strike of 1877",N/A,,"Significant civil unrest, fires, and destruction in the city of Pittsburgh, involvement of over 100,000 workers nationwide",,,,,,,,,,,,,,"Long Depression, Panic of 1873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877 St. Louis general strike
"United Brotherhood of Teamsters, Employers' Association of Chicago, striking workers, police, strikebreakers",,"21 killed, 416 injured",Weakened support for unions nationwide,103 days,"Second-most deadly labor dispute in 20th-century American history, significant weakening of public support for unions",,"April 6, 1905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905 Chicago Teamsters' strike
,,,"Defied assumptions of conservative trade unions, exposed poor mill conditions, investigation of wool trust","Over two months, from January to March 1912",,,January 1912,,Industrial Workers of the World (IWW),"Killing of striker Anna LoPizzo, leaders arrested, sending children away, violence at train station",,"Challenged the notion that immigrant, female, and ethnically divided workers couldn't be organized, enhanced IWW reputation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912 Lawrence textile strike
,"Paterson, New Jersey",,,"February 1913 - July 28, 1913",,,,"Ended after five months with approximately 1,850 strikers arrested, including IWW leaders Bill Haywood and Elizabeth Gurley Flynn",,,,,"Eight-hour workday, improved working conditions",,,,,,,,,,Largely immigrant factory workers from southern and eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913 Paterson silk strike
"United Mine Workers of America, Alabama coal mine operators, UMW president John L. Lewis, UMW vice-president Van Bittner",,,,September 8 -,,,"September 8, 1920","Significant defeat for the union and organized labor in Alabama, failed union recognition, continued use of convict labor until 1926",,,,,,,,,,,,,,,,"Union recognition, implementation of wage award decided by Bituminous Coal Commission","Racial divisions, divide along racial lines, propaganda campaign by coal operators",Continued use of convict labor by major operators under abominable conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 Alabama coal strike
,,,Unionization of West Coast ports in the US,83 days,,,"May 9, 1934",,International Longshore and Warehouse Union,"""Bloody Thursday""",,Rise of industrial unionism in the 1930s through Congress of Industrial Organizations,,,,,,,,,,,,,,,San Francisco General Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934 West Coast waterfront strike
"International Longshoremen's Association, President Joe Ryan, 23 major shipping companies, NAACP, unaffiliated longshore unions in New Orleans",,,"Strike failed, significant violence occurred, New Orleans maintained dock operations throughout the strike period",About ten weeks,,,"October 1, 1935",,International Longshoremen's Association,,"Strikes in major Gulf Coast ports, failed strike goal for ILA control of dock operations in New Orleans, significant violence during the strike",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935 Gulf Coast longshoremen's strike
"Striking miners, company guards","Butte, Montana","1 killed, 16 injured",,,"Sparked by a broader miners strike for higher wages and an improved working condition, representing a time of tension and conflict in the Butte mining community","April 21, 1920",,"Death of Tom Manning went unpunished, exacerbating tensions and the perception of injustice among the miners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaconda Road Massacre
"10,000 armed coal miners, 3,000 lawmen, strikebreakers, coal mine operators, United States Army represented by the West Virginia Army National Guard","Logan County, West Virginia","Up to 100 killed, many arrested","Temporary declines in United Mine Workers membership, improvements in membership, and working conditions",,,Late August to early September 1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battle of Blair Mountain
"Local coal miners, allies, Baldwin-Felts Detective Agency","Matewan, West Virginia","7 detectives, 3 townspeople including mayor Cabell Testerman","Matewan massacre, escalation of tensions, battle in Pocahontas Coalfield mining district",,"Shootout in Mingo County, support for the union, clash between miners and detectives","May 19, 1920",,,,,,,,,,,,,,,,,,,,,,Stone Mountain Coal Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battle of Matewan
"Chicago Police, crowd of around 10,000 men, women, and children","Chicago, Illinois","Several injured, exact number unknown",,,"Part of the broader Great Railroad Strike of 1877, marked by tension between authorities and striking workers","July 25, 1877",,"Police ran out of ammunition and retreated, demonstrating the challenges of maintaining order during the strike",,,,,,,,,,,,,,,,,,,,,"Crowd gathered at Halsted Street viaduct, police fired at crowd, engagement lasted half an hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battle of the Viaduct
"7,000 building-trades workers, 5,000 Polish laborers, National Guardsmen, Governor Jeremiah M. Rusk","Milwaukee, Wisconsin","7 dead, including a thirteen-year-old boy, several injured",,,"Demanding enforcement of an eight-hour workday, workers met with violence when gathering near Milwaukee Iron Company rolling mill in Bay View","May 4, 1886",,,,,,,,,,,,,,,,,,,,,,,,Annual event held on the first Sunday in May to honor those killed during the incident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bay View Massacre
